,B,V,i,r,shifts
0,-3.535251032054058,-0.8589556903873342,-0.5533985905294663,-4.931969619160719,-50
1,-3.510118915712441,-0.8589556903873342,-0.5533985905294663,-4.84977012550804,-49
2,-3.5048875594753266,-0.780868809443031,-0.5533985905294663,-4.767570631855362,-48
3,-3.4711055107092994,-0.780868809443031,-0.5533985905294663,-4.767570631855362,-47
4,-3.437323461943272,-0.702781928498728,-0.3952847075210475,-4.685371138202683,-46
5,-3.4314342206366253,-0.702781928498728,-0.3952847075210475,-4.603171644550004,-45
6,-3.4058900452968977,-0.6246950475544248,-0.3952847075210475,-4.603171644550004,-44
7,-3.3718311448439287,-0.6246950475544248,-0.3952847075210475,-4.520972150897325,-43
8,-3.3933353232418733,-0.5466081666101218,-0.3952847075210475,-4.438772657244646,-42
9,-3.358709452596548,-0.5075647261379702,-0.3952847075210475,-4.438772657244646,-41
10,-3.3240835819512227,-0.46852128566581863,-0.23717082451262866,-4.3565731635919684,-40
11,-3.3257673455087478,-0.4294778451936671,-0.23717082451262866,-4.27437366993929,-39
12,-3.2908511529049815,-0.3904344047215155,-0.23717082451262866,-4.27437366993929,-38
13,-3.255934960301215,-0.351390964249364,-0.23717082451262866,-4.192174176286612,-37
14,-3.248234402536877,-0.3123475237772124,-0.23076923076923095,-4.109974682633933,-36
15,-3.2130231895012464,-0.2733040833050609,-0.15384615384615397,-4.109974682633933,-35
16,-3.186614779724525,-0.23426064283290932,-0.07692307692307698,-4.027775188981254,-34
17,-3.1782381884222475,-0.19521720236075776,-0.07692307692307698,-4.027775188981254,-33
18,-3.1427271472108256,-0.19521720236075776,-0.07692307692307698,-3.945575695328575,-32
19,-3.0983383456965496,-0.11713032141645466,-0.07692307692307698,-3.863376201675896,-31
20,-3.098065800670382,-0.11713032141645466,-0.07692307692307698,-3.863376201675896,-30
21,-3.0622500110672566,-0.03904344047215589,0.07692307692307698,-3.7811767080232177,-29
22,-3.0264342214641307,-0.03904344047215589,0.07692307692307698,-3.698977214370539,-28
23,-3.016485428327949,0.03904344047214722,0.07692307692307698,-3.698977214370539,-27
24,-2.9803598543359975,0.03904344047214722,0.07692307692307698,-3.61677772071786,-26
25,-2.953265673842033,0.11713032141645033,0.07692307692307698,-3.534578227065182,-25
26,-2.942571471570408,0.1561737618886062,0.07692307692307698,-3.534578227065182,-24
27,-2.9061309579905887,0.19521720236075343,0.23076923076923095,-3.452378733412503,-23
28,-2.8696904444107694,0.23426064283290932,0.23076923076923095,-3.3701792397598247,-22
29,-2.8673370261658526,0.27330408330505657,0.23076923076923095,-3.3701792397598247,-21
30,-2.8305762950611624,0.3123475237772124,0.23076923076923095,-3.3701792397598247,-20
31,-2.7938155639564717,0.35139096424935967,0.23076923076923095,-3.205780252454467,-19
32,-2.7814764719879412,0.3904344047215155,0.3846153846153844,-3.205780252454467,-18
33,-2.7536617072680607,0.4294778451936628,0.3846153846153844,-3.205780252454467,-17
34,-2.7165753543082216,0.46852128566581863,0.3846153846153844,-3.04138126514911,-16
35,-2.703415048165217,0.5075647261379659,0.3846153846153844,-3.04138126514911,-15
36,-2.665997538848051,0.5466081666101218,0.3846153846153844,-3.04138126514911,-14
37,-2.6379344068601758,0.5856516070822689,0.4615384615384614,-2.876982277843753,-13
38,-2.6239262306975286,0.6246950475544248,0.5384615384615383,-2.876982277843753,-12
39,-2.586171896442888,0.6637384880265721,0.5384615384615383,-2.876982277843753,-11
40,-2.58106943891017,0.702781928498728,0.5217491947499509,-2.7125832905383955,-10
41,-2.566240229314017,0.7418253689708751,0.5217491947499509,-2.7125832905383955,-9
42,-2.52779468280744,0.780868809443031,0.5217491947499509,-2.7125832905383955,-8
43,-2.4893491363008633,0.780868809443031,0.5962847939999438,-2.6303837968857167,-7
44,-2.483214253690727,0.8589556903873342,0.6708203932499369,-2.548184303233038,-6
45,-2.444414030976809,0.8589556903873342,0.6708203932499369,-2.548184303233038,-5
46,-2.4056138082628915,0.9370425713316373,0.6708203932499369,-2.4659848095803594,-4
47,-2.3986201663029028,0.9760860118037845,0.6708203932499369,-2.383785315927681,-3
48,-2.3594590207306103,1.0151294522759404,0.74535599249993,-2.383785315927681,-2
49,-2.320297875158318,1.0541728927480876,0.74535599249993,-2.383785315927681,-1
50,-2.3025334213101023,1.0932163332202436,0.8198915917499225,-2.2193863286223237,0
51,-2.2728870682460225,1.1322597736923907,0.8198915917499225,-2.2193863286223237,1
52,-2.233358597493918,1.1713032141645465,0.8198915917499225,-2.2193863286223237,2
53,-2.2145809070544114,1.2103466546366939,0.8198915917499225,-2.0549873413169664,3
54,-2.1846541380401634,1.2493900951088497,0.8944271909999155,-2.0549873413169664,4
55,-2.154727369025916,1.288433535580997,0.9689627902499086,-2.0549873413169664,5
56,-2.134997660453518,1.3274769760531528,0.9689627902499086,-1.9727878476642875,6
57,-2.09471468572798,1.3665204165253,0.9689627902499086,-1.8905883540116089,7
58,-2.0645024546838253,1.405563856997456,0.9689627902499086,-1.8905883540116089,8
59,-2.0436920876988443,1.4446072974696031,1.0434983894999017,-1.8083888603589304,9
60,-2.0030215983914044,1.4836507379417592,1.0434983894999017,-1.7261893667062516,10
61,-1.9725187314108235,1.5226941784139063,1.1180339887498947,-1.7261893667062516,11
62,-1.9505912105888061,1.5226941784139063,1.1180339887498947,-1.643989873053573,12
63,-1.909526132471147,1.6007810593582095,1.1180339887498947,-1.5617903794008945,13
64,-1.8787273238829039,1.6007810593582095,1.1925695879998877,-1.5617903794008945,14
65,-1.855644771356773,1.6788679403025124,1.1925695879998877,-1.4795908857482158,15
66,-1.8141778490918172,1.6788679403025124,1.1925695879998877,-1.4795908857482158,16
67,-1.7830776573931015,1.7569548212468156,1.2671051872498809,-1.397391392095537,17
68,-1.7416107351281456,1.7569548212468156,1.2236867762727808,-1.3151918984428583,18
69,-1.7169245467308798,1.8350417021911187,1.2956683513476503,-1.3151918984428583,19
70,-1.6855173903882406,1.8350417021911187,1.2480754415067656,-1.2329924047901797,20
71,-1.6436411819313899,1.913128583135422,1.2480754415067656,-1.1507929111375008,21
72,-1.6177121911423549,1.913128583135422,1.2480754415067656,-1.1507929111375008,22
73,-1.5754190619621624,1.9912154640797248,1.3174129660349192,-1.0685934174848222,23
74,-1.5592027253330878,2.030258904551881,1.3867504905630725,-1.0685934174848222,24
75,-1.5318489332920593,2.069302345024028,1.3867504905630725,-0.9863939238321435,25
76,-1.4886982591148181,2.108345785496184,1.3867504905630725,-0.9863939238321435,26
77,-1.4563352534818883,2.147389225968331,1.3867504905630725,-0.9041944301794648,27
78,-1.4276286335876816,2.186432666440487,1.456088015091226,-0.821994936526786,28
79,-1.3949348480856747,2.186432666440487,1.5254255396193799,-0.821994936526786,29
80,-1.3513431340829973,2.2645195473847903,1.5254255396193799,-0.7397954428741079,30
81,-1.3212365955234777,2.2645195473847903,1.5254255396193799,-0.6575959492214297,31
82,-1.2992159855980865,2.342606428329093,1.5254255396193799,-0.6575959492214297,32
83,-1.2551747657473038,2.342606428329093,1.5254255396193799,-0.5753964555687511,33
84,-1.2111335458965213,2.420693309273392,1.5947630641475337,-0.4931969619160723,34
85,-1.1903593766357117,2.420693309273392,1.6641005886756872,-0.4850712500726663,35
86,-1.1458599606867133,2.498780190217695,1.6641005886756872,-0.4850712500726663,36
87,-1.1013605447377146,2.498780190217695,1.6641005886756872,-0.3233808333817776,37
88,-1.0791968031465116,2.576867071161998,1.6641005886756872,-0.3233808333817776,38
89,-1.0342302696820735,2.576867071161998,1.6641005886756872,-0.3233808333817776,39
90,-0.9892637362176355,2.6549539521063013,1.8027756377319948,-0.24253562503633316,40
91,-0.9656597275150012,2.6549539521063013,1.8027756377319948,-0.1616904166908888,41
92,-0.9202169168084128,2.7330408330506044,1.8027756377319948,-0.1616904166908888,42
93,-0.8861348087784728,2.7330408330506044,1.8027756377319948,-0.0808452083454444,43
94,-0.8406919980718844,2.772084273522756,1.872113162260148,0.0,44
95,-0.8037486332952997,2.8111277139949076,1.9414506867883017,0.0,45
96,-0.769302263296931,2.850171154467059,1.9414506867883017,0.0,46
97,-0.7348558932985596,2.8892145949392107,1.9414506867883017,0.1616904166908888,47
98,-0.6963575181639452,2.9282580354113623,1.9414506867883017,0.1616904166908888,48
99,-0.6615396422557467,2.967301475883514,1.9333333333333331,0.1616904166908888,49
100,-0.6151158077114862,3.0063449163556655,1.9999999999999998,0.3233808333817776,50
