,B,I,R,V,shifts
0,-11.0,-0.9166666666666666,-3.0,-7.222222222222223,-50
1,-10.846153846153845,-0.9166666666666666,-3.0,-7.222222222222223,-49
2,-10.76923076923077,-0.8333333333333334,-3.0,-7.111111111111112,-48
3,-10.692307692307693,-0.8333333333333334,-2.875,-7.111111111111112,-47
4,-10.615384615384617,-0.8333333333333334,-2.875,-7.000000000000001,-46
5,-10.461538461538463,-0.8333333333333334,-2.875,-7.000000000000001,-45
6,-10.384615384615385,-0.8333333333333334,-2.875,-6.888888888888889,-44
7,-10.307692307692308,-0.7499999999999999,-2.75,-6.888888888888889,-43
8,-10.230769230769232,-0.7499999999999999,-2.75,-6.777777777777779,-42
9,-10.076923076923078,-0.7499999999999999,-2.75,-6.777777777777779,-41
10,-10.0,-0.7499999999999999,-2.625,-6.666666666666667,-40
11,-9.923076923076923,-0.7499999999999999,-2.625,-6.666666666666667,-39
12,-9.846153846153847,-0.6666666666666666,-2.625,-6.555555555555555,-38
13,-9.692307692307693,-0.6666666666666666,-2.5,-6.555555555555555,-37
14,-9.615384615384615,-0.6666666666666666,-2.5,-6.4444444444444455,-36
15,-9.538461538461538,-0.6666666666666666,-2.5,-6.333333333333334,-35
16,-9.461538461538462,-0.6666666666666666,-2.5,-6.333333333333334,-34
17,-9.307692307692308,-0.5833333333333334,-2.375,-6.222222222222223,-33
18,-9.230769230769232,-0.5833333333333334,-2.375,-6.222222222222223,-32
19,-9.153846153846153,-0.5833333333333334,-2.375,-6.111111111111112,-31
20,-9.076923076923077,-0.5833333333333334,-2.375,-6.111111111111112,-30
21,-8.923076923076923,-0.5833333333333334,-2.25,-6.0,-29
22,-8.846153846153847,-0.5,-2.25,-6.0,-28
23,-8.76923076923077,-0.5,-2.25,-5.888888888888889,-27
24,-8.692307692307693,-0.5,-2.125,-5.888888888888889,-26
25,-8.615384615384617,-0.5,-2.125,-5.777777777777778,-25
26,-8.461538461538462,-0.5,-2.125,-5.777777777777778,-24
27,-8.384615384615385,-0.4166666666666667,-2.125,-5.666666666666667,-23
28,-8.307692307692308,-0.4166666666666667,-2.0,-5.555555555555556,-22
29,-8.230769230769232,-0.4166666666666667,-2.0,-5.555555555555556,-21
30,-8.076923076923077,-0.4166666666666667,-2.0,-5.444444444444445,-20
31,-8.0,-0.4166666666666667,-1.875,-5.444444444444445,-19
32,-7.923076923076923,-0.3333333333333333,-1.875,-5.333333333333334,-18
33,-7.846153846153846,-0.3333333333333333,-1.875,-5.333333333333334,-17
34,-7.76923076923077,-0.3333333333333333,-1.875,-5.222222222222222,-16
35,-7.615384615384616,-0.3333333333333333,-1.75,-5.222222222222222,-15
36,-7.538461538461539,-0.3333333333333333,-1.75,-5.111111111111112,-14
37,-7.461538461538462,-0.25,-1.75,-5.111111111111112,-13
38,-7.384615384615385,-0.25,-1.625,-5.0,-12
39,-7.307692307692308,-0.25,-1.625,-5.0,-11
40,-7.153846153846154,-0.25,-1.625,-4.888888888888889,-10
41,-7.0769230769230775,-0.25,-1.625,-4.777777777777778,-9
42,-7.0,-0.16666666666666666,-1.5,-4.777777777777778,-8
43,-6.923076923076923,-0.16666666666666666,-1.5,-4.666666666666667,-7
44,-6.846153846153846,-0.16666666666666666,-1.5,-4.666666666666667,-6
45,-6.6923076923076925,-0.16666666666666666,-1.5,-4.555555555555556,-5
46,-6.615384615384615,-0.16666666666666666,-1.375,-4.555555555555556,-4
47,-6.538461538461539,-0.08333333333333333,-1.375,-4.444444444444445,-3
48,-6.461538461538463,-0.08333333333333333,-1.375,-4.444444444444445,-2
49,-6.384615384615385,-0.08333333333333333,-1.25,-4.333333333333334,-1
50,-6.230769230769231,-0.08333333333333333,-1.25,-4.222222222222222,0
51,-6.153846153846154,-0.08333333333333333,-1.25,-4.222222222222222,1
52,-6.0769230769230775,-0.0,-1.25,-4.111111111111112,2
53,-6.0,-0.0,-1.125,-4.111111111111112,3
54,-5.923076923076923,-0.0,-1.125,-4.0,4
55,-5.769230769230769,0.0,-1.125,-4.0,5
56,-5.6923076923076925,0.0,-1.0,-3.8888888888888897,6
57,-5.615384615384615,0.08333333333333333,-1.0,-3.8888888888888897,7
58,-5.538461538461538,0.08333333333333333,-1.0,-3.777777777777778,8
59,-5.461538461538462,0.08333333333333333,-1.0,-3.777777777777778,9
60,-5.384615384615385,0.08333333333333333,-0.875,-3.666666666666667,10
61,-5.230769230769232,0.08333333333333333,-0.875,-3.555555555555556,11
62,-5.153846153846154,0.16666666666666666,-0.875,-3.555555555555556,12
63,-5.0769230769230775,0.16666666666666666,-0.875,-3.4444444444444446,13
64,-5.0,0.16666666666666666,-0.75,-3.4444444444444446,14
65,-4.923076923076923,0.16666666666666666,-0.75,-3.3333333333333335,15
66,-4.769230769230769,0.16666666666666666,-0.75,-3.3333333333333335,16
67,-4.6923076923076925,0.25,-0.75,-3.2222222222222228,17
68,-4.615384615384616,0.25,-0.625,-3.5,18
69,-4.538461538461538,0.25,-0.625,-3.5,19
70,-4.461538461538462,0.25,-0.625,-3.375,20
71,-4.384615384615385,0.25,-0.5,-3.375,21
72,-4.230769230769231,0.3333333333333333,-0.5,-3.25,22
73,-4.153846153846154,0.3333333333333333,-0.5,-3.25,23
74,-4.076923076923077,0.3333333333333333,-0.5,-3.125,24
75,-4.333333333333333,0.3333333333333333,-0.375,-3.0,25
76,-4.25,0.3333333333333333,-0.375,-3.0,26
77,-4.166666666666667,0.4166666666666667,-0.375,-2.875,27
78,-4.083333333333333,0.4166666666666667,-0.375,-2.875,28
79,-3.9166666666666665,0.4166666666666667,-0.25,-2.75,29
80,-3.833333333333333,0.4166666666666667,-0.25,-2.75,30
