,B,V,i,r,shifts
0,-3.671248865463441,2.27235625313824,-4.109974682633933,-3.9861830329795183,-50
1,-3.6335950309458673,2.315230899423867,-4.109974682633933,-3.903137553125778,-49
2,-3.605354655057686,2.358105545709494,-4.027775188981254,-3.903137553125778,-48
3,-3.6005540087151995,2.4009801919951217,-4.027775188981254,-3.820092073272038,-47
4,-3.5720535812055796,2.443854838280749,-3.945575695328575,-3.7370465934182984,-46
5,-3.5340530111927544,2.486729484566376,-3.945575695328575,-3.7370465934182984,-45
6,-3.5285254517383486,2.5296041308520034,-3.8805700005813275,-3.6540011135645583,-44
7,-3.5325521497771932,2.5724787771376305,-3.8805700005813275,-3.570955633710818,-43
8,-3.4938392495056623,2.6153534234232576,-3.7997247922358834,-3.570955633710818,-42
9,-3.4877853099402754,2.658228069708885,-3.718879583890439,-3.4879101538570785,-41
10,-3.4389367761876093,2.658228069708885,-3.718879583890439,-3.4879101538570785,-40
11,-3.4096276559360112,2.7439773622801398,-3.718879583890439,-3.404864674003339,-39
12,-3.402691198595034,2.7439773622801398,-3.718879583890439,-3.3218191941495987,-38
13,-3.3632397064374104,2.829726654851394,-3.718879583890439,-3.3218191941495987,-37
14,-3.3435139603585986,2.829726654851394,-3.638034375544995,-3.2387737142958586,-36
15,-3.3358526258957526,2.9154759474226486,-3.5571891671995504,-3.2387737142958586,-35
16,-3.296021549765654,2.9154759474226486,-3.5571891671995504,-3.1557282344421185,-34
17,-3.266148242668079,3.0012252399939032,-3.5571891671995504,-3.0726827545883784,-33
18,-3.2576390052298083,3.0012252399939032,-3.5571891671995504,-3.0726827545883784,-32
19,-3.217421239733144,3.0869745325651574,-3.5571891671995504,-2.9896372747346383,-31
20,-3.1671490328623144,3.0869745325651574,-3.476343958854106,-2.906591794880899,-30
21,-3.177869693373705,3.172723825136412,-3.3954987505086622,-2.906591794880899,-29
22,-3.1372579401037535,3.172723825136412,-3.3954987505086622,-2.823546315027159,-28
23,-3.0966461868338016,3.2584731177076667,-3.3954987505086622,-2.823546315027159,-27
24,-3.09649955656136,3.2584731177076667,-3.3954987505086622,-2.740500835173419,-26
25,-3.0554863174016065,3.3442224102789213,-3.320391543176799,-2.6574553553196787,-25
26,-3.014473078241853,3.3870970565645484,-3.16227766016838,-2.6574553553196787,-24
27,-3.0134817713168562,3.4299717028501755,-3.16227766016838,-2.574409875465939,-23
28,-2.9720593414705765,3.472846349135803,-3.16227766016838,-2.491364395612199,-22
29,-2.9306369116242963,3.472846349135803,-3.16227766016838,-2.491364395612199,-21
30,-2.9183078637707447,3.5585956417070572,-3.16227766016838,-2.408318915758459,-20
31,-2.8869282093215958,3.5585956417070572,-3.16227766016838,-2.3252734359047187,-19
32,-2.845088670056065,3.644344934278312,-3.004163777159961,-2.3015858222750016,-18
33,-2.8137090156069187,3.644344934278312,-3.004163777159961,-2.3015858222750016,-17
34,-2.8000422651078907,3.7300942268495665,-3.004163777159961,-2.1371868349696443,-16
35,-2.7577774762006015,3.7300942268495665,-3.004163777159961,-2.1371868349696443,-15
36,-2.726078884520136,3.815843519420821,-3.004163777159961,-2.1371868349696443,-14
37,-2.7113489160183355,3.815843519420821,-2.9251068356557512,-1.9727878476642875,-13
38,-2.6686505078920626,3.9015928119920753,-2.8460498941515415,-1.9727878476642875,-12
39,-2.6366267017973564,3.9015928119920753,-2.8460498941515415,-1.9727878476642875,-11
40,-2.6207935438682006,3.98734210456333,-2.8460498941515415,-1.80838886035893,-10
41,-2.5776529094012344,3.98734210456333,-2.769230769230769,-1.80838886035893,-9
42,-2.571911126157958,4.073091397134585,-2.769230769230769,-1.80838886035893,-8
43,-2.5550102979834906,4.073091397134585,-2.6923076923076925,-1.726189366706252,-7
44,-2.521971371716464,4.158840689705839,-2.6153846153846154,-1.6439898730535731,-6
45,-2.488932445449437,4.158840689705839,-2.6153846153846154,-1.6439898730535731,-5
46,-2.4448805437600667,4.244589982277094,-2.6153846153846154,-1.5617903794008945,-4
47,-2.437550029981341,4.244589982277094,-2.6153846153846154,-1.4795908857482158,-3
48,-2.3930285682465215,4.287464628562721,-2.5384615384615383,-1.4795908857482158,-2
49,-2.3485071065117027,4.330339274848348,-2.5384615384615383,-1.4795908857482158,-1
50,-2.3287845681524946,4.373213921133975,-2.461538461538462,-1.397391392095537,0
51,-2.2950340671647784,4.416088567419602,-2.461538461538462,-1.3151918984428583,1
52,-2.2500333991811554,4.45896321370523,-2.461538461538462,-1.3151918984428583,2
53,-2.2403728626927997,4.501837859990857,-2.384615384615385,-1.2329924047901797,3
54,-2.194883058374164,4.544712506276484,-2.384615384615385,-1.1507929111375008,4
55,-2.1493932540555285,4.5875871525621115,-2.307692307692308,-1.1507929111375008,5
56,-2.1384961761882364,4.630461798847739,-2.307692307692308,-1.0685934174848222,6
57,-2.1040043023787476,4.673336445133366,-2.307692307692308,-0.9863939238321435,7
58,-2.069512428569261,4.716211091418994,-2.230769230769231,-0.9863939238321435,8
59,-2.023523263489944,4.759085737704621,-2.230769230769231,-0.9041944301794648,9
60,-1.999459386393691,4.801960383990248,-2.230769230769231,-0.9041944301794648,10
61,-1.9529603308961632,4.887709676561502,-2.153846153846154,-0.821994936526786,11
62,-1.9180860392730186,4.887709676561502,-2.086996778999804,-0.7397954428741074,12
63,-1.8925466340870656,4.93058432284713,-2.086996778999804,-0.7397954428741074,13
64,-1.8572817899736407,4.973458969132757,-2.0124611797498106,-0.6575959492214292,14
65,-1.8102619978224093,5.016333615418384,-2.0124611797498106,-0.5753964555687504,15
66,-1.7749971537089844,5.059208261704011,-1.9379255804998177,-0.5753964555687504,16
67,-1.7594130271522561,5.102082907989638,-1.9379255804998177,-0.5753964555687504,17
68,-1.7118613237157085,5.1449575542752655,-1.9379255804998177,-0.4109974682633936,18
69,-1.6761975461382967,5.1878322005608934,-1.8633899812498251,-0.4109974682633936,19
70,-1.64725820450493,5.230706846846515,-1.8633899812498251,-0.4109974682633936,20
71,-1.5991630744463918,5.273581493132148,-1.7888543819998322,-0.24659848095803616,21
72,-1.5630917269024869,5.31645613941777,-1.7888543819998322,-0.24659848095803616,22
73,-1.5324884045431362,5.359330785703402,-1.7888543819998322,-0.24659848095803616,23
74,-1.4960005853873486,5.4022054319890245,-1.7888543819998322,-0.16439898730535743,24
75,-1.4473501598462966,5.445080078274657,-1.7143187827498392,-0.08219949365267872,25
76,-1.4108623406905088,5.4879547245602796,-1.7143187827498392,-0.08219949365267872,26
77,-1.3904072783530723,5.530829370845911,-1.639783183499846,-0.08219949365267872,27
78,-1.3569983468409972,5.530829370845911,-1.639783183499846,0.08219949365267872,28
79,-1.3196497684875739,5.616578663417165,-1.639783183499846,0.08219949365267872,29
80,-1.2849772299581292,5.616578663417165,-1.639783183499846,0.08219949365267872,30
81,-1.2345859660382024,5.70232795598842,-1.565247584249853,0.24659848095803616,31
82,-1.1967925180982588,5.70232795598842,-1.49071198499986,0.24659848095803616,32
83,-1.146401254178332,5.7880772485596745,-1.49071198499986,0.24659848095803616,33
84,-1.1219525985040495,5.7880772485596745,-1.49071198499986,0.32879797461071486,34
85,-1.0837042144641373,5.87382654113093,-1.49071198499986,0.4109974682633936,35
86,-1.0454558304242252,5.87382654113093,-1.49071198499986,0.4109974682633936,36
87,-1.006556358869361,5.959575833702184,-1.3416407864998738,0.4109974682633936,37
88,-0.967842652759002,5.959575833702184,-1.3416407864998738,0.5753964555687511,38
89,-0.9162243779451886,6.045325126273438,-1.2956683513476503,0.5753964555687511,39
90,-0.8646061031313751,6.045325126273438,-1.2956683513476503,0.5753964555687511,40
91,-0.8360479108370634,6.131074418844693,-1.2956683513476503,0.6575959492214297,41
92,-0.7968581650165746,6.131074418844693,-1.1517052011979119,0.7397954428741085,42
