,B,V,i,r,shifts
0,-2.090909090909091,-5.0,-3.866666666666667,-3.0,-50
1,-2.0606060606060606,-4.928571428571429,-3.866666666666667,-3.0,-49
2,-2.0,-4.928571428571429,-3.866666666666667,-3.0,-48
3,-1.9393939393939394,-4.857142857142858,-3.866666666666667,-2.928571428571429,-47
4,-1.8787878787878787,-4.857142857142858,-3.866666666666667,-2.928571428571429,-46
5,-1.8484848484848484,-4.785714285714286,-3.8000000000000003,-2.928571428571429,-45
6,-1.7878787878787876,-4.785714285714286,-3.8000000000000003,-2.857142857142857,-44
7,-1.7272727272727273,-4.714285714285714,-3.8000000000000003,-2.857142857142857,-43
8,-1.6666666666666665,-4.714285714285714,-3.8000000000000003,-2.857142857142857,-42
9,-1.6363636363636362,-4.642857142857143,-3.8000000000000003,-2.857142857142857,-41
10,-1.5757575757575757,-4.642857142857143,-3.8000000000000003,-2.7857142857142856,-40
11,-1.5151515151515151,-4.571428571428571,-3.8000000000000003,-2.7857142857142856,-39
12,-1.4848484848484849,-4.571428571428571,-3.7333333333333334,-2.7857142857142856,-38
13,-1.424242424242424,-4.5,-3.7333333333333334,-2.714285714285714,-37
14,-1.3636363636363635,-4.5,-3.7333333333333334,-2.714285714285714,-36
15,-1.3030303030303028,-4.428571428571429,-3.7333333333333334,-2.714285714285714,-35
16,-1.2727272727272727,-4.428571428571429,-3.7333333333333334,-2.714285714285714,-34
17,-1.2121212121212122,-4.357142857142857,-3.7333333333333334,-2.642857142857143,-33
18,-1.1515151515151514,-4.357142857142857,-3.7333333333333334,-2.642857142857143,-32
19,-1.0909090909090908,-4.285714285714286,-3.666666666666667,-2.642857142857143,-31
20,-1.0303030303030303,-4.285714285714286,-3.666666666666667,-2.571428571428571,-30
21,-1.0,-4.214285714285714,-3.666666666666667,-2.571428571428571,-29
22,-0.9393939393939393,-4.214285714285714,-3.666666666666667,-2.571428571428571,-28
23,-0.8787878787878788,-4.142857142857143,-3.666666666666667,-2.571428571428571,-27
24,-0.8484848484848485,-4.142857142857143,-3.666666666666667,-2.5,-26
25,-0.7878787878787878,-4.142857142857143,-3.666666666666667,-2.5,-25
26,-0.7272727272727273,-4.071428571428571,-3.6,-2.5,-24
27,-0.6969696969696969,-4.071428571428571,-3.6,-2.428571428571429,-23
28,-0.6363636363636364,-4.0,-3.6,-2.428571428571429,-22
29,-0.5757575757575757,-4.0,-3.6,-2.428571428571429,-21
30,-0.5454545454545454,-3.9285714285714284,-3.6,-2.428571428571429,-20
31,-0.47058823529411764,-3.857142857142857,-3.6,-2.357142857142857,-19
32,-0.4117647058823529,-3.857142857142857,-3.6,-2.357142857142857,-18
33,-0.38235294117647056,-3.7857142857142856,-3.533333333333333,-2.357142857142857,-17
34,-0.32352941176470584,-3.7857142857142856,-3.533333333333333,-2.2857142857142856,-16
35,-0.2647058823529411,-3.714285714285714,-3.533333333333333,-2.2857142857142856,-15
36,-0.23529411764705882,-3.714285714285714,-3.533333333333333,-2.2857142857142856,-14
37,-0.1764705882352941,-3.6428571428571423,-3.533333333333333,-2.2857142857142856,-13
38,-0.11764705882352941,-3.6428571428571423,-3.533333333333333,-2.2142857142857144,-12
39,-0.08823529411764705,-3.6428571428571423,-3.533333333333333,-2.2142857142857144,-11
40,-0.029411764705882353,-3.5714285714285716,-3.466666666666667,-2.2142857142857144,-10
41,0.029411764705882353,-3.5,-3.466666666666667,-2.2142857142857144,-9
