,B,V,g,i,m,n,o,r,shifts
0,-1.1764705882352942,-5.363636363636363,-3.857142857142857,-0.2,-3.6999999999999997,-3.6999999999999997,-3.6999999999999997,0.1,-50
1,-1.0588235294117645,-5.272727272727273,-3.7857142857142856,-0.2,-3.5999999999999996,-3.5999999999999996,-3.5999999999999996,0.1,-49
2,-1.0,-5.272727272727273,-3.714285714285714,-0.2,-3.5999999999999996,-3.5999999999999996,-3.5999999999999996,0.1,-48
3,-0.8823529411764705,-5.1818181818181825,-3.6428571428571423,-0.2,-3.5000000000000004,-3.5000000000000004,-3.5000000000000004,0.2,-47
4,-0.8125,-5.1818181818181825,-3.5714285714285716,-0.2,-3.5000000000000004,-3.5000000000000004,-3.5000000000000004,0.2,-46
5,-0.75,-5.090909090909092,-3.5,-0.2,-3.4000000000000004,-3.4000000000000004,-3.4000000000000004,0.2,-45
6,-0.625,-5.090909090909092,-3.357142857142857,-0.2,-3.4000000000000004,-3.4000000000000004,-3.4000000000000004,0.3,-44
7,-0.5,-5.090909090909092,-3.2857142857142856,-0.1,-3.3000000000000003,-3.3000000000000003,-3.3000000000000003,0.3,-43
8,-0.4375,-5.0,-3.214285714285714,-0.1,-3.3000000000000003,-3.3000000000000003,-3.3000000000000003,0.3,-42
9,-0.3125,-5.0,-3.142857142857143,-0.1,-3.2,-3.2,-3.2,0.3,-41
10,-0.25,-4.909090909090909,-3.071428571428571,-0.1,-3.2,-3.2,-3.2,0.4,-40
11,-0.125,-4.909090909090909,-3.0,-0.1,-3.1,-3.1,-3.1,0.4,-39
12,-0.0,-4.818181818181818,-2.928571428571429,-0.1,-3.1,-3.1,-3.1,0.4,-38
13,0.0625,-4.818181818181818,-2.857142857142857,-0.0,-3.1,-3.1,-3.1,0.5,-37
14,0.1875,-4.818181818181818,-2.714285714285714,-0.0,-3.0,-3.0,-3.0,0.5,-36
15,0.25,-4.7272727272727275,-2.642857142857143,-0.0,-3.0,-3.0,-3.0,0.5,-35
16,0.375,-4.7272727272727275,-2.571428571428571,0.0,-2.9,-2.9,-2.9,0.5,-34
17,0.5,-4.636363636363637,-2.5,0.0,-2.9,-2.9,-2.9,0.6,-33
18,0.5625,-4.636363636363637,-2.428571428571429,0.0,-2.8,-2.8,-2.8,0.6,-32
19,0.6875,-4.545454545454546,-2.357142857142857,0.1,-2.8,-2.8,-2.8,0.6,-31
