,g,i,r,z,shifts
0,-23.666666666666664,-3.0,-6.0,-1.25,-50
1,-23.333333333333336,-3.0,-5.5,-1.0,-49
2,-23.0,-3.0,-5.5,-1.0,-48
3,-22.666666666666668,-3.0,-5.5,-1.0,-47
4,-22.666666666666668,-3.0,-5.0,-1.0,-46
5,-22.333333333333336,-2.5,-5.0,-1.0,-45
6,-22.0,-2.5,-5.0,-0.75,-44
7,-22.0,-2.5,-4.5,-0.75,-43
8,-21.666666666666668,-2.5,-4.5,-0.75,-42
9,-21.333333333333332,-2.5,-4.5,-0.75,-41
10,-21.0,-2.0,-4.5,-0.75,-40
11,-20.666666666666668,-2.0,-4.0,-0.75,-39
12,-20.666666666666668,-2.0,-4.0,-0.5,-38
13,-20.333333333333332,-2.0,-4.0,-0.5,-37
14,-20.0,-2.0,-4.0,-0.5,-36
15,-19.666666666666664,-2.0,-3.5,-0.5,-35
16,-19.333333333333332,-2.0,-3.5,-0.5,-34
17,-19.0,-2.0,-3.5,-0.5,-33
18,-18.666666666666668,-2.0,-3.5,-0.25,-32
19,-18.333333333333332,-1.5,-3.0,-0.25,-31
20,-18.0,-1.5,-3.0,-0.25,-30
21,-17.666666666666664,-1.5,-3.0,-0.25,-29
22,-17.666666666666664,-1.5,-2.5,0.25,-28
23,-17.333333333333332,-1.5,-2.5,0.25,-27
24,-17.0,-1.5,-2.5,0.25,-26
25,-17.0,-1.0,-2.5,0.25,-25
26,-16.666666666666668,-1.0,-2.0,0.25,-24
27,-16.333333333333332,-1.0,-2.0,0.5,-23
28,-16.0,-1.0,-2.0,0.5,-22
29,-16.0,-1.0,-1.5,0.5,-21
30,-15.666666666666666,-0.5,-1.5,0.5,-20
31,-15.333333333333332,-0.5,-1.5,0.75,-19
32,-15.0,-0.5,-1.5,0.75,-18
33,-14.666666666666666,-0.5,-1.5,0.75,-17
34,-14.333333333333332,-0.5,-1.0,0.75,-16
35,-14.0,-0.5,-1.0,0.5,-15
36,-14.0,-0.5,-1.0,0.5,-14
37,-13.666666666666666,-0.5,-1.0,0.75,-13
38,-13.333333333333334,-0.0,-0.5,0.75,-12
39,-13.0,-0.0,-0.5,0.75,-11
40,-12.666666666666666,-0.0,-0.5,0.75,-10
41,-12.666666666666666,-0.0,-0.5,0.75,-9
42,-11.999999999999998,0.0,-0.0,1.0,-8
43,-11.666666666666668,0.0,-0.0,1.0,-7
44,-11.666666666666668,0.5,0.0,1.0,-6
45,-11.333333333333334,0.5,0.0,1.0,-5
46,-11.0,0.5,0.5,1.25,-4
47,-11.0,0.5,0.5,1.25,-3
48,-10.666666666666666,0.5,0.5,1.25,-2
49,-10.333333333333334,1.0,1.0,1.25,-1
50,-10.333333333333334,1.0,1.0,1.5,0
51,-10.0,1.0,1.0,1.5,1
52,-9.666666666666666,1.0,1.0,1.5,2
53,-9.333333333333334,1.0,1.0,1.5,3
54,-9.0,1.0,1.5,1.5,4
55,-8.666666666666666,1.0,1.5,1.75,5
56,-8.333333333333334,1.0,1.5,1.75,6
57,-8.0,1.5,1.5,1.75,7
58,-7.666666666666666,1.5,2.0,1.75,8
59,-7.333333333333333,1.5,2.0,1.75,9
60,-7.0,1.5,2.0,2.0,10
61,-6.666666666666667,1.5,2.5,2.0,11
62,-6.333333333333333,1.5,2.5,2.0,12
63,-6.333333333333333,2.0,2.5,2.0,13
64,-5.999999999999999,2.0,2.5,2.25,14
65,-5.666666666666667,2.0,2.5,2.25,15
66,-5.666666666666667,2.0,3.0,2.25,16
67,-5.333333333333333,2.0,3.0,2.25,17
68,-5.0,2.5,3.0,2.5,18
69,-5.0,2.5,3.5,2.5,19
70,-4.666666666666667,2.5,3.5,2.5,20
71,-4.333333333333333,2.5,3.5,2.5,21
72,-4.0,2.5,3.5,2.75,22
73,-3.6666666666666665,2.5,3.5,2.75,23
74,-3.3333333333333335,2.5,4.0,2.75,24
75,-2.9999999999999996,3.0,4.0,2.75,25
76,-2.6666666666666665,3.0,4.0,2.75,26
77,-2.3333333333333335,3.0,4.0,3.0,27
78,-2.0,3.0,4.5,3.0,28
79,-1.6666666666666667,3.0,4.5,3.0,29
80,-1.6666666666666667,3.0,4.5,3.0,30
81,-1.3333333333333333,3.0,4.5,3.0,31
82,-1.0,3.5,5.0,3.25,32
83,-1.0,3.5,5.0,3.25,33
84,-0.6666666666666666,3.5,5.0,3.25,34
85,-0.3333333333333333,3.5,5.0,3.25,35
86,-0.0,3.5,5.5,3.5,36
87,0.0,4.0,5.5,3.5,37
88,0.3333333333333333,4.0,5.5,3.5,38
89,0.6666666666666666,4.0,5.5,3.75,39
90,0.6666666666666666,4.0,6.0,3.75,40
91,1.0,4.0,6.0,3.75,41
92,1.3333333333333333,4.0,6.0,3.5,42
93,1.6666666666666667,4.0,6.0,3.5,43
94,2.0,4.0,6.0,3.5,44
95,2.3333333333333335,4.0,6.5,3.75,45
96,2.6666666666666665,4.5,6.5,3.75,46
97,2.6666666666666665,4.5,6.5,3.75,47
98,2.9999999999999996,4.5,6.5,3.75,48
99,3.3333333333333335,4.5,7.0,3.75,49
100,3.6666666666666665,4.5,7.0,4.0,50
