,g,i,r,z,shifts
0,-9.730802874900094,-2.9068883707497273,-8.973818126344321,-3.8199360943222445,-50
1,-9.474729115034302,-2.9068883707497273,-8.731282501307989,-3.6986682818040784,-49
2,-9.218655355168512,-2.9068883707497273,-8.731282501307989,-3.7472002126871025,-48
3,-9.090618475235615,-2.9068883707497273,-8.488746876271655,-3.624341189320312,-47
4,-8.834544715369823,-2.683281572999748,-8.246211251235323,-3.562911677636917,-46
5,-8.706507835436927,-2.683281572999748,-8.246211251235323,-3.501482165953522,-45
6,-9.15255323771628,-2.459674775249769,-8.003675626198989,-3.4400526542701266,-44
7,-8.875203139603666,-2.459674775249769,-7.761140001162656,-3.3786231425867315,-43
8,-8.736528090547358,-2.459674775249769,-7.761140001162656,-3.3171936309033363,-42
9,-8.459177992434743,-2.23606797749979,-7.518604376126323,-3.255764119219941,-41
10,-8.320502943378436,-2.23606797749979,-7.27606875108999,-3.194334607536546,-40
11,-8.043152845265821,-2.23606797749979,-7.27606875108999,-3.1628857320248156,-39
12,-7.765802747153208,-2.012461179749811,-7.033533126053657,-3.1008683647302115,-38
13,-8.198915917499228,-2.012461179749811,-6.790997501017324,-2.976833630141003,-37
14,-8.049844718999243,-2.012461179749811,-6.790997501017324,-2.976833630141003,-36
15,-7.75170232199927,-1.788854381999832,-6.75,-2.852798895551795,-35
16,-7.453559924999298,-1.788854381999832,-6.5,-2.852798895551795,-34
17,-7.304488726499312,-1.788854381999832,-6.5,-2.7287641609625863,-33
18,-7.00634632949934,-1.5652475842498528,-6.249999999999999,-2.7287641609625863,-32
19,-6.857275130999354,-1.5652475842498528,-6.0,-2.604729426373378,-31
20,-6.559132733999382,-1.6977493752543307,-6.0,-2.604729426373378,-30
21,-6.640783086353597,-1.455213750217998,-5.75,-2.4806946917841692,-29
22,-6.482669203345178,-1.455213750217998,-5.5,-2.4186773244895647,-28
23,-6.324555320336759,-1.455213750217998,-5.5,-2.3566599571949607,-27
24,-6.00832755431992,-1.2126781251816652,-5.25,-2.294642589900356,-26
25,-5.692099788303082,-1.2126781251816652,-5.0,-2.2326252226057526,-25
26,-5.533985905294663,-0.970142500145332,-5.0,-2.183240015431319,-24
27,-5.375872022286245,-0.970142500145332,-4.75,-2.1208617292761383,-23
28,-5.059644256269407,-0.970142500145332,-4.5,-2.058483443120958,-22
29,-4.931969619160719,-0.970142500145332,-4.5,-1.9337268708105966,-21
30,-4.767570631855361,-0.727606875108999,-4.25,-1.9337268708105966,-20
31,-4.438772657244647,-0.485071250072666,-4.0,-1.8089702985002354,-19
32,-4.27437366993929,-0.485071250072666,-4.0,-1.8089702985002354,-18
33,-3.945575695328575,-0.485071250072666,-3.75,-1.6842137261898746,-17
34,-3.61677772071786,-0.485071250072666,-3.5,-1.6842137261898746,-16
35,-3.452378733412503,-0.485071250072666,-3.5,-1.5594571538795134,-15
36,-3.287979746107146,0.0,-3.25,-1.5594571538795134,-14
37,-2.9591817714964317,0.0,-3.0,-1.4347005815691523,-13
38,-2.6666666666666665,0.0,-3.0,-1.3723222954139718,-12
39,-2.5,0.0,-3.0,-1.309944009258791,-11
40,-2.3333333333333335,0.242535625036333,-2.5,-1.2475657231036108,-10
41,-2.0,0.242535625036333,-2.5,-1.1851874369484303,-9
42,-1.6666666666666667,0.485071250072666,-2.5,-1.125,-8
43,-1.5000000000000002,0.5,-2.0,-1.0625,-7
44,-1.1666666666666667,0.5,-2.0,-1.0,-6
45,-1.0,0.5,-2.0,-0.9375,-5
46,-0.6575959492214292,0.5,-1.5,-0.875,-4
47,-0.3287979746107146,0.75,-1.5,-0.8125,-3
48,-0.16439898730535715,1.0,-1.5,-0.75,-2
49,0.0,1.0,-1.0,-0.625,-1
50,0.3287979746107146,1.0,-1.0,-0.625,0
51,0.6575959492214289,1.0,-1.0,-0.5,1
52,0.8219949365267863,1.25,-0.5,-0.5,2
53,0.9863939238321437,1.5,-0.5,-0.375,3
54,1.315191898442858,1.5,-0.5,-0.375,4
55,1.5811388300841898,1.5,0.0,-0.25,5
56,1.8973665961010273,1.5,0.0,-0.25,6
57,2.0554804791094465,1.75,0.0,-0.125,7
58,2.2135943621178655,1.75,0.5,-0.062499999999999944,8
59,2.5298221281347035,2.0,0.5,-0.062378286155180485,9
60,2.8460498941515415,2.0,0.5,0.062378286155180485,10
61,3.004163777159961,1.940285000290664,1.0,0.062378286155180485,11
62,3.16227766016838,1.940285000290664,1.0,0.18713485846554168,12
63,3.478505426185217,2.1828206253269973,1.0,0.18713485846554168,13
64,3.794733192202055,2.42535625036333,1.5,0.31189143077590264,14
65,3.8758511609996353,2.42535625036333,1.5,0.31189143077590264,15
