,g,i,r,z,shifts
0,-9.0,-1.7999999999999998,-1.8333333333333333,-1.6500000000000001,-50
1,-9.0,-1.7999999999999998,-1.6666666666666667,-1.6500000000000001,-49
2,-8.857142857142858,-1.7999999999999998,-1.6666666666666667,-1.6,-48
3,-8.714285714285714,-1.6,-1.6666666666666667,-1.6,-47
4,-8.571428571428571,-1.6,-1.4999999999999998,-1.55,-46
5,-8.428571428571429,-1.6,-1.4999999999999998,-1.55,-45
6,-8.428571428571429,-1.6,-1.4999999999999998,-1.5,-44
7,-8.285714285714286,-1.6,-1.3333333333333333,-1.5,-43
8,-8.142857142857142,-1.6,-1.3333333333333333,-1.45,-42
9,-8.0,-1.6,-1.3333333333333333,-1.380952380952381,-41
10,-7.857142857142857,-1.4,-1.1666666666666667,-1.3333333333333333,-40
11,-7.714285714285714,-1.4,-1.1666666666666667,-1.3333333333333333,-39
12,-7.714285714285714,-1.4,-1.1666666666666667,-1.2857142857142856,-38
13,-7.571428571428571,-1.4,-1.0,-1.2857142857142856,-37
14,-7.428571428571428,-1.4,-1.0,-1.238095238095238,-36
15,-7.285714285714285,-1.4,-1.0,-1.238095238095238,-35
16,-7.142857142857143,-1.4,-0.8333333333333334,-1.1904761904761905,-34
17,-7.142857142857143,-1.2,-0.8333333333333334,-1.1904761904761905,-33
18,-7.0,-1.2,-0.8333333333333334,-1.1428571428571428,-32
19,-6.857142857142857,-1.2,-0.6666666666666666,-1.1428571428571428,-31
20,-6.714285714285714,-1.2,-0.6666666666666666,-1.1428571428571428,-30
21,-6.571428571428571,-1.2,-0.6666666666666666,-1.0952380952380951,-29
22,-6.571428571428571,-1.2,-0.5,-1.0952380952380951,-28
23,-6.428571428571428,-1.2,-0.5,-1.0476190476190474,-27
24,-6.285714285714286,-1.0,-0.5,-1.0476190476190474,-26
25,-6.142857142857142,-1.0,-0.3333333333333333,-1.0,-25
26,-6.0,-1.0,-0.3333333333333333,-1.0,-24
27,-6.0,-1.0,-0.3333333333333333,-0.9523809523809523,-23
28,-5.857142857142858,-1.0,-0.16666666666666666,-0.9523809523809523,-22
29,-5.714285714285714,-1.0,-0.16666666666666666,-0.9047619047619047,-21
30,-5.571428571428571,-0.8,-0.16666666666666666,-0.9047619047619047,-20
31,-5.428571428571428,-0.8,-0.0,-1.25,-19
32,-5.285714285714286,-0.8,0.0,-1.25,-18
33,-5.285714285714286,-0.8,0.0,-1.2,-17
