,g,i,r,z,shifts
0,-3.786355303783109,-2.8284271247461907,-6.7175144212722016,-1.5986720152643499,-50
1,-3.712833841573728,-2.6516504294495538,-6.540737725975564,-1.53107089391438,-49
2,-3.8096965887972956,-2.474873734152917,-6.540737725975564,-1.4896905994842615,-48
3,-3.7335026570213494,-2.474873734152917,-6.363961030678928,-1.4483103050541444,-47
4,-3.6573087252454037,-2.474873734152917,-6.18718433538229,-1.406930010624026,-46
5,-3.6192117593574307,-2.474873734152917,-6.18718433538229,-1.3655497161939074,-45
6,-3.5430178275814845,-2.474873734152917,-6.010407640085654,-1.324169421763789,-44
7,-3.4668238958055384,-2.29809703885628,-5.833630944789016,-1.241408832903552,-43
8,-3.518033896937321,-2.121320343559643,-5.833630944789016,-1.241408832903552,-42
9,-3.4785054261852157,-2.4,-5.656854249492381,-1.1383618794544383,-41
10,-3.3994484846810087,-2.4,-5.480077554195743,-1.0977060980453512,-40
11,-3.320391543176799,-2.4,-5.480077554195743,-1.0570503166362641,-39
12,-3.2808630724246943,-2.1999999999999997,-5.303300858899107,-1.016394535227177,-38
13,-3.2018061309204846,-2.0000000000000004,-5.126524163602469,-0.9757387538180898,-37
14,-3.2441411712950687,-2.0000000000000004,-5.126524163602469,-0.9177999171377652,-36
15,-3.1620110150597505,-2.0000000000000004,-4.949747468305833,-0.877895572914384,-35
16,-3.079880858824432,-2.0000000000000004,-4.772970773009195,-0.8379912286910028,-34
17,-3.038815780706773,-2.0000000000000004,-4.772970773009195,-0.7980868844676218,-33
18,-2.9566856244714548,-1.6,-4.772970773009195,-0.7581825402442406,-32
19,-2.9156205463537956,-1.6,-4.419417382415922,-0.7182781960208595,-31
20,-2.9475339191228254,-1.6,-4.419417382415922,-0.6783738517974783,-30
21,-2.862098153351149,-1.6,-4.419417382415922,-0.6384695075740983,-29
22,-2.776662387579473,-1.6,-4.065863991822648,-0.5985651633507172,-28
23,-2.691226621807797,-1.4000000000000006,-4.065863991822648,-0.558660819127336,-27
24,-2.648508738921959,-1.2000000000000004,-4.065863991822648,-0.5187564749039548,-26
25,-2.5630729731502826,-1.2000000000000004,-3.7123106012293743,-0.4788521306805737,-25
26,-2.6254655409909105,-1.2000000000000004,-3.7123106012293743,-0.4304632641071582,-24
27,-2.536466709092913,-1.2000000000000004,-3.7123106012293743,-0.39133024009741657,-23
28,-2.4474678771949163,-1.2000000000000004,-3.3587572106361,-0.3521972160876749,-22
29,-2.3584690452969195,-0.8,-3.3587572106361,-0.31306419207793323,-21
30,-2.269470213398922,-0.8,-3.3587572106361,-0.27393116806819157,-20
31,-2.2249707974499238,-0.894427190999916,-3.0052038200428273,-0.19566512004870829,-19
32,-2.2283440581246223,-0.894427190999916,-3.0052038200428273,-0.19566512004870829,-18
33,-2.1819202235803594,-0.894427190999916,-3.0052038200428273,-0.11739907202922496,-17
34,-2.089072554491833,-0.894427190999916,-2.6516504294495533,-0.11739907202922496,-16
35,-1.9962248854033071,-0.44721359549995837,-2.6516504294495533,-0.039133024009741654,-15
36,-1.903377216314781,-0.44721359549995837,-2.6516504294495533,0.0,-14
37,-1.810529547226255,-0.44721359549995837,-2.2980970388562794,0.03834824944236856,-13
38,-1.7641057126819921,-0.44721359549995837,-2.2980970388562794,0.07669649888473712,-12
