,g,i,r,z,shifts
0,-13.333333333333334,-4.333333333333333,-2.3333333333333335,-2.909090909090909,-50
1,-13.0,-4.333333333333333,-2.0,-2.8181818181818183,-49
2,-12.666666666666666,-4.333333333333333,-2.0,-2.8181818181818183,-48
3,-12.333333333333332,-4.333333333333333,-2.0,-2.8181818181818183,-47
4,-12.333333333333332,-4.0,-2.0,-2.7272727272727275,-46
5,-11.999999999999998,-4.0,-1.6666666666666667,-2.7272727272727275,-45
6,-11.666666666666668,-4.0,-1.6666666666666667,-2.6363636363636367,-44
7,-11.333333333333334,-4.0,-1.6666666666666667,-2.6363636363636367,-43
8,-11.333333333333334,-3.3333333333333335,-1.6666666666666667,-2.545454545454546,-42
9,-11.0,-3.3333333333333335,-1.3333333333333333,-2.545454545454546,-41
10,-10.666666666666666,-3.3333333333333335,-1.3333333333333333,-2.5,-40
11,-10.333333333333334,-3.3333333333333335,-1.3333333333333333,-2.4166666666666665,-39
12,-10.0,-3.3333333333333335,-1.3333333333333333,-2.4166666666666665,-38
13,-10.0,-2.9999999999999996,-1.0,-2.4166666666666665,-37
14,-9.666666666666666,-2.9999999999999996,-1.0,-2.4166666666666665,-36
15,-9.333333333333334,-2.9999999999999996,-1.0,-2.4166666666666665,-35
16,-9.0,-2.9999999999999996,-0.6666666666666666,-2.3333333333333335,-34
17,-9.0,-2.9999999999999996,-0.6666666666666666,-2.3333333333333335,-33
18,-8.666666666666666,-2.9999999999999996,-0.6666666666666666,-2.3333333333333335,-32
19,-8.333333333333334,-2.6666666666666665,-0.6666666666666666,-2.3333333333333335,-31
20,-8.333333333333334,-2.6666666666666665,-0.3333333333333333,-2.3333333333333335,-30
21,-8.0,-2.6666666666666665,-0.3333333333333333,-2.25,-29
22,-7.666666666666666,-2.6666666666666665,-0.3333333333333333,-2.25,-28
23,-7.333333333333333,-2.6666666666666665,-0.0,-2.25,-27
24,-7.333333333333333,-2.3333333333333335,-0.0,-2.1666666666666665,-26
25,-7.0,-2.3333333333333335,0.0,-2.1666666666666665,-25
26,-6.666666666666667,-2.3333333333333335,0.0,-2.0833333333333335,-24
27,-6.333333333333333,-2.3333333333333335,0.3333333333333333,-2.0833333333333335,-23
28,-5.999999999999999,-2.0,0.3333333333333333,-2.0,-22
29,-5.999999999999999,-2.0,0.3333333333333333,-2.0,-21
30,-5.666666666666667,-2.0,0.6666666666666666,-2.1666666666666665,-20
31,-5.333333333333333,-2.0,0.6666666666666666,-2.1666666666666665,-19
32,-5.333333333333333,-2.0,0.6666666666666666,-2.1666666666666665,-18
33,-5.0,-2.0,0.6666666666666666,-2.1666666666666665,-17
34,-4.666666666666667,-1.6666666666666667,1.0,-2.0833333333333335,-16
35,-4.666666666666667,-1.6666666666666667,1.0,-1.9230769230769234,-15
36,-4.333333333333333,-1.6666666666666667,1.0,-1.9230769230769234,-14
37,-4.0,-1.6666666666666667,1.3333333333333333,-1.9230769230769234,-13
38,-3.6666666666666665,-1.6666666666666667,1.3333333333333333,-1.9230769230769234,-12
39,-3.6666666666666665,-1.6666666666666667,1.3333333333333333,-1.9230769230769234,-11
40,-3.3333333333333335,-1.3333333333333333,1.6666666666666667,-1.8461538461538463,-10
41,-2.9999999999999996,-1.3333333333333333,1.6666666666666667,-1.8461538461538463,-9
42,-2.6666666666666665,-1.3333333333333333,1.6666666666666667,-1.8461538461538463,-8
43,-2.3333333333333335,-1.3333333333333333,2.0,-1.7692307692307694,-7
44,-2.3333333333333335,-1.3333333333333333,2.0,-1.7692307692307694,-6
45,-2.0,-1.0,2.0,-1.6923076923076923,-5
46,-1.6666666666666667,-1.0,2.3333333333333335,-1.6923076923076923,-4
47,-1.3333333333333333,-1.0,2.3333333333333335,-1.6153846153846156,-3
48,-1.3333333333333333,-1.0,2.3333333333333335,-1.6153846153846156,-2
49,-1.0,-1.0,2.3333333333333335,-1.6153846153846156,-1
50,-0.6666666666666666,-0.6666666666666666,2.6666666666666665,-1.5384615384615385,0
51,-0.3333333333333333,-0.6666666666666666,2.6666666666666665,-1.5384615384615385,1
52,-0.3333333333333333,-0.6666666666666666,2.6666666666666665,-1.5384615384615385,2
53,0.0,-0.6666666666666666,2.9999999999999996,-1.5384615384615385,3
54,0.3333333333333333,-0.6666666666666666,2.9999999999999996,-1.5384615384615385,4
55,0.6666666666666666,-0.6666666666666666,2.9999999999999996,-1.4615384615384617,5
56,1.0,-0.3333333333333333,3.3333333333333335,-1.4615384615384617,6
57,1.0,-0.3333333333333333,3.3333333333333335,-1.4615384615384617,7
58,1.3333333333333333,-0.3333333333333333,3.3333333333333335,-1.4615384615384617,8
59,1.6666666666666667,-0.3333333333333333,3.6666666666666665,-1.4615384615384617,9
60,2.0,-0.3333333333333333,3.6666666666666665,-1.4615384615384617,10
61,2.3333333333333335,-0.3333333333333333,3.6666666666666665,-1.3846153846153846,11
62,2.3333333333333335,-0.0,4.0,-1.3846153846153846,12
63,2.6666666666666665,-0.0,4.0,-1.307692307692308,13
64,2.9999999999999996,-0.0,4.0,-1.307692307692308,14
65,3.3333333333333335,0.0,4.333333333333333,-1.2307692307692308,15
66,3.6666666666666665,0.0,4.333333333333333,-1.2307692307692308,16
67,3.6666666666666665,0.0,4.333333333333333,-1.153846153846154,17
68,4.0,0.3333333333333333,4.666666666666667,-1.153846153846154,18
69,4.333333333333333,0.3333333333333333,4.666666666666667,-1.153846153846154,19
70,4.666666666666667,0.3333333333333333,4.666666666666667,-1.076923076923077,20
71,4.666666666666667,0.3333333333333333,5.0,-1.076923076923077,21
72,5.0,0.3333333333333333,5.0,-1.076923076923077,22
73,5.333333333333333,0.3333333333333333,5.0,-1.076923076923077,23
74,5.666666666666667,0.6666666666666666,5.333333333333333,-1.0,24
75,5.999999999999999,0.6666666666666666,5.333333333333333,-1.0,25
