,g,i,r,z,shifts
0,-15.764815627361644,-4.596194077712559,-8.003675626198989,-6.76923076923077,-50
1,-15.522280002325312,-4.596194077712559,-7.518604376126323,-6.692307692307693,-49
2,-15.037208752252647,-4.419417382415921,-6.931810730249349,-6.692307692307693,-48
3,-14.794673127216313,-4.242640687119285,-6.931810730249349,-6.538461538461539,-47
4,-14.309601877143647,-4.242640687119285,-6.708203932499369,-6.335525936249405,-46
5,-14.067066252107313,-4.242640687119285,-6.48459713474939,-6.186454737749419,-45
6,-13.581995002034649,-4.242640687119285,-6.48459713474939,-6.186454737749419,-44
7,-13.096923751961983,-4.242640687119285,-6.260990336999412,-6.037383539249433,-43
8,-12.85438812692565,-3.8890872965260113,-6.037383539249433,-6.037383539249433,-42
9,-12.611852501889317,-3.8890872965260113,-6.037383539249433,-5.888312340749446,-41
10,-12.12678125181665,-3.8890872965260113,-6.037383539249433,-5.813776741499454,-40
11,-11.641710001743984,-3.8890872965260113,-5.813776741499454,-5.739241142249461,-39
12,-11.156638751671318,-3.8890872965260113,-5.590169943749475,-5.664705542999467,-38
13,-11.156638751671318,-3.7123106012293743,-5.590169943749475,-5.5901699437494745,-37
14,-10.671567501598652,-3.5355339059327373,-5.366563145999496,-5.515634344499482,-36
15,-10.186496251525988,-3.5355339059327373,-5.142956348249517,-5.254654980465471,-35
16,-8.944271909999161,-3.5355339059327373,-5.142956348249517,-5.182673405390601,-34
17,-8.497058314499203,-3.5355339059327373,-4.919349550499538,-5.110691830315732,-33
18,-8.497058314499203,-3.5355339059327373,-4.919349550499538,-5.038710255240862,-32
19,-8.049844718999244,-3.3587572106361,-4.695742752749559,-4.966728680165993,-31
20,-7.602631123499286,-3.181980515339463,-4.47213595499958,-4.8227655300162535,-30
21,-7.1554175279993295,-2.8111277139949085,-4.47213595499958,-4.750783954941384,-29
22,-6.93181073024935,-2.8111277139949085,-4.2485291572496005,-4.678802379866514,-28
23,-6.708203932499371,-2.8111277139949085,-4.024922359499622,-4.606820804791645,-27
24,-6.260990336999413,-2.8111277139949085,-4.024922359499622,-4.534839229716776,-26
25,-5.813776741499456,-2.654953952106302,-4.024922359499622,-4.298926520745526,-25
26,-5.366563145999497,-2.498780190217697,-3.2,-4.229588996217371,-24
27,-4.600000000000001,-2.498780190217697,-3.2,-4.160251471689218,-23
28,-4.400000000000001,-2.498780190217697,-3.2,-4.090913947161065,-22
29,-4.000000000000001,-2.498780190217697,-2.8,-4.0215764226329105,-21
30,-3.1819805153394642,-2.342606428329091,-2.8,-3.8829013735766034,-20
31,-2.8284271247461903,-2.1864326664404845,-2.8,-3.8829013735766034,-19
32,-2.6516504294495533,-2.1864326664404845,-2.8,-3.744226324520296,-18
33,-2.4748737341529172,-2.1864326664404845,-2.3999999999999995,-3.744226324520296,-17
34,-2.1213203435596433,-2.1864326664404845,-2.3999999999999995,-3.674888799992142,-16
35,-1.767766952966369,-2.030258904551878,-2.3999999999999995,-3.466666666666666,-15
36,-1.4142135623730951,-2.030258904551878,-2.2000000000000006,-3.399999999999999,-14
37,-0.9370425713316372,-1.874085142663272,-2.0000000000000004,-3.333333333333332,-13
38,-0.9370425713316372,-1.874085142663272,-2.0000000000000004,-3.2666666666666657,-12
39,-0.6246950475544247,-1.874085142663272,-1.8000000000000003,-3.2000000000000006,-11
40,-0.31234752377721237,-1.874085142663272,-1.6,-3.0666666666666673,-10
41,0.0,-1.717911380774666,-1.6,-3.0000000000000004,-9
42,0.31234752377721237,-1.717911380774666,-1.4,-2.933333333333334,-8
43,0.31234752377721237,-1.5617376188860599,-1.4,-2.866666666666667,-7
44,0.6246950475544247,-1.5617376188860599,-1.1999999999999997,-2.6887744785908163,-6
45,0.9370425713316372,-1.386750490563072,-0.9999999999999994,-2.6247560386243682,-5
46,1.1094003924504572,-1.386750490563072,-0.883883476483184,-2.56073759865792,-4
47,1.386750490563072,-1.1094003924504583,-0.883883476483184,-2.496719158691472,-3
48,1.386750490563072,-1.1094003924504583,-0.5303300858899099,-2.432700718725024,-2
49,1.6641005886756868,-1.1094003924504583,-0.5303300858899099,-2.368682278758576,-1
50,1.9414506867882997,-1.1094003924504583,-0.5303300858899099,-2.304663838792128,0
51,2.2188007849009144,-1.1094003924504583,-0.17677669529663703,-2.1766269588592335,1
52,2.357475833957222,-0.9707253433941508,-0.17677669529663703,-2.0886033972354356,2
53,2.496150883013529,-0.8320502943378434,-0.17677669529663703,-1.9657443738686455,3
54,2.773500981126144,-0.8320502943378434,0.0,-1.9657443738686455,4
55,2.728764160962585,-0.8320502943378434,0.17677669529663703,-1.8428853505018552,5
56,2.976833630141002,-0.8320502943378434,0.17677669529663703,-1.8428853505018552,6
57,3.1008683647302107,-0.693375245281536,0.17677669529663703,-1.78145583881846,7
58,3.224903099319419,-0.5547001962252286,0.5303300858899112,-1.7200263271350649,8
