,G,I,R,g,i,r,shifts
0,-22.333333333333336,-3.6666666666666665,-9.5,-21.333333333333332,-1.25,-3.6666666666666665,-50
1,-22.0,-3.6666666666666665,-9.5,-21.0,-1.0,-3.6666666666666665,-49
2,-21.666666666666668,-3.6666666666666665,-9.5,-21.0,-1.0,-3.6666666666666665,-48
3,-21.666666666666668,-3.6666666666666665,-9.0,-20.666666666666668,-1.0,-3.3333333333333335,-47
4,-21.333333333333332,-3.3333333333333335,-9.0,-20.333333333333332,-1.0,-3.3333333333333335,-46
5,-21.0,-3.3333333333333335,-9.0,-20.333333333333332,-1.0,-3.3333333333333335,-45
6,-21.0,-3.3333333333333335,-9.0,-20.0,-1.0,-3.3333333333333335,-44
7,-20.666666666666668,-3.3333333333333335,-9.0,-19.666666666666664,-0.75,-2.9999999999999996,-43
8,-20.333333333333332,-3.3333333333333335,-8.5,-19.666666666666664,-0.75,-2.9999999999999996,-42
9,-20.0,-3.3333333333333335,-8.5,-19.333333333333332,-0.75,-2.9999999999999996,-41
10,-20.0,-2.9999999999999996,-8.5,-19.0,-0.75,-2.9999999999999996,-40
11,-19.666666666666664,-2.9999999999999996,-8.5,-19.0,-0.75,-2.6666666666666665,-39
12,-19.333333333333332,-2.9999999999999996,-8.0,-18.666666666666668,-0.75,-2.6666666666666665,-38
13,-19.333333333333332,-2.9999999999999996,-8.0,-18.333333333333332,-0.5,-2.6666666666666665,-37
14,-19.0,-2.6666666666666665,-8.0,-18.333333333333332,-0.5,-2.6666666666666665,-36
15,-18.666666666666668,-2.6666666666666665,-8.0,-18.0,-0.5,-2.3333333333333335,-35
16,-18.666666666666668,-2.6666666666666665,-7.5,-17.666666666666664,-0.5,-2.3333333333333335,-34
17,-18.333333333333332,-2.6666666666666665,-7.5,-17.666666666666664,-0.5,-2.3333333333333335,-33
18,-18.0,-2.6666666666666665,-7.5,-17.333333333333332,-0.5,-2.3333333333333335,-32
19,-18.0,-2.6666666666666665,-7.5,-17.333333333333332,-0.25,-2.3333333333333335,-31
20,-17.666666666666664,-2.3333333333333335,-7.5,-17.0,-0.25,-2.3333333333333335,-30
21,-17.333333333333332,-2.3333333333333335,-7.0,-16.666666666666668,-0.25,-2.0,-29
22,-17.0,-2.3333333333333335,-7.0,-16.666666666666668,-0.25,-2.0,-28
23,-17.0,-2.3333333333333335,-7.0,-16.333333333333332,-0.25,-2.0,-27
24,-16.666666666666668,-2.3333333333333335,-7.0,-16.0,-0.25,-2.0,-26
25,-16.333333333333332,-2.3333333333333335,-6.5,-16.0,-0.0,-1.6666666666666667,-25
26,-16.333333333333332,-2.0,-6.5,-15.666666666666666,-0.0,-1.6666666666666667,-24
27,-16.0,-2.0,-6.5,-15.333333333333332,-0.0,-1.6666666666666667,-23
28,-15.666666666666666,-2.0,-6.5,-15.333333333333332,0.0,-1.6666666666666667,-22
29,-15.666666666666666,-2.0,-6.0,-15.0,0.0,-1.3333333333333333,-21
30,-15.333333333333332,-2.0,-6.0,-14.666666666666666,-0.0,-1.3333333333333333,-20
31,-15.0,-2.0,-6.0,-14.666666666666666,0.0,-1.3333333333333333,-19
32,-15.0,-1.6666666666666667,-6.0,-14.333333333333332,0.0,-1.3333333333333333,-18
33,-14.666666666666666,-1.6666666666666667,-6.0,-14.0,0.0,-1.0,-17
34,-14.333333333333332,-1.6666666666666667,-5.5,-14.0,0.25,-1.0,-16
35,-14.333333333333332,-1.6666666666666667,-5.5,-13.666666666666666,0.25,-1.0,-15
36,-14.0,-1.6666666666666667,-5.5,-13.666666666666666,0.25,-1.0,-14
37,-13.666666666666666,-1.6666666666666667,-5.0,-13.333333333333334,0.25,-0.6666666666666666,-13
38,-13.333333333333334,-1.3333333333333333,-5.0,-13.333333333333334,0.25,-0.6666666666666666,-12
39,-13.333333333333334,-1.3333333333333333,-5.0,-13.333333333333334,0.25,-0.6666666666666666,-11
40,-13.0,-1.3333333333333333,-5.0,-13.0,0.5,-0.6666666666666666,-10
41,-12.666666666666666,-1.3333333333333333,-5.0,-12.666666666666666,0.5,-0.3333333333333333,-9
42,-12.666666666666666,-1.3333333333333333,-4.5,-12.666666666666666,0.5,-0.3333333333333333,-8
43,-12.333333333333332,-1.0,-4.5,-12.333333333333332,0.6666666666666666,-0.3333333333333333,-7
44,-11.999999999999998,-1.0,-4.5,-11.999999999999998,1.0,-0.3333333333333333,-6
45,-11.999999999999998,-1.0,-4.5,-11.999999999999998,1.0,-0.0,-5
46,-11.666666666666668,-1.0,-4.0,-11.666666666666668,1.0,-0.0,-4
47,-11.333333333333334,-1.0,-4.0,-11.333333333333334,1.0,0.0,-3
48,-11.333333333333334,-1.0,-4.0,-11.333333333333334,1.0,0.0,-2
49,-11.0,-0.6666666666666666,-4.0,-11.0,1.0,0.3333333333333333,-1
50,-10.666666666666666,-0.6666666666666666,-3.5,-10.666666666666666,1.3333333333333333,0.3333333333333333,0
51,-10.666666666666666,-0.6666666666666666,-3.5,-10.666666666666666,1.3333333333333333,0.3333333333333333,1
52,-10.333333333333334,-0.3333333333333333,-3.5,-10.333333333333334,1.3333333333333333,0.3333333333333333,2
53,-10.0,-0.3333333333333333,-3.5,-10.0,1.3333333333333333,0.6666666666666666,3
54,-10.0,-0.3333333333333333,-3.5,-10.0,1.3333333333333333,0.6666666666666666,4
55,-9.666666666666666,-0.3333333333333333,-3.0,-9.333333333333334,1.3333333333333333,0.6666666666666666,5
56,-9.333333333333334,-0.3333333333333333,-3.0,-9.333333333333334,1.6666666666666667,0.6666666666666666,6
57,-9.333333333333334,-0.3333333333333333,-3.0,-9.0,1.6666666666666667,1.0,7
58,-9.0,-0.0,-3.0,-8.666666666666666,1.6666666666666667,1.0,8
59,-8.666666666666666,-0.0,-2.5,-8.666666666666666,1.6666666666666667,1.0,9
60,-8.333333333333334,-0.0,-2.5,-8.333333333333334,1.6666666666666667,1.0,10
61,-8.333333333333334,0.0,-2.5,-8.0,1.6666666666666667,1.0,11
62,-8.0,0.0,-2.5,-8.0,2.0,1.3333333333333333,12
63,-7.666666666666666,0.0,-2.5,-7.666666666666666,1.25,1.3333333333333333,13
64,-7.666666666666666,0.3333333333333333,-2.0,-7.666666666666666,1.25,1.3333333333333333,14
65,-7.333333333333333,0.3333333333333333,-2.0,-7.333333333333333,1.5,1.3333333333333333,15
66,-7.0,0.0,-2.0,-7.0,1.5,1.6666666666666667,16
67,-6.666666666666667,0.3333333333333333,-2.0,-6.666666666666667,1.5,1.6666666666666667,17
68,-6.333333333333333,0.0,-1.5,-6.333333333333333,1.5,1.6666666666666667,18
69,-6.333333333333333,0.3333333333333333,-1.5,-6.333333333333333,1.5,1.6666666666666667,19
70,-5.999999999999999,0.3333333333333333,-1.5,-5.999999999999999,1.5,2.0,20
71,-5.666666666666667,0.3333333333333333,-1.5,-5.666666666666667,1.75,2.0,21
72,-5.666666666666667,0.3333333333333333,-1.5,-5.666666666666667,1.75,2.0,22
73,-5.333333333333333,0.3333333333333333,-1.0,-5.666666666666667,1.75,2.0,23
74,-5.0,0.3333333333333333,-1.0,-5.333333333333333,1.75,2.3333333333333335,24
75,-4.666666666666667,0.6666666666666666,-1.0,-5.0,1.75,2.3333333333333335,25
76,-4.666666666666667,0.6666666666666666,-1.0,-5.0,1.75,2.3333333333333335,26
77,-4.333333333333333,0.6666666666666666,-0.5,-4.666666666666667,2.0,2.3333333333333335,27
78,-4.0,0.6666666666666666,-0.5,-4.333333333333333,2.0,2.3333333333333335,28
79,-4.0,0.6666666666666666,-0.5,-4.333333333333333,2.0,2.6666666666666665,29
80,-3.6666666666666665,0.6666666666666666,-0.5,-4.0,2.0,2.6666666666666665,30
81,-3.3333333333333335,1.0,-0.0,-3.6666666666666665,2.0,2.6666666666666665,31
82,-3.3333333333333335,1.0,-0.0,-3.6666666666666665,2.25,2.6666666666666665,32
83,-2.9999999999999996,1.0,-0.0,-3.3333333333333335,2.25,2.9999999999999996,33
84,-2.6666666666666665,1.0,0.0,-2.9999999999999996,2.25,2.9999999999999996,34
85,-2.3333333333333335,1.0,0.0,-2.9999999999999996,2.25,2.9999999999999996,35
86,-2.3333333333333335,1.3333333333333333,0.5,-2.6666666666666665,2.25,2.9999999999999996,36
87,-2.0,1.6666666666666667,0.5,-2.6666666666666665,2.25,3.3333333333333335,37
88,-1.6666666666666667,1.6666666666666667,0.5,-2.3333333333333335,2.5,3.3333333333333335,38
89,-1.6666666666666667,1.6666666666666667,0.5,-2.0,2.5,3.3333333333333335,39
90,-1.3333333333333333,1.6666666666666667,1.0,-2.0,2.5,3.3333333333333335,40
91,-1.0,1.6666666666666667,1.0,-1.6666666666666667,2.5,3.6666666666666665,41
92,-0.6666666666666666,1.6666666666666667,1.0,-1.3333333333333333,2.5,3.6666666666666665,42
93,-0.6666666666666666,2.0,1.0,-1.3333333333333333,2.5,3.6666666666666665,43
94,-0.3333333333333333,2.0,1.0,-1.0,2.75,3.6666666666666665,44
95,-0.0,2.0,1.5,-0.6666666666666666,2.75,3.6666666666666665,45
96,0.0,2.0,1.5,-0.6666666666666666,2.75,4.0,46
97,0.3333333333333333,2.0,1.5,-0.3333333333333333,2.75,4.0,47
98,0.6666666666666666,2.0,1.5,-0.0,2.75,4.0,48
99,1.0,2.0,1.5,0.0,2.75,4.0,49
100,1.0,2.3333333333333335,2.0,0.3333333333333333,3.0,4.333333333333333,50
