,G,I,R,g,i,r,shifts
0,-10.219483247103927,-1.4704292441876146,-7.800000000000002,-9.060103205012075,-1.3968605915391556,-6.600000000000003,-50
1,-10.8308009860767,-1.4704292441876146,-7.800000000000002,-8.875203139603665,-1.3270175619621978,-6.600000000000003,-49
2,-10.75174404457249,-1.4704292441876146,-7.800000000000002,-8.78275310689946,-1.25717453238524,-6.600000000000003,-48
3,-10.593630161564072,-1.4704292441876146,-7.400000000000001,-8.690303074195254,-1.25717453238524,-6.200000000000003,-47
4,-10.435516278555651,-1.323386319768853,-7.400000000000001,-8.505403008786848,-1.25717453238524,-6.200000000000003,-46
5,-10.356459337051442,-1.323386319768853,-7.400000000000001,-8.320502943378438,-1.25717453238524,-6.200000000000003,-45
6,-10.277402395547233,-1.323386319768853,-7.400000000000001,-8.228052910674233,-1.25717453238524,-6.000000000000003,-44
7,-10.119288512538814,-1.323386319768853,-7.000000000000001,-8.043152845265823,-1.1174884732313242,-5.8000000000000025,-43
8,-9.961174629530396,-1.323386319768853,-7.000000000000001,-8.600000000000001,-1.1174884732313242,-5.8000000000000025,-42
9,-9.803060746521975,-1.1763433953500924,-7.000000000000001,-8.500000000000002,-1.1174884732313242,-5.600000000000002,-41
10,-9.724003805017766,-1.1763433953500924,-6.800000000000001,-8.300000000000002,-1.1174884732313242,-5.400000000000002,-40
11,-10.423163424144484,-1.1763433953500924,-6.6000000000000005,-8.100000000000001,-1.1174884732313242,-5.400000000000002,-39
12,-10.25229189260113,-1.1763433953500924,-6.6000000000000005,-7.900000000000001,-0.9778024140774093,-5.400000000000002,-38
13,-10.166856126829455,-1.1763433953500924,-6.4,-7.800000000000002,-0.9778024140774093,-5.200000000000002,-37
14,-9.995984595286103,-1.0293004709313307,-6.4,-7.700000000000001,-0.9778024140774093,-5.000000000000002,-36
15,-9.82511306374275,-1.0293004709313307,-6.2,-7.500000000000001,-0.9778024140774093,-5.000000000000002,-35
16,-9.654241532199398,-1.0293004709313307,-6.0,-7.400000000000001,-0.9778024140774093,-4.800000000000002,-34
17,-9.654241532199398,-1.0293004709313307,-6.0,-7.200000000000001,-0.8381163549234936,-4.800000000000002,-33
18,-9.483370000656045,-1.0293004709313307,-5.8,-7.000000000000001,-0.8381163549234936,-4.600000000000001,-32
19,-9.312498469112693,-0.9557790087219498,-5.8,-7.592566023652966,-0.8381163549234936,-4.400000000000001,-31
20,-9.22706270334102,-0.8822575465125689,-5.6,-7.37563556583431,-0.8381163549234936,-4.400000000000001,-30
21,-9.056191171797666,-0.8822575465125689,-5.6,-7.158705108015654,-0.8381163549234936,-4.200000000000001,-29
22,-9.6561575852067,-0.8822575465125689,-5.3999999999999995,-6.941774650196998,-0.7682733253465357,-4.200000000000001,-28
23,-9.6561575852067,-0.8822575465125689,-5.199999999999999,-6.8333094212876695,-0.6984302957695778,-4.000000000000001,-27
24,-9.470462247029648,-0.8087360843031881,-5.199999999999999,-6.616378963469012,-0.6984302957695778,-4.000000000000001,-26
25,-9.284766908852596,-0.7352146220938073,-5.199999999999999,-6.5079137345596845,-0.6984302957695778,-3.8000000000000007,-25
26,-9.19191923976407,-0.7352146220938073,-5.000000000000002,-6.399448505650356,-0.6984302957695778,-3.6000000000000005,-24
27,-9.006223901587017,-0.6868028197434448,-4.800000000000002,-6.1825180478316994,-0.62858726619262,-3.6000000000000005,-23
28,-8.820528563409965,-0.6868028197434448,-4.800000000000002,-5.965587590013045,-0.5587442366156621,-3.6000000000000005,-22
29,-8.634833225232914,-0.6181225377691002,-4.800000000000002,-5.857122361103716,-0.5587442366156621,-3.2,-21
30,-8.634833225232914,-0.5494422557947557,-3.8890872965260126,-5.7486571321943885,-0.5587442366156621,-3.2,-20
31,-8.449137887055862,-0.5494422557947557,-3.8890872965260126,-6.010407640085654,-0.5252257314388898,-3.2,-19
32,-8.263442548878809,-0.5494422557947557,-3.8890872965260126,-5.77470537969014,-0.45957251500902846,-3.0,-18
33,-8.935046253175846,-0.5494422557947557,-3.7123106012293756,-5.6568542494923815,-0.39391929857916713,-2.8,-17
34,-8.731977020149122,-0.5494422557947557,-3.535533905932741,-5.421151989096866,-0.39391929857916713,-2.8,-16
35,-8.528907787122401,-0.4807619738204111,-3.535533905932741,-5.185449728701349,-0.39391929857916713,-2.8,-15
36,-8.325838554095677,-0.4120816918460665,-3.535533905932741,-5.185449728701349,-0.39391929857916713,-2.3999999999999995,-14
37,-8.325838554095677,-0.4120816918460665,-3.181980515339467,-4.949747468305834,-0.3282660821493058,-2.3999999999999995,-13
38,-8.122769321068953,-0.4120816918460665,-3.181980515339467,-4.714045207910317,-0.3282660821493058,-2.3999999999999995,-12
39,-7.919700088042229,-0.4120816918460665,-3.181980515339467,-4.478342947514801,-0.2626128657194444,-2.3999999999999995,-11
40,-7.818165471528867,-0.34340140987172285,-3.181980515339467,-4.360491817317043,-0.2626128657194444,-1.999999999999999,-10
41,-7.615096238502143,-0.2747211278973783,-2.8284271247461925,-4.124789556921527,-0.2626128657194444,-1.999999999999999,-9
42,-7.412027005475419,-0.2747211278973783,-2.8284271247461925,-4.2252170377855665,-0.196959649289584,-1.999999999999999,-8
43,-7.208957772448695,-0.2747211278973783,-2.498780190217699,-4.2252170377855665,-0.196959649289584,-1.7999999999999987,-7
44,-7.938041320124255,-0.2747211278973783,-2.342606428329093,-3.969143277919774,-0.13130643285972268,-1.6000000000000014,-6
45,-7.714434522374276,-0.20604084592303373,-2.1864326664404867,-4.02157642263291,-0.13130643285972268,-1.6000000000000014,-5
46,-7.490827724624297,-0.13736056394868915,-2.1864326664404867,-3.744226324520295,-0.13130643285972268,-1.6000000000000014,-4
47,-7.267220926874318,-0.13736056394868915,-2.1864326664404867,-3.6055512754639896,-0.06565321642986134,-1.200000000000001,-3
48,-7.155417527999328,-0.13736056394868915,-1.8740851426632743,-3.3282011773513744,-0.06565321642986134,-1.0606601717798223,-2
49,-6.931810730249348,-0.13736056394868915,-1.8740851426632743,-3.0508510792387598,0.0,-1.0606601717798223,-1
50,-6.7082039324993685,-0.06868028197434457,-1.8740851426632743,-2.912176030182452,0.0,-1.0606601717798223,0
51,-6.484597134749391,0.0,-1.8740851426632743,-2.773500981126145,0.0,-0.7071067811865506,1
52,-6.372793735874402,0.0,-1.5617376188860619,-2.4961508830135304,0.06565321642986134,-0.7071067811865506,2
53,-6.9459451369956735,0.0,-1.5617376188860619,-2.3851391759997767,0.06565321642986134,-0.7071067811865506,3
54,-6.697875667817256,0.0,-1.5617376188860619,-2.0869967789998043,0.13130643285972268,-0.5303300858899136,4
55,-6.449806198638839,0.06868028197434457,-1.4055638569974558,-1.9379255804998183,0.13130643285972268,-0.35355339059327656,5
56,-6.325771464049631,0.06868028197434457,-1.2493900951088495,-1.639783183499846,0.13130643285972268,-0.35355339059327656,6
57,-6.077701994871214,0.13736056394868915,-1.2493900951088495,-1.49071198499986,0.196959649289584,-0.35355339059327656,7
58,-5.829632525692797,0.13736056394868915,-1.2493900951088495,-1.1925695879998877,0.196959649289584,-2.4532694666933986e-15,8
59,-5.58156305651438,0.13736056394868915,-1.0932163332202434,-1.0434983894999017,0.26261286571944537,-2.1673463286382153e-15,9
60,-5.457528321925173,0.20604084592303373,-0.9370425713316372,-0.7453559924999295,0.26261286571944537,-2.1673463286382153e-15,10
61,-5.209458852746756,0.20604084592303373,-0.9370425713316372,-0.44721359549995726,0.26261286571944537,0.15617376188860402,11
62,-5.085424118157547,0.2747211278973783,-0.7808688094430309,-0.1490711984999861,0.3282660821493067,0.3123475237772102,12
63,-5.4083269131959835,0.2747211278973783,-0.6246950475544247,0.1581138830084191,0.3282660821493067,0.3123475237772102,13
64,-5.130976815083369,0.25766265056033255,-0.6246950475544247,0.1581138830084191,0.393919298579168,0.3123475237772102,14
65,-4.992301766027062,0.32207831320041574,-0.6246950475544247,0.47434164902525733,0.393919298579168,0.4685212856658164,15
66,-4.7149516679144465,0.32207831320041574,-0.4685212856658186,0.7905694150420944,0.393919298579168,0.6246950475544226,16
67,-4.437601569801831,0.3864939758404989,-0.31234752377721237,1.1067971810589325,0.45957251500902935,0.6246950475544226,17
68,-4.685212856658181,0.3864939758404989,-0.31234752377721237,1.2649110640673518,0.45957251500902935,0.7808688094430288,18
69,-4.372865332880968,0.3864939758404989,-0.15617376188860618,1.58113883008419,0.4332891224131214,0.937042571331635,19
70,-4.372865332880968,0.450909638480582,-0.15617376188860618,1.8973665961010282,0.49518756847213874,0.937042571331635,20
71,-4.0605178091037555,0.450909638480582,0.0,2.0554804791094474,0.49518756847213874,0.937042571331635,21
72,-3.7481702853265455,0.5153253011206651,0.0,2.213594362117865,0.557086014531156,1.0932163332202411,22
73,-3.8890872965260113,0.5153253011206651,0.15617376188860618,2.5298221281347035,0.557086014531156,1.2493900951088475,23
74,-3.5355339059327373,0.5153253011206651,0.31234752377721237,2.8460498941515415,0.557086014531156,1.2493900951088475,24
75,-3.3587572106361,0.5797409637607482,0.31234752377721237,3.2879797461071463,0.6189844605901734,1.4055638569974536,25
76,-3.005203820042826,0.5797409637607482,0.4685212856658186,3.61677772071786,0.6189844605901734,1.4055638569974536,26
77,-2.651650429449554,0.6441566264008315,0.4685212856658186,3.7811767080232177,0.6808829066491907,1.5617376188860599,27
78,-2.2980970388562802,0.6441566264008315,0.6246950475544247,3.945575695328575,0.6808829066491907,1.5617376188860599,28
79,-2.1213203435596433,0.6441566264008315,0.6246950475544247,4.27437366993929,0.6808829066491907,1.717911380774666,29
80,-1.9445436482630063,0.7085722890409146,0.7808688094430309,4.603171644550004,0.7427813527082081,1.717911380774666,30
81,-1.5909902576697321,0.7085722890409146,0.7808688094430309,4.931969619160719,0.7427813527082081,1.874085142663272,31
82,-1.4,0.7729879516809978,0.9370425713316372,5.096368606466076,0.8046797987672254,2.030258904551878,32
83,-0.9999999999999994,0.7729879516809978,1.0932163332202434,5.425166581076791,0.8046797987672254,2.030258904551878,33
84,-0.5999999999999991,0.7729879516809978,1.0932163332202434,5.589565568382148,0.8046797987672254,2.1864326664404845,34
85,-0.39999999999999897,0.8374036143210809,1.0932163332202434,5.918363542992863,0.8665782448262428,2.1864326664404845,35
86,-0.1999999999999988,0.8374036143210809,1.2493900951088495,6.08276253029822,0.8665782448262428,2.342606428329091,36
87,0.20000000000000157,0.901819276961164,1.4055638569974558,6.411560504908934,0.9284766908852601,2.342606428329091,37
88,0.6000000000000005,0.901819276961164,1.4055638569974558,6.740358479519649,0.9284766908852601,2.498780190217697,38
89,0.9999999999999994,0.9662349396012472,1.4055638569974558,7.069156454130363,0.9284766908852601,2.654953952106303,39
90,1.1999999999999997,0.9662349396012472,1.5254255396193814,7.23355544143572,0.9903751369442775,2.654953952106303,40
91,1.788854381999832,0.9662349396012472,1.5254255396193814,7.397954428741078,0.9903751369442775,2.654953952106303,41
92,2.2360679774997902,1.0306506022413302,1.5254255396193814,7.726752403351792,1.0522735830032948,2.8111277139949093,42
93,2.4596747752497694,1.0306506022413302,1.6641005886756888,8.055550377962508,1.0522735830032948,2.9673014758835157,43
94,2.906888370749728,1.0950662648814133,1.8027756377319961,8.384348352573223,1.0522735830032948,2.9673014758835157,44
95,3.1304951684997073,1.0950662648814133,1.8027756377319961,8.713146327183937,1.114172029062312,2.9673014758835157,45
96,3.5777087639996656,1.0950662648814133,1.8027756377319961,8.380035799446205,1.114172029062312,3.1234752377721215,46
97,4.024922359499624,1.0950662648814133,1.9414506867883035,8.696263565463044,1.1760704751213296,3.279648999660728,47
98,4.47213595499958,1.1594819275214965,2.080125735844611,9.01249133147988,1.1760704751213296,3.279648999660728,48
99,4.919349550499538,1.2238975901615798,2.080125735844611,9.32871909749672,1.1760704751213296,3.435822761549334,49
100,5.142956348249517,1.2238975901615798,2.080125735844611,9.644946863513557,1.2379689211803468,3.5919965234379405,50
