SURVEYFILTER,MEANLAMBDA 
PS1SNg,4877
PS1g,4877
PS1SNr,6215
PS1r,6215
PS1SNi,7545
PS1i,7545
PS1SNz,8679
PS1z,8679
DESg,4828
DESr,6435
DESi,7828
DESz,9181
ZTFg,4757
ZTFr,6428
ZTFi,7872
CSP_TAMUu,3629
CSP_TAMUg,4794
CSP_TAMUr,6240
CSP_TAMUi,7631
CSP_TAMUB,4402
CSP_TAMUV,5389
CSP_TAMUo,5422
CSP_TAMUm,5388
CSP_TAMUn,5389
CSP_TAMUY,10389
CSP_TAMUy,10466
SDSSG,4718
SDSSR,6187
SDSSI,7506
SDSSZ,8918
SDSSg,4718
SDSSr,6187
SDSSi,7506
SDSSz,8918
Foundationg,4877
Foundationr,6215
Foundationi,7545
Foundationz,8679
SNLSg,4891
SNLSr,6263
SNLSi,7643
SNLSz,8847
CFA3SB,3650
CFA3SV,4358
CFA3SR,5418
CFA3SI,6559
CFA3KU,3666
CFA3KB,4382
CFA3KV,5415
CFA3Kr,6253
CFA3Ki,7680
ZTFSg,4757
ZTFSr,6428
ZTFSi,7872
ZTFDg,4757
ZTFDr,6445
ZTFDi,7875
ASASSN2g,4283
ASASSN2j,5443
ASASSN2i,6281
ASASSN2h,7677
ASASSN1a,4373
ASASSN1b,5369
ASASSN1d,6235
ASASSN1c,7531
SWIFTU,3475
SWIFTB,4359
SWIFTV,5430
KAITA,4411
KAITB,5444
KAITC,6457
KAITD,8032
KAITI,4444
KAITJ,5413
KAITK,6410
KAITL,8301
KAITE,4472
KAITF,5414
KAITG,6398
KAITH,7972
KAITM,4268
KAITN,5366
KAITO,6403
KAITP,8777
KAITa,4449
KAITb,5451
KAITc,6888
KAITd,8465
KAITe,4434
KAITf,5445
KAITg,6459
KAITh,8055
CFA4P1B,4382
CFA4P1V,5440
CFA4P1r,6263
CFA4P1i,7629
CFA4P2B,4500
CFA4P2V,5445
CFA4P2r,6263
CFA4P2i,7629
