,B,V,i,r,shifts
0,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-50
1,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-49
2,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-48
3,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-47
4,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-46
5,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-45
6,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-44
7,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-43
8,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-42
9,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-41
10,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-40
11,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-39
12,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-38
13,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-37
14,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-36
15,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-35
16,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-34
17,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-33
18,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-32
19,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-31
20,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-30
21,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-29
22,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-28
23,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-27
24,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-26
25,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-25
26,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-24
27,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-23
28,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-22
29,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-21
30,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-20
31,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-19
32,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-18
33,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-17
34,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-16
35,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-15
36,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-14
37,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-13
38,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-12
39,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-11
40,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-10
41,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-9
42,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-8
43,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-7
44,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-6
45,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-5
46,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-4
47,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-3
48,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-2
49,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,-1
50,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,0
51,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,1
52,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,2
53,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,3
54,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,4
55,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,5
56,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,6
57,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,7
58,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,8
59,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,9
60,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,10
61,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,11
62,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,12
63,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,13
64,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,14
65,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,15
66,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,16
67,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,17
68,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,18
69,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,19
70,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,20
71,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,21
72,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,22
73,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,23
74,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,24
75,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,25
76,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,26
77,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,27
78,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,28
79,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,29
80,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,30
81,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,31
82,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,32
83,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,33
84,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,34
85,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,35
86,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,36
87,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,37
88,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,38
89,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,39
90,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,40
91,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,41
92,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,42
93,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,43
94,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,44
95,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,45
96,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,46
97,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,47
98,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,48
99,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,49
100,-1.5833333333333333,-5.125,1.75,-0.2857142857142857,50
