,g,i,r,z,shifts
0,-24.333333333333332,-3.5,-5.5,-1.3333333333333333,-50
1,-23.999999999999996,-3.0,-5.5,-1.3333333333333333,-49
2,-23.999999999999996,-3.0,-5.5,-1.3333333333333333,-48
3,-23.666666666666664,-3.0,-5.5,-1.3333333333333333,-47
4,-23.333333333333336,-3.0,-5.0,-1.3333333333333333,-46
5,-23.0,-2.5,-5.0,-1.0,-45
6,-23.0,-2.5,-5.0,-1.0,-44
7,-22.666666666666668,-2.5,-4.5,-1.0,-43
8,-22.333333333333336,-2.5,-4.5,-1.0,-42
9,-22.333333333333336,-2.0,-4.5,-1.0,-41
10,-22.0,-2.0,-4.0,-0.6666666666666666,-40
11,-21.666666666666668,-2.0,-4.0,-0.6666666666666666,-39
12,-21.333333333333332,-2.0,-4.0,-0.6666666666666666,-38
13,-21.0,-2.0,-4.0,-0.6666666666666666,-37
14,-20.666666666666668,-2.0,-3.5,-0.5,-36
15,-20.333333333333332,-2.0,-3.5,-0.5,-35
16,-20.0,-1.5,-3.5,-0.6666666666666666,-34
17,-19.666666666666664,-1.5,-3.5,-0.25,-33
18,-19.333333333333332,-1.5,-3.0,-0.25,-32
19,-19.0,-1.5,-3.0,-0.0,-31
20,-19.0,-1.5,-3.0,-0.0,-30
21,-18.666666666666668,-1.5,-3.0,-0.0,-29
22,-18.333333333333332,-1.5,-2.5,0.0,-28
23,-18.0,-1.0,-2.5,0.0,-27
24,-18.0,-1.0,-2.5,0.0,-26
25,-17.666666666666664,-1.0,-2.5,0.25,-25
26,-17.333333333333332,-1.0,-2.0,0.25,-24
27,-17.0,-0.5,-2.0,0.25,-23
28,-16.666666666666668,-0.5,-2.0,0.25,-22
29,-16.666666666666668,-0.5,-1.5,0.5,-21
30,-16.333333333333332,-0.5,-1.5,0.5,-20
31,-16.0,-0.5,-1.5,0.5,-19
32,-15.666666666666666,-0.5,-1.0,0.75,-18
33,-15.333333333333332,-0.5,-1.0,0.75,-17
34,-15.0,-0.5,-1.0,0.75,-16
35,-14.666666666666666,-0.0,-0.5,0.75,-15
36,-14.333333333333332,-0.0,-0.5,0.75,-14
37,-14.333333333333332,-0.0,-0.5,0.75,-13
38,-14.0,-0.0,-0.5,0.75,-12
39,-13.666666666666666,0.0,-0.5,0.75,-11
40,-13.333333333333334,0.0,-0.0,0.75,-10
41,-13.0,0.5,-0.0,0.75,-9
42,-12.666666666666666,0.5,0.0,1.0,-8
43,-12.666666666666666,0.5,0.5,1.0,-7
44,-12.333333333333332,0.5,0.5,1.0,-6
45,-11.999999999999998,0.5,0.5,1.0,-5
46,-11.999999999999998,0.5,0.5,1.0,-4
47,-11.666666666666668,1.0,1.0,1.25,-3
48,-11.333333333333334,1.0,1.0,1.25,-2
49,-11.333333333333334,1.0,1.0,1.0,-1
50,-11.0,1.0,1.0,1.0,0
51,-10.666666666666666,1.0,1.5,1.0,1
52,-10.333333333333334,1.5,1.5,1.0,2
53,-10.0,1.5,1.5,1.25,3
54,-9.666666666666666,1.5,1.5,1.25,4
55,-9.333333333333334,1.5,2.0,1.25,5
56,-9.333333333333334,1.5,2.0,1.25,6
57,-9.0,2.0,2.0,1.25,7
58,-8.666666666666666,2.0,2.0,1.25,8
59,-8.333333333333334,2.0,2.0,1.5,9
60,-8.0,2.0,2.5,1.5,10
61,-7.666666666666666,2.0,2.5,1.5,11
62,-7.666666666666666,2.0,2.5,1.75,12
63,-7.333333333333333,2.0,2.5,1.75,13
64,-7.0,2.5,3.0,1.75,14
65,-7.0,2.5,3.0,1.75,15
66,-6.666666666666667,2.5,3.0,1.75,16
67,-6.333333333333333,2.5,3.5,2.0,17
68,-5.999999999999999,3.0,3.5,2.0,18
69,-5.666666666666667,3.0,3.5,2.0,19
70,-5.666666666666667,3.0,3.5,2.0,20
71,-5.333333333333333,3.0,4.0,2.0,21
72,-5.0,3.0,4.0,2.0,22
73,-4.666666666666667,3.0,4.0,2.0,23
74,-4.333333333333333,3.0,4.0,2.0,24
75,-4.0,3.0,4.5,2.0,25
76,-3.6666666666666665,3.5,4.5,2.0,26
77,-3.3333333333333335,3.5,4.5,2.0,27
78,-2.9999999999999996,3.5,4.5,2.25,28
79,-2.6666666666666665,3.5,4.5,2.25,29
80,-2.6666666666666665,3.5,5.0,2.25,30
81,-2.3333333333333335,3.5,5.0,2.25,31
82,-2.0,3.5,5.0,2.25,32
83,-2.0,4.0,5.0,2.5,33
84,-1.6666666666666667,4.0,5.5,2.5,34
85,-1.3333333333333333,4.0,5.5,2.5,35
86,-1.3333333333333333,4.0,5.5,2.25,36
87,-1.0,4.0,6.0,2.5,37
88,-0.6666666666666666,4.5,6.0,2.5,38
89,-0.6666666666666666,4.5,6.0,2.5,39
90,-0.3333333333333333,4.5,6.0,2.5,40
91,-0.0,4.5,6.5,2.5,41
92,0.3333333333333333,4.5,6.5,2.5,42
93,0.6666666666666666,4.5,6.5,3.0,43
94,0.6666666666666666,4.5,6.5,3.0,44
95,1.0,5.0,6.5,3.0,45
96,1.3333333333333333,5.0,7.0,3.0,46
97,1.6666666666666667,5.0,7.0,3.0,47
98,2.0,5.0,7.0,3.25,48
99,2.3333333333333335,5.0,7.0,3.25,49
100,2.6666666666666665,5.0,7.5,3.25,50
