,g,i,r,z,shifts
0,-8.857142857142858,-3.4000000000000004,-4.5,-1.9047619047619047,-50
1,-8.714285714285714,-3.4000000000000004,-4.5,-2.0,-49
2,-8.571428571428571,-3.2,-4.5,-1.95,-48
3,-8.428571428571429,-3.2,-4.333333333333333,-1.95,-47
4,-8.285714285714286,-3.2,-4.333333333333333,-1.9,-46
5,-8.285714285714286,-3.2,-4.333333333333333,-1.9,-45
6,-8.142857142857142,-3.2,-4.166666666666667,-1.8499999999999999,-44
7,-8.0,-3.0,-4.166666666666667,-1.8499999999999999,-43
8,-7.857142857142857,-3.0,-4.166666666666667,-1.7999999999999998,-42
9,-7.857142857142857,-3.0,-4.0,-1.7999999999999998,-41
10,-7.714285714285714,-3.0,-4.0,-1.7999999999999998,-40
11,-7.571428571428571,-3.0,-4.0,-1.7500000000000002,-39
12,-7.428571428571428,-3.0,-3.833333333333333,-1.7500000000000002,-38
13,-7.285714285714285,-2.8,-3.833333333333333,-1.7000000000000002,-37
14,-7.285714285714285,-2.8,-3.833333333333333,-1.7000000000000002,-36
15,-7.142857142857143,-2.8,-3.6666666666666665,-1.6500000000000001,-35
16,-7.0,-2.8,-3.6666666666666665,-1.6500000000000001,-34
17,-6.857142857142857,-2.8,-3.6666666666666665,-1.6500000000000001,-33
18,-6.714285714285714,-2.5999999999999996,-3.5,-1.6,-32
19,-6.714285714285714,-2.5999999999999996,-3.5,-1.6,-31
20,-6.571428571428571,-2.5999999999999996,-3.5,-1.55,-30
21,-6.428571428571428,-2.5999999999999996,-3.3333333333333335,-1.55,-29
22,-6.285714285714286,-2.5999999999999996,-3.3333333333333335,-1.5,-28
23,-6.142857142857142,-2.4,-3.3333333333333335,-1.5,-27
24,-6.142857142857142,-2.4,-3.1666666666666665,-1.5,-26
25,-6.0,-2.4,-3.1666666666666665,-1.45,-25
26,-5.857142857142858,-2.4,-3.1666666666666665,-1.4,-24
27,-5.714285714285714,-2.4,-2.9999999999999996,-1.4,-23
28,-5.571428571428571,-2.4,-2.9999999999999996,-1.3499999999999999,-22
29,-5.571428571428571,-2.1999999999999997,-2.9999999999999996,-1.3499999999999999,-21
30,-5.428571428571428,-2.1999999999999997,-2.8333333333333335,-1.3499999999999999,-20
31,-5.285714285714286,-2.1999999999999997,-2.8333333333333335,-1.2999999999999998,-19
32,-5.142857142857142,-2.1999999999999997,-2.8333333333333335,-1.2999999999999998,-18
33,-5.142857142857142,-2.1999999999999997,-2.6666666666666665,-1.25,-17
34,-5.0,-2.0,-2.6666666666666665,-1.25,-16
35,-4.857142857142858,-2.0,-2.6666666666666665,-1.2,-15
36,-4.714285714285714,-2.0,-2.5,-1.2,-14
37,-4.571428571428571,-2.0,-2.5,-1.2,-13
38,-4.571428571428571,-2.0,-2.5,-1.15,-12
39,-4.428571428571429,-1.7999999999999998,-2.3333333333333335,-1.15,-11
40,-4.285714285714286,-1.7999999999999998,-2.3333333333333335,-1.0999999999999999,-10
41,-4.142857142857143,-1.7999999999999998,-2.3333333333333335,-1.0999999999999999,-9
42,-4.142857142857143,-1.7999999999999998,-2.1666666666666665,-1.05,-8
43,-4.0,-1.7999999999999998,-2.1666666666666665,-1.05,-7
44,-3.857142857142857,-1.7999999999999998,-2.1666666666666665,-1.0,-6
45,-3.714285714285714,-1.6,-2.0,-1.0,-5
46,-3.5714285714285716,-1.6,-2.0,-0.95,-4
47,-3.5714285714285716,-1.6,-2.0,-0.95,-3
48,-3.4285714285714284,-1.6,-1.8333333333333333,-0.8999999999999999,-2
49,-3.2857142857142856,-1.6,-1.8333333333333333,-0.8999999999999999,-1
50,-3.142857142857143,-1.6,-1.8333333333333333,-0.8500000000000001,0
51,-3.142857142857143,-1.4,-1.6666666666666667,-0.8500000000000001,1
52,-3.0,-1.4,-1.6666666666666667,-0.8,2
53,-2.857142857142857,-1.4,-1.6666666666666667,-0.8,3
54,-2.714285714285714,-1.4,-1.4999999999999998,-0.8,4
55,-2.714285714285714,-1.4,-1.4999999999999998,-0.75,5
56,-2.571428571428571,-1.2,-1.4999999999999998,-0.75,6
57,-2.428571428571429,-1.2,-1.3333333333333333,-0.7,7
58,-2.2857142857142856,-1.2,-1.3333333333333333,-0.7,8
59,-2.2857142857142856,-1.2,-1.3333333333333333,-0.6499999999999999,9
60,-2.142857142857143,-1.2,-1.1666666666666667,-0.6499999999999999,10
61,-2.0,-1.2,-1.1666666666666667,-0.6,11
62,-1.857142857142857,-1.0,-1.0,-0.9047619047619047,12
63,-1.857142857142857,-1.0,-1.0,-0.857142857142857,13
64,-1.7142857142857142,-1.0,-1.0,-0.857142857142857,14
65,-1.5714285714285714,-1.0,-1.0,-0.8095238095238095,15
66,-1.4285714285714286,-1.0,-0.8333333333333334,-0.7619047619047619,16
67,-1.4285714285714286,-0.8,-0.6666666666666666,-0.7619047619047619,17
68,-1.2857142857142856,-0.8,-0.6666666666666666,-0.7142857142857142,18
69,-1.1428571428571428,-0.8,-0.6666666666666666,-0.7142857142857142,19
70,-1.0,-0.8,-0.6666666666666666,-0.6666666666666666,20
71,-1.0,-0.8,-0.5,-0.6666666666666666,21
72,-0.8571428571428571,-0.8,-0.5,-0.619047619047619,22
73,-0.7142857142857143,-0.6,-0.5,-0.619047619047619,23
74,-0.5714285714285714,-0.6,-0.5,-0.5714285714285714,24
75,-0.5714285714285714,-0.0,-0.3333333333333333,-0.5714285714285714,25
76,-0.42857142857142855,-0.0,-0.3333333333333333,-0.5238095238095237,26
77,-0.2857142857142857,0.0,-0.3333333333333333,-0.5238095238095237,27
78,-0.14285714285714285,0.0,-0.16666666666666666,-0.47619047619047616,28
79,-0.14285714285714285,0.2,-0.16666666666666666,-0.47619047619047616,29
80,0.0,0.2,-0.16666666666666666,-0.4285714285714285,30
81,0.14285714285714285,0.2,-0.0,-0.4285714285714285,31
82,0.2857142857142857,0.2,0.0,-0.38095238095238093,32
83,0.2857142857142857,0.2,0.0,-0.38095238095238093,33
84,0.42857142857142855,0.4,0.16666666666666666,-0.3333333333333333,34
85,0.5714285714285714,0.4,0.16666666666666666,-0.2857142857142857,35
86,0.7142857142857143,0.4,0.16666666666666666,-0.2857142857142857,36
87,0.7142857142857143,0.4,0.3333333333333333,-0.23809523809523808,37
88,0.8571428571428571,0.4,0.3333333333333333,-0.23809523809523808,38
89,1.0,0.6,0.5,-0.19047619047619047,39
90,1.0,0.6,0.5,-0.14285714285714285,40
91,1.1428571428571428,0.6,0.5,-0.14285714285714285,41
92,1.2857142857142856,0.6,0.6666666666666666,-0.09523809523809523,42
93,1.4285714285714286,0.6,0.6666666666666666,-0.09523809523809523,43
94,1.4285714285714286,0.8,0.6666666666666666,-0.047619047619047616,44
95,1.5714285714285714,0.8,0.6666666666666666,-0.047619047619047616,45
96,1.7142857142857142,0.8,0.8333333333333334,-0.0,46
97,1.7142857142857142,0.8,0.8333333333333334,0.0,47
98,1.857142857142857,0.8,0.8333333333333334,0.047619047619047616,48
99,2.0,1.0,1.0,0.047619047619047616,49
100,2.142857142857143,1.0,1.0,0.09523809523809523,50
