#wave(A) trans
3701 0.00321345
3702 0.00336855
3703 0.00297287
3704 0.00314894
3705 0.00328732
3706 0.00302879
3706 0.00302879
3707 0.00305509
3708 0.00313413
3709 0.00321628
3710 0.00303399
3711 0.00295137
3712 0.0032405
3712 0.0032405
3713 0.00287278
3714 0.00288216
3715 0.00259691
3716 0.00297548
3717 0.00296167
3717 0.00296167
3718 0.00282505
3719 0.0026626
3720 0.00305366
3721 0.00282884
3722 0.00299681
3722 0.00299681
3723 0.00312393
3724 0.00306206
3725 0.00284584
3726 0.0030848
3727 0.00288372
3727 0.00288372
3728 0.00307738
3729 0.00282011
3730 0.00309385
3731 0.00281838
3732 0.00300084
3733 0.00287955
3733 0.00287955
3734 0.00293365
3735 0.00281022
3736 0.00275589
3737 0.00279226
3738 0.00281265
3738 0.00281265
3739 0.00310163
3740 0.00297761
3741 0.00283076
3742 0.00274733
3743 0.00284375
3743 0.00284375
3744 0.00330098
3745 0.00262047
3746 0.00287856
3747 0.00266511
3748 0.00262516
3749 0.00260303
3749 0.00260303
3750 0.00275354
3751 0.00271404
3752 0.00282087
3753 0.00261251
3754 0.00272524
3754 0.00272524
3755 0.00272659
3756 0.00308002
3757 0.00273494
3758 0.00284806
3759 0.00278207
3759 0.00278207
3760 0.00296419
3761 0.00291929
3762 0.00266728
3763 0.00274287
3764 0.00267989
3764 0.00267989
3765 0.00261256
3766 0.00293277
3767 0.00251764
3768 0.00279575
3769 0.00264832
3769 0.00264832
3770 0.00263198
3771 0.00261377
3772 0.00249157
3773 0.00281888
3774 0.00254358
3775 0.00270097
3775 0.00270097
3776 0.00258951
3777 0.0029174
3778 0.00271391
3779 0.00257426
3780 0.00254526
3780 0.00254526
3781 0.00255934
3782 0.00265671
3783 0.0025273
3784 0.00222687
3785 0.00261413
3785 0.00261413
3786 0.00237641
3787 0.00259068
3788 0.00261393
3789 0.00267162
3790 0.002601
3790 0.002601
3791 0.0025815
3792 0.0024135
3793 0.0026241
3794 0.00271575
3795 0.00247709
3795 0.00247709
3796 0.00233485
3797 0.00260843
3798 0.00250337
3799 0.00249036
3800 0.0025753
3801 0.00242916
3801 0.00242916
3802 0.00226356
3803 0.00233341
3804 0.00248418
3805 0.00252215
3806 0.00241078
3806 0.00241078
3807 0.00243579
3808 0.00226836
3809 0.00254632
3810 0.00235145
3811 0.00228652
3811 0.00228652
3812 0.00238988
3813 0.00242239
3814 0.00233276
3815 0.00234521
3816 0.00225076
3816 0.00225076
3817 0.00217243
3818 0.00250559
3819 0.00234692
3820 0.00242828
3821 0.00238958
3821 0.00238958
3822 0.00240998
3823 0.00220976
3824 0.00239696
3825 0.00238322
3826 0.00217472
3826 0.00217472
3827 0.00245348
3828 0.00233794
3829 0.00234363
3830 0.00225836
3831 0.00232883
3831 0.00232883
3832 0.00210749
3833 0.00222421
3834 0.00238638
3835 0.00227843
3836 0.00222276
3836 0.00222276
3837 0.00224032
3838 0.00216065
3839 0.0022847
3840 0.00221413
3841 0.00222438
3841 0.00222438
3842 0.00231232
3843 0.00227792
3844 0.00212391
3845 0.00221899
3846 0.00225433
3846 0.00225433
3847 0.00204632
3848 0.00223757
3849 0.00199354
3850 0.00224022
3851 0.00216687
3851 0.00216687
3852 0.00219627
3853 0.00217214
3854 0.00205504
3855 0.00202281
3856 0.00203843
3857 0.00218819
3857 0.00218819
3858 0.00209522
3859 0.00228458
3860 0.0020757
3861 0.00237364
3862 0.00208426
3862 0.00208426
3863 0.00215406
3864 0.00209193
3865 0.00191428
3866 0.00201788
3867 0.00194951
3867 0.00194951
3868 0.00222775
3869 0.00220642
3870 0.00217543
3871 0.00189433
3872 0.00218713
3872 0.00218713
3873 0.00175054
3874 0.00203289
3875 0.00198683
3876 0.00211904
3877 0.00210259
3877 0.00210259
3878 0.00204719
3879 0.00208221
3880 0.00194288
3881 0.00180126
3882 0.00208723
3882 0.00208723
3883 0.00193216
3884 0.00178717
3885 0.00198567
3886 0.00192704
3887 0.00200084
3887 0.00200084
3888 0.00194585
3889 0.00203409
3890 0.00190828
3891 0.00212929
3891 0.00212929
3892 0.00195015
3893 0.00196904
3894 0.00192503
3895 0.00198914
3896 0.00193896
3896 0.00193896
3897 0.00202936
3898 0.00180836
3899 0.00192424
3900 0.0019489
3901 0.00190096
3901 0.00190096
3902 0.0018736
3903 0.00188795
3904 0.00194243
3905 0.00174617
3906 0.00192464
3906 0.00192464
3907 0.00188391
3908 0.0019488
3909 0.00192502
3910 0.0018687
3911 0.00182468
3911 0.00182468
3912 0.00191376
3913 0.00194849
3914 0.00199644
3915 0.00192572
3916 0.0018232
3916 0.0018232
3917 0.0017743
3918 0.0018792
3919 0.00179259
3920 0.00196079
3921 0.00186432
3921 0.00186432
3922 0.00189573
3923 0.00198298
3924 0.00182377
3925 0.00194292
3926 0.00187682
3926 0.00187682
3927 0.00180502
3928 0.00191891
3929 0.00195486
3930 0.00191655
3931 0.00177338
3931 0.00177338
3932 0.0018871
3933 0.00195694
3934 0.00200224
3935 0.00194378
3936 0.0019258
3936 0.0019258
3937 0.0018377
3938 0.00182304
3939 0.00194121
3940 0.00188824
3940 0.00188824
3941 0.00177605
3942 0.00173338
3943 0.00190296
3944 0.00189147
3945 0.0017745
3945 0.0017745
3946 0.00173477
3947 0.00189784
3948 0.00171753
3949 0.00197538
3950 0.00174496
3950 0.00174496
3951 0.00182532
3952 0.00190354
3953 0.00168915
3954 0.00183653
3955 0.00183557
3955 0.00183557
3956 0.00178472
3957 0.00181425
3958 0.0017565
3959 0.00180123
3960 0.00182917
3960 0.00182917
3961 0.00180795
3962 0.00176826
3963 0.00176382
3964 0.0017869
3964 0.0017869
3965 0.00180463
3966 0.00177141
3967 0.0018638
3968 0.001835
3969 0.00182745
3969 0.00182745
3970 0.00174937
3971 0.00178347
3972 0.00175789
3973 0.00180807
3974 0.00179025
3974 0.00179025
3975 0.00166176
3976 0.00180354
3977 0.00167955
3978 0.00185996
3979 0.00179531
3979 0.00179531
3980 0.00183097
3981 0.00172826
3982 0.00180608
3983 0.00178412
3983 0.00178412
3984 0.00179602
3985 0.00186105
3986 0.00177279
3987 0.00170099
3988 0.00182444
3988 0.00182444
3989 0.00181136
3990 0.00181051
3991 0.00174761
3992 0.00172368
3993 0.00176468
3993 0.00176468
3994 0.00165803
3995 0.00176147
3996 0.00171586
3997 0.00176161
3997 0.00176161
3998 0.00173466
3999 0.00177907
4000 0.00183144
4001 0.00176588
4002 0.00174088
4002 0.00174088
4003 0.00171349
4004 0.00177844
4005 0.00175519
4006 0.0018609
4007 0.00177022
4007 0.00177022
4008 0.00182318
4009 0.00181762
4010 0.00175374
4011 0.00174552
4011 0.00174552
4012 0.00179822
4013 0.00176522
4014 0.0018422
4015 0.00184297
4016 0.00183472
4016 0.00183472
4017 0.00178729
4018 0.00168843
4019 0.00192095
4020 0.00168561
4021 0.0017845
4021 0.0017845
4022 0.00184552
4023 0.00187431
