#wave(A) trans
3656 0.00321345
3657 0.00336855
3658 0.00297287
3659 0.00314894
3660 0.00328732
3661 0.00302879
3661 0.00302879
3662 0.00305509
3663 0.00313413
3664 0.00321628
3665 0.00303399
3666 0.00295137
3667 0.0032405
3667 0.0032405
3668 0.00287278
3669 0.00288216
3670 0.00259691
3671 0.00297548
3672 0.00296167
3672 0.00296167
3673 0.00282505
3674 0.0026626
3675 0.00305366
3676 0.00282884
3677 0.00299681
3677 0.00299681
3678 0.00312393
3679 0.00306206
3680 0.00284584
3681 0.0030848
3682 0.00288372
3682 0.00288372
3683 0.00307738
3684 0.00282011
3685 0.00309385
3686 0.00281838
3687 0.00300084
3688 0.00287955
3688 0.00287955
3689 0.00293365
3690 0.00281022
3691 0.00275589
3692 0.00279226
3693 0.00281265
3693 0.00281265
3694 0.00310163
3695 0.00297761
3696 0.00283076
3697 0.00274733
3698 0.00284375
3698 0.00284375
3699 0.00330098
3700 0.00262047
3701 0.00287856
3702 0.00266511
3703 0.00262516
3704 0.00260303
3704 0.00260303
3705 0.00275354
3706 0.00271404
3707 0.00282087
3708 0.00261251
3709 0.00272524
3709 0.00272524
3710 0.00272659
3711 0.00308002
3712 0.00273494
3713 0.00284806
3714 0.00278207
3714 0.00278207
3715 0.00296419
3716 0.00291929
3717 0.00266728
3718 0.00274287
3719 0.00267989
3719 0.00267989
3720 0.00261256
3721 0.00293277
3722 0.00251764
3723 0.00279575
3724 0.00264832
3724 0.00264832
3725 0.00263198
3726 0.00261377
3727 0.00249157
3728 0.00281888
3729 0.00254358
3730 0.00270097
3730 0.00270097
3731 0.00258951
3732 0.0029174
3733 0.00271391
3734 0.00257426
3735 0.00254526
3735 0.00254526
3736 0.00255934
3737 0.00265671
3738 0.0025273
3739 0.00222687
3740 0.00261413
3740 0.00261413
3741 0.00237641
3742 0.00259068
3743 0.00261393
3744 0.00267162
3745 0.002601
3745 0.002601
3746 0.0025815
3747 0.0024135
3748 0.0026241
3749 0.00271575
3750 0.00247709
3750 0.00247709
3751 0.00233485
3752 0.00260843
3753 0.00250337
3754 0.00249036
3755 0.0025753
3756 0.00242916
3756 0.00242916
3757 0.00226356
3758 0.00233341
3759 0.00248418
3760 0.00252215
3761 0.00241078
3761 0.00241078
3762 0.00243579
3763 0.00226836
3764 0.00254632
3765 0.00235145
3766 0.00228652
3766 0.00228652
3767 0.00238988
3768 0.00242239
3769 0.00233276
3770 0.00234521
3771 0.00225076
3771 0.00225076
3772 0.00217243
3773 0.00250559
3774 0.00234692
3775 0.00242828
3776 0.00238958
3776 0.00238958
3777 0.00240998
3778 0.00220976
3779 0.00239696
3780 0.00238322
3781 0.00217472
3781 0.00217472
3782 0.00245348
3783 0.00233794
3784 0.00234363
3785 0.00225836
3786 0.00232883
3786 0.00232883
3787 0.00210749
3788 0.00222421
3789 0.00238638
3790 0.00227843
3791 0.00222276
3791 0.00222276
3792 0.00224032
3793 0.00216065
3794 0.0022847
3795 0.00221413
3796 0.00222438
3796 0.00222438
3797 0.00231232
3798 0.00227792
3799 0.00212391
3800 0.00221899
3801 0.00225433
3801 0.00225433
3802 0.00204632
3803 0.00223757
3804 0.00199354
3805 0.00224022
3806 0.00216687
3806 0.00216687
3807 0.00219627
3808 0.00217214
3809 0.00205504
3810 0.00202281
3811 0.00203843
3812 0.00218819
3812 0.00218819
3813 0.00209522
3814 0.00228458
3815 0.0020757
3816 0.00237364
3817 0.00208426
3817 0.00208426
3818 0.00215406
3819 0.00209193
3820 0.00191428
3821 0.00201788
3822 0.00194951
3822 0.00194951
3823 0.00222775
3824 0.00220642
3825 0.00217543
3826 0.00189433
3827 0.00218713
3827 0.00218713
3828 0.00175054
3829 0.00203289
3830 0.00198683
3831 0.00211904
3832 0.00210259
3832 0.00210259
3833 0.00204719
3834 0.00208221
3835 0.00194288
3836 0.00180126
3837 0.00208723
3837 0.00208723
3838 0.00193216
3839 0.00178717
3840 0.00198567
3841 0.00192704
3842 0.00200084
3842 0.00200084
3843 0.00194585
3844 0.00203409
3845 0.00190828
3846 0.00212929
3846 0.00212929
3847 0.00195015
3848 0.00196904
3849 0.00192503
3850 0.00198914
3851 0.00193896
3851 0.00193896
3852 0.00202936
3853 0.00180836
3854 0.00192424
3855 0.0019489
3856 0.00190096
3856 0.00190096
3857 0.0018736
3858 0.00188795
3859 0.00194243
3860 0.00174617
3861 0.00192464
3861 0.00192464
3862 0.00188391
3863 0.0019488
3864 0.00192502
3865 0.0018687
3866 0.00182468
3866 0.00182468
3867 0.00191376
3868 0.00194849
3869 0.00199644
3870 0.00192572
3871 0.0018232
3871 0.0018232
3872 0.0017743
