# wave(A) trans
5497.6 0.125
5498.3 0.131
5499.0 0.122
5499.700000000001 0.132
5500.4 0.137
5501.2 0.133
5501.900000000001 0.128
5502.6 0.124
5503.3 0.122
5504.0 0.124
5504.700000000001 0.127
5505.4 0.125
5506.1 0.113
5506.900000000001 0.128
5507.6 0.123
5508.3 0.132
5509.0 0.125
5509.700000000001 0.118
5510.4 0.109
5511.1 0.122
5511.799999999999 0.125
5512.5 0.122
5513.3 0.126
5514.0 0.126
5514.700000000001 0.137
5515.4 0.139
5516.1 0.137
5516.799999999999 0.128
5517.5 0.122
5518.200000000001 0.124
5518.9 0.134
5519.6 0.132
5520.4 0.141
5521.1 0.133
5521.799999999999 0.136
5522.5 0.138
5523.200000000001 0.14
5523.9 0.126
5524.6 0.137
5525.299999999999 0.142
5526.0 0.144
5526.7 0.134
5527.5 0.143
5528.200000000001 0.138
5528.9 0.129
5529.6 0.149
5530.299999999999 0.154
5531.0 0.138
5531.7 0.159
5532.4 0.139
5533.099999999999 0.151
5533.8 0.151
5534.5 0.159
5535.299999999999 0.136
5536.0 0.142
5536.7 0.161
5537.4 0.16
5538.099999999999 0.163
5538.8 0.138
5539.5 0.142
5540.2 0.165
5540.900000000001 0.166
5541.599999999999 0.162
5542.3 0.167
5543.0 0.174
5543.8 0.166
5544.5 0.171
5545.2 0.169
5545.900000000001 0.176
5546.599999999999 0.172
5547.3 0.17
5548.0 0.18
5548.7 0.183
5549.400000000001 0.18
5550.1 0.182
5550.8 0.186
5551.5 0.188
5552.200000000001 0.187
5552.9 0.193
5553.7 0.208
5554.400000000001 0.186
5555.1 0.199
5555.8 0.196
5556.5 0.216
5557.200000000001 0.199
5557.9 0.205
5558.6 0.218
5559.299999999999 0.221
5560.0 0.216
5560.700000000001 0.231
5561.4 0.22
5562.1 0.228
5562.799999999999 0.233
5563.5 0.234
5564.2 0.241
5565.0 0.246
5565.700000000001 0.245
5566.4 0.273
5567.1 0.274
5567.799999999999 0.263
5568.5 0.268
5569.2 0.272
5569.9 0.281
5570.599999999999 0.302
5571.3 0.312
5572.0 0.306
5572.7 0.307
5573.400000000001 0.316
5574.099999999999 0.314
5574.8 0.326
5575.5 0.334
5576.2 0.355
5576.900000000001 0.347
5577.6 0.37
5578.3 0.376
5579.0 0.376
5579.700000000001 0.395
5580.4 0.394
5581.2 0.405
5581.900000000001 0.425
5582.6 0.438
5583.3 0.442
5584.0 0.446
5584.700000000001 0.464
5585.4 0.498
5586.1 0.499
5586.799999999999 0.493
