# wave(A) trans
3676.0 0.570983649
3677.0 0.538017761
3678.0 0.588691939
3679.0 0.568291895
3680.0 0.582810298
3681.0 0.496625493
3681.0 0.55808583
3682.0 0.468489283
3683.0 0.592847581
3684.0 0.564255373
3685.0 0.504032258
3686.0 0.524056068
3687.0 0.512917933
3687.0 0.56981841
3688.0 0.493811726
3689.0 0.507928642
3690.0 0.498722025
3691.0 0.509411692
3692.0 0.484306032
3692.0 0.473525613
3693.0 0.460433421
3694.0 0.460489961
3695.0 0.452322738
3696.0 0.454242626
3697.0 0.555186772
3697.0 0.474959418
3698.0 0.53905127
3699.0 0.542732749
3700.0 0.508312403
3701.0 0.543965569
3702.0 0.499940483
3702.0 0.499762018
3703.0 0.551143771
3704.0 0.475854776
3705.0 0.526284667
3706.0 0.497803807
3707.0 0.456968774
3708.0 0.480657864
3708.0 0.531914894
3709.0 0.456120092
3710.0 0.473987779
3711.0 0.423437858
3712.0 0.468785731
3713.0 0.451951867
3713.0 0.451620187
3714.0 0.521689821
3715.0 0.490887547
3716.0 0.4823602
3717.0 0.478176258
3718.0 0.479669809
3718.0 0.546569994
3719.0 0.545996029
3720.0 0.464756003
3721.0 0.516625447
3722.0 0.51164816
3723.0 0.430494251
3724.0 0.478027052
3724.0 0.39763568
3725.0 0.411344447
3726.0 0.447222372
3727.0 0.45657195
3728.0 0.44078598
3729.0 0.466274572
3729.0 0.462004142
3730.0 0.497644132
3731.0 0.491580379
3732.0 0.485791893
3733.0 0.448056684
3734.0 0.433570765
3734.0 0.530338481
3735.0 0.49390338
3736.0 0.437242798
3737.0 0.410909651
3738.0 0.478420195
3739.0 0.47715736
3739.0 0.429249571
3740.0 0.362501259
3741.0 0.453217847
3742.0 0.458327106
3743.0 0.397160304
3744.0 0.343368997
3744.0 0.456349206
3745.0 0.410099313
3746.0 0.440852314
3747.0 0.380729243
3748.0 0.471308488
3749.0 0.438807985
3750.0 0.416846342
3750.0 0.400966184
3751.0 0.43014864
3752.0 0.471608232
3753.0 0.428673494
3754.0 0.421940928
3755.0 0.426600939
3755.0 0.393682336
3756.0 0.386675984
3757.0 0.407055631
3758.0 0.415858054
3759.0 0.314203863
3760.0 0.408669299
3760.0 0.396605792
3761.0 0.379532672
3762.0 0.389792866
3763.0 0.381402107
3764.0 0.402059993
3765.0 0.387143243
3765.0 0.381542329
3766.0 0.378450579
3767.0 0.373150904
3768.0 0.402512385
3769.0 0.403297288
3770.0 0.356325884
3770.0 0.399841821
3771.0 0.344316597
3772.0 0.367647059
3773.0 0.379523009
3774.0 0.403606698
3775.0 0.411469718
3776.0 0.332580054
3776.0 0.401383492
3777.0 0.300669095
3778.0 0.312790599
3779.0 0.400489018
3780.0 0.390264373
3781.0 0.308294796
3781.0 0.41172801
3782.0 0.345502227
3783.0 0.346277517
3784.0 0.358054161
3785.0 0.348075348
3786.0 0.337714123
3786.0 0.317990949
3787.0 0.381555447
3788.0 0.406782392
3789.0 0.324987963
3790.0 0.27646446
3791.0 0.375309431
3791.0 0.362217888
3792.0 0.344445324
3793.0 0.396903368
3794.0 0.355618777
3795.0 0.368945757
3796.0 0.32019993
3796.0 0.365332297
3797.0 0.352549202
3798.0 0.312970905
3799.0 0.348966522
3800.0 0.332048395
3801.0 0.303363543
3801.0 0.337293982
3802.0 0.336687599
3803.0 0.384470411
3804.0 0.34142498
3805.0 0.376009828
3806.0 0.375394908
3806.0 0.323636634
3807.0 0.27281106
3808.0 0.335310807
3809.0 0.323684114
3810.0 0.308177716
3811.0 0.315526058
3811.0 0.316732197
3812.0 0.301884047
3813.0 0.281741015
3814.0 0.334737069
3815.0 0.322130355
3816.0 0.318381208
3816.0 0.330314331
3817.0 0.278954802
3818.0 0.357345033
3819.0 0.339826233
3820.0 0.311210574
3821.0 0.340739195
3821.0 0.295282429
3822.0 0.269151139
3823.0 0.268262485
3824.0 0.299116247
3825.0 0.334083316
3826.0 0.322624465
3826.0 0.286745606
3827.0 0.299895542
3828.0 0.309941717
3829.0 0.257818255
3830.0 0.258835241
3831.0 0.2934605
3832.0 0.300290281
3832.0 0.300508553
3833.0 0.287308874
3834.0 0.32673332
3835.0 0.264274062
3836.0 0.345220648
3837.0 0.316088247
3837.0 0.302211934
3838.0 0.29154519
3839.0 0.297153082
3840.0 0.282611457
3841.0 0.275342596
3842.0 0.28296188
3842.0 0.254869262
3843.0 0.296324318
3844.0 0.307460626
3845.0 0.346517654
3846.0 0.251365442
3847.0 0.315994919
3847.0 0.295912706
3848.0 0.234604106
3849.0 0.288750998
3850.0 0.281319757
3851.0 0.296942702
3852.0 0.320386882
3852.0 0.276192789
3853.0 0.25570062
3854.0 0.276608539
3855.0 0.269646763
3856.0 0.264047944
3857.0 0.285120285
3857.0 0.3080295
3858.0 0.270795314
3859.0 0.253942007
3860.0 0.238955589
3861.0 0.255813953
3862.0 0.272605997
3862.0 0.268553278
3863.0 0.26490829
