survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,ZTF-G,ZTF-R,ZTF-I,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV
ZTF,16.8601,16.529,16.4166,16.8697,16.496,16.3621,16.3356,243.357,65.6242,0.0911,0.0600366197183098,0.0432711864406779,0.0883999999999999,0.0624366197183098,0.0463502824858757,0.0368029556650246,99,99,99,99,99,99
ZTF,18.1282,17.6261,17.3784,18.1512,17.6063,17.3522,17.2391,244.17,22.8976,0.3466999999999999,0.2286647887323943,0.1650847457627118,0.3368,0.2394647887323944,0.1774011299435028,0.1409113300492611,99,99,99,99,99,99
ZTF,16.2775,15.964,15.8602,16.2946,15.9312,15.8054,15.7704,219.147,15.3792,0.06045,0.0397774647887324,0.0287627118644067,0.0588,0.0415774647887324,0.0306101694915254,0.0245024630541871,99,99,99,99,99,99
ZTF,16.8754,16.5935,16.465,16.8971,16.5573,16.4354,16.4052,251.031,54.0671,0.0862,0.0570366197183098,0.0412711864406779,0.0838,0.0594366197183098,0.0443502824858757,0.0348029556650246,99,99,99,99,99,99
ZTF,15.9852,15.574,15.4163,15.9905,15.5434,15.3865,15.3403,263.388,30.4277,0.18525,0.1223323943661971,0.0885423728813559,0.18,0.1277323943661972,0.0947005649717514,0.0749064039408867,99,99,99,99,99,99
ZTF,15.5763,15.2387,15.1071,15.5955,15.2162,15.0732,15.0358,248.28,79.2753,0.1149,0.0755549295774647,0.0547796610169491,0.1116,0.0791549295774648,0.0590903954802259,0.0464039408866995,99,99,99,99,99,99
ZTF,16.6303,15.961,15.7405,16.6113,15.9515,15.7122,15.6293,243.637,47.2649,0.0356499999999999,0.0235183098591549,0.0165084745762711,0.0346,0.0247183098591549,0.0177401129943502,0.0146009852216748,99,99,99,99,99,99
ZTF,17.9033,17.3376,17.1082,17.9053,17.3311,17.0919,17.0094,262.898,58.7262,0.0961,0.0632957746478873,0.0455254237288135,0.0934,0.0662957746478873,0.0492203389830508,0.039103448275862,99,99,99,99,99,99
ZTF,15.5355,15.191,15.0822,15.5417,15.167,15.032,15.0174,250.082,33.5527,0.06735,0.0447774647887323,0.0320169491525423,0.0654,0.0465774647887324,0.0344802259887005,0.0275024630541871,99,99,99,99,99,99
ZTF,17.6174,17.1329,16.9408,17.6287,17.0987,16.904,16.8406,212.37,36.8666,0.0198,0.0132591549295774,0.0092542372881355,0.0192,0.0138591549295774,0.0098700564971751,0.0083004926108374,99,99,99,99,99,99
ZTF,17.1588,16.6668,16.4691,17.1543,16.6451,16.4405,16.364,255.847,73.6529,0.15155,0.1000732394366197,0.0722881355932203,0.1472,0.1048732394366197,0.0778305084745762,0.0620049261083743,99,99,99,99,99,99
