survey,ASASSN2-B,ASASSN2-V,ASASSN2-r,ASASSN2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ASASSN2-B_AV,ASASSN2-V_AV,ASASSN2-r_AV,ASASSN2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ASASSN2,19.4465,18.5706,18.2876,18.0266,18.896,18.2811,18.0212,17.9078,149.712,3.07425,0.07945217391304348,0.059295,0.04869295774647888,0.03548587570621469,0.0692,0.04943661971830987,0.036480225988700564,0.02850246305418719
ASASSN2,18.6908,17.9176,17.6773,17.4828,18.2066,17.6782,17.4683,17.3972,149.802,3.16807,0.08349739130434783,0.062294999999999996,0.050692957746478876,0.03748587570621469,0.0722,0.051436619718309866,0.038480225988700566,0.030502463054187193
ASASSN2,18.8722,18.0444,17.7814,17.5895,18.3253,17.7792,17.576,17.5006,149.341,2.6953,0.06640695652173914,0.0500175,0.04101971830985916,0.029864406779661016,0.0578,0.0415774647887324,0.030610169491525424,0.024201970443349752
ASASSN2,18.0037,17.2668,17.0416,16.8905,17.5162,17.0576,16.8727,16.8317,149.48,2.84062,0.07140695652173912,0.05311,0.04369295774647888,0.031864406779661014,0.0616,0.04443661971830987,0.032610169491525426,0.026201970443349754
ASASSN2,18.9922,18.2162,17.9747,17.7735,18.4941,17.9838,17.7437,17.6734,149.371,2.80308,0.06840695652173914,0.05111,0.04201971830985916,0.03048587570621469,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
ASASSN2,19.5181,18.6322,18.3451,18.0901,18.9416,18.3472,18.0587,17.9569,149.578,2.82865,0.06836173913043479,0.0510175,0.04101971830985916,0.029864406779661016,0.0588,0.0415774647887324,0.030610169491525424,0.02450246305418719
ASASSN2,18.0628,17.2639,17.0129,16.8095,17.5366,17.0024,16.8,16.7334,149.227,2.62666,0.07140695652173912,0.0532025,0.04369295774647888,0.031864406779661014,0.062400000000000004,0.04443661971830987,0.032610169491525426,0.026201970443349754
ASASSN2,18.7108,17.8893,17.629,17.3886,18.1888,17.6285,17.37,17.2659,149.353,2.82521,0.07040695652173914,0.05211,0.04301971830985916,0.030864406779661017,0.0606,0.0435774647887324,0.031610169491525425,0.025201970443349753
ASASSN2,17.8395,17.1084,16.8857,16.6889,17.3578,16.877,16.6806,16.6229,149.654,2.89391,0.07240695652173912,0.05411,0.04401971830985916,0.031864406779661014,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
ASASSN2,18.4117,17.5169,17.226,16.9968,17.8461,17.2124,16.9867,16.884,149.572,2.97953,0.08045217391304348,0.06020249999999999,0.04869295774647888,0.03548587570621469,0.06939999999999999,0.04943661971830987,0.036480225988700564,0.029502463054187193
ASASSN2,17.827,17.0753,16.8439,16.6463,17.334,16.8383,16.6349,16.562,149.394,2.76023,0.06840695652173914,0.05111,0.04201971830985916,0.03048587570621469,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
