FGCM_ID,RA,DEC,FLAG,MAG_STD_G,MAG_STD_R,MAG_STD_I,MAG_STD_Z,MAG_STD_Y,MAGERR_STD_G,MAGERR_STD_R,MAGERR_STD_I,MAGERR_STD_Z,MAGERR_STD_Y,NGOOD_G,NGOOD_R,NGOOD_I,NGOOD_Z,NGOOD_Y,SOURCEID,GAIA_ATLAS-c,GAIA_ATLAS-o
457164,45.6288,4.78263,0,18.5515,17.932,17.6852,17.5467,17.5349,0.00351588,0.00252974,0.00242487,0.0029544,0.00745357,1,1,1,1,1,-999,-999,-999
456602,45.6071,4.80288,0,19.0332,18.4467,18.2278,18.0996,18.0992,0.00460653,0.00329067,0.0032469,0.00419401,0.0112638,1,1,1,1,1,-999,-999,-999
457174,45.5994,4.81413,0,19.1517,18.3788,18.0899,17.9153,17.8828,0.00494277,0.00317285,0.00300142,0.00371379,0.00958654,1,1,1,1,1,-999,-999,-999
457094,45.5843,4.81627,0,18.7631,18.2793,18.1006,18.0136,18.0117,0.0039463,0.00300934,0.00302111,0.00396077,0.010546,1,1,1,1,1,-999,-999,-999
456732,45.5111,4.42584,0,19.0874,18.5968,18.4133,18.3254,18.3528,0.00474997,0.00358205,0.00271598,0.00489205,0.0136939,1,1,2,1,1,-999,-999,-999
457036,45.6176,4.9977,0,17.8965,17.0148,16.7253,16.557,16.539,0.00254408,0.0017404,0.00163086,0.00179464,0.00388503,1,1,1,1,1,-999,-999,-999
457035,45.6175,5.0027,0,19.1349,18.1155,17.7817,17.5804,17.5563,0.00490264,0.00277185,0.00254621,0.00301975,0.00758711,1,1,1,1,1,-999,-999,-999
457149,45.5252,4.71738,0,18.3386,17.7982,17.5967,17.4814,17.499,0.00314473,0.00237618,0.00232258,0.00284321,0.00726391,1,1,1,1,1,-999,-999,-999
457026,45.5465,4.80995,0,19.1918,18.5263,18.2856,18.1661,18.1681,0.00506164,0.00343778,0.00335776,0.00438682,0.0118683,1,1,1,1,1,-999,-999,-999
456689,45.5059,4.66895,0,18.6127,17.8275,17.561,17.4081,17.3879,0.00364084,0.00241228,0.00228589,0.00272233,0.00673343,1,1,1,1,1,-999,-999,-999
456565,45.4847,4.59393,0,17.7612,17.057,16.7884,16.6463,16.6289,0.00239445,0.0017659,0.00120859,0.00185887,0.00409831,1,1,2,1,1,3685361113443072,17.4657,16.9715
