survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3K-B_AV,CFA3K-V_AV,CFA3K-r_AV,CFA3K-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3K-U,GAIA_CFA3K-B,GAIA_CFA3K-V,GAIA_CFA3K-r,GAIA_CFA3K-i
CFA3K,17.0398,16.1796,15.869,15.5977,16.5252,15.8842,15.6278,15.5328,340.603,19.9909,0.185958,0.144445,0.116769,0.0845424,0.165854,0.117732,0.0868305,0.0693054,-999,-999,-999,-999,-999,-999
CFA3K,16.3448,15.7986,15.61,15.4397,16.0163,15.621,15.4622,15.4178,340.564,20.0791,0.188724,0.146445,0.118017,0.0855424,0.167854,0.118873,0.0878305,0.0703054,-999,-999,-999,-999,-999,-999
CFA3K,17.4218,16.5936,16.294,16.0367,16.879,16.2975,16.0353,15.9199,340.55,20.0069,0.196724,0.15261,0.122769,0.0891582,0.174668,0.123732,0.0917006,0.0729064,-999,-999,-999,-999,-999,-999
CFA3K,16.3858,15.7476,15.54,15.3487,15.9665,15.5296,15.3594,15.2993,340.547,20.0159,0.196724,0.15261,0.122769,0.0891582,0.174668,0.123732,0.0917006,0.0729064,-999,-999,-999,-999,-999,-999
CFA3K,17.8018,17.2466,17.078,16.9077,17.4177,17.0366,16.8699,16.8311,340.506,19.9396,0.179958,0.140115,0.113017,0.0815424,0.160226,0.113873,0.0838305,0.0673054,-999,-999,-999,-999,-999,-999
CFA3K,16.9508,16.3676,16.213,16.0767,16.53,16.1698,16.0586,16.0345,340.504,19.9582,0.182958,0.14228,0.114769,0.0835424,0.16304,0.115732,0.0858305,0.0683054,-999,-999,-999,-999,-999,-999
CFA3K,16.8068,15.9676,15.667,15.4127,16.2502,15.6315,15.3884,15.3033,340.483,19.9575,0.179958,0.140115,0.112769,0.0815424,0.160226,0.113732,0.0838305,0.0666059,-999,-999,-999,-999,-999,-999
CFA3K,16.5948,15.7656,15.494,15.2577,16.0801,15.4947,15.2861,15.1976,340.449,20.0514,0.194724,0.15161,0.121769,0.0881582,0.173668,0.122732,0.0907006,0.0726059,-999,-999,-999,-999,-999,-999
CFA3K,15.6678,15.0256,14.834,14.6617,15.2866,14.8551,14.7147,14.6664,340.449,20.0871,0.19649,0.15261,0.122769,0.0891582,0.174668,0.123732,0.0917006,0.0729064,-999,-999,-999,-999,-999,-999
CFA3K,17.8762,16.9943,,,17.3566,16.6459,16.3067,16.1577,308.964,64.7726,1.38637,1.0786,0.869135,0.630723,1.2343,0.875986,0.648774,0.515143,-999,-999,-999,-999,-999,-999
CFA3K,17.9868,17.2374,16.9393,16.6695,17.5434,16.9461,16.6929,16.573,144.438,23.2279,0.123894,0.096465,0.0775127,0.0563107,0.110089,0.0781549,0.0580904,0.0461034,-999,-999,-999,-999,-999,-999
CFA3K,15.8858,15.2554,15.0703,14.9025,15.4748,15.0587,14.9111,14.8825,144.418,23.1493,0.107128,0.083135,0.0667606,0.0486949,0.0954612,0.0672958,0.0502203,0.0401034,644195964269576448,16.7523,15.8085,15.2679,15.0558,14.9091
CFA3K,17.0318,16.1474,15.8063,15.5185,16.5042,15.8024,15.5413,15.4366,144.415,23.1323,0.107128,0.083135,0.0667606,0.0486949,0.0954612,0.0672958,0.0502203,0.0401034,-999,-999,-999,-999,-999,-999
CFA3K,15.9058,15.3014,15.1263,14.9635,15.502,15.1161,14.9535,14.9377,144.389,23.1135,0.104128,0.08097,0.0657606,0.0470791,0.0926475,0.0662958,0.0483503,0.038803,-999,-999,-999,-999,-999,-999
CFA3K,15.9058,15.3014,15.1263,14.9635,15.5029,15.1131,14.9764,14.9487,144.389,23.1135,0.104128,0.08097,0.0657606,0.0470791,0.0926475,0.0662958,0.0483503,0.038803,-999,-999,-999,-999,-999,-999
CFA3K,16.5498,15.9684,15.7873,15.6515,16.1778,15.7961,15.664,15.6423,144.362,23.2389,0.115128,0.0903,0.0725127,0.0526949,0.103275,0.0731549,0.0542203,0.0431034,644209227128547840,17.4074,16.4956,15.9927,15.7988,15.6723
CFA3K,17.0808,16.3044,16.0523,15.8355,16.5706,16.0245,15.8196,15.7562,144.291,23.1715,0.104128,0.08097,0.0650085,0.0470791,0.0926475,0.0654366,0.0483503,0.038803,-999,-999,-999,-999,-999,-999
CFA3K,15.8088,15.3524,15.2413,15.1405,15.4624,15.2072,15.128,15.1414,144.289,23.1764,0.104362,0.08097,0.0657606,0.0476949,0.0926475,0.0662958,0.0492203,0.038803,-999,-999,-999,-999,-999,-999
CFA3K,16.6228,15.7194,15.3473,15.0605,16.081,15.3727,15.0915,14.9757,144.289,23.2427,0.105128,0.08197,0.0657606,0.0476949,0.0936475,0.0662958,0.0492203,0.0391034,-999,-999,-999,-999,-999,-999
CFA3K,16.2081,15.7231,15.596,15.4815,15.9161,15.7571,15.5372,15.6754,139.117,-16.2342,0.171958,0.133785,0.108017,0.0779266,0.152599,0.108873,0.0799605,0.0640049,-999,-999,-999,-999,-999,-999
CFA3K,15.7495,15.2736,15.1403,15.0213,15.4521,15.1474,15.0291,15.027,139.08,-16.2322,0.175958,0.13695,0.110017,0.0805424,0.156413,0.110873,0.0828305,0.0653054,5682925839295053568,16.4381,15.7126,15.2967,15.1351,15.0325
CFA3K,16.253,15.5346,15.2888,15.0738,15.7943,15.2875,15.0625,14.9984,139.074,-16.3777,0.165192,0.12862,0.103265,0.0749266,0.146785,0.104014,0.0769605,0.0610049,5682920032499392768,17.2995,16.1913,15.5523,15.275,15.0645
CFA3K,16.723,16.0371,15.8393,15.6478,16.2724,15.8198,15.6448,15.5954,139.055,-16.3512,0.177958,0.139115,0.112017,0.0815424,0.159226,0.112873,0.0838305,0.0663054,5682920307377299456,17.6216,16.6369,16.0529,15.8136,15.6452
CFA3K,17.1535,16.4991,16.2738,16.0843,17.0354,16.7022,16.4053,16.3865,139.049,-16.3215,0.183724,0.143115,0.115017,0.0835424,0.163226,0.115873,0.0858305,0.0683054,-999,-999,-999,-999,-999,-999
CFA3K,17.1325,16.5671,16.4468,16.2973,16.7524,16.4107,16.3007,16.2788,139.017,-16.3196,0.183958,0.14328,0.115017,0.0835424,0.16404,0.115873,0.0858305,0.0683054,-999,-999,-999,-999,-999,-999
CFA3K,17.091,16.5491,16.4268,16.3368,16.6908,16.3798,16.2913,16.2751,139.011,-16.3621,0.175958,0.13695,0.110017,0.0805424,0.156413,0.110873,0.0828305,0.0653054,-999,-999,-999,-999,-999,-999
CFA3K,16.8865,16.4231,16.2983,16.1828,16.5554,16.2589,16.1641,16.1591,139.004,-16.3236,0.183958,0.14328,0.115017,0.0835424,0.16404,0.115873,0.0858305,0.0683054,5682923571552333824,17.489,16.7898,16.4079,16.2607,16.1635
CFA3K,16.39,15.4936,15.1283,14.8308,15.8304,15.1256,14.8399,14.7233,138.975,-16.2852,0.185724,0.14428,0.116017,0.0845424,0.16504,0.116873,0.0868305,0.0686059,-999,-999,-999,-999,-999,-999
CFA3K,16.6901,16.2939,16.1898,16.0821,16.4513,16.2133,16.0996,16.0821,205.284,67.7159,0.0708301,0.055145,0.0442563,0.0324633,0.0635788,0.0445775,0.0334802,0.026202,-999,-999,-999,-999,-999,-999
CFA3K,16.7728,16.0131,15.7345,15.5151,16.358,15.7593,15.5387,15.4606,78.021,5.26563,0.402215,0.31255,0.25229,0.182932,0.357963,0.254324,0.188271,0.149512,3238930705880327424,17.9257,16.7832,16.0694,15.7544,15.541
CFA3K,16.2841,15.6239,15.4106,15.2187,15.8942,15.4272,15.2353,15.1895,78.0036,5.25663,0.402215,0.31255,0.25229,0.182932,0.357963,0.254324,0.188271,0.149512,3238929228411582592,17.1494,16.2455,15.6604,15.4182,15.2397
CFA3K,16.4761,15.9706,15.8317,15.6891,16.1781,15.8335,15.7044,15.6799,77.9868,5.19093,0.406215,0.315715,0.25429,0.184932,0.361776,0.256324,0.190271,0.150813,3238928335058405632,17.2141,16.4232,15.9996,15.8346,15.7042
CFA3K,16.6671,16.0199,15.8103,15.6194,16.3038,15.8288,15.6354,15.5923,77.9332,5.25395,0.405215,0.31555,0.25429,0.184316,0.360963,0.256324,0.189401,0.150512,3238930087405057792,17.5407,16.6406,16.0663,15.829,15.6507
CFA3K,16.419,15.6722,15.4429,15.247,16.0004,15.4632,15.2864,15.2337,77.91,5.27502,0.404215,0.31455,0.25329,0.183932,0.359963,0.255324,0.189271,0.150512,3239117829015755264,17.5382,16.3961,15.7364,15.4652,15.2892
CFA3K,16.8871,16.0214,15.6833,15.4136,16.3503,15.676,15.4252,15.33,47.2443,-7.07821,0.252554,0.19626,0.158025,0.115006,0.224805,0.15931,0.118311,0.0938079,5179904251748987392,18.321,16.8456,16.063,15.6764,15.4219
CFA3K,17.8316,17.2324,17.0458,16.9027,17.4233,17.026,16.8893,16.857,47.2159,-7.08269,0.254788,0.19826,0.160025,0.116006,0.226805,0.16131,0.119311,0.0948079,-999,-999,-999,-999,-999,-999
CFA3K,15.9261,15.3245,15.1298,14.9208,15.5596,15.1245,14.9349,14.8715,36.9986,28.1121,0.466045,0.362365,0.292546,0.212164,0.414914,0.294901,0.218011,0.173714,130668680560490880,16.6751,15.8711,15.3603,15.1287,14.9287
CFA3K,16.8751,16.1315,15.8508,15.5468,16.4124,15.8352,15.5629,15.4378,36.9373,28.1874,0.477045,0.370695,0.298546,0.21678,0.424541,0.300901,0.222881,0.177015,130673383549142528,17.6696,16.7954,16.146,15.8345,15.5526
CFA3K,17.1351,16.4475,16.2238,16.0348,16.673,16.2011,16.0023,15.9461,36.9367,28.1191,0.470045,0.36553,0.294546,0.21378,0.418727,0.296901,0.219881,0.174714,130669539553678080,18.0313,17.0388,16.4679,16.2086,16.0103
CFA3K,16.2301,15.5405,15.3308,15.1438,15.7485,15.2937,15.1175,15.0558,36.879,28.0932,0.475811,0.369695,0.298546,0.216395,0.423541,0.300901,0.222751,0.177015,-999,-999,-999,-999,-999,-999
CFA3K,16.7951,16.0255,15.7498,15.5018,16.3026,15.7413,15.5118,15.4068,36.8314,28.1821,0.445513,0.346705,0.279042,0.202548,0.396659,0.281183,0.208141,0.165414,-999,-999,-999,-999,-999,-999
CFA3K,16.022,15.2999,15.0688,14.8844,15.555,15.0536,14.893,14.8495,21.8082,19.102,0.193724,0.15061,0.121769,0.0881582,0.172668,0.122732,0.0907006,0.0716059,2786188341962955264,17.0916,15.9537,15.316,15.0501,14.8912
CFA3K,15.769,15.1789,14.9888,14.8374,15.3615,14.974,14.8449,14.8135,21.7453,19.1265,0.193724,0.15061,0.121769,0.0881582,0.172668,0.122732,0.0907006,0.0719064,2786200402231296640,16.4394,15.6916,15.2242,15.0217,14.8367
CFA3K,17.401,16.8179,16.6608,16.5064,16.9869,16.6216,16.4804,16.44,21.6966,19.0968,0.197724,0.15361,0.123769,0.0901582,0.175668,0.124732,0.0927006,0.0736059,2786199921194748160,18.0842,17.2832,16.7969,16.6171,16.483
