survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3S-B,GAIA_CFA3S-V,GAIA_CFA3S-R,GAIA_CFA3S-I
CFA3S,18.0873,17.3784,16.8598,16.462,17.6406,17.1136,16.9117,16.843,105.054,59.5102,0.247753,0.193321,0.145623,0.10575,0.222991,0.15831,0.117311,0.0928079,-999,-999,-999,-999,-999
CFA3S,16.1763,15.6174,15.1748,14.982,15.6773,15.2437,15.0617,15.0005,105.017,59.4646,0.249753,0.194445,0.146623,0.10675,0.224805,0.15931,0.118311,0.0938079,1002510448527268480,15.9629,15.4605,15.1955,15.038
CFA3S,16.4183,15.8174,15.3808,15.016,16.0291,15.5796,15.4289,15.3789,104.899,59.4705,0.247135,0.192445,0.145623,0.10575,0.222805,0.15831,0.117311,0.0928079,-999,-999,-999,-999,-999
CFA3S,17.6693,16.8824,16.3008,15.87,17.1645,16.5473,16.3097,16.2163,104.842,59.5469,0.248135,0.193321,0.145623,0.10575,0.222991,0.15831,0.117311,0.0928079,-999,-999,-999,-999,-999
CFA3S,16.473,15.843,15.4032,15.0465,16.0777,15.6346,15.4774,15.4483,137.357,50.3266,0.0554744,0.0432375,0.0329161,0.023875,0.0501375,0.0355775,0.0266102,0.0209015,-999,-999,-999,-999,-999
CFA3S,16.5782,16.0646,15.6678,15.3239,16.2279,15.8745,15.7474,15.728,160.067,24.1822,0.0807115,0.0627325,0.0478742,0.034875,0.0723925,0.0514366,0.0384802,0.0305025,-999,-999,-999,-999,-999
CFA3S,18.8359,18.2136,17.7021,17.1509,18.4927,18.008,17.7928,17.6455,160.044,24.0678,0.0877115,0.06798,0.0518602,0.037,0.07902,0.0562958,0.0413503,0.032803,-999,-999,-999,-999,-999
CFA3S,16.705,15.981,15.4715,15.049,16.2539,15.7007,15.4922,15.4088,159.99,24.0515,0.0903301,0.06998,0.0528602,0.038875,0.08102,0.0574366,0.0424802,0.033803,-999,-999,-999,-999,-999
CFA3S,18.9146,18.4383,18.0222,17.7173,18.6108,18.2935,18.1392,18.05,159.953,24.0322,0.0817115,0.0637325,0.0478742,0.034875,0.0733925,0.0524366,0.0384802,0.0305025,-999,-999,-999,-999,-999
CFA3S,17.099,16.348,15.8012,15.3703,16.6322,16.0363,15.8158,15.7335,159.949,24.0552,0.0857115,0.0668563,0.0508602,0.036875,0.0772063,0.0544366,0.0404802,0.0325025,-999,-999,-999,-999,-999
