survey,CFA4P1-B,CFA4P1-V,CFA4P1-r,CFA4P1-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P1-B_AV,CFA4P1-V_AV,CFA4P1-r_AV,CFA4P1-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA4P1-B,GAIA_CFA4P1-V,GAIA_CFA4P1-r,GAIA_CFA4P1-i
CFA4,16.5082,15.8446,15.6117,15.4238,16.1079,15.6257,15.444,15.3787,182.566,47.1743,0.0718301,0.0552513,0.0451718,0.0331356,0.0644,0.0455775,0.0336102,0.0265025,1545890641162797568,16.4362,15.8443,15.6062,15.4319
CFA4,16.2845,15.645,15.4506,15.2969,15.8741,15.4611,15.3027,15.2671,182.54,47.0301,0.0630641,0.0480587,0.0391718,0.0291356,0.0558,0.0395775,0.0296102,0.023202,1545885349763602432,16.1709,15.6514,15.4537,15.3018
CFA4,15.6935,15.213,15.0891,14.9663,15.3802,15.0863,14.9879,14.9794,182.424,47.1216,0.0668301,0.051155,0.0421718,0.0308475,0.0596,0.0425775,0.0314802,0.025202,1545886655433150592,15.59,15.2103,15.076,14.9795
CFA4,17.4232,16.8572,16.6724,16.5234,17.0477,16.6594,16.548,16.5149,174.368,15.4514,0.118128,0.090925,0.0743437,0.0542712,0.105,0.0751549,0.0552203,0.0441034,-999,-999,-999,-999,-999
CFA4,17.593,16.6097,16.2314,15.9185,17.0177,16.2778,15.9666,15.8151,174.24,15.4761,0.126894,0.0971175,0.0793437,0.0582712,0.1126,0.0801549,0.0592203,0.0474039,3972305270843492992,17.4717,16.646,16.2736,15.9515
CFA4,16.4986,15.8025,15.5995,15.4093,16.0459,15.5895,15.4185,15.363,6.35644,12.8534,0.258554,0.198331,0.161687,0.119254,0.23,0.16331,0.121311,0.0958079,2755788185484831360,16.3683,15.7979,15.5757,15.4152
CFA4,16.509,15.8203,15.6173,15.4179,16.0492,15.6123,15.4384,15.3828,6.34734,12.8867,0.258554,0.198331,0.161687,0.119254,0.23,0.16331,0.121311,0.0961084,2755789147557504640,16.3528,15.8055,15.5954,15.4306
CFA4,16.4423,15.7611,15.557,15.3822,15.9995,15.5287,15.3526,15.2926,6.32174,12.8211,0.254788,0.195235,0.159687,0.117254,0.2262,0.16131,0.119311,0.0948079,2755787463930326144,16.3369,15.7467,15.5199,15.3453
CFA4,15.9703,15.4071,15.2479,15.1081,15.5707,15.2206,15.1031,15.0924,192.114,54.0778,0.0570641,0.0439625,0.0354479,0.0261356,0.051,0.0357183,0.0266102,0.021202,-999,-999,-999,-999,-999
CFA4,16.3252,15.6616,15.4405,15.2633,15.878,15.4292,15.2682,15.2244,192.086,53.9726,0.0600641,0.0460587,0.0381718,0.0281356,0.0538,0.0385775,0.0286102,0.022202,1570372367066626304,16.2028,15.6406,15.4237,15.2723
CFA4,17.4064,16.569,16.2239,15.8942,16.8237,16.1533,15.8958,15.7709,192.078,54.0548,0.0630641,0.0480587,0.0391718,0.0291356,0.0558,0.0395775,0.0296102,0.023202,1570419989663979136,17.2376,16.4931,16.1493,15.866
CFA4,17.7539,17.1228,16.9177,16.7501,17.3195,16.9054,16.76,16.7507,192.05,54.0799,0.0590641,0.0459625,0.0371718,0.0271356,0.053,0.0375775,0.0276102,0.022202,-999,-999,-999,-999,-999
CFA4,16.7138,16.1404,15.9609,15.8312,16.3085,15.9463,15.8167,15.8157,192.045,53.972,0.0590641,0.0450587,0.0371718,0.0271356,0.0528,0.0375775,0.0276102,0.022202,-999,-999,-999,-999,-999
CFA4,18.037,17.2712,16.9913,16.6845,17.5414,16.9776,16.7117,16.5984,191.996,54.0656,0.0590641,0.0449625,0.0371718,0.0271356,0.052,0.0375775,0.0276102,0.022202,-999,-999,-999,-999,-999
CFA4,16.0512,15.4657,15.2819,15.138,15.6666,15.286,15.1558,15.1329,191.979,54.0807,0.0540641,0.0418663,0.0341718,0.0251356,0.0482,0.0345775,0.0256102,0.020202,-999,-999,-999,-999,-999
CFA4,18.3883,17.7851,17.5608,17.3623,17.9568,17.5375,17.3592,17.3024,191.886,53.9884,0.0470641,0.03577,0.0294479,0.0214237,0.0414,0.0297183,0.0217401,0.017601,1570045159278010880,18.2786,17.7552,17.5469,17.385
CFA4,16.5604,15.684,15.3442,15.001,16.0489,15.3612,15.0293,14.8764,245.614,-1.57308,0.425747,0.326122,0.266479,0.195661,0.3782,0.269183,0.199141,0.158113,-999,-999,-999,-999,-999
CFA4,16.6514,15.815,15.4934,15.1873,16.1432,15.5024,15.2118,15.0794,245.613,-1.51352,0.409215,0.313834,0.255755,0.187949,0.3638,0.258324,0.191271,0.151813,4406925071796503552,16.5552,15.8075,15.4816,15.1963
CFA4,17.0247,16.2533,15.9745,15.7854,16.7421,16.1962,15.9734,15.8828,245.608,-1.42993,0.399215,0.305737,0.249755,0.183237,0.355,0.252324,0.186401,0.148512,-999,-999,-999,-999,-999
CFA4,18.5933,17.6955,17.3333,17.0351,17.9759,17.333,17.0479,16.9126,245.605,-1.44537,0.402215,0.307737,0.251755,0.184949,0.357,0.254324,0.188271,0.149512,-999,-999,-999,-999,-999
CFA4,18.2458,17.4158,17.0878,16.7656,17.7389,17.1051,16.8038,16.6721,245.605,-1.46013,0.402215,0.307737,0.251755,0.184949,0.357,0.254324,0.188271,0.149512,-999,-999,-999,-999,-999
CFA4,18.2256,17.3734,17.0582,16.7641,17.6951,17.0551,16.7739,16.628,245.603,-1.52871,0.416747,0.31893,0.260479,0.191661,0.3696,0.263183,0.195141,0.154813,4406923594327751936,18.1318,17.368,17.0448,16.7608
CFA4,18.3429,17.9089,17.7743,17.6693,18.0882,17.7785,17.653,17.5852,245.6,-1.49139,0.407215,0.311834,0.254755,0.186949,0.3618,0.257324,0.190271,0.151512,-999,-999,-999,-999,-999
CFA4,16.9275,16.1115,15.8166,15.5729,16.4344,15.8185,15.5972,15.4904,245.596,-1.49586,0.408981,0.312834,0.255755,0.187949,0.3628,0.258324,0.191271,0.151813,4406925376736543744,16.8437,16.1087,15.803,15.581
CFA4,17.6314,17.0096,16.7938,16.6133,17.2424,16.8001,16.6237,16.551,245.595,-1.54294,0.420981,0.322122,0.263479,0.193661,0.3742,0.266183,0.197141,0.156813,-999,-999,-999,-999,-999
CFA4,16.2109,15.3837,15.076,14.8104,15.7041,15.083,14.8304,14.7059,245.593,-1.5592,0.420981,0.322122,0.263479,0.193661,0.3742,0.266183,0.197141,0.156813,4406922700974305920,16.0986,15.3795,15.0582,14.8069
