survey,CFA4P2-B,CFA4P2-V,CFA4P2-r,CFA4P2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P2-B_AV,CFA4P2-V_AV,CFA4P2-r_AV,CFA4P2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA4,16.9204,16.2216,15.9866,15.7547,16.4187,15.9295,15.6954,15.5983,44.5563,6.52149,0.6653910256410256,0.52271,0.4281661971830987,0.3142033898305085,0.6072,0.43249295774647895,0.3195819209039548,0.25392118226600985
CFA4,17.1964,16.4898,16.2414,15.9953,16.7081,16.2155,15.9859,15.899,44.5479,6.6066,0.7784935897435897,0.61151,0.5007859154929578,0.36818644067796613,0.7101999999999999,0.5057887323943663,0.3746723163841808,0.2970246305418719
CFA4,16.2039,15.5602,15.3559,15.1353,15.7557,15.2855,15.0786,15.0154,44.5168,6.54705,0.7005544871794872,0.55125,0.4506140845070423,0.33133898305084747,0.64,0.4552112676056339,0.33719209039548026,0.2675221674876847
CFA4,16.4764,15.9471,15.7819,15.6277,16.1482,15.7745,15.643,15.6191,39.6088,-1.26426,0.11010256410256411,0.0868,0.07061971830985916,0.052271186440677964,0.10099999999999999,0.07129577464788733,0.05322033898305085,0.04210344827586207
CFA4,16.3578,15.494,15.1502,14.8838,15.8499,15.1475,14.8916,14.798,39.5825,-1.37461,0.10710256410256411,0.08371,0.06861971830985918,0.050559322033898305,0.09720000000000001,0.06929577464788735,0.051350282485875705,0.04110344827586207
CFA4,15.6717,15.1538,15.0081,14.8753,15.3359,14.9814,14.852,14.8327,39.5231,-1.35239,0.1031025641025641,0.08071,0.06661971830985917,0.04855932203389831,0.0942,0.06729577464788734,0.04935028248587571,0.03910344827586207
CFA4,17.1678,16.642,16.4778,16.3308,16.8375,16.4829,16.361,16.332,39.4848,-1.2432,0.11210256410256411,0.08779999999999999,0.07161971830985916,0.053271186440677964,0.102,0.07229577464788733,0.05422033898305085,0.04310344827586207
CFA4,16.461,15.8435,15.6217,15.3899,16.0861,15.6096,15.4233,15.3492,306.685,2.93796,0.4809615384615385,0.37865,0.3096507042253522,0.22750847457627119,0.439,0.31276056338028174,0.23162146892655366,0.18401477832512314
CFA4,17.6574,16.9421,16.6783,16.4598,17.173,16.6488,16.4712,16.4008,306.684,2.90641,0.47057371794871794,0.36956,0.3026507042253522,0.22208474576271187,0.4292,0.30576056338028174,0.2258813559322034,0.18001477832512316
CFA4,17.491,16.7469,16.4492,16.1632,17.0453,16.4488,16.1837,16.0552,306.675,2.96402,0.4809615384615385,0.37773999999999996,0.3096507042253522,0.22750847457627119,0.4388,0.31276056338028174,0.23162146892655366,0.1833152709359606
CFA4,16.2021,15.5523,15.3347,15.1377,15.7863,15.3214,15.1418,15.0957,306.669,2.87179,0.45918589743589744,0.36038,0.2949267605633803,0.21708474576271186,0.41859999999999997,0.2979014084507043,0.2208813559322034,0.17501477832512316
CFA4,17.2846,16.6558,16.4423,16.2278,16.8947,16.4277,16.2432,16.1715,306.666,2.95013,0.4809615384615385,0.37773999999999996,0.3096507042253522,0.22750847457627119,0.4388,0.31276056338028174,0.23162146892655366,0.1833152709359606
CFA4,17.5317,16.8531,16.615,16.3995,17.0913,16.5977,16.417,16.3429,306.661,2.90707,0.46657371794871794,0.36656,0.2999267605633803,0.22079661016949154,0.4262,0.3029014084507043,0.22475141242937854,0.17801477832512316
CFA4,17.0569,16.3206,16.0496,15.7954,16.5858,16.0259,15.8183,15.7232,306.658,2.837,0.4244102564102564,0.33384,0.2724788732394367,0.20066101694915253,0.38780000000000003,0.2751830985915494,0.2041412429378531,0.16211330049261083
CFA4,17.6612,16.8428,16.5297,16.2469,17.118,16.495,16.2409,16.1359,306.657,2.92622,0.4809615384615385,0.37773999999999996,0.3089267605633803,0.22679661016949154,0.4388,0.3119014084507043,0.23075141242937855,0.1833152709359606
CFA4,17.5241,16.7808,16.5109,16.2586,17.0086,16.4871,16.2514,16.1686,306.654,2.91814,0.4809615384615385,0.37773999999999996,0.3089267605633803,0.22679661016949154,0.4388,0.3119014084507043,0.23075141242937855,0.1833152709359606
CFA4,17.1983,16.3048,15.9456,15.6147,16.6475,15.935,15.6136,15.4816,306.649,2.8838,0.46057371794871793,0.36238,0.2959267605633803,0.21808474576271186,0.4206,0.2989014084507043,0.2218813559322034,0.17601477832512316
CFA4,17.7216,16.7801,16.4065,16.047,17.2084,16.403,16.0771,15.9145,306.643,2.98032,0.47457371794871794,0.37265,0.3049267605633803,0.22408474576271187,0.433,0.3079014084507043,0.2278813559322034,0.1813152709359606
CFA4,17.7581,16.8541,16.4569,16.1599,17.2153,16.4561,16.1923,16.058,306.64,2.95339,0.4759615384615385,0.37465,0.3059267605633803,0.22479661016949154,0.435,0.3089014084507043,0.22875141242937855,0.18201477832512314
CFA4,16.0022,15.3445,15.1249,14.9237,15.5791,15.1025,14.9076,14.8575,306.638,2.83297,0.42941025641025643,0.33784000000000003,0.27620281690140847,0.20266101694915253,0.3918,0.27904225352112677,0.2061412429378531,0.16411330049261083
CFA4,17.6551,16.8777,16.5564,16.2409,17.1352,16.5615,16.3326,16.2405,306.637,2.93488,0.4799615384615385,0.37765,0.3086507042253522,0.22679661016949154,0.438,0.31176056338028174,0.23075141242937855,0.1833152709359606
CFA4,17.3259,16.6315,16.3626,16.1145,16.8739,16.3392,16.1014,16.0084,306.633,2.82984,0.42941025641025643,0.33784000000000003,0.27620281690140847,0.20266101694915253,0.3918,0.27904225352112677,0.2061412429378531,0.16411330049261083
CFA4,17.8234,17.0662,16.8096,16.5798,17.2716,16.7648,16.579,16.5104,306.632,2.90622,0.46857371794871794,0.36846999999999996,0.3009267605633803,0.22108474576271187,0.4274,0.3039014084507043,0.2248813559322034,0.17901477832512316
CFA4,18.1718,17.3918,17.1475,16.8921,17.6026,17.0832,16.8732,16.7892,306.62,2.90924,0.46857371794871794,0.36856,0.3016507042253522,0.22179661016949154,0.4282,0.30476056338028173,0.22575141242937855,0.17901477832512316
CFA4,18.0475,17.4178,17.2289,16.998,17.5808,17.1561,16.9919,16.936,306.619,2.83418,0.43441025641025643,0.34193,0.27920281690140847,0.2053728813559322,0.3966,0.2820422535211268,0.20901129943502825,0.16641379310344828
CFA4,16.7234,16.0422,15.8287,15.6234,16.2583,15.7841,15.6114,15.5549,306.619,2.9229,0.47557371794871794,0.37365,0.3056507042253522,0.22479661016949154,0.434,0.30876056338028174,0.22875141242937855,0.18201477832512314
CFA4,15.7699,15.1944,15.0168,14.8554,15.393,14.9954,14.8411,14.8128,306.617,2.84961,0.44718589743589743,0.35119999999999996,0.2872028169014085,0.2113728813559322,0.408,0.2900422535211268,0.21501129943502825,0.1707142857142857
CFA4,17.6247,17.098,16.9133,16.7735,17.258,16.8799,16.745,16.7016,306.613,2.98987,0.4699615384615385,0.36956,0.3019267605633803,0.22208474576271187,0.4292,0.3049014084507043,0.2258813559322034,0.1793152709359606
CFA4,16.1197,15.5765,15.4256,15.2898,15.7517,15.384,15.274,15.2608,306.612,2.8263,0.43441025641025643,0.34193,0.27920281690140847,0.2053728813559322,0.3966,0.2820422535211268,0.20901129943502825,0.16641379310344828
CFA4,17.9676,17.3466,17.1536,16.9964,17.5847,17.1859,17.0039,16.9246,306.606,2.98315,0.4699615384615385,0.36956,0.3019267605633803,0.22208474576271187,0.4292,0.3049014084507043,0.2258813559322034,0.1793152709359606
CFA4,17.0424,16.3271,16.0807,15.8837,16.5328,16.0204,15.8377,15.7726,306.602,2.91903,0.47157371794871794,0.37065,0.3036507042253522,0.22279661016949154,0.431,0.30676056338028174,0.22675141242937855,0.18001477832512316
CFA4,17.1283,16.5981,16.4031,16.2285,16.7569,16.3743,16.2075,16.1713,306.598,2.87385,0.46257371794871793,0.36346999999999996,0.2969267605633803,0.21879661016949153,0.4224,0.2999014084507043,0.22275141242937854,0.1767142857142857
CFA4,17.0964,16.4911,16.3218,16.1369,16.7518,16.3128,16.1402,16.0983,306.598,2.84614,0.44779807692307694,0.35219999999999996,0.2882028169014085,0.2113728813559322,0.409,0.2910422535211268,0.21501129943502825,0.1707142857142857
CFA4,17.9504,17.3198,17.0981,16.9871,17.7461,17.3185,17.1452,17.0836,306.597,2.90065,0.46518589743589744,0.36546999999999996,0.2989267605633803,0.22008474576271186,0.4244,0.3019014084507043,0.2238813559322034,0.17801477832512316
CFA4,17.6679,16.9823,16.7554,16.5707,17.2265,16.7293,16.5333,16.4755,306.594,2.86915,0.46257371794871793,0.36346999999999996,0.2969267605633803,0.21879661016949153,0.4224,0.2999014084507043,0.22275141242937854,0.1767142857142857
CFA4,16.5737,15.9789,15.7592,15.5908,16.1853,15.7565,15.5897,15.5454,306.593,2.9041,0.46518589743589744,0.36546999999999996,0.2989267605633803,0.22008474576271186,0.4244,0.3019014084507043,0.2238813559322034,0.17801477832512316
CFA4,17.475,16.6802,16.3825,16.0915,16.9762,16.3447,16.0587,15.9532,306.592,2.87102,0.46257371794871793,0.36346999999999996,0.2969267605633803,0.21879661016949153,0.4224,0.2999014084507043,0.22275141242937854,0.1767142857142857
CFA4,17.8426,17.2391,17.0153,16.8009,17.4243,16.9523,16.7458,16.6822,306.579,2.88098,0.45618589743589744,0.35838,0.2929267605633803,0.21537288135593222,0.41659999999999997,0.2959014084507043,0.21901129943502826,0.17401477832512316
CFA4,16.7971,16.122,15.9147,15.7227,16.3497,15.8615,15.6854,15.6327,306.577,2.8706,0.45618589743589744,0.35838,0.2929267605633803,0.21537288135593222,0.41659999999999997,0.2959014084507043,0.21901129943502826,0.17401477832512316
CFA4,17.6599,17.0844,16.9037,16.7629,17.2211,16.8242,16.6712,16.6143,306.577,2.89962,0.46218589743589744,0.36338,0.2969267605633803,0.21808474576271186,0.4216,0.2999014084507043,0.2218813559322034,0.1767142857142857
CFA4,17.1841,16.5509,16.3384,16.1802,16.7486,16.3101,16.1369,16.0885,306.574,2.89437,0.46218589743589744,0.36338,0.2969267605633803,0.21808474576271186,0.4216,0.2999014084507043,0.2218813559322034,0.1767142857142857
CFA4,17.7228,17.0275,16.8099,16.5944,17.339,16.8398,16.6308,16.552,306.572,2.86047,0.44879807692307694,0.35319999999999996,0.2882028169014085,0.21208474576271186,0.41,0.2910422535211268,0.2158813559322034,0.1717142857142857
CFA4,16.637,15.9776,15.7733,15.5865,16.1868,15.7163,15.5388,15.4923,306.563,2.83859,0.43679807692307693,0.34393,0.28120281690140847,0.2063728813559322,0.3986,0.2840422535211268,0.21001129943502825,0.1667142857142857
CFA4,17.1411,16.4572,16.2294,16.0118,16.6557,16.1554,15.9705,15.9078,306.56,2.84755,0.44879807692307694,0.35319999999999996,0.2882028169014085,0.21208474576271186,0.41,0.2910422535211268,0.2158813559322034,0.1717142857142857
CFA4,17.7991,17.2078,17.0025,16.8187,17.3431,16.9051,16.7321,16.6925,306.558,2.88126,0.45618589743589744,0.35838,0.2929267605633803,0.21537288135593222,0.41659999999999997,0.2959014084507043,0.21901129943502826,0.17401477832512316
CFA4,16.058,15.4833,15.3068,15.1629,15.6502,15.2572,15.1276,15.1045,306.557,2.82545,0.43679807692307693,0.34393,0.28120281690140847,0.2063728813559322,0.3986,0.2840422535211268,0.21001129943502825,0.1667142857142857
CFA4,16.396,15.7785,15.6029,15.4488,16.0399,15.616,15.47,15.4378,306.555,2.9148,0.46218589743589744,0.36338,0.2969267605633803,0.21808474576271186,0.4216,0.2999014084507043,0.2218813559322034,0.1767142857142857
CFA4,17.6616,16.7873,16.5061,16.2569,17.1484,16.5284,16.3102,16.2182,306.554,2.89113,0.45218589743589743,0.35529,0.2909267605633803,0.21408474576271186,0.4128,0.2939014084507043,0.2178813559322034,0.1727142857142857
