survey,CSP-B,CSP-V,CSP-o,CSP-m,CSP-n,CSP-g,CSP-r,CSP-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSP-B_AV,CSP-V_AV,CSP-o_AV,CSP-m_AV,CSP-n_AV,CSP-g_AV,CSP-r_AV,CSP-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CSP-u,GAIA_CSP-g,GAIA_CSP-r,GAIA_CSP-i,GAIA_CSP-B,GAIA_CSP-V,GAIA_CSP-o,GAIA_CSP-m,GAIA_CSP-n,GAIA_CSP-Y,GAIA_CSP-y
CSP,17.3988,16.5951,16.5951,16.5951,16.5951,16.9754,16.2983,16.0275,16.879,16.2975,16.0353,15.9199,340.55,20.0069,0.195827,0.15244,0.151037,0.152482,0.15244,0.177727,0.123099,0.090081,0.1742,0.123732,0.0917006,0.0729064,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.2704,17.6941,17.6941,17.6941,17.6941,17.9531,17.5134,17.3643,17.8919,17.5123,17.3774,17.346,340.515,19.9877,0.191827,0.14944,0.148037,0.149482,0.14944,0.174727,0.121099,0.088081,0.1712,0.121732,0.0897006,0.0716059,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.6703,17.0482,17.0482,17.0482,17.0482,17.3396,16.8677,16.6983,17.2602,16.8545,16.718,16.6941,340.513,20.0068,0.191827,0.14944,0.148037,0.149482,0.14944,0.174727,0.121099,0.0883729,0.1712,0.121732,0.0898305,0.0716059,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.9868,18.3163,18.3163,18.3163,18.3163,18.644,18.0704,17.8554,18.5403,18.0247,17.8504,17.7719,340.557,19.9917,0.195827,0.15244,0.151037,0.152482,0.15244,0.177727,0.123099,0.090081,0.1742,0.123732,0.0917006,0.0729064,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.4871,15.9098,15.9098,15.9098,15.9098,16.1705,15.7048,15.5303,16.0938,15.6894,15.5338,15.494,308.241,9.91576,0.385654,0.30088,0.298075,0.300965,0.30088,0.351455,0.243197,0.178162,0.3444,0.244465,0.181401,0.144212,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.5402,17.7725,17.7725,17.7725,17.7725,18.1141,17.4555,17.2344,18.035,17.4439,17.2304,17.137,308.23,9.91015,0.385654,0.30088,0.298075,0.300965,0.30088,0.351455,0.243197,0.178162,0.3444,0.244465,0.181401,0.144212,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.5787,17.9067,17.9067,17.9067,17.9067,18.1977,17.6439,17.4574,18.1393,17.7021,17.483,17.4437,308.228,9.94229,0.384654,0.30072,0.297956,0.300804,0.30072,0.350551,0.243197,0.177454,0.3436,0.244465,0.180531,0.143512,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,19.0963,18.5806,18.5806,18.5806,18.5806,18.7674,18.3781,18.2423,18.6452,18.3019,18.1615,18.1108,308.226,9.93654,0.384654,0.30072,0.297956,0.300804,0.30072,0.350551,0.243197,0.177454,0.3436,0.244465,0.180531,0.143512,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.4051,17.5219,17.5219,17.5219,17.5219,17.8171,17.0904,16.8135,17.7312,17.0785,16.8319,16.6995,308.198,9.93444,0.384654,0.29972,0.296956,0.299804,0.29972,0.349551,0.243197,0.177454,0.3426,0.244465,0.180531,0.143212,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.9439,15.9506,15.9506,15.9506,15.9506,16.417,15.5531,15.2296,16.3204,15.5547,15.2386,15.1084,308.244,9.97112,0.380952,0.29756,0.294837,0.297642,0.29756,0.346647,0.240408,0.176162,0.3398,0.241606,0.179401,0.142212,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
