survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,D3YR-g_AV,D3YR-r_AV,D3YR-i_AV,D3YR-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
D3YR,17.4633,16.7557,16.5379,16.4279,17.4374,16.8223,16.5868,16.4859,41.628,-0.513808,0.11108625,0.07443661971830987,0.05435969868173258,0.04254841575362748,0.11008875,0.0781549295774648,0.05809039548022599,0.04610344827586207
D3YR,18.0244,17.3229,17.0663,16.9335,17.9672,17.376,17.0924,17.0047,43.3746,0.890221,0.271785,0.18235211267605633,0.13339359698681733,0.10348563814036127,0.269315,0.19102816901408454,0.14192090395480225,0.11270935960591133
D3YR,18.4338,17.9759,17.8483,17.7929,18.3836,17.988,17.859,17.8152,43.0351,0.0511453,0.226895,0.15187323943661973,0.11138229755178908,0.08609683150725496,0.224805,0.1593098591549296,0.11831073446327683,0.09380788177339901
D3YR,16.7928,16.269,16.1288,16.0622,16.752,16.3136,16.1413,16.0914,42.0218,0.361148,0.146115,0.09791549295774649,0.07169679849340867,0.055166419899318926,0.144785,0.10287323943661973,0.07596045197740113,0.06030541871921183
D3YR,18.9438,18.1665,17.9252,17.7977,18.8429,18.233,17.9273,17.8156,41.1161,0.450625,0.104225,0.07019718309859156,0.0510225988700565,0.039701214095350906,0.10327499999999999,0.07329577464788734,0.05422033898305085,0.04310344827586207
D3YR,17.4329,16.6811,16.4565,16.3346,17.3887,16.739,16.4753,16.3731,41.9474,0.479819,0.1343925,0.08967605633802817,0.06569679849340866,0.051242819070180634,0.1331575,0.09401408450704227,0.06996045197740113,0.05570443349753695
D3YR,18.3814,17.6488,17.3852,17.2389,18.3416,17.7114,17.4165,17.2838,42.7524,0.476545,0.2201725,0.14763380281690142,0.108045197740113,0.08317323067811666,0.2181775,0.15445070422535215,0.1144406779661017,0.090807881773399
D3YR,18.3958,17.9634,17.8553,17.8254,18.3724,18,17.8726,17.8425,40.4974,-0.580347,0.09836375,0.06619718309859156,0.0480225988700565,0.037701214095350905,0.09746125,0.06929577464788735,0.051220338983050846,0.04110344827586207
D3YR,17.921,17.3109,17.142,17.0635,17.8832,17.3664,17.1614,17.0957,40.5126,-0.638151,0.103225,0.06919718309859156,0.050685499058380414,0.038701214095350905,0.10227499999999999,0.07229577464788733,0.05335028248587571,0.04240394088669951
D3YR,17.7146,17.1352,16.9506,16.8582,17.6789,17.1771,16.9655,16.8868,41.8818,0.179747,0.143115,0.09567605633802817,0.06969679849340867,0.054166419899318925,0.141785,0.10001408450704227,0.07396045197740113,0.059004926108374385
D3YR,17.8131,17.2925,17.14,17.0728,17.7628,17.3464,17.1579,17.0905,43.2222,0.198462,0.23575625,0.15887323943661974,0.11571939736346516,0.08994403316553154,0.23361875,0.1663098591549296,0.12318079096045198,0.09780788177339901
D3YR,16.7522,16.3984,16.2974,16.2597,16.72,16.4228,16.2989,16.2727,42.6833,-0.158539,0.20058874999999998,0.13439436619718312,0.098045197740113,0.07640242819070181,0.19873625,0.14059154929577466,0.1044406779661017,0.08320689655172414
D3YR,17.4801,16.589,16.3167,16.1609,17.4245,16.6572,16.3522,16.2184,42.6885,-0.189629,0.1977275,0.1326338028169014,0.0967080979284369,0.07540242819070181,0.1959225,0.13945070422535213,0.10257062146892655,0.0819064039408867
D3YR,17.9224,17.2485,17.0179,16.8935,17.8867,17.3085,17.0521,16.9392,41.4015,-0.110023,0.09836375,0.06619718309859156,0.0480225988700565,0.037701214095350905,0.09746125,0.06929577464788735,0.051220338983050846,0.04080295566502463
D3YR,18.2403,18.2927,18.2772,18.3806,18.9489,19.1267,18.3714,19.1481,41.3903,-0.129179,0.09736375,0.06519718309859156,0.04768549905838041,0.036777613266212615,0.09646125,0.06829577464788734,0.050350282485875704,0.04010344827586207
D3YR,18.2322,17.9924,18.0255,18.0915,18.3304,18.0631,17.989,18.2597,41.5712,-0.100753,0.10136375,0.06819718309859156,0.0500225988700565,0.038701214095350905,0.10046125,0.07129577464788733,0.05322033898305085,0.04210344827586207
D3YR,18.5325,17.9076,17.7092,17.604,18.45,17.9405,17.7218,17.6457,43.2092,-0.0625082,0.18514375,0.12439436619718311,0.09070809792843691,0.07063162570328693,0.18348125,0.13059154929577468,0.09657062146892656,0.0769064039408867
D3YR,17.8709,17.2344,17.0273,16.9268,17.8203,17.2861,17.0556,16.9594,41.5596,-0.936904,0.09736375,0.06519718309859156,0.04768549905838041,0.036777613266212615,0.09646125,0.06829577464788734,0.050350282485875704,0.04010344827586207
D3YR,18.7262,18.2673,18.1367,18.0701,18.6576,18.3107,18.1298,18.087,43.3027,0.869828,0.270785,0.18135211267605633,0.13305649717514123,0.10256203731122297,0.268315,0.19002816901408454,0.1410508474576271,0.11170935960591133
D3YR,18.8107,18.0725,17.8455,17.7219,18.758,18.1227,17.8733,17.7665,43.1941,0.827389,0.25806250000000003,0.17311267605633804,0.12671939736346516,0.0977148356529464,0.2556875,0.18116901408450706,0.134180790960452,0.10640886699507389
D3YR,18.237,17.5734,17.372,17.2681,18.187,17.6384,17.393,17.31,42.888,0.906741,0.22103375,0.14863380281690142,0.10838229755178908,0.08417323067811666,0.21899125,0.15545070422535215,0.11531073446327685,0.09150738916256157
D3YR,18.3659,17.9594,17.8243,17.7808,18.3338,17.9784,17.838,17.805,41.0278,0.480421,0.11008625,0.07343661971830986,0.0540225988700565,0.04162481492448919,0.10908875,0.0771549295774648,0.05722033898305085,0.0454039408866995
D3YR,18.672,17.8701,17.6043,17.4612,18.646,17.9362,17.6379,17.5212,42.1425,-1.14631,0.16069875,0.10791549295774648,0.07903389830508474,0.06093722238673379,0.15922625,0.11287323943661974,0.08383050847457628,0.06630541871921182
D3YR,17.5328,17.1181,17.0079,16.9703,17.4836,17.1459,17.013,16.9836,41.7361,-1.15942,0.11208625,0.07543661971830987,0.0550225988700565,0.04254841575362748,0.11108875,0.0791549295774648,0.058220338983050846,0.0464039408866995
D3YR,18.7175,18.3126,18.1823,18.207,18.5119,18.3525,18.1907,18.0726,41.588,-0.0311415,0.101225,0.06819718309859156,0.04968549905838041,0.038701214095350905,0.100275,0.07129577464788733,0.052350282485875706,0.04210344827586207
D3YR,18.266,17.675,17.4861,17.3938,18.2225,17.7393,17.5149,17.4374,41.599,-0.101175,0.102225,0.06819718309859156,0.0500225988700565,0.038701214095350905,0.101275,0.07129577464788733,0.05322033898305085,0.04210344827586207
D3YR,17.4842,17.0038,16.882,16.8399,17.4731,17.0414,16.8934,16.8662,40.5268,-1.28407,0.09636375,0.06419718309859156,0.0470225988700565,0.036777613266212615,0.09546125,0.06729577464788734,0.050220338983050845,0.04010344827586207
D3YR,18.9287,18.2215,17.9709,17.8436,18.8979,18.2711,18.0001,17.8804,40.5251,-1.24507,0.09936375,0.06719718309859156,0.0490225988700565,0.037701214095350905,0.09846125,0.07029577464788733,0.05222033898305085,0.04110344827586207
D3YR,18.6403,18.175,18.043,17.9877,18.6618,18.2178,18.0479,18.0701,42.86,0.889322,0.2181725,0.14587323943661973,0.107045197740113,0.08317323067811666,0.2161775,0.1533098591549296,0.1134406779661017,0.09050738916256157
D3YR,18.3796,17.7869,17.6146,17.5203,18.3504,17.8309,17.6337,17.5359,42.8122,-1.70072,0.22789500000000001,0.15287323943661973,0.11138229755178908,0.08609683150725496,0.225805,0.1603098591549296,0.11831073446327683,0.09380788177339901
D3YR,18.8403,18.0098,17.7461,17.618,18.7794,18.0774,17.771,17.6797,41.0939,0.466746,0.10608624999999999,0.07119718309859156,0.0520225988700565,0.040624814924489196,0.10508875,0.07429577464788734,0.05522033898305085,0.04410344827586207
D3YR,17.5472,17.0274,16.8533,16.7859,17.5045,17.0567,16.8649,16.8088,41.1073,0.453822,0.104225,0.07019718309859156,0.0510225988700565,0.039701214095350906,0.10327499999999999,0.07329577464788734,0.05422033898305085,0.04310344827586207
D3YR,18.0603,17.4705,17.2896,17.2124,18.0145,17.5026,17.3028,17.2468,41.0692,0.449179,0.10708625,0.07219718309859155,0.053022598870056496,0.040624814924489196,0.10608875,0.07529577464788734,0.05622033898305085,0.04440394088669951
D3YR,18.6968,17.9732,17.769,17.6677,18.6463,18.0194,17.7858,17.6986,41.0571,0.472623,0.10708625,0.07219718309859155,0.053022598870056496,0.040624814924489196,0.10608875,0.07529577464788734,0.05622033898305085,0.04440394088669951
D3YR,18.8063,18.2605,18.0867,18.0055,18.7754,18.3095,18.084,18.0316,40.5844,0.00917873,0.105225,0.07119718309859156,0.0520225988700565,0.039701214095350906,0.10427499999999999,0.07429577464788734,0.05522033898305085,0.04340394088669951
D3YR,17.8875,17.0739,16.796,16.6348,17.8376,17.1544,16.8319,16.6958,40.7262,-0.101,0.10808625,0.07219718309859155,0.053022598870056496,0.040624814924489196,0.10708875,0.07529577464788734,0.05622033898305085,0.04440394088669951
D3YR,18.0177,17.1965,16.9514,16.8254,17.9814,17.2831,16.9835,16.884,40.7334,-0.081034,0.10908625,0.07343661971830986,0.0540225988700565,0.04162481492448919,0.10808875,0.0771549295774648,0.05722033898305085,0.0454039408866995
D3YR,18.4707,18.1238,17.8331,17.7865,18.3432,18.0485,17.7533,17.6991,43.4206,0.18612,0.24734,0.16587323943661972,0.12071939736346517,0.09386763399466982,0.24506,0.1733098591549296,0.12818079096045198,0.10210837438423645
D3YR,18.5521,17.9407,17.7467,17.6496,18.5017,17.9898,17.7669,17.686,43.3863,0.284664,0.270785,0.18235211267605633,0.13305649717514123,0.10256203731122297,0.268315,0.19102816901408454,0.1410508474576271,0.11170935960591133
