survey,DES5YR_AB_g,DES5YR_AB_r,DES5YR_AB_i,DES5YR_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC,DES5YR_AB_g_AV,DES5YR_AB_r_AV,DES5YR_AB_i_AV,DES5YR_AB_z_AV,PS1_g_AV,PS1_r_AV,PS1_i_AV,PS1_z_AV
DES5YR_AB,20.9068,20.3793,20.2064,20.1392,21.0098,20.5601,20.2506,20.1316,150.493,2.70768,0.06719625,0.04471830985915493,0.03234839924670433,0.025159609120521172,0.0664,0.0465774647887324,0.03448022598870057,0.02750246305418719
DES5YR_AB,19.6774,19.009,18.8116,18.7201,19.6325,19.06,18.8165,18.7617,149.22,2.54724,0.06519625,0.04371830985915493,0.03201129943502825,0.024236008291382886,0.0644,0.0455774647887324,0.03361016949152543,0.026502463054187193
DES5YR_AB,21.1937,20.7173,20.5663,20.5085,21.085,20.7327,20.7033,20.6502,149.952,1.77801,0.06519625,0.04371830985915493,0.03201129943502825,0.025159609120521172,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
DES5YR_AB,21.2211,20.927,20.8586,20.8515,21.2419,20.9014,20.8576,20.7368,150.535,1.63014,0.0690575,0.04595774647887324,0.03334839924670433,0.026083209949659462,0.0682,0.04843661971830987,0.03548022598870056,0.02850246305418719
DES5YR_AB,21.4103,20.805,20.5984,20.5078,21.3513,20.849,20.6201,20.3384,150.476,1.35179,0.0710575,0.04795774647887324,0.03534839924670433,0.027083209949659463,0.0702,0.050436619718309865,0.037480225988700565,0.029502463054187193
DES5YR_AB,19.7854,19.0182,18.7669,18.6433,19.7281,19.0779,18.7977,18.6911,150.337,2.61424,0.06519625,0.04371830985915493,0.03201129943502825,0.025159609120521172,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
DES5YR_AB,19.6153,18.8683,18.6439,18.5278,19.5621,18.9045,18.7044,18.5644,150.455,1.47973,0.0680575,0.04571830985915493,0.03334839924670433,0.026083209949659462,0.06720000000000001,0.0475774647887324,0.03548022598870056,0.028201970443349753
DES5YR_AB,18.9833,18.4875,18.339,18.2759,18.972,18.5246,18.3566,18.3145,150.42,2.0541,0.05847375,0.038718309859154934,0.02901129943502825,0.022236008291382885,0.0578,0.0405774647887324,0.030610169491525424,0.024201970443349752
DES5YR_AB,20.6286,20.3152,20.2442,20.2396,20.6116,20.3882,20.3115,20.1367,149.218,2.31523,0.06047375,0.04071830985915493,0.03001129943502825,0.023236008291382886,0.0598,0.0425774647887324,0.031610169491525425,0.025201970443349753
DES5YR_AB,20.7165,20.2909,20.1786,20.1522,20.7634,20.3666,20.1098,20.0738,150.001,2.89871,0.065335,0.04395774647887324,0.03234839924670433,0.025159609120521172,0.0646,0.04643661971830987,0.03448022598870057,0.02720197044334975
