survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-r_AV,GAIA-b_AV,GAIA-g_AV,GAIA_DES-g,GAIA_DES-r,GAIA_DES-i,GAIA_DES-z,SOURCEID
DES,16.0697,15.5385,15.3379,15.2318,16.0531,15.59,15.3589,15.2613,42.7461,0.858739,0.183144,0.123155,0.0897081,0.0696316,0.181,0.128732,0.0955706,0.0759064,15.5788,14.9989,15.98,0,0,0,16.0895,15.5439,15.3335,15.2302,2499094998273370624
DES,15.9652,15.1486,14.9174,14.7912,15.909,15.2087,14.9407,14.8306,42.6788,0.956575,0.187005,0.125155,0.091371,0.0706316,0.1848,0.130732,0.0967006,0.0769064,15.2498,14.5749,15.773,0,0,0,15.9791,15.1416,14.9081,14.782,2499100908148366848
DES,17.8277,17.3886,17.2557,17.1957,17.7756,17.4105,17.2565,17.2184,42.4633,0.481367,0.175282,0.118155,0.086371,0.066708,0.1732,0.123732,0.0917006,0.0726059,17.4243,16.9331,17.7858,0,0,0,-999,-999,-999,-999,-999
DES,16.373,15.7887,15.6124,15.5348,16.3357,15.8159,15.62,15.5589,42.6265,0.733546,0.172282,0.115155,0.084371,0.0657844,0.1702,0.120732,0.0897006,0.0713054,15.8516,15.2722,16.274,0,0,0,16.389,15.7809,15.6116,15.535,2498999134603312768
DES,18.1555,17.5621,17.3874,17.2994,18.1309,17.5871,17.4051,17.3253,42.0381,0.933261,0.161699,0.108915,0.0790339,0.0618608,0.1598,0.113873,0.0838305,0.0673054,17.6331,17.0525,18.0486,0,0,0,18.1655,17.5679,17.399,17.3016,2499064757408598144
DES,18.6878,17.9225,17.6524,17.5029,18.61,17.9869,17.686,17.5666,42.6208,0.987536,0.179144,0.120155,0.0877081,0.067708,0.177,0.125732,0.0935706,0.0739064,18.0024,17.3348,18.5554,0,0,0,-999,-999,-999,-999,-999
DES,18.5516,18.2303,18.1323,18.1017,18.4922,18.2459,18.1366,18.1028,42.5438,0.973197,0.181144,0.122155,0.089371,0.068708,0.179,0.127732,0.0947006,0.0749064,18.2383,17.7863,18.5522,0,0,0,-999,-999,-999,-999,-999
DES,18.2799,17.6142,17.4053,17.2968,18.2478,17.6612,17.4357,17.3408,42.6195,0.977562,0.179144,0.120155,0.0877081,0.067708,0.177,0.125732,0.0935706,0.0739064,17.6897,17.084,18.1643,0,0,0,-999,-999,-999,-999,-999
DES,18.4732,17.8995,17.7249,17.6339,18.4353,17.937,17.7427,17.6695,41.8782,0.988425,0.139254,0.0936761,0.0686968,0.0531664,0.1376,0.0980141,0.0729605,0.0580049,17.9645,17.3834,18.3417,0,0,0,-999,-999,-999,-999,-999
DES,17.8057,17.0896,16.8666,16.7434,17.7718,17.1367,16.879,16.7901,42.9804,0.994344,0.209311,0.140634,0.102708,0.079326,0.2068,0.147451,0.108571,0.0865074,17.174,16.5255,17.6576,0,0,0,-999,-999,-999,-999,-999
DES,17.0315,16.2807,16.0459,15.9139,16.9886,16.324,16.0633,15.967,43.0339,0.992984,0.219172,0.146873,0.107382,0.0831732,0.2166,0.15431,0.114311,0.0905074,16.3665,15.7052,16.8705,0,0,0,17.046,16.2714,16.0408,15.9219,2499092524372238464
DES,16.3706,15.7418,15.558,15.4637,16.3394,15.7883,15.5697,15.4992,42.5056,0.710262,0.16356,0.109915,0.0800339,0.0619372,0.1616,0.114873,0.0848305,0.0676059,15.8216,15.2184,16.2518,0,0,0,16.3801,15.7403,15.5562,15.4469,2498998413048811136
DES,15.8355,15.3592,15.2179,15.1543,15.8107,15.3865,15.2099,15.1772,42.5195,0.737422,0.16556,0.110915,0.0810339,0.0628608,0.1636,0.115873,0.0858305,0.0683054,15.4026,14.8698,15.7656,0,0,0,15.8505,15.3562,15.2089,15.1383,2499001505425263360
DES,16.7932,15.9886,15.7302,15.5872,16.7505,16.0363,15.7508,15.6382,42.8195,0.772449,0.200589,0.134394,0.0980452,0.0764024,0.1982,0.140592,0.104441,0.0832069,16.074,15.396,16.6029,0,0,0,16.8259,15.9795,15.7296,15.5773,2499081769774143616
DES,15.862,15.0042,14.7345,14.5797,15.7945,15.0454,14.7495,14.6354,42.3624,0.585251,0.187866,0.126155,0.0917081,0.0715552,0.1856,0.131732,0.0975706,0.0779064,15.0912,14.3864,15.6465,0,0,0,15.8686,14.9895,14.7192,14.5668,2498989788754488192
DES,15.8805,15.2698,15.0946,15.0033,15.8493,15.3105,15.1045,15.0384,42.878,0.777578,0.20945,0.140634,0.103045,0.079326,0.207,0.147451,0.109441,0.0865074,15.3405,14.7464,15.7639,0,0,0,15.8902,15.2611,15.0861,14.9993,2499082491328647808
DES,17.1053,16.517,16.3273,16.2302,17.051,16.5491,16.3415,16.2681,42.1876,0.807608,0.174421,0.117155,0.085371,0.066708,0.1724,0.122732,0.0907006,0.0726059,16.6039,15.9741,16.9826,0,0,0,17.1196,16.5272,16.326,16.2211,2499047508819893376
DES,16.9562,16.3623,16.1903,16.101,16.9224,16.3936,16.1978,16.1269,41.8742,0.949153,0.134392,0.0906761,0.0656968,0.0512428,0.1328,0.0950141,0.0699605,0.0557044,16.4324,15.8414,16.8602,0,0,0,16.9741,16.361,16.1839,16.0762,2499252125356908800
DES,18.0213,17.5018,17.3296,17.2479,18.0124,17.541,17.3518,17.2711,42.6572,0.834327,0.172421,0.115915,0.084371,0.0657844,0.1704,0.120873,0.0897006,0.0716059,17.5506,16.9885,17.9396,0,0,0,18.0539,17.5088,17.3383,17.23,2499094753459696640
DES,15.3514,14.9565,14.8576,14.82,15.3196,14.9801,14.8554,14.8359,42.5718,0.44064,0.199589,0.133634,0.0977081,0.0754788,0.1972,0.140451,0.103571,0.0822069,14.9826,14.5071,15.2917,0,0,0,15.3441,14.9509,14.8518,14.8108,2498973639677456640
DES,18.5909,18.1446,18.0052,17.9535,18.5577,18.1505,18.0132,17.9631,42.009,0.987151,0.159699,0.107155,0.0780339,0.0609372,0.1578,0.112732,0.0828305,0.0663054,18.3632,17.6827,18.5137,0,0,0,-999,-999,-999,-999,-999
DES,15.5639,15.1537,15.0473,15.0037,15.5449,15.1725,15.0431,15.0272,42.3407,0.522777,0.183144,0.123155,0.0897081,0.0696316,0.181,0.128732,0.0955706,0.0759064,15.1852,14.6952,15.5041,0,0,0,15.5626,15.1459,15.0393,14.993,2498988964120769536
DES,18.6254,18.088,17.9343,17.8553,18.5798,18.1076,17.935,17.8872,42.4788,0.482656,0.175282,0.118155,0.086371,0.066708,0.1732,0.123732,0.0917006,0.0726059,18.1486,17.5968,18.5447,0,0,0,-999,-999,-999,-999,-999
DES,16.9827,16.6302,16.5358,16.5085,16.9653,16.6525,16.5316,16.5179,41.9703,0.816941,0.146115,0.0979155,0.0716968,0.0551664,0.1444,0.102873,0.0759605,0.0603054,16.6513,16.1866,16.9369,0,0,0,16.9908,16.6319,16.5302,16.5128,2499059191130942336
DES,18.3014,18.0166,17.9368,17.9138,18.2569,18.0145,17.924,17.9188,41.8929,0.913096,0.140254,0.0946761,0.0686968,0.0532428,0.1386,0.0990141,0.0729605,0.0580049,18.0227,17.6224,18.3158,0,0,0,-999,-999,-999,-999,-999
DES,15.7523,15.1299,14.9565,14.8614,15.7112,15.1786,14.9667,14.9009,42.2995,0.116793,0.16656,0.111915,0.0820339,0.0628608,0.1646,0.116873,0.0868305,0.0686059,15.2065,14.6112,15.6358,0,0,0,15.7641,15.1321,14.9494,14.8516,2498937287074277248
DES,17.6178,17.0143,16.828,16.7308,17.5826,17.051,16.8388,16.7572,42.4997,0.429412,0.187005,0.125394,0.0917081,0.0706316,0.1848,0.131592,0.0975706,0.0769064,17.0825,16.5097,17.5334,0,0,0,-999,-999,-999,-999,-999
DES,17.7075,17.2108,17.0594,16.9942,17.6779,17.2435,17.0688,17.0179,42.1389,0.97919,0.174421,0.117155,0.085371,0.066708,0.1724,0.122732,0.0907006,0.0726059,17.2622,16.7272,17.6287,0,0,0,17.7389,17.2175,17.0741,16.9667,2499068300756619264
DES,16.9687,16.5644,16.4456,16.3943,16.9507,16.5786,16.4422,16.4182,42.1864,0.956682,0.180283,0.121155,0.088371,0.068708,0.1782,0.126732,0.0937006,0.0746059,16.5949,16.1042,16.9171,0,0,0,17.004,16.5605,16.4362,16.395,2499067304324206720
DES,18.2223,17.433,17.1978,17.0634,18.1823,17.4842,17.2221,17.1139,42.2736,0.955252,0.180283,0.121155,0.088371,0.068708,0.1782,0.126732,0.0937006,0.0746059,17.5294,16.8744,18.0551,0,0,0,18.2565,17.4453,17.2038,17.0689,2499055759452141312
DES,18.8611,18.2543,18.0445,17.9276,18.8801,18.2833,18.0412,17.9634,42.3341,0.898188,0.180283,0.121155,0.088371,0.068708,0.1782,0.126732,0.0937006,0.0746059,18.3169,17.7315,18.7729,0,0,0,-999,-999,-999,-999,-999
DES,17.5274,16.8046,16.5957,16.4732,17.4901,16.839,16.6082,16.5151,42.2286,0.904585,0.176282,0.118155,0.086371,0.0667844,0.1742,0.123732,0.0917006,0.0729064,16.8921,16.251,17.3804,0,0,0,17.571,16.8056,16.5946,16.455,2499055106617087616
DES,18.853,18.425,18.2941,18.244,18.8141,18.4654,18.2933,18.2657,42.6723,0.887179,0.176282,0.118155,0.086371,0.0667844,0.1742,0.123732,0.0917006,0.0729064,18.4679,18.0033,18.844,0,0,0,-999,-999,-999,-999,-999
DES,16.8749,16.2498,16.0541,15.9539,16.8422,16.2882,16.0685,15.9903,42.8256,0.981639,0.219172,0.146873,0.107382,0.0831732,0.2166,0.15431,0.114311,0.0905074,16.3227,15.718,16.7676,0,0,0,16.8927,16.2615,16.0592,15.9573,2499103450769210752
DES,17.4509,16.5713,16.322,16.1793,17.3924,16.6229,16.3468,16.2193,42.4685,0.317109,0.192866,0.129394,0.0947081,0.0734788,0.1906,0.135592,0.100571,0.0799064,16.6803,15.9803,17.2524,0,0,0,-999,-999,-999,-999,-999
DES,18.6723,17.9599,17.7409,17.6197,18.6504,18.0119,17.7703,17.6601,42.9918,0.820624,0.225034,0.150873,0.110382,0.0851732,0.2224,0.15831,0.117311,0.0928079,18.0449,17.3963,18.5451,0,0,0,-999,-999,-999,-999,-999
DES,15.6071,15.1519,15.0256,14.9454,15.5764,15.1501,14.9995,14.96,42.6669,0.879284,0.176282,0.118155,0.086371,0.0667844,0.1742,0.123732,0.0917006,0.0729064,15.1563,14.6344,15.5107,0,0,0,15.5951,15.1114,14.9737,14.9153,2499098193729040384
DES,18.2094,17.6881,17.5352,17.4564,18.1755,17.7269,17.5354,17.4808,43.2571,0.990987,0.258063,0.173113,0.126719,0.0977148,0.255,0.181169,0.134181,0.106409,17.7463,17.188,18.1165,0,0,0,-999,-999,-999,-999,-999
DES,18.3888,17.7675,17.5573,17.4411,18.3514,17.8138,17.5672,17.4743,42.0487,0.883945,0.159699,0.106915,0.0780339,0.0609372,0.1578,0.111873,0.0828305,0.0663054,17.8343,17.245,18.3016,0,0,0,-999,-999,-999,-999,-999
DES,18.7282,18.1243,17.9431,17.8533,18.7003,18.1618,17.9573,17.8523,41.8322,0.764772,0.12367,0.0826761,0.0603597,0.046472,0.1222,0.0870141,0.0640904,0.0507044,18.2048,17.6308,18.625,0,0,0,-999,-999,-999,-999,-999
DES,18.781,18.3658,18.2241,18.1606,18.7448,18.3838,18.2409,18.1938,41.959,0.843951,0.148115,0.0996761,0.0726968,0.05609,0.1464,0.104014,0.0769605,0.0613054,18.3884,17.9087,18.7131,0,0,0,-999,-999,-999,-999,-999
DES,18.2609,17.9059,17.7919,17.7515,18.2627,17.9316,17.8012,17.7644,41.9487,0.827499,0.144115,0.0966761,0.0706968,0.0541664,0.1424,0.101014,0.0749605,0.0590049,17.9193,17.4544,18.2096,0,0,0,-999,-999,-999,-999,-999
DES,18.6991,17.8658,17.5965,17.4471,18.6476,17.9157,17.6229,17.5048,42.0453,0.822284,0.154838,0.103915,0.0760339,0.0590136,0.153,0.108873,0.0808305,0.0643054,17.9642,17.2854,18.5094,0,0,0,-999,-999,-999,-999,-999
DES,17.9058,17.4779,17.3551,17.2989,17.8757,17.4986,17.3576,17.3197,42.1062,0.506747,0.152838,0.101915,0.0750339,0.0580136,0.151,0.106873,0.0798305,0.0633054,17.5171,17.0176,17.8769,0,0,0,-999,-999,-999,-999,-999
DES,18.5793,18.1155,17.9793,17.9243,18.5625,18.1336,17.988,17.9485,41.8596,0.768208,0.127531,0.0854366,0.0623597,0.0483956,0.126,0.0891549,0.0660904,0.0527044,18.1624,17.6304,18.5283,0,0,0,-999,-999,-999,-999,-999
