survey,KAIT4MO-B,KAIT4MO-V,KAIT4MO-R,KAIT4MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,KAIT4MO-B_AV,KAIT4MO-V_AV,KAIT4MO-R_AV,KAIT4MO-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
KAIT4MO,17.9814,17.2968,16.7798,16.2384,17.5805,16.9562,16.6804,16.5581,348.707,4.51266,0.23759615384615385,0.1874075,0.14778028169014085,0.1037909604519774,0.2156,0.15345070422535215,0.1134406779661017,0.09050738916256157
KAIT4MO,16.0453,15.4088,14.9511,14.4412,15.6555,15.1215,14.9014,14.8177,348.729,4.50669,0.23959615384615385,0.18853625,0.14878028169014085,0.1047909604519774,0.2174,0.15445070422535215,0.1144406779661017,0.090807881773399
KAIT4MO,16.0917,15.6158,15.277,14.9126,15.7998,15.4388,15.3211,15.301,103.269,50.079,0.29002884615384616,0.22856625,0.17981126760563382,0.12598870056497175,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT4MO,18.654,18.0093,17.6029,17.1092,18.4365,17.8444,17.6445,17.5888,103.269,50.0769,0.29002884615384616,0.22856625,0.17981126760563382,0.12598870056497175,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT4MO,17.1793,16.5974,16.1725,15.6825,16.8103,16.3374,16.1302,16.0474,103.321,50.0739,0.28550641025641027,0.22456625,0.17746760563380282,0.12398870056497174,0.25880000000000003,0.18416901408450706,0.13605084745762713,0.10840886699507389
KAIT4MO,17.689,16.8985,16.3686,15.8374,17.2438,16.5645,16.3019,16.1975,103.253,50.0639,0.29002884615384616,0.22856625,0.17981126760563382,0.12598870056497175,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT4MO,16.1274,15.6856,15.3526,14.9491,15.8295,15.4848,15.3689,15.3494,103.329,50.0611,0.2930288461538461,0.230695,0.18181126760563382,0.12798870056497175,0.2656,0.18902816901408453,0.1400508474576271,0.1114088669950739
KAIT4MO,17.081,16.4363,15.9611,15.4731,16.7715,16.2447,16.0379,15.965,103.236,50.0537,0.2955064102564102,0.23282375,0.18381126760563382,0.12898870056497175,0.2684,0.19102816901408454,0.1410508474576271,0.1124088669950739
KAIT4MO,16.1111,15.68,15.3556,15.0151,15.8235,15.5038,15.396,15.3767,103.314,50.0484,0.2945064102564102,0.231695,0.18281126760563382,0.12805461393596987,0.2666,0.19002816901408454,0.14092090395480225,0.11170935960591133
KAIT4MO,16.6338,16.1888,15.8717,15.4905,16.3591,16.0354,15.9159,15.9067,103.21,50.0338,0.2975064102564102,0.23469500000000001,0.18481126760563382,0.12998870056497175,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
