survey,NICKEL2MO-B,NICKEL2MO-V,NICKEL2MO-R,NICKEL2MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,NICKEL2MO-B_AV,NICKEL2MO-V_AV,NICKEL2MO-R_AV,NICKEL2MO-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
NICKEL2MO,18.1293,17.3229,16.7719,16.1787,17.5805,16.9562,16.6804,16.5581,348.707,4.51266,0.24921043478260868,0.1899275,0.14762535211267605,0.08869704433497537,0.2156,0.15345070422535215,0.1134406779661017,0.09050738916256157
NICKEL2MO,16.1828,15.433,14.9441,14.3866,15.6555,15.1215,14.9014,14.8177,348.729,4.50669,0.2512817391304348,0.19111625,0.14862535211267605,0.08887684729064038,0.2174,0.15445070422535215,0.1144406779661017,0.090807881773399
NICKEL2MO,16.1945,15.6339,15.2718,14.8729,15.7998,15.4388,15.3211,15.301,103.269,50.079,0.3037808695652174,0.23162625,0.17961408450704225,0.10741625615763546,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
NICKEL2MO,18.7932,18.0339,17.5967,17.0586,18.4365,17.8444,17.6445,17.5888,103.269,50.0769,0.3037808695652174,0.23162625,0.17961408450704225,0.10741625615763546,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
NICKEL2MO,17.305,16.6195,16.166,15.6308,16.8103,16.3374,16.1302,16.0474,103.321,50.0739,0.2996382608695652,0.22762625,0.17728450704225351,0.10623645320197043,0.25880000000000003,0.18416901408450706,0.13605084745762713,0.10840886699507389
NICKEL2MO,17.8597,16.9285,16.3605,15.7779,17.2438,16.5645,16.3019,16.1975,103.253,50.0639,0.3037808695652174,0.23162625,0.17961408450704225,0.10741625615763546,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
NICKEL2MO,16.2228,15.7024,15.3475,14.9074,15.8295,15.4848,15.3689,15.3494,103.329,50.0611,0.3067808695652174,0.233815,0.18161408450704225,0.10923645320197044,0.2656,0.18902816901408453,0.1400508474576271,0.1114088669950739
NICKEL2MO,17.2202,16.4609,15.9538,15.4188,16.7715,16.2447,16.0379,15.965,103.236,50.0537,0.3098521739130435,0.23600375,0.18361408450704225,0.11023645320197044,0.2684,0.19102816901408454,0.1410508474576271,0.1124088669950739
NICKEL2MO,16.2042,15.6964,15.3506,14.9775,15.8235,15.5038,15.396,15.3767,103.314,50.0484,0.3087808695652174,0.234815,0.18261408450704225,0.10941625615763546,0.2666,0.19002816901408454,0.14092090395480225,0.11170935960591133
NICKEL2MO,16.7299,16.2058,15.8668,15.4511,16.3591,16.0354,15.9159,15.9067,103.21,50.0338,0.3118521739130435,0.237815,0.18461408450704225,0.11041625615763546,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
