survey,SDSS_AB_g,SDSS_AB_r,SDSS_AB_i,SDSS_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC,SDSS_AB_g_AV,SDSS_AB_r_AV,SDSS_AB_i_AV,SDSS_AB_z_AV,PS1_g_AV,PS1_r_AV,PS1_i_AV,PS1_z_AV
SDSS_AB,18.4162,17.8596,17.6594,17.5695,18.3169,17.8607,17.6571,17.5874,308.501,0.695074,0.32392375,0.2230084507042254,0.16598305084745762,0.12413546798029557,0.3118,0.22174647887323948,0.16466101694915256,0.13061083743842364
SDSS_AB,16.587,16.0102,15.8137,15.7252,16.4993,16.011,15.8157,15.7467,308.501,1.19982,0.317925,0.2190084507042254,0.16298305084745762,0.12212931034482759,0.306,0.21774647887323947,0.16166101694915255,0.1283103448275862
SDSS_AB,18.9659,18.408,18.231,18.1197,18.9463,18.4028,18.2147,18.1333,308.502,-0.10842,0.41990125,0.2896366197183099,0.2147005649717514,0.16117241379310346,0.4042,0.2879014084507043,0.21301129943502825,0.16941379310344828
SDSS_AB,18.4916,17.646,17.363,17.1983,18.3964,17.6473,17.3712,17.2564,308.502,0.334669,0.38790875,0.26682253521126764,0.1978135593220339,0.14816625615763546,0.3734,0.2653239436619719,0.19627118644067798,0.15611330049261082
SDSS_AB,18.1027,17.4983,17.2616,17.1324,18.0201,17.4947,17.2633,17.1584,308.502,-0.574167,0.59786,0.4121408450704226,0.30613559322033895,0.2292463054187192,0.5756,0.409774647887324,0.30371186440677966,0.24101970443349754
SDSS_AB,18.1274,17.6435,17.4757,17.4083,18.0354,17.6436,17.4841,17.4245,308.503,1.23391,0.32492375,0.22394647887323949,0.16598305084745762,0.12413546798029557,0.3128,0.22260563380281695,0.16466101694915256,0.13061083743842364
SDSS_AB,18.3891,17.7885,17.5791,17.4645,18.324,17.7891,17.5856,17.5041,308.503,1.07936,0.31792625,0.2190084507042254,0.16298305084745762,0.12212931034482759,0.3062,0.21774647887323947,0.16166101694915255,0.1283103448275862
SDSS_AB,16.0705,15.6312,15.4865,15.4372,16.0061,15.627,15.4799,15.4601,308.503,1.12277,0.31192625,0.2150084507042254,0.15903954802259887,0.11912931034482759,0.3002,0.21374647887323947,0.1577909604519774,0.1253103448275862
SDSS_AB,18.3319,17.8332,17.6578,17.6022,18.2807,17.8428,17.6737,17.6171,308.504,1.20007,0.317925,0.2190084507042254,0.16298305084745762,0.12212931034482759,0.306,0.21774647887323947,0.16166101694915255,0.1283103448275862
SDSS_AB,18.7359,17.9874,17.722,17.538,18.6907,18.0038,17.7153,17.5597,308.505,-0.994136,0.60485875,0.41707887323943665,0.30913559322033896,0.2322524630541872,0.5824,0.4146338028169015,0.30671186440677967,0.244320197044335
SDSS_AB,16.3461,15.5539,15.2481,15.0906,16.2293,15.5616,15.2602,15.1311,308.505,1.19651,0.317925,0.2190084507042254,0.16203954802259887,0.12113546798029556,0.306,0.21774647887323947,0.1607909604519774,0.12761083743842364
SDSS_AB,18.904,18.3375,18.134,18.054,18.8337,18.3422,18.1536,18.0809,308.505,0.317692,0.38790875,0.26682253521126764,0.1978135593220339,0.1481600985221675,0.3734,0.2653239436619719,0.19627118644067798,0.1558128078817734
