survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA_SDSS-G,GAIA_SDSS-R,GAIA_SDSS-I,GAIA_SDSS-Z,GAIA_SDSS-g,GAIA_SDSS-r,GAIA_SDSS-i,GAIA_SDSS-z,SOURCEID
SDSS,18.4162,17.8596,17.6594,17.5695,18.3169,17.8607,17.6571,17.5874,308.501,0.695074,0.323924,0.223008,0.165983,0.124135,0.312639,0.221746,0.164661,0.130611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.587,16.0102,15.8137,15.7252,16.4993,16.011,15.8157,15.7467,308.501,1.19982,0.317925,0.219008,0.162983,0.122129,0.306825,0.217746,0.161661,0.12831,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.9659,18.408,18.231,18.1197,18.9463,18.4028,18.2147,18.1333,308.502,-0.10842,0.419901,0.289637,0.214701,0.161172,0.405286,0.287901,0.213011,0.169414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.4916,17.646,17.363,17.1983,18.3964,17.6473,17.3712,17.2564,308.502,0.334669,0.387909,0.266823,0.197814,0.148166,0.374404,0.265324,0.196271,0.156113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.1027,17.4983,17.2616,17.1324,18.0201,17.4947,17.2633,17.1584,308.502,-0.574167,0.59786,0.412141,0.306136,0.229246,0.57714,0.409775,0.303712,0.24102,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.1274,17.6435,17.4757,17.4083,18.0354,17.6436,17.4841,17.4245,308.503,1.23391,0.324924,0.223946,0.165983,0.124135,0.313639,0.222606,0.164661,0.130611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.3891,17.7885,17.5791,17.4645,18.324,17.7891,17.5856,17.5041,308.503,1.07936,0.317926,0.219008,0.162983,0.122129,0.307011,0.217746,0.161661,0.12831,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.0705,15.6312,15.4865,15.4372,16.0061,15.627,15.4799,15.4601,308.503,1.12277,0.311926,0.215008,0.15904,0.119129,0.301011,0.213746,0.157791,0.12531,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.3319,17.8332,17.6578,17.6022,18.2807,17.8428,17.6737,17.6171,308.504,1.20007,0.317925,0.219008,0.162983,0.122129,0.306825,0.217746,0.161661,0.12831,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.7359,17.9874,17.722,17.538,18.6907,18.0038,17.7153,17.5597,308.505,-0.994136,0.604859,0.417079,0.309136,0.232252,0.583954,0.414634,0.306712,0.24432,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.3461,15.5539,15.2481,15.0906,16.2293,15.5616,15.2602,15.1311,308.505,1.19651,0.317925,0.219008,0.16204,0.121135,0.306825,0.217746,0.160791,0.127611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.904,18.3375,18.134,18.054,18.8337,18.3422,18.1536,18.0809,308.505,0.317692,0.387909,0.266823,0.197814,0.14816,0.374404,0.265324,0.196271,0.155813,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.7473,17.2949,17.1193,17.0636,17.6851,17.2883,17.1043,17.0568,308.505,1.24087,0.324924,0.223946,0.165983,0.124135,0.313639,0.222606,0.164661,0.130611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.824,18.4237,18.2671,18.2079,18.7638,18.4363,18.2855,18.2173,308.505,0.24871,0.38691,0.266823,0.197814,0.14816,0.37359,0.265324,0.196271,0.155813,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.9663,17.4418,17.2613,17.169,17.8905,17.4489,17.2648,17.1995,308.505,0.681141,0.323924,0.223008,0.165983,0.124135,0.312639,0.221746,0.164661,0.130611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.7476,16.182,16.0064,15.9016,16.6497,16.1849,16.0001,15.936,308.506,-0.0775507,0.418901,0.288699,0.213701,0.160172,0.404286,0.287042,0.212011,0.168414,-999,-999,-999,-999,-999,-999,-999,-999,-999
