survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-g_AV,GAIA-b_AV,GAIA-r_AV,GAIA_SNLS-g,GAIA_SNLS-r,GAIA_SNLS-i,GAIA_SNLS-z,SOURCEID
SNLS_AB,18.4959,18.1337,17.9926,17.9373,18.493,18.1533,18.006,17.9615,36.5328,-4.99668,0.10165,0.0723437,0.053113,0.0416552,0.102,0.0731549,0.0542203,0.0431034,18.143,17.6569,18.4889,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.3956,16.9284,16.7524,16.6744,17.3965,16.9466,16.7656,16.7044,36.4739,-4.99286,0.0948675,0.0666197,0.049113,0.0385616,0.0952,0.0672958,0.0502203,0.039803,16.9649,16.4041,17.3632,0,0,0,17.4024,16.9475,16.7476,16.6693,2488797350324724736
SNLS_AB,18.5164,18.1438,18.0278,17.986,18.5014,18.1439,18.0247,18.0121,36.1498,-4.98835,0.0903025,0.0638958,0.047113,0.0365616,0.0906,0.0644366,0.0482203,0.037803,18.1695,17.7061,18.5013,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.5719,18.0285,17.8335,17.7422,18.5889,18.048,17.8357,17.7456,36.1586,-4.98746,0.0883025,0.0626197,0.0454275,0.0355616,0.0886,0.0632958,0.0463503,0.036803,18.0748,17.4953,18.5514,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.1386,16.7612,16.6248,16.5755,17.1333,16.7645,16.6293,16.5906,36.6025,-4.98358,0.0978675,0.0696197,0.051113,0.0396552,0.0982,0.0702958,0.0522203,0.0411034,16.818,16.3024,17.1125,0,0,0,17.1232,16.7912,16.6536,16.6062,2488793983070362240
SNLS_AB,18.4333,17.9362,17.7206,17.6209,18.4519,17.9505,17.727,17.6333,36.3104,-4.98433,0.0863025,0.0616197,0.044742,0.0355616,0.0866,0.0622958,0.0454802,0.036803,17.9664,17.3875,18.3899,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.3481,16.6209,16.307,16.1548,17.3751,16.6578,16.3294,16.1929,36.5812,-4.98033,0.0978675,0.0696197,0.051113,0.0396552,0.0982,0.0702958,0.0522203,0.0411034,16.6816,15.9613,17.2292,0,0,0,17.3576,16.6306,16.3153,16.1563,2488794738984606592
SNLS_AB,17.5483,17.0864,16.9239,16.8655,17.5678,17.0935,16.9645,16.8953,36.8101,-4.97632,0.0853025,0.0598958,0.0444275,0.0345616,0.0856,0.0604366,0.0453503,0.035803,17.1345,16.6007,17.5324,0,0,0,17.5648,17.0833,16.9452,16.8903,2489158265016517376
SNLS_AB,17.3417,16.785,16.5959,16.5073,17.3494,16.8021,16.6045,16.5337,36.7046,-4.97563,0.08052,0.0568958,0.041742,0.0325616,0.0808,0.0574366,0.0424802,0.033803,16.8443,16.2617,17.2865,0,0,0,17.3502,16.785,16.5948,16.5247,2488783950026757376
SNLS_AB,18.4816,17.9099,17.6659,17.5407,18.4846,17.9372,17.6668,17.5558,36.1326,-4.97637,0.091085,0.0646197,0.0474275,0.0366552,0.0914,0.0652958,0.0483503,0.0381034,17.9458,17.327,18.4382,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.4207,16.8011,16.5733,16.4645,17.4271,16.8251,16.5821,16.4895,36.557,-4.97177,0.0948675,0.0676197,0.049113,0.0386552,0.0952,0.0682958,0.0502203,0.0401034,16.8585,16.2324,17.3145,0,0,0,17.4215,16.7974,16.5819,16.4826,2488794906488159104
SNLS_AB,18.8129,18.3507,18.1678,18.0902,18.8094,18.3475,18.1895,18.1085,36.6033,-4.96971,0.0958675,0.0676197,0.0494275,0.0386552,0.0962,0.0682958,0.0503503,0.0401034,18.3953,17.8387,18.7092,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.9375,17.4525,17.2648,17.1877,17.9346,17.4572,17.2867,17.2297,36.5905,-4.96159,0.0958675,0.0676197,0.0494275,0.0386552,0.0962,0.0682958,0.0503503,0.0401034,17.4929,16.9272,17.8802,0,0,0,17.9572,17.4459,17.2735,17.2133,2488794837768685440
SNLS_AB,18.6151,17.9543,17.6766,17.5362,18.6466,17.9693,17.6875,17.5653,36.4267,-4.95955,0.0883025,0.0626197,0.0454275,0.0355616,0.0886,0.0632958,0.0463503,0.036803,18.0234,17.3457,18.5573,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.6718,16.9236,16.6391,16.4955,17.6854,16.9403,16.6498,16.5318,36.9299,-4.95729,0.0948675,0.0666197,0.049113,0.0385616,0.0952,0.0672958,0.0502203,0.039803,17.0033,16.3019,17.5474,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.2234,17.8703,17.754,17.7232,18.2223,17.865,17.7569,17.7446,36.9858,-4.93929,0.0958675,0.0676197,0.0494275,0.0386552,0.0962,0.0682958,0.0503503,0.0401034,17.8907,17.4131,18.2165,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.3145,17.7967,17.6155,17.5357,18.3234,17.8171,17.6209,17.5558,36.4016,-4.93061,0.088085,0.0618958,0.0454275,0.0355616,0.0884,0.0624366,0.0463503,0.036803,17.8445,17.2711,18.2623,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.9302,17.5822,17.4695,17.4336,17.9389,17.5798,17.4701,17.4362,36.1503,-4.92261,0.091085,0.0646197,0.0474275,0.0366552,0.0914,0.0652958,0.0483503,0.0381034,17.5978,17.1163,17.9179,0,0,0,17.9461,17.5888,17.4679,17.4453,2489545941649408640
SNLS_AB,17.7142,16.9448,16.6715,16.5438,17.74,16.9693,16.702,16.5733,36.3088,-4.91978,0.0903025,0.0638958,0.047113,0.0365616,0.0906,0.0644366,0.0482203,0.037803,17.0228,16.3182,17.5819,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.79,17.5089,17.4201,17.3993,17.7849,17.5037,17.419,17.4025,36.3681,-4.91684,0.0883025,0.0626197,0.0454275,0.0356552,0.0886,0.0632958,0.0463503,0.0371034,17.5114,17.0907,17.7826,0,0,0,17.8,17.5221,17.4209,17.4514,2489543605187200768
SNLS_AB,17.8275,17.2328,17.0025,16.8991,17.8503,17.2555,17.0183,16.9328,36.8154,-4.91194,0.0843025,0.0596197,0.0434275,0.0345616,0.0846,0.0602958,0.0443503,0.035803,17.2914,16.677,17.7698,0,0,0,17.8488,17.2426,17.0184,16.9265,2489159703830223104
SNLS_AB,17.8634,17.4783,17.3383,17.2848,17.8611,17.4794,17.3357,17.2827,36.5071,-4.91344,0.089085,0.0626197,0.0464275,0.0356552,0.0894,0.0632958,0.0473503,0.0371034,17.5002,16.9898,17.8515,0,0,0,17.883,17.4754,17.3453,17.2875,2488798376821746688
SNLS_AB,18.6945,17.98,17.7048,17.5797,18.7059,18.0027,17.7088,17.6178,36.853,-4.90917,0.0883025,0.0626197,0.0454275,0.0356552,0.0886,0.0632958,0.0463503,0.0371034,18.0505,17.3878,18.6124,0,0,0,-999,-999,-999,-999,-999
