survey,SWIFT-B,SWIFT-V,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SWIFT-B_AV,SWIFT-V_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
swift,16.9888,16.3342,15.6227,15.2439,14.8062,14.8921,202.559,47.2488,0.12455769230769231,0.09539249999999999,0.1106,0.07829577464788734,0.058220338983050846,0.0464039408866995
swift,16.2498,15.5329,15.7868,15.2604,15.0438,14.9786,83.1771,-14.0838,0.5080705128205129,0.38756999999999997,0.4484,0.31876056338028175,0.23662146892655367,0.18761576354679801
swift,16.675,16.101,16.2718,15.886,15.7227,15.6882,83.2099,-14.1062,0.5012307692307693,0.3833525,0.4428,0.31476056338028174,0.23362146892655367,0.1853152709359606
swift,16.5671,15.9449,16.1531,15.7283,15.5623,15.5156,83.2267,-14.0976,0.5022307692307693,0.38346125,0.4436,0.31576056338028174,0.23362146892655367,0.1853152709359606
swift,16.5612,16.0938,16.2687,15.9503,15.7971,15.7571,83.178,-14.1384,0.49323076923076925,0.37624375,0.435,0.30976056338028174,0.2288813559322034,0.1823152709359606
swift,16.7092,16.0065,16.2455,15.7385,15.5016,15.4102,83.1646,-14.1124,0.5000705128205128,0.38146125,0.4416,0.31376056338028174,0.23262146892655367,0.1843152709359606
swift,16.8772,15.9997,16.3157,15.6327,15.3125,15.1629,83.1812,-14.1259,0.49323076923076925,0.37624375,0.435,0.30976056338028174,0.2288813559322034,0.1823152709359606
swift,16.6784,16.1153,16.2857,15.9292,15.7993,15.7748,83.1953,-14.1193,0.5012307692307693,0.3833525,0.4428,0.31476056338028174,0.23362146892655367,0.1853152709359606
swift,17.8967,17.0425,17.3491,16.6942,16.4311,16.3055,83.232,-14.1034,0.5022307692307693,0.38346125,0.4436,0.31576056338028174,0.23362146892655367,0.1853152709359606
swift,16.2689,15.5223,15.7868,15.2604,15.0438,14.9786,83.1771,-14.0838,0.5080705128205129,0.38756999999999997,0.4484,0.31876056338028175,0.23662146892655367,0.18761576354679801
swift,16.7006,16.0818,16.2718,15.886,15.7227,15.6882,83.2099,-14.1062,0.5012307692307693,0.3833525,0.4428,0.31476056338028174,0.23362146892655367,0.1853152709359606
swift,16.5747,15.9824,16.1531,15.7283,15.5623,15.5156,83.2267,-14.0976,0.5022307692307693,0.38346125,0.4436,0.31576056338028174,0.23362146892655367,0.1853152709359606
swift,16.5701,16.0938,16.2687,15.9503,15.7971,15.7571,83.178,-14.1384,0.49323076923076925,0.37624375,0.435,0.30976056338028174,0.2288813559322034,0.1823152709359606
swift,16.7057,16.0251,16.2455,15.7385,15.5016,15.4102,83.1646,-14.1124,0.5000705128205128,0.38146125,0.4416,0.31376056338028174,0.23262146892655367,0.1843152709359606
swift,16.8982,15.9746,16.3157,15.6327,15.3125,15.1629,83.1812,-14.1259,0.49323076923076925,0.37624375,0.435,0.30976056338028174,0.2288813559322034,0.1823152709359606
swift,16.6897,16.1064,16.2857,15.9292,15.7993,15.7748,83.1953,-14.1193,0.5012307692307693,0.3833525,0.4428,0.31476056338028174,0.23362146892655367,0.1853152709359606
swift,16.5435,15.6126,15.9209,15.2207,14.9477,14.8175,253.232,2.42688,0.27495512820512824,0.21022,0.2434,0.17316901408450705,0.12818079096045198,0.10210837438423645
swift,16.1129,15.5026,15.6843,15.285,15.1246,15.0877,253.245,2.3534,0.27279487179487183,0.20822000000000002,0.2414,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,16.9534,16.3577,16.5341,16.1092,15.9461,15.8828,253.262,2.43162,0.27579487179487183,0.21111124999999997,0.2436,0.1733098591549296,0.12818079096045198,0.10210837438423645
swift,17.5561,16.782,17.0665,16.6158,16.4385,16.3786,253.233,2.39202,0.27295512820512824,0.20911124999999997,0.2416,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,16.956,16.2631,16.4955,16.0416,15.868,15.8056,253.226,2.40541,0.27379487179487183,0.20922,0.2424,0.17216901408450705,0.12718079096045198,0.10110837438423645
swift,17.962,17.0075,17.3597,16.69,16.4512,16.3531,253.244,2.36762,0.27279487179487183,0.20822000000000002,0.2414,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,17.9411,17.2248,17.4801,16.9932,16.7851,16.6941,253.241,2.41726,0.27379487179487183,0.20922,0.2424,0.17216901408450705,0.12718079096045198,0.10110837438423645
swift,17.7039,16.8172,17.1353,16.5634,16.3727,16.3028,253.223,2.38505,0.27295512820512824,0.20911124999999997,0.2416,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,17.757,17.0149,17.2469,16.7007,16.4822,16.3796,253.294,2.36497,0.27479487179487183,0.21011124999999997,0.2426,0.1723098591549296,0.12818079096045198,0.1014088669950739
swift,16.6073,15.9004,16.1357,15.6514,15.4564,15.3744,253.223,2.37724,0.27295512820512824,0.20911124999999997,0.2416,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,17.2261,16.6215,16.8191,16.4122,16.248,16.1876,253.271,2.42437,0.27579487179487183,0.21111124999999997,0.2436,0.1733098591549296,0.12818079096045198,0.10210837438423645
swift,16.5461,15.6028,15.9209,15.2207,14.9477,14.8175,253.232,2.42688,0.27495512820512824,0.21022,0.2434,0.17316901408450705,0.12818079096045198,0.10210837438423645
swift,16.095,15.4812,15.6843,15.285,15.1246,15.0877,253.245,2.3534,0.27279487179487183,0.20822000000000002,0.2414,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,16.9828,16.345,16.5341,16.1092,15.9461,15.8828,253.262,2.43162,0.27579487179487183,0.21111124999999997,0.2436,0.1733098591549296,0.12818079096045198,0.10210837438423645
swift,17.5298,16.8435,17.0665,16.6158,16.4385,16.3786,253.233,2.39202,0.27295512820512824,0.20911124999999997,0.2416,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,16.9329,16.2773,16.4955,16.0416,15.868,15.8056,253.226,2.40541,0.27379487179487183,0.20922,0.2424,0.17216901408450705,0.12718079096045198,0.10110837438423645
swift,17.9602,17.0627,17.3597,16.69,16.4512,16.3531,253.244,2.36762,0.27279487179487183,0.20822000000000002,0.2414,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,17.7117,16.86,17.1353,16.5634,16.3727,16.3028,253.223,2.38505,0.27295512820512824,0.20911124999999997,0.2416,0.1713098591549296,0.12718079096045198,0.10110837438423645
swift,17.7313,16.9682,17.2469,16.7007,16.4822,16.3796,253.294,2.36497,0.27479487179487183,0.21011124999999997,0.2426,0.1723098591549296,0.12818079096045198,0.1014088669950739
swift,18.2449,17.4568,17.7473,17.1642,16.9492,16.8825,53.7783,-24.9719,0.07719871794871795,0.05941375,0.06839999999999999,0.0485774647887324,0.036480225988700564,0.02850246305418719
swift,15.992,15.4178,15.6271,15.2613,15.1383,15.1256,53.8121,-25.0057,0.06819871794871796,0.051305,0.0596,0.0425774647887324,0.031610169491525425,0.025201970443349753
swift,16.6266,15.8406,16.0967,15.5485,15.3476,15.2711,53.7641,-24.9573,0.08803846153846154,0.06763125,0.078,0.05543661971830987,0.04135028248587571,0.03250246305418719
swift,16.6171,15.9784,16.1788,15.7556,15.6159,15.6072,53.6957,-24.9664,0.08303846153846155,0.0635225,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
swift,16.6734,15.8138,16.1242,15.466,15.2529,15.185,139.355,41.83,0.06919871794871796,0.053305,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
