survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFD-g_AV,ZTFD-r_AV,ZTFD-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTFD,16.2648,15.5384,15.2693,16.2625,15.5461,15.2649,15.1506,261.216,48.3521,0.104,0.06805633802816902,0.04949152542372881,0.10099999999999999,0.07129577464788733,0.05322033898305085,0.04210344827586207
ZTFD,17.5467,16.9307,16.7117,17.5232,16.9058,16.6791,16.6004,243.573,76.5734,0.12285,0.08126760563380282,0.05874011299435029,0.1194,0.0851549295774648,0.06309039548022599,0.05040394088669951
ZTFD,15.8002,15.544,15.445,15.83,15.5126,15.3982,15.396,236.392,34.8962,0.0981,0.06505633802816901,0.04724293785310734,0.0954,0.06829577464788734,0.050350282485875704,0.04010344827586207
ZTFD,17.4393,17.0014,16.8265,17.4407,16.9778,16.7938,16.7361,256.34,77.0311,0.109,0.072056338028169,0.05249152542372881,0.106,0.07529577464788734,0.05622033898305085,0.04440394088669951
ZTFD,17.924,17.3559,17.134,17.893,17.324,17.1067,17.0378,262.941,43.0844,0.0634,0.04163380281690141,0.029994350282485878,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
ZTFD,16.8522,16.3561,16.1483,16.8716,16.33,16.1082,16.0312,243.182,23.156,0.2397,0.15753521126760564,0.1142316384180791,0.2328,0.1653098591549296,0.12231073446327684,0.09710837438423645
ZTFD,17.0574,16.6987,16.5656,17.0836,16.6738,16.5216,16.4655,256.767,68.8773,0.0931,0.06105633802816902,0.044242937853107345,0.0904,0.06429577464788734,0.04735028248587571,0.03780295566502463
ZTFD,16.9262,16.6297,16.4939,16.9561,16.6161,16.4696,16.4338,249.431,39.2965,0.035699999999999996,0.023422535211267605,0.017497175141242938,0.0348,0.024718309859154936,0.018740112994350282,0.014600985221674877
ZTFD,18.2585,17.5614,17.2728,18.2656,17.5589,17.2597,17.1319,253.038,56.1414,0.06835000000000001,0.04484507042253521,0.032745762711864405,0.0664,0.04743661971830987,0.03461016949152543,0.02750246305418719
ZTFD,16.5725,15.8928,15.6465,16.5698,15.8878,15.6281,15.5319,238.331,46.8855,0.04355,0.028422535211267606,0.020497175141242937,0.0422,0.029718309859154933,0.02174011299435028,0.017901477832512315
ZTFD,17.9271,17.265,17.0051,17.9012,17.266,17.0098,16.9186,259.25,36.7282,0.1268,0.08347887323943662,0.06074011299435028,0.1232,0.08801408450704226,0.065090395480226,0.05170443349753695
ZTFD,16.6151,16.1083,15.945,16.6206,16.0999,15.9105,15.8524,239.677,48.9289,0.0654,0.04363380281690141,0.031745762711864405,0.0636,0.0455774647887324,0.03361016949152543,0.026502463054187193
ZTFD,16.2406,15.8482,15.6946,16.263,15.8265,15.6611,15.6132,264.679,54.6538,0.14265,0.09347887323943663,0.06798870056497175,0.1386,0.09801408450704227,0.07296045197740113,0.058004926108374384
ZTFD,17.3171,17.0374,16.9154,17.3432,17.0032,16.8673,16.8484,256.776,26.9939,0.16940000000000002,0.11169014084507042,0.08048587570621468,0.16460000000000002,0.11687323943661973,0.08670056497175141,0.06860591133004926
ZTFD,16.8288,16.2734,16.047,16.8258,16.2497,16.0123,15.9277,241.237,20.1233,0.27140000000000003,0.17895774647887325,0.12972881355932203,0.2636,0.18802816901408453,0.1390508474576271,0.11040886699507389
ZTFD,16.0717,15.7958,15.6837,16.099,15.7605,15.6344,15.6229,255.816,50.6776,0.10099999999999999,0.06605633802816901,0.04824293785310734,0.09799999999999999,0.06929577464788735,0.051350282485875705,0.04110344827586207
ZTFD,16.8935,16.5027,16.3553,16.8963,16.479,16.3152,16.2687,251.666,76.8389,0.16445,0.10869014084507042,0.07823728813559322,0.1598,0.11387323943661974,0.08383050847457628,0.06660591133004926
ZTFD,16.574,16.3046,16.1757,16.5997,16.2635,16.1367,16.1256,259.247,26.6266,0.1595,0.10490140845070423,0.07623728813559322,0.155,0.11073239436619721,0.08183050847457628,0.06530541871921182
ZTFD,16.7932,16.4671,16.3496,16.793,16.4375,16.3083,16.2936,246.286,33.6093,0.07229999999999999,0.04763380281690141,0.033994350282485875,0.0702,0.0495774647887324,0.036480225988700564,0.029502463054187193
ZTFD,18.6434,17.8771,17.6023,18.5963,17.8631,17.564,17.4467,264.652,42.2415,0.0921,0.060056338028169017,0.044242937853107345,0.0894,0.06329577464788734,0.04735028248587571,0.03710344827586207
ZTFD,17.4848,17.1358,16.9892,17.5031,17.1048,16.9442,16.8977,247.289,34.4884,0.06735000000000001,0.04384507042253521,0.03199435028248587,0.0654,0.04643661971830987,0.03448022598870057,0.02720197044334975
ZTFD,16.6621,16.412,16.316,16.7042,16.3723,16.2682,16.2644,227.084,31.8561,0.0644,0.04263380281690141,0.030745762711864407,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
ZTFD,15.4832,15.0061,14.86,15.507,14.9952,14.823,14.7711,225.987,18.7427,0.1605,0.10569014084507042,0.07698870056497176,0.156,0.11087323943661974,0.08196045197740114,0.06530541871921182
ZTFD,17.1632,16.7404,16.5851,17.1682,16.7145,16.5436,16.513,249.347,77.3215,0.12085,0.07926760563380282,0.057740112994350286,0.1174,0.0831549295774648,0.06209039548022599,0.049403940886699506
ZTFD,15.9112,15.4261,15.2536,15.9209,15.4115,15.2257,15.1676,253.035,68.6164,0.14065,0.09247887323943663,0.06698870056497175,0.1366,0.09701408450704227,0.07196045197740113,0.05700492610837438
ZTFD,15.4938,15.197,15.0936,15.5347,15.1737,15.0568,15.0426,246.068,44.3771,0.02675,0.017422535211267607,0.012497175141242938,0.026,0.018718309859154934,0.013740112994350283,0.010600985221674877
ZTFD,18.0327,17.4969,17.2768,18.0337,17.4894,17.2496,17.178,237.009,39.103,0.037649999999999996,0.024422535211267606,0.017497175141242938,0.0366,0.025718309859154933,0.018740112994350282,0.014901477832512316
ZTFD,17.3816,16.9486,16.8044,17.3934,16.9155,16.7512,16.7202,225.019,70.4805,0.059449999999999996,0.03863380281690141,0.027994350282485876,0.0578,0.0405774647887324,0.030480225988700566,0.024201970443349752
ZTFD,17.0665,16.5155,16.2979,17.0696,16.5036,16.2686,16.1941,254.784,70.3564,0.14265,0.09369014084507042,0.06798870056497175,0.1386,0.09887323943661974,0.07296045197740113,0.058004926108374384
ZTFD,16.0216,15.77,15.6784,16.0509,15.7364,15.6311,15.6168,236.006,46.1296,0.049550000000000004,0.03263380281690141,0.023745762711864404,0.0482,0.0345774647887324,0.025610169491525423,0.020201970443349752
ZTFD,16.9343,16.5834,16.4507,16.9567,16.5381,16.3937,16.3515,230.139,23.6821,0.1565,0.10269014084507043,0.07498870056497176,0.152,0.10787323943661974,0.07996045197740113,0.06330541871921182
ZTFD,17.0133,16.6356,16.4911,17.0294,16.6062,16.4518,16.4137,256.886,74.8533,0.13075,0.08626760563380283,0.06198870056497175,0.127,0.0901549295774648,0.06696045197740114,0.052704433497536944
ZTFD,17.3961,16.718,16.4642,17.4063,16.7117,16.4537,16.3498,264.018,36.0127,0.1327,0.08726760563380281,0.06298870056497174,0.1288,0.0911549295774648,0.06796045197740114,0.053704433497536945
ZTFD,17.6209,16.9717,16.7436,17.628,16.9604,16.7191,16.6158,225.509,36.5264,0.0525,0.03463380281690141,0.024745762711864405,0.051,0.0365774647887324,0.026610169491525424,0.021201970443349753
ZTFD,16.3641,15.9812,15.8668,16.3945,15.9682,15.8109,15.7754,242.321,37.7795,0.0347,0.023211267605633804,0.016497175141242937,0.033800000000000004,0.023859154929577468,0.01774011299435028,0.013901477832512315
ZTFD,18.5728,17.8739,17.5605,18.5698,17.8629,17.5541,17.4223,254.611,60.2828,0.060399999999999995,0.03963380281690141,0.02874576271186441,0.0586,0.0415774647887324,0.030610169491525424,0.024201970443349752
ZTFD,16.7534,16.25,16.0437,16.7717,16.2305,16.004,15.9239,247.847,57.9745,0.0515,0.03363380281690141,0.024745762711864405,0.049999999999999996,0.0355774647887324,0.026610169491525424,0.020901477832512314
ZTFD,17.2047,16.7638,16.5817,17.2121,16.7348,16.5497,16.4778,262.98,77.7832,0.16145,0.10669014084507042,0.07723728813559322,0.1568,0.11187323943661974,0.08283050847457628,0.06530541871921182
ZTFD,18.1398,17.6845,17.5065,18.1674,17.6948,17.5102,17.4477,244.93,70.3259,0.10105,0.06705633802816902,0.04849152542372881,0.0982,0.07029577464788733,0.05222033898305085,0.04110344827586207
ZTFD,17.0166,16.7165,16.5948,17.0428,16.6836,16.5616,16.5349,252.181,44.2506,0.04655,0.030422535211267605,0.02174576271186441,0.0452,0.031718309859154935,0.023610169491525425,0.018901477832512316
ZTFD,16.2583,15.6693,15.4551,16.2748,15.664,15.421,15.3242,262.617,56.93,0.11885,0.07826760563380282,0.05649152542372882,0.1154,0.0821549295774648,0.06022033898305085,0.048403940886699505
ZTFD,16.6256,16.0193,15.8007,16.6305,16.0024,15.7674,15.6877,236.259,27.0379,0.10995,0.07226760563380281,0.05249152542372881,0.1068,0.0761549295774648,0.05622033898305085,0.04510344827586207
ZTFD,16.6038,16.1932,16.0304,16.6245,16.1828,16.0111,15.9624,264.788,23.2003,0.32395,0.21338028169014084,0.15447457627118644,0.3148,0.22374647887323948,0.16566101694915256,0.13161083743842364
ZTFD,15.4707,15.1808,15.0751,15.5078,15.1523,15.0283,15.0161,256.699,70.1947,0.10404999999999999,0.06905633802816902,0.04949152542372881,0.1012,0.07229577464788733,0.05322033898305085,0.04210344827586207
ZTFD,15.9856,15.4045,15.1918,15.9882,15.3986,15.1675,15.0838,264.769,69.9114,0.12185,0.08026760563380282,0.057740112994350286,0.1184,0.0841549295774648,0.06209039548022599,0.049403940886699506
ZTFD,16.6775,16.1389,15.9318,16.6771,16.1234,15.9005,15.8154,239.843,67.5511,0.105,0.06905633802816902,0.05049152542372881,0.102,0.07229577464788733,0.05422033898305085,0.04310344827586207
ZTFD,17.5313,16.9837,16.7909,17.5346,16.9702,16.7666,16.7001,251.432,67.6736,0.105,0.06905633802816902,0.04949152542372881,0.102,0.07229577464788733,0.05322033898305085,0.04240394088669951
ZTFD,17.2348,16.6351,16.3819,17.2274,16.6239,16.3626,16.2626,217.674,76.9397,0.12185,0.08026760563380282,0.057740112994350286,0.1184,0.0841549295774648,0.06209039548022599,0.049403940886699506
ZTFD,17.9751,17.4559,17.27,17.9824,17.4314,17.2208,17.133,231.189,56.62,0.0317,0.021211267605633802,0.015497175141242938,0.0308,0.021859154929577466,0.016740112994350284,0.012901477832512316
ZTFD,16.7453,16.4605,16.3383,16.7786,16.4233,16.3055,16.2764,257.484,48.0017,0.0862,0.05684507042253521,0.04124293785310734,0.0838,0.059436619718309866,0.044350282485875706,0.03480295566502463
ZTFD,15.8709,15.5543,15.4572,15.8981,15.5341,15.4203,15.4128,257.104,63.7179,0.07629999999999999,0.04984507042253521,0.036242937853107345,0.0742,0.05243661971830987,0.03935028248587571,0.030802955665024633
ZTFD,16.4508,15.9057,15.7138,16.4763,15.8976,15.6827,15.6086,227.821,45.9789,0.08320000000000001,0.05484507042253521,0.03999435028248587,0.08080000000000001,0.05743661971830987,0.04248022598870056,0.03380295566502463
ZTFD,18.1241,17.5322,17.2988,18.1097,17.5185,17.2824,17.1864,263.852,17.4571,0.208,0.13711267605633803,0.09898305084745762,0.20199999999999999,0.14359154929577467,0.1064406779661017,0.08450738916256158
ZTFD,16.6966,16.3114,16.1532,16.7105,16.2903,16.1215,16.0732,249.796,27.1264,0.23875,0.15753521126760564,0.1142316384180791,0.23199999999999998,0.1653098591549296,0.12231073446327684,0.09710837438423645
ZTFD,17.2632,16.961,16.8461,17.2828,16.9264,16.7934,16.7712,258.208,45.8781,0.1149,0.07526760563380282,0.054491525423728815,0.1116,0.0791549295774648,0.058220338983050846,0.0464039408866995
ZTFD,16.3921,16.1108,16.0033,16.4158,16.0961,15.9644,15.9376,259.417,62.4673,0.07529999999999999,0.04984507042253521,0.035994350282485876,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
ZTFD,17.9352,17.2237,16.9316,17.9155,17.223,16.9263,16.8204,259.507,74.6386,0.14859999999999998,0.09769014084507043,0.07098870056497175,0.1444,0.10287323943661973,0.07596045197740113,0.06030541871921183
ZTFD,16.6673,16.3316,16.206,16.6974,16.3119,16.1777,16.1329,235.404,76.8409,0.10105,0.06705633802816902,0.04849152542372881,0.0982,0.07029577464788733,0.05222033898305085,0.04110344827586207
ZTFD,17.7678,17.4951,17.3282,17.835,17.4642,17.3019,17.2521,245.799,56.9688,0.0228,0.015211267605633802,0.011248587570621468,0.0222,0.015859154929577467,0.011870056497175142,0.009600985221674876
ZTFD,16.2906,15.9096,15.7731,16.3115,15.884,15.7416,15.7216,264.093,39.747,0.12179999999999999,0.08026760563380282,0.057740112994350286,0.1182,0.0841549295774648,0.06209039548022599,0.049403940886699506
ZTFD,17.7527,17.2409,17.0355,17.7451,17.2144,17.0136,16.948,259.781,39.6993,0.1268,0.08347887323943662,0.06074011299435028,0.1232,0.08801408450704226,0.065090395480226,0.05170443349753695
ZTFD,16.8965,16.5912,16.4569,16.9076,16.5619,16.4216,16.3898,237.172,23.4248,0.1793,0.11790140845070424,0.08548587570621469,0.1742,0.12373239436619721,0.09170056497175141,0.07290640394088671
ZTFD,17.4247,16.7615,16.5234,17.4158,16.7488,16.4974,16.3959,232.554,76.0331,0.107,0.07026760563380283,0.05149152542372881,0.104,0.0741549295774648,0.05522033898305085,0.04340394088669951
ZTFD,16.3573,16.1712,16.0646,16.3893,16.137,16.0483,16.0506,251.609,36.2743,0.058449999999999995,0.03863380281690141,0.027745762711864408,0.056799999999999996,0.0405774647887324,0.029610169491525423,0.024201970443349752
ZTFD,17.6989,17.1278,16.911,17.6933,17.1064,16.8907,16.8104,263.998,18.7123,0.2308,0.15232394366197183,0.11023163841807909,0.2242,0.15945070422535215,0.11831073446327683,0.09380788177339901
ZTFD,17.311,16.6347,16.3943,17.3126,16.6282,16.3679,16.2775,258.431,56.3285,0.0634,0.04163380281690141,0.029994350282485878,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
ZTFD,15.9876,15.6634,15.5521,16.0258,15.6363,15.5056,15.4752,242.375,77.5864,0.14759999999999998,0.09669014084507042,0.06998870056497175,0.1434,0.10187323943661973,0.07496045197740113,0.060004926108374386
ZTFD,17.9338,17.3353,17.1027,17.9234,17.3124,17.0919,17.001,242.734,53.1156,0.036649999999999995,0.024211267605633805,0.017497175141242938,0.0356,0.02485915492957747,0.018740112994350282,0.014901477832512316
ZTFD,17.2728,16.5495,16.2338,17.2627,16.5512,16.2383,16.0918,261.254,50.6778,0.08915,0.058845070422535214,0.04224293785310734,0.0866,0.06143661971830987,0.045350282485875706,0.03610344827586207
ZTFD,17.8997,17.2359,16.973,17.8831,17.2364,16.9567,16.8441,247.43,40.3008,0.02775,0.018211267605633803,0.01324858757062147,0.027,0.018859154929577467,0.013870056497175142,0.011600985221674876
