survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFD-g_AV,ZTFD-r_AV,ZTFD-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTFD,17.292,16.8966,16.6714,17.2877,16.8308,16.6471,16.5875,252.163,29.8405,0.16145,0.10633239436619718,0.07728813559322034,0.1568,0.11173239436619721,0.08283050847457628,0.06530541871921182
ZTFD,16.4137,16.0961,15.9837,16.4504,16.0767,15.9452,15.9118,258.349,61.8258,0.08814999999999999,0.05829577464788733,0.04227118644067797,0.0856,0.06129577464788734,0.045350282485875706,0.03580295566502463
ZTFD,17.0789,16.7537,16.6161,17.0698,16.729,16.6061,16.5711,259.602,21.7807,0.14459999999999998,0.09507323943661973,0.06903389830508475,0.1404,0.09987323943661974,0.07396045197740113,0.059004926108374385
ZTFD,16.1178,15.8195,15.7056,16.1353,15.7927,15.6688,15.6534,242.255,34.2655,0.059399999999999994,0.038777464788732396,0.028016949152542374,0.0576,0.0405774647887324,0.030480225988700566,0.024201970443349752
ZTFD,16.6468,16.3685,16.2679,16.6643,16.3319,16.22,16.2082,246.918,47.2221,0.05745,0.037777464788732396,0.027762711864406778,0.0558,0.0395774647887324,0.029610169491525423,0.02320197044334975
ZTFD,15.8819,15.4592,15.3043,15.893,15.4369,15.2669,15.225,239.497,31.4536,0.08915,0.05903661971830986,0.04227118644067797,0.0866,0.06143661971830987,0.045350282485875706,0.03610344827586207
ZTFD,17.1852,16.779,16.623,17.2068,16.7538,16.5935,16.5528,253.112,48.9886,0.0327,0.02151830985915493,0.015508474576271187,0.0318,0.022718309859154934,0.016740112994350284,0.013600985221674876
ZTFD,15.4361,15.222,15.1395,15.4593,15.1808,15.0882,15.0891,229.2,58.7245,0.0347,0.023259154929577464,0.016508474576271186,0.033800000000000004,0.023859154929577468,0.01774011299435028,0.013901477832512315
ZTFD,17.3817,16.8386,16.6392,17.3921,16.8259,16.6087,16.5285,243.163,43.9009,0.03965,0.02651830985915493,0.01876271186440678,0.0386,0.027718309859154935,0.020610169491525426,0.015901477832512313
ZTFD,15.5965,15.2096,15.0776,15.6149,15.1803,15.0397,15.0095,252.817,29.2411,0.15355,0.10107323943661972,0.07303389830508474,0.1492,0.10587323943661973,0.07796045197740113,0.06230541871921182
ZTFD,17.8019,17.3341,17.1213,17.8435,17.3268,17.1185,17.0495,246.286,49.4873,0.06045,0.0397774647887324,0.029016949152542375,0.0588,0.0415774647887324,0.031480225988700566,0.02450246305418719
ZTFD,16.5858,16.1409,15.9921,16.5956,16.1071,15.9577,15.9133,217.276,75.5156,0.1238,0.0815549295774648,0.058779661016949154,0.1202,0.0851549295774648,0.06309039548022599,0.05040394088669951
ZTFD,15.5364,15.1957,15.0636,15.5569,15.1607,15.0234,14.9913,237.305,26.5875,0.15355,0.10107323943661972,0.07328813559322034,0.1492,0.10587323943661973,0.07883050847457627,0.06230541871921182
ZTFD,15.6868,15.3606,15.243,15.7045,15.3248,15.2036,15.1851,240.185,77.7764,0.1397,0.09281408450704226,0.06703389830508474,0.13579999999999998,0.09701408450704227,0.07196045197740113,0.05700492610837438
ZTFD,16.989,16.5854,16.4335,16.9985,16.5631,16.3947,16.3555,260.236,32.5704,0.14265,0.09481408450704226,0.06803389830508474,0.1386,0.09901408450704227,0.07296045197740113,0.058004926108374384
ZTFD,16.2917,15.7492,15.5616,16.2971,15.7339,15.5351,15.4783,240.134,75.624,0.07429999999999999,0.04903661971830986,0.036016949152542374,0.0722,0.051436619718309866,0.038480225988700566,0.030502463054187193
ZTFD,17.7501,17.3723,17.2148,17.7538,17.3496,17.1876,17.1306,258.363,30.9032,0.1248,0.0825549295774648,0.059779661016949155,0.1212,0.0861549295774648,0.06409039548022599,0.05070443349753695
ZTFD,17.0017,16.4555,16.2292,17.0087,16.4428,16.2105,16.124,253.155,40.3707,0.05745,0.037777464788732396,0.027762711864406778,0.0558,0.0395774647887324,0.029610169491525423,0.02320197044334975
ZTFD,18.5694,17.9329,17.6047,18.5649,17.8572,17.5879,17.4688,224.328,70.7382,0.06635,0.043777464788732394,0.03176271186440678,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
ZTFD,15.4723,14.9918,14.8421,15.4835,14.9781,14.795,14.7494,212.697,61.2145,0.049550000000000004,0.0327774647887324,0.023762711864406778,0.0482,0.0345774647887324,0.025610169491525423,0.020201970443349752
ZTFD,18.3109,17.6313,17.3918,18.3206,17.6627,17.4135,17.3087,261.994,46.8943,0.08125,0.054036619718309864,0.03901694915254237,0.079,0.05643661971830987,0.04148022598870057,0.03350246305418719
ZTFD,16.417,16.0498,15.9177,16.4402,16.0127,15.859,15.8281,234.386,38.2372,0.050499999999999996,0.03351830985915493,0.023762711864406778,0.048999999999999995,0.03471830985915494,0.025610169491525423,0.020201970443349752
ZTFD,16.3048,16.0719,15.9524,16.3399,16.0344,15.9188,15.8932,253.481,57.7597,0.08120000000000001,0.05303661971830986,0.038271186440677965,0.07880000000000001,0.05543661971830987,0.04135028248587571,0.03280295566502463
ZTFD,17.6102,17.2526,17.1079,17.6267,17.2203,17.0631,17.0305,238.045,75.1735,0.07529999999999999,0.0497774647887324,0.036016949152542374,0.0732,0.0515774647887324,0.038480225988700566,0.030502463054187193
ZTFD,16.2891,16.0207,15.9292,16.2844,15.9836,15.8737,15.8646,240.698,55.8333,0.035649999999999994,0.023518309859154932,0.016508474576271186,0.0346,0.024718309859154936,0.01774011299435028,0.014600985221674877
ZTFD,16.9958,16.5712,16.4246,17.0096,16.5555,16.3875,16.3372,225.734,61.7361,0.037649999999999996,0.02451830985915493,0.017508474576271187,0.0366,0.025718309859154933,0.018740112994350282,0.015600985221674878
ZTFD,16.8676,16.585,16.4748,16.8894,16.555,16.4224,16.408,243.922,30.6233,0.07825,0.05203661971830986,0.037271186440677964,0.076,0.05443661971830987,0.04035028248587571,0.031802955665024626
ZTFD,16.1291,15.655,15.4574,16.1388,15.6347,15.428,15.3531,252.854,55.4764,0.036649999999999995,0.02451830985915493,0.017508474576271187,0.0356,0.025718309859154933,0.018740112994350282,0.014901477832512316
