survey,ZTFS-g,ZTFS-r,ZTFS-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFS-g_AV,ZTFS-r_AV,ZTFS-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTF,15.6914,15.3404,15.2153,15.7055,15.3158,15.1608,15.1347,241.023,68.2084,0.10995,0.07255492957746479,0.05252542372881356,0.1068,0.0761549295774648,0.05622033898305085,0.04440394088669951
ZTF,15.5585,15.3242,15.2513,15.5849,15.2845,15.2021,15.1843,226.208,64.2542,0.06935000000000001,0.046036619718309864,0.03301694915254237,0.0674,0.04843661971830987,0.03548022598870056,0.02850246305418719
ZTF,17.5859,16.9502,16.7041,17.5921,16.9393,16.6871,16.5843,228.935,44.1709,0.058449999999999995,0.038777464788732396,0.027762711864406778,0.056799999999999996,0.0405774647887324,0.029610169491525423,0.024201970443349752
ZTF,16.5803,16.0782,15.8911,16.5972,16.0611,15.8837,15.8049,233.725,78.6289,0.102,0.06729577464788733,0.048525423728813556,0.09899999999999999,0.07029577464788733,0.05222033898305085,0.04110344827586207
ZTF,17.7217,17.0123,16.7496,17.725,17.0123,16.7266,16.6129,221.868,44.1422,0.0852,0.05603661971830986,0.04027118644067797,0.0828,0.058436619718309865,0.043350282485875705,0.03480295566502463
ZTF,16.0445,15.4218,15.2012,16.0451,15.4144,15.1748,15.0947,261.542,72.8552,0.12975,0.08581408450704225,0.06177966101694915,0.126,0.09001408450704226,0.066090395480226,0.052704433497536944
ZTF,17.1786,16.4735,16.1902,17.1686,16.452,16.184,16.0694,251.389,56.3072,0.058449999999999995,0.038777464788732396,0.027762711864406778,0.056799999999999996,0.0405774647887324,0.029610169491525423,0.024201970443349752
ZTF,17.9449,17.4224,17.2058,17.9424,17.4084,17.1829,17.0926,247.703,26.3952,0.14365,0.09507323943661973,0.06903389830508475,0.1396,0.09987323943661974,0.07396045197740113,0.05870443349753695
ZTF,17.1157,16.4451,16.2,17.1241,16.4397,16.1899,16.0938,252.589,57.8921,0.07329999999999999,0.04803661971830986,0.03501694915254237,0.0712,0.050436619718309865,0.037480225988700565,0.029502463054187193
ZTF,16.746,16.4335,16.323,16.7694,16.4032,16.2767,16.2455,232.012,35.8048,0.06735000000000001,0.044777464788732395,0.03201694915254237,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
ZTF,17.8537,17.3303,17.1457,17.8368,17.3138,17.1061,17.0157,264.076,49.768,0.07329999999999999,0.0487774647887324,0.03501694915254237,0.0712,0.0505774647887324,0.037480225988700565,0.029502463054187193
ZTF,16.0895,15.8617,15.7635,16.1237,15.8329,15.7113,15.7019,259.485,16.3208,0.2823,0.18662816901408452,0.1348135593220339,0.2742,0.19502816901408454,0.1440508474576271,0.11470935960591133
ZTF,17.2041,16.8378,16.6966,17.2144,16.8056,16.6411,16.5983,262.857,74.1656,0.1119,0.07355492957746479,0.05352542372881356,0.1086,0.0771549295774648,0.05722033898305085,0.0454039408866995
ZTF,17.2085,16.7426,16.589,17.2076,16.7247,16.5406,16.5027,239.922,64.6232,0.0644,0.0427774647887324,0.031016949152542373,0.0626,0.0445774647887324,0.03348022598870057,0.026201970443349754
ZTF,17.5626,16.9013,16.6549,17.5767,16.9012,16.594,16.4546,220.56,80.1758,0.11889999999999999,0.0785549295774648,0.05677966101694915,0.1156,0.0821549295774648,0.06109039548022599,0.048403940886699505
ZTF,16.9903,16.5973,16.4357,16.9986,16.575,16.4037,16.3497,244.526,48.8499,0.04065,0.026777464788732396,0.019508474576271185,0.0396,0.028577464788732403,0.020740112994350284,0.016901477832512314
ZTF,16.7842,16.3515,16.1904,16.7771,16.333,16.1538,16.1078,256.892,66.549,0.104,0.0685549295774648,0.04952542372881356,0.10099999999999999,0.0721549295774648,0.05322033898305085,0.04210344827586207
ZTF,16.6768,16.3846,16.2742,16.6953,16.3506,16.2359,16.21,239.173,37.6198,0.061399999999999996,0.0407774647887324,0.029016949152542375,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
ZTF,17.3452,16.8387,16.6136,17.3287,16.8231,16.6168,16.5373,243.644,40.371,0.040600000000000004,0.02651830985915493,0.019508474576271185,0.039400000000000004,0.027718309859154935,0.020740112994350284,0.01660098522167488
ZTF,17.2509,16.8133,16.6366,17.2519,16.7986,16.6114,16.5601,259.746,38.0826,0.1575,0.10407323943661972,0.07528813559322034,0.153,0.10887323943661974,0.08083050847457628,0.06430541871921182
ZTF,16.8248,16.4895,16.3475,16.8407,16.4561,16.3128,16.2725,246.226,21.4435,0.14265,0.09407323943661973,0.06803389830508474,0.1386,0.09887323943661974,0.07296045197740113,0.058004926108374384
ZTF,17.1753,16.6573,16.4612,17.1812,16.6407,16.4272,16.3498,236.684,22.4685,0.18125,0.11933239436619719,0.08654237288135594,0.176,0.12473239436619721,0.09270056497175141,0.07360591133004926
ZTF,18.0258,17.3503,17.0863,17.9793,17.3329,17.0733,16.9588,248.711,52.0137,0.10005,0.06629577464788733,0.047525423728813555,0.09720000000000001,0.06929577464788735,0.051220338983050846,0.04080295566502463
ZTF,16.2045,15.7339,15.5505,16.2175,15.7133,15.5217,15.4534,241.95,22.3785,0.24765,0.16336901408450705,0.11830508474576272,0.2406,0.17116901408450705,0.12631073446327684,0.10010837438423645
ZTF,16.9938,16.4226,16.1979,17.0166,16.4201,16.1971,16.1111,259.33,61.6972,0.0664,0.04403661971830986,0.03201694915254237,0.0646,0.04643661971830987,0.03448022598870057,0.02720197044334975
ZTF,16.9544,16.6171,16.4938,16.9686,16.5855,16.4428,16.4164,255.199,54.5378,0.04755,0.03151830985915493,0.02276271186440678,0.0462,0.032718309859154936,0.024610169491525426,0.01920197044334975
ZTF,16.865,16.3276,16.1291,16.8696,16.315,16.1098,16.0366,260.872,62.953,0.08915,0.05903661971830986,0.04227118644067797,0.0866,0.06143661971830987,0.045350282485875706,0.03580295566502463
ZTF,16.3594,16.1138,16.0428,16.3676,16.0851,15.9867,15.9796,242.338,57.3997,0.0317,0.021259154929577466,0.015254237288135592,0.0308,0.021859154929577466,0.015870056497175142,0.012600985221674877
ZTF,15.6337,15.3616,15.2502,15.6682,15.334,15.2186,15.1887,244.76,15.0579,0.14465,0.09581408450704226,0.06903389830508475,0.1406,0.10001408450704227,0.07396045197740113,0.059004926108374385
ZTF,17.0804,16.7551,16.6179,17.0887,16.7274,16.5753,16.534,250.246,72.1386,0.12285,0.0815549295774648,0.058779661016949154,0.1194,0.0851549295774648,0.06309039548022599,0.05040394088669951
ZTF,16.0548,15.8923,15.8145,16.0816,15.8483,15.7696,15.7759,249.992,46.1576,0.0466,0.030777464788732396,0.022508474576271184,0.0454,0.0325774647887324,0.023740112994350283,0.018901477832512316
ZTF,17.8157,17.083,16.8144,17.7978,17.0663,16.7781,16.6508,263.771,58.0398,0.1575,0.10407323943661972,0.07528813559322034,0.153,0.10887323943661974,0.08083050847457628,0.06430541871921182
ZTF,17.202,16.8928,16.7824,17.2237,16.8616,16.732,16.6994,245.731,28.614,0.1248,0.0825549295774648,0.059779661016949155,0.1212,0.0861549295774648,0.06409039548022599,0.05070443349753695
ZTF,17.1297,16.4298,16.1392,17.1331,16.4194,16.1431,16.0201,233.132,54.3053,0.0634,0.0417774647887324,0.030016949152542376,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
ZTF,16.62,16.1532,15.9786,16.6293,16.1381,15.9436,15.8782,240.359,44.7191,0.0565,0.037777464788732396,0.027016949152542373,0.055,0.0395774647887324,0.029480225988700565,0.02320197044334975
ZTF,16.9634,16.3038,16,16.9811,16.3013,15.9952,15.8687,252.283,28.3828,0.16840000000000002,0.11133239436619718,0.08054237288135593,0.16360000000000002,0.1167323943661972,0.08670056497175141,0.06860591133004926
ZTF,16.3968,16.038,15.9029,16.4108,16.0116,15.8546,15.8116,220.737,25.834,0.0941,0.062295774647887325,0.045271186440677964,0.0914,0.06529577464788734,0.04835028248587571,0.03810344827586207
ZTF,16.9347,16.6108,16.4854,16.9483,16.5801,16.4528,16.4193,263.29,49.9106,0.0852,0.05629577464788733,0.04101694915254237,0.0828,0.05929577464788734,0.04348022598870056,0.03480295566502463
ZTF,17.2272,16.8658,16.7231,17.2125,16.8196,16.6764,16.6383,249.407,50.4268,0.059449999999999996,0.0397774647887324,0.02876271186440678,0.0578,0.0415774647887324,0.030610169491525424,0.024201970443349752
ZTF,17.962,17.1447,16.8461,17.9025,17.1446,16.8462,16.7165,263.774,21.9989,0.19115000000000001,0.1263323943661972,0.09079661016949152,0.18560000000000001,0.13173239436619721,0.09757062146892656,0.0779064039408867
ZTF,17.5847,17.0536,16.8519,17.5989,17.0382,16.837,16.7603,222.27,22.9986,0.107,0.0705549295774648,0.05127118644067797,0.104,0.0741549295774648,0.05435028248587571,0.04340394088669951
ZTF,15.9742,15.7058,15.6063,15.9992,15.6788,15.5613,15.5402,233.773,37.058,0.06735000000000001,0.04403661971830986,0.03201694915254237,0.0654,0.04643661971830987,0.03448022598870057,0.02720197044334975
ZTF,17.1615,16.8494,16.7236,17.1783,16.8124,16.6843,16.6574,240.453,79.8809,0.1258,0.08281408450704225,0.059779661016949155,0.1222,0.08701408450704226,0.06409039548022599,0.05140394088669951
ZTF,17.6783,17.2777,17.1207,17.6961,17.248,17.1038,17.0552,262.746,30.3923,0.15155,0.10007323943661972,0.07228813559322034,0.1472,0.10487323943661973,0.07783050847457627,0.06130541871921183
ZTF,16.6087,16.2504,16.1342,16.6232,16.2132,16.0741,16.0468,239.961,67.5738,0.105,0.06929577464788733,0.05052542372881356,0.102,0.07229577464788733,0.05422033898305085,0.04310344827586207
ZTF,18.3381,17.7624,17.5333,18.3625,17.7329,17.5031,17.409,233.873,51.4272,0.0426,0.02851830985915493,0.020508474576271186,0.0414,0.029718309859154933,0.02174011299435028,0.017901477832512315
ZTF,16.6592,16.2181,16.0697,16.653,16.1982,16.0317,15.9875,252.522,61.5534,0.1288,0.08481408450704225,0.06177966101694915,0.1252,0.08901408450704226,0.066090395480226,0.05240394088669951
ZTF,16.1616,15.7985,15.6617,16.1803,15.7765,15.6272,15.5897,239.953,38.0458,0.0436,0.028777464788732398,0.02076271186440678,0.0424,0.0305774647887324,0.022610169491525424,0.017901477832512315
ZTF,16.5264,16.0899,15.9451,16.5516,16.0991,15.9308,15.8766,245.506,61.603,0.06045,0.0397774647887324,0.02876271186440678,0.0588,0.0415774647887324,0.030610169491525424,0.024201970443349752
ZTF,17.6573,17.2478,17.0795,17.6828,17.264,17.0701,17.0219,259.743,37.7356,0.1615,0.10707323943661973,0.07728813559322034,0.157,0.11187323943661974,0.08283050847457628,0.06560591133004925
ZTF,16.9143,16.5708,16.4526,16.9379,16.5407,16.3938,16.3738,212.626,16.8367,0.06045,0.0397774647887324,0.02876271186440678,0.0588,0.0415774647887324,0.030610169491525424,0.02450246305418719
ZTF,16.5068,15.7905,15.5113,16.5092,15.7837,15.5012,15.3861,234.551,37.0716,0.06835000000000001,0.04503661971830986,0.03276271186440678,0.0664,0.04743661971830987,0.03461016949152543,0.02750246305418719
ZTF,17.321,17.007,16.8831,17.3331,16.9427,16.8276,16.809,232.069,66.7775,0.08915,0.05929577464788733,0.04327118644067797,0.0866,0.06229577464788734,0.04635028248587571,0.03680295566502463
ZTF,17.1509,16.5365,16.3094,17.1523,16.5206,16.2785,16.1805,223.375,27.3742,0.09115,0.060295774647887324,0.04352542372881356,0.0886,0.06329577464788734,0.04722033898305085,0.03710344827586207
ZTF,16.5167,16.1642,16.0508,16.5342,16.1374,15.9906,15.9677,211.231,22.0425,0.106,0.0695549295774648,0.05052542372881356,0.103,0.0731549295774648,0.05422033898305085,0.04310344827586207
ZTF,17.4079,16.7804,16.4962,17.3962,16.7289,16.4709,16.361,238.203,25.6023,0.19415000000000002,0.12859154929577465,0.09279661016949152,0.18860000000000002,0.1345915492957747,0.09957062146892656,0.0789064039408867
ZTF,17.8272,17.381,17.2093,17.8444,17.3567,17.152,17.1186,242.155,66.8623,0.09805,0.06429577464788733,0.046525423728813554,0.0952,0.06729577464788734,0.050220338983050845,0.04010344827586207
ZTF,16.7965,16.5311,16.4302,16.8193,16.5024,16.3878,16.3819,237.666,47.5229,0.04655,0.03051830985915493,0.02176271186440678,0.0452,0.031718309859154935,0.023610169491525425,0.018901477832512316
ZTF,15.6751,15.3688,15.2565,15.6888,15.3404,15.2077,15.1942,248.769,40.1121,0.0515,0.0337774647887324,0.02476271186440678,0.049999999999999996,0.0355774647887324,0.026610169491525424,0.020901477832512314
ZTF,16.9885,16.589,16.4488,16.9998,16.5717,16.3907,16.3553,248.488,38.996,0.0317,0.02051830985915493,0.014508474576271187,0.0308,0.021718309859154933,0.015740112994350283,0.012600985221674877
ZTF,15.9272,15.3566,15.17,15.9246,15.3393,15.1428,15.0662,224.619,78.7835,0.07925,0.05203661971830986,0.03801694915254237,0.077,0.05443661971830987,0.04048022598870057,0.03250246305418719
ZTF,16.7486,16.4142,16.2961,16.7676,16.3892,16.2509,16.2211,258.466,50.2596,0.06635,0.043777464788732394,0.03176271186440678,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
ZTF,16.4038,16.2678,16.1982,16.427,16.2282,16.1461,16.1479,254.779,35.5453,0.0495,0.03251830985915493,0.023508474576271185,0.048,0.03371830985915494,0.024740112994350284,0.019901477832512313
ZTF,15.9412,15.4188,15.257,15.9413,15.4072,15.224,15.1684,243.606,36.9576,0.05545,0.03651830985915493,0.026016949152542376,0.0538,0.03771830985915493,0.028480225988700567,0.022201970443349754
ZTF,16.8904,16.2871,16.0541,16.8832,16.2712,16.0563,15.9668,254.659,46.4244,0.058449999999999995,0.038777464788732396,0.027762711864406778,0.056799999999999996,0.0405774647887324,0.029610169491525423,0.02320197044334975
