survey,ZTFS-g,ZTFS-r,ZTFS-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFS-g_AV,ZTFS-r_AV,ZTFS-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTFS,16.8601,16.529,16.4166,16.8697,16.496,16.3621,16.3356,243.357,65.6242,0.0911,0.06003661971830986,0.04327118644067797,0.08839999999999999,0.06243661971830987,0.04635028248587571,0.03680295566502463
ZTFS,18.1282,17.6261,17.3784,18.1512,17.6063,17.3522,17.2391,244.17,22.8976,0.34669999999999995,0.22866478873239438,0.16508474576271187,0.3368,0.2394647887323944,0.17740112994350282,0.1409113300492611
ZTFS,16.2775,15.964,15.8602,16.2946,15.9312,15.8054,15.7704,219.147,15.3792,0.06045,0.0397774647887324,0.02876271186440678,0.0588,0.0415774647887324,0.030610169491525424,0.02450246305418719
ZTFS,16.8754,16.5935,16.465,16.8971,16.5573,16.4354,16.4052,251.031,54.0671,0.0862,0.05703661971830986,0.04127118644067797,0.0838,0.059436619718309866,0.044350282485875706,0.03480295566502463
ZTFS,15.9852,15.574,15.4163,15.9905,15.5434,15.3865,15.3403,263.388,30.4277,0.18525,0.12233239436619718,0.08854237288135593,0.18,0.1277323943661972,0.09470056497175142,0.0749064039408867
ZTFS,15.5763,15.2387,15.1071,15.5955,15.2162,15.0732,15.0358,248.28,79.2753,0.1149,0.07555492957746479,0.05477966101694915,0.1116,0.0791549295774648,0.05909039548022599,0.0464039408866995
ZTFS,16.6303,15.961,15.7405,16.6113,15.9515,15.7122,15.6293,243.637,47.2649,0.035649999999999994,0.023518309859154932,0.016508474576271186,0.0346,0.024718309859154936,0.01774011299435028,0.014600985221674877
ZTFS,17.9033,17.3376,17.1082,17.9053,17.3311,17.0919,17.0094,262.898,58.7262,0.0961,0.06329577464788733,0.04552542372881356,0.0934,0.06629577464788734,0.04922033898305085,0.03910344827586207
ZTFS,15.5355,15.191,15.0822,15.5417,15.167,15.032,15.0174,250.082,33.5527,0.06735000000000001,0.044777464788732395,0.03201694915254237,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
ZTFS,17.6174,17.1329,16.9408,17.6287,17.0987,16.904,16.8406,212.37,36.8666,0.0198,0.013259154929577466,0.009254237288135592,0.019200000000000002,0.013859154929577467,0.009870056497175142,0.00830049261083744
ZTFS,17.1588,16.6668,16.4691,17.1543,16.6451,16.4405,16.364,255.847,73.6529,0.15155,0.10007323943661972,0.07228813559322034,0.1472,0.10487323943661973,0.07783050847457627,0.06200492610837438
ZTFS,17.7433,17.3026,17.1081,17.7663,17.2757,17.0838,17.0098,257.38,51.8194,0.10105,0.06729577464788733,0.048525423728813556,0.0982,0.07029577464788733,0.05222033898305085,0.04110344827586207
ZTFS,17.5352,17.2389,17.1107,17.5573,17.2232,17.0907,17.0714,255.65,36.8976,0.07129999999999999,0.047036619718309865,0.03401694915254237,0.0692,0.04943661971830987,0.036480225988700564,0.029201970443349753
ZTFS,18.1951,17.588,17.3776,18.2215,17.5742,17.3285,17.2128,252.321,19.4963,0.2516,0.1661098591549296,0.11955932203389831,0.2444,0.1733098591549296,0.12818079096045198,0.10210837438423645
ZTFS,18.5791,17.9289,17.6862,18.5803,17.9228,17.6564,17.5447,257.05,42.7397,0.08125,0.054036619718309864,0.03901694915254237,0.079,0.05643661971830987,0.04148022598870057,0.03350246305418719
ZTFS,17.3147,16.7713,16.574,17.3264,16.7449,16.5313,16.4671,216.087,58.438,0.035649999999999994,0.023518309859154932,0.017254237288135594,0.0346,0.024718309859154936,0.01787005649717514,0.014600985221674877
ZTFS,16.4625,15.9909,15.817,16.4757,15.9694,15.7831,15.7199,236.755,65.0947,0.103,0.0675549295774648,0.04927118644067797,0.09999999999999999,0.0711549295774648,0.052350282485875706,0.04210344827586207
ZTFS,16.9993,16.6745,16.5425,17.0428,16.6572,16.508,16.4919,251.479,39.5927,0.036649999999999995,0.023518309859154932,0.017508474576271187,0.0356,0.024718309859154936,0.018740112994350282,0.014600985221674877
ZTFS,16.6272,16.0873,15.9027,16.6261,16.0815,15.8694,15.8129,247.598,29.2872,0.0931,0.061295774647887324,0.04427118644067796,0.0904,0.06429577464788734,0.04735028248587571,0.03780295566502463
ZTFS,17.8439,17.2269,16.9654,17.8276,17.2088,16.9429,16.8285,262.73,38.4079,0.11785,0.07755492957746479,0.05577966101694915,0.1144,0.0811549295774648,0.06009039548022599,0.047403940886699504
ZTFS,17.126,16.7796,16.6267,17.1318,16.758,16.6022,16.5632,255.937,22.9428,0.1862,0.12259154929577465,0.08854237288135593,0.1808,0.12859154929577468,0.09470056497175142,0.07560591133004926
ZTFS,16.3703,16.1435,16.0546,16.3856,16.1063,16.0047,15.998,249.969,72.914,0.14859999999999998,0.09807323943661972,0.07103389830508475,0.1444,0.10287323943661973,0.07596045197740113,0.060004926108374386
ZTFS,18.2699,17.615,17.3372,18.2832,17.6201,17.3222,17.1935,223.673,36.1596,0.03965,0.02651830985915493,0.01876271186440678,0.0386,0.027718309859154935,0.020610169491525426,0.015901477832512313
ZTFS,17.2421,16.9687,16.8734,17.2601,16.9412,16.83,16.8188,244.363,44.2606,0.04755,0.03151830985915493,0.02276271186440678,0.0462,0.032718309859154936,0.024610169491525426,0.01920197044334975
ZTFS,15.4377,15.18,15.0985,15.4519,15.1488,15.0477,15.0364,240.887,79.4777,0.1248,0.0825549295774648,0.059779661016949155,0.1212,0.0861549295774648,0.06409039548022599,0.05070443349753695
ZTFS,17.1901,16.6147,16.3971,17.2157,16.5986,16.3669,16.2768,253.372,56.1813,0.06935000000000001,0.046036619718309864,0.03301694915254237,0.0674,0.04843661971830987,0.03548022598870056,0.02850246305418719
