survey,ZTF-g,ZTF-r,ZTF-i,ZTF-G,ZTF-R,ZTF-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_ZTF-g,GAIA_ZTF-r,GAIA_ZTF-i,GAIA_ZTF-G,GAIA_ZTF-R,GAIA_ZTF-I
ZTF,99,99,99,15.471,14.9081,99,15.4324,14.9387,14.7736,14.7242,132.47,46.5849,0.0919875,0.0602958,0.0442712,0.0922125,0.0600563,0.0442429,0.0894,0.0632958,0.0473503,0.0371034,1013536419851015680,15.4773,14.9131,14.7554,15.4931,14.9104,14.7551
ZTF,15.2737,14.8919,14.7589,99,99,99,15.2485,14.91,14.7942,14.7853,270.155,30.4556,0.166256,0.110073,0.0792881,0.166644,0.10969,0.0792373,0.1618,0.114873,0.0848305,0.0676059,4602696140779337728,15.2698,14.8856,14.7866,15.2817,14.8836,14.7865
ZTF,99,99,99,16.1442,15.6455,99,16.107,15.6819,15.5162,15.4642,112.651,53.6913,0.178144,0.118332,0.0855424,0.178556,0.117901,0.0854859,0.1734,0.123732,0.0917006,0.0726059,983983265282750208,16.1365,15.6589,15.5035,16.1502,15.6564,15.5033
ZTF,17.6858,17.4183,17.3178,99,99,99,17.6644,17.442,17.3627,17.3637,175.614,59.4687,0.0346062,0.0225183,0.0165085,0.0346938,0.0224225,0.0164972,0.0336,0.0237183,0.0177401,0.0139015,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,15.8962,99,99,15.8392,15.2216,15.0149,14.9281,274.488,19.7445,0.443275,0.293701,0.212102,0.444325,0.292648,0.211966,0.4312,0.306901,0.226881,0.180315,-999,-999,-999,-999,-999,-999,-999
ZTF,17.2233,16.5525,99,99,99,99,17.1658,16.5931,16.3626,16.2502,113.872,59.8508,0.241413,0.15911,0.115305,0.241987,0.158535,0.115232,0.2348,0.16631,0.123311,0.0981084,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.9691,17.4103,99,17.9151,17.4209,17.2599,17.2023,85.7588,-24.8743,0.0801562,0.0530366,0.0382712,0.0803438,0.0528451,0.0382429,0.078,0.0554366,0.0413503,0.032803,2915088041459616000,17.9731,17.4128,17.2562,17.99,17.4099,17.2561
ZTF,99,99,99,17.3251,16.7037,99,17.2723,16.7501,16.5598,16.4802,112.917,53.5865,0.177087,0.117332,0.0845424,0.177512,0.116901,0.0844859,0.1722,0.122732,0.0907006,0.0716059,983977939523290752,17.3322,16.7119,16.5332,17.3491,16.7085,16.533
ZTF,99,99,99,16.8046,16.3233,99,16.7727,16.3538,16.1962,16.1495,44.3314,47.5993,0.605531,0.400775,0.289644,0.606969,0.399338,0.289452,0.589,0.418775,0.310582,0.24632,437556841326440448,16.7869,16.3203,16.1837,16.7994,16.3179,16.1835
ZTF,99,99,99,17.7325,17.2524,99,17.6782,17.2833,17.0914,17.0538,44.1267,47.0191,0.690631,0.45707,0.330661,0.692269,0.455394,0.330446,0.6718,0.47807,0.354062,0.281123,434443088816015360,17.7109,17.2522,17.0949,17.7236,17.2499,17.0947
ZTF,17.221,16.7244,99,99,99,99,17.1869,16.7571,16.5957,16.5808,83.1629,-27.8931,0.0919875,0.0602958,0.0442712,0.0922125,0.0600563,0.0442429,0.0894,0.0632958,0.0473503,0.0371034,2908259283976667904,17.2286,16.7336,16.5823,17.243,16.7309,16.5821
ZTF,17.4332,16.5667,99,99,99,99,17.3626,16.6185,16.326,16.1958,82.7425,-27.2194,0.0939875,0.0622958,0.0452712,0.0942125,0.0620563,0.0452429,0.0914,0.0652958,0.0483503,0.0381034,2908532684415002496,17.4352,16.5664,16.2899,17.4559,16.5622,16.2894
ZTF,99,99,99,16.07,15.563,99,16.039,15.5935,15.4299,15.377,309.824,-3.47055,0.253244,0.167369,0.120559,0.253856,0.166746,0.12048,0.2462,0.175169,0.129181,0.103108,4224616354464131968,16.0682,15.5566,15.4094,16.0825,15.5539,15.4092
ZTF,17.6503,17.0804,16.894,99,99,99,17.6222,17.1098,16.9431,16.8984,313.119,9.04468,0.259244,0.171369,0.123814,0.259856,0.170746,0.123729,0.2522,0.179169,0.133051,0.105409,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.838,17.0513,99,17.775,17.1039,16.8435,16.7383,112.959,53.5157,0.180031,0.118592,0.0855424,0.180469,0.118113,0.0854859,0.175,0.124592,0.0917006,0.0729064,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.8791,17.1129,16.7974,17.8223,17.1556,16.8727,16.7451,257.716,18.6382,0.296794,0.195887,0.142068,0.297506,0.195169,0.141977,0.2886,0.204887,0.151921,0.12101,4560494548046153984,17.905,17.1226,16.8201,17.925,17.118,16.8197
ZTF,17.1201,16.6805,16.4968,99,99,99,17.0963,16.7199,16.5619,16.5249,333.515,-11.9322,0.149369,0.0988141,0.0710339,0.149731,0.0984789,0.0709887,0.1452,0.103014,0.0759605,0.0610049,-999,-999,-999,-999,-999,-999,-999
ZTF,16.5862,16.1177,99,99,99,99,16.5613,16.1549,15.9712,15.9276,330.765,36.9315,0.439275,0.290701,0.210102,0.440325,0.289648,0.209966,0.4272,0.303901,0.224881,0.179015,-999,-999,-999,-999,-999,-999,-999
ZTF,15.7846,15.3306,99,99,99,99,15.7586,15.3597,15.2088,15.1755,349.888,-4.65319,0.153369,0.101073,0.0732881,0.153731,0.10069,0.0732373,0.1492,0.105873,0.0788305,0.0623054,-999,-999,-999,-999,-999,-999,-999
ZTF,16.928,16.368,16.1438,99,99,99,16.8924,16.4132,16.2057,16.1225,322.491,22.5131,0.288906,0.190887,0.138068,0.289594,0.190169,0.137977,0.281,0.199887,0.147921,0.117709,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,16.0208,15.5856,15.4212,15.9833,15.6138,15.4692,15.423,254.847,11.3735,0.216694,0.142851,0.103051,0.217206,0.142324,0.102983,0.2108,0.149451,0.110441,0.0885074,-999,-999,-999,-999,-999,-999,-999
