StarName        RA              Dec             SpType  U       B       V       R       I       J       Vexp    Bexp    Rexp
1732526         17:32:52.630    +71:04:43.12    A4V     NaN     12.75   12.21   NaN     NaN     12.289  60      180     120
1740346         17:40:34.679    +65:27:14.77    A6V     NaN     12.95   12.12   NaN     NaN     12.079  60      180     120
1743045         17:43:04.486    +66:55:01.66    A8III   NaN     13.8    13.525  NaN     NaN     12.979  60      240     180
1757132         17:57:13.233    +67:03:40.77    A3V     NaN     11.91   12.01   NaN     NaN     11.311  60      120     120
1802271         18:02:27.17     +60:43:35.7     A2V     NaN     12      11.985  NaN     NaN     11.872  60      120     120
1805292         18:05:29.275    +64:27:52.13    A4V     NaN     12.54   12.74   NaN     NaN     12.039  60      180     120
1808347         18:08:34.736    +69:27:28.72    A3V     NaN     12.18   11.69   NaN     NaN     11.652  60      120     120
1812095         18:12:09.567    +63:29:42.26    A3V     NaN     11.94   12.01   NaN     NaN     11.368  60      120     120
BD+023375       17:39:45.595    +02:24:59.61    A5      10.18   10.4    9.92    9.47    9.12    8.799   -99     60      30
BD+174708       22:11:31.375    +18:05:34.16    sdF8    9.73    9.91    9.46    9.03    8.7     8.435   -99     30      30
BD+210607       04:14:35.516    +22:21:04.25    F2      9.49    9.68    9.23    8.77    8.43    8.165   -99     30      15
BD+262606       14:49:02.355    +25:42:09.14    A5      9.92    10.16   9.73    9.27    8.95    8.6767  -99     60      30
BD+292091       10:47:23.163    +28:23:55.93    F5      NaN     10.72   10.22   10.1    NaN     9.104   -99     60      60
BD+541216       08:19:22.572    +54:05:09.63    sdF6    10.02   10.24   9.71    9.4     NaN     8.617   -99     60      30
BD+601753       17:24:52.277    +60:25:50.78    A1V     NaN     9.72    9.65    NaN     NaN     9.612   -99     30      30
FEIGE110        23:19:58.400    -05:09:56.17    sdO     10.36   11.45   11.5    11.97   12.145  12.548  60      60      120
FEIGE34         10:39:36.738    +43:06:09.21    sdO     9.613   10.91   11.14   11.319  11.464  11.643  -99     60      60
G191B2B         05:05:30.618    +52:49:51.92    DA.8    10.25   11.44   11.69   11.93   12.108  12.543  60      60      120
GD153           12:57:02.322    +22:01:52.63    DA1.2   11.883  13.06   13.349  13.488  13.669  14.012  60      180     180
GD71            05:52:27.620    +15:53:13.23    DA1.5   11.675  12.783  13.032  13.169  13.337  13.728  60      180     180
GJ754.1A        19:20:34.923    -07:40:00.07    DBQA5   11.553  12.345  12.29   12.229  12.164  12.351  60      120     120
GRW+705824      13:38:50.478    +70:17:07.64    DA2.4   11.807  12.54   12.6    13.01   12.979  13.248  60      180     180
HD37725         05:41:54.370    +29:17:50.96    A3V     NaN     8.12    8.31    NaN     NaN     7.953   -99     15      15
HD55677         07:14:31.290    +13:51:36.79    A4V     NaN     9.47    9.41    NaN     NaN     9.24    -99     30      30
HD106252        12:13:29.510    +10:02:29.89    G0      NaN     8       7.36    7       NaN     6.302   -99     15      15
HD116405        13:22:45.124    +44:42:53.91    A0V     NaN     8.27    7.34    NaN     NaN     8.393   -99     15      15
HD142331        15:54:19.788    -08:34:49.37    G5V     NaN     9.39    8.75    NaN     NaN     7.476   -99     30      15
HD180609        19:12:47.200    +64:10:37.17    A0V     NaN     9.57    9.42    NaN     NaN     9.166   -99     30      30
HD209458        22:03:10.773    +18:53:03.55    G0V     NaN     8.21    7.63    NaN     NaN     6.591   -99     15      15
HS2027+0651     20:29:32.506    +07:01:07.70    DO      NaN     16.1    16.9    16.9    NaN     NaN     120     -99     -99
HZ21            12:13:56.264    +32:56:31.36    DO2     13.125  14.361  14.688  14.837  15.038  15.351  60      300     360
HZ4             03:55:21.988    +09:47:18.13    DA3.4   13.917  14.592  14.506  14.58   14.642  14.831  60      360     360
HZ44            13:23:35.263    +36:07:59.55    sdB     10.186  11.42   11.65   12      11.995  12.386  60      60      120
KF06T2          17:58:37.995    +66:46:52.11    K1.5III NaN     15.1    13.8    NaN     NaN     11.899  120     360     180
KF08T3          17:55:16.216    +66:10:11.61    K0.5III NaN     14.39   13.18   13      NaN     11.585  60      300     180
LDS749B         21:32:16.233    +00:15:14.40    DBQ4    13.717  14.634  14.674  14.675  14.676  14.894  60      360     360
P177D           15:59:13.579    +47:36:41.91    G0V     NaN     14.17   13.52   13.42   NaN     12.245  60      300     180
P330E           16:31:33.813    +30:08:46.40    G2V     13.576  12.972  12.917  12.564  12.212  11.769  60      180     180
SDSSJ151421     15:14:21.273    +00:47:52.81    DA1.8   NaN     15.61   16.5    16.2    NaN     16.45   120     -99     -99
SF1615+001A     16:18:14.240    +00:00:08.61    G       NaN     17.24   16.75   16.35   15.93   15.26   180     -99     -99
SNAP-2          16:19:46.103    +55:34:17.86    G0-5    NaN     17.09   16.23   16.41   NaN     14.97   180     -99     -99
WD1026+453      10:29:45.295    +45:07:04.93    DA      NaN     16.1    16.13   16.4    16.708  NaN     120     -99     -99
WD1327-083      13:30:13.637    -08:34:29.47    DA3.5   11.803  12.398  12.34   12.39   12.436  12.621  60      120     120
WD1657+343      16:58:51.113    +34:18:53.32    DA.9    NaN     16.12   16.1    NaN     17.054  NaN     120     -99     -99
WD2341+322      23:43:50.721    +32:32:46.73    DA3.8   NaN     13.06   12.94   13.12   13.455  13.171  60      180     180
