survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTF_AB,16.9091,16.4676,16.3381,16.9151,16.4462,16.2894,16.2538,210.517,78.9058,0.0890675,0.05990140845070423,0.04316760828625236,0.0886,0.06329577464788734,0.04635028248587571,0.03710344827586207
ZTF_AB,16.2198,15.7388,15.5452,16.2461,15.7331,15.5322,15.4604,231.291,73.4255,0.08124,0.054721126760563385,0.039167608286252355,0.08080000000000001,0.05743661971830987,0.042350282485875704,0.03380295566502463
ZTF_AB,17.6478,16.9817,16.7339,17.6492,16.9626,16.6953,16.5848,242.48,52.0759,0.0764125,0.05172112676056338,0.03716760828625235,0.076,0.05443661971830987,0.04035028248587571,0.031802955665024626
ZTF_AB,17.8862,17.1965,16.9658,17.8576,17.1849,16.9274,16.8304,236.118,39.5222,0.0561025,0.03754084507042253,0.027700564971751412,0.0558,0.0395774647887324,0.029610169491525423,0.02320197044334975
ZTF_AB,16.8773,16.4222,16.2596,16.887,16.407,16.2278,16.1633,263.918,51.2918,0.13934249999999998,0.09344225352112677,0.06786817325800376,0.1386,0.09887323943661974,0.07296045197740113,0.058004926108374384
ZTF_AB,16.8249,16.3467,16.1907,16.8296,16.3225,16.1452,16.1504,242.452,58.7933,0.057929999999999995,0.03854084507042253,0.027934086629001882,0.0576,0.0405774647887324,0.030480225988700566,0.024201970443349752
ZTF_AB,16.1912,15.6851,15.5083,16.1895,15.6627,15.4767,15.4282,264.716,67.6012,0.1266875,0.08526197183098592,0.06163465160075329,0.126,0.09001408450704226,0.066090395480226,0.052704433497536944
ZTF_AB,16.1076,15.7355,15.6123,16.1209,15.7026,15.5715,15.5416,232,76.8068,0.13151500000000002,0.08826197183098591,0.06386817325800377,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
ZTF_AB,15.2988,14.9466,14.8138,15.3148,14.9242,14.7756,14.7408,251.861,64.6644,0.093895,0.06290140845070423,0.046167608286252354,0.0934,0.06629577464788734,0.04935028248587571,0.03910344827586207
ZTF_AB,16.1193,15.5628,15.3788,16.123,15.5525,15.3501,15.2904,260.174,17.6598,0.2352375,0.15816338028169014,0.11503578154425612,0.23399999999999999,0.1663098591549296,0.12331073446327684,0.09810837438423645
ZTF_AB,16.6496,16.3103,16.191,16.6605,16.2709,16.144,16.1249,243.979,53.4105,0.0367925,0.02536056338028169,0.01846704331450094,0.0366,0.026718309859154934,0.019740112994350283,0.015600985221674878
ZTF_AB,15.5878,15.2484,15.1493,15.6123,15.2181,15.1006,15.0893,218.441,75.9733,0.0947225,0.06390140845070423,0.046167608286252354,0.0942,0.06729577464788734,0.04935028248587571,0.03910344827586207
