survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
CFA3K,17.0398,16.1796,15.869,15.5977,16.52519989013672,15.884200096130371,15.627799987792969,15.53279972076416,340.6031591191028,19.99094126510796
CFA3K,16.3448,15.7986,15.61,15.4397,16.016300201416016,15.621000289916992,15.462200164794922,15.417799949645996,340.56411571269973,20.0790737873208
CFA3K,17.421799999999998,16.5936,16.293999999999997,16.0367,16.878999710083008,16.297500610351562,16.03529930114746,15.919899940490723,340.5502745476118,20.00692389448217
CFA3K,16.3858,15.7476,15.54,15.3487,15.966500282287598,15.529600143432617,15.359399795532227,15.299300193786621,340.54737355982564,20.015903758052886
CFA3K,14.1338,13.1046,12.736,12.4507,-999.0,-999.0,-999.0,-999.0,340.5463111464223,20.078727408376228
CFA3K,14.2588,13.4866,13.22,13.0057,13.76140022277832,-999.0,-999.0,-999.0,340.5452914204632,19.97304267597622
CFA3K,16.003800000000002,15.1346,14.812,14.5497,15.443900108337402,14.785300254821777,14.535699844360352,14.436599731445312,340.51512539061287,19.919913480816273
CFA3K,14.6338,13.9816,13.789,13.6017,14.17870044708252,13.75510025024414,13.586199760437012,13.53279972076416,340.50580387316603,19.913377499495184
CFA3K,17.8018,17.2466,17.078,16.907700000000002,17.417699813842773,17.03660011291504,16.86989974975586,16.831100463867188,340.50567667862674,19.939631069751705
CFA3K,16.9508,16.3676,16.213,16.0767,16.530000686645508,16.1697998046875,16.0585994720459,16.034500122070312,340.5038691895889,19.958186084598545
CFA3K,15.1448,14.5826,14.421,14.2807,14.744400024414062,14.402600288391113,14.283100128173828,14.262900352478027,340.4918643923521,20.0065251485147
CFA3K,16.8068,15.9676,15.667,15.4127,16.250200271606445,15.631500244140625,15.388400077819824,15.303299903869629,340.4828204754951,19.957532106312385
CFA3K,15.8838,15.0646,14.791,14.5767,15.349100112915039,14.770099639892578,14.567000389099121,14.503000259399414,340.47658031192367,19.976369756189676
