survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
CFA3S,18.0873,17.3784,16.8598,16.462,17.640600204467773,17.11359977722168,16.911699295043945,16.843000411987305,105.05363531344335,59.51017447043021
CFA3S,16.1763,15.6174,15.1748,14.982,15.677300453186035,15.24370002746582,15.061699867248535,15.000499725341797,105.01685025640923,59.464573491033654
CFA3S,16.060299999999998,15.1604,14.5478,14.071,15.497300148010254,14.793700218200684,14.517800331115723,14.392399787902832,104.96487489736191,59.51203140439584
CFA3S,16.4183,15.8174,15.3808,15.016,16.02910041809082,15.57960033416748,15.428899765014648,15.378899574279785,104.89941813492337,59.47048237047722
CFA3S,17.6693,16.8824,16.3008,15.87,17.164499282836914,16.547300338745117,16.30970001220703,16.216299057006836,104.84156117195658,59.54691476768162
CFA3S,16.473,15.843,15.4032,15.0465,16.077699661254883,15.634599685668945,15.477399826049805,15.4483003616333,137.3573029839716,50.32664851582878
CFA3S,16.5782,16.0646,15.667799999999998,15.323899999999998,16.2278995513916,15.874500274658203,15.747400283813477,15.727999687194824,160.06742225669979,24.182241039231364
CFA3S,18.8359,18.2136,17.702099999999998,17.1509,18.492700576782227,18.007999420166016,17.792800903320312,17.64550018310547,160.04364729609097,24.067807232381718
CFA3S,16.705,15.981,15.4715,15.049,16.2539005279541,15.700699806213379,15.492199897766113,15.40880012512207,159.9895203634175,24.05146579297196
CFA3S,18.9146,18.4383,18.0222,17.7173,18.61079978942871,18.293500900268555,18.13920021057129,18.049999237060547,159.95332213130143,24.03217692047978
CFA3S,17.1823,16.0253,15.134800000000002,14.443,16.548900604248047,15.460700035095215,14.971699714660645,14.747599601745605,159.95075944961025,24.11847801172644
CFA3S,17.099,16.348,15.8012,15.3703,16.632200241088867,16.036300659179688,15.815799713134766,15.733499526977539,159.94922732346689,24.05519417650797
CFA3S,16.7419,15.9463,15.4142,15.0103,16.249000549316406,15.644000053405762,15.455400466918945,15.39050006866455,159.94812590254014,24.07601068796976
CFA3S,16.9439,16.4633,16.092200000000002,15.7576,16.626699447631836,16.306900024414062,16.19499969482422,16.174400329589844,159.9299566317354,24.163187697773903
CFA3S,18.3313,17.328,16.569499999999998,16.0067,17.759700775146484,16.859899520874023,16.53339958190918,16.368200302124023,159.8914647336087,24.145554417670933
CFA3S,17.8974,16.9235,16.1704,15.6329,17.36370086669922,16.482900619506836,16.120500564575195,15.979100227355957,179.390606717278,25.2928216865518
CFA3S,18.9774,18.5065,18.1068,17.7669,18.6471004486084,18.532400131225586,18.110000610351562,18.178699493408203,179.3656688511532,25.18385491200155
CFA3S,18.9265,18.346,17.8279,17.4338,18.557199478149414,18.416500091552734,18.122900009155273,18.167299270629883,179.25064267308096,25.143589932339367
CFA3S,15.6254,15.0699,14.6765,14.3453,15.265199661254883,14.887299537658691,14.775500297546387,14.764699935913086,167.787142427071,55.200601621613814
CFA3S,16.395,15.7192,15.2612,14.8849,15.97249984741211,15.491100311279297,15.340299606323242,15.286700248718262,167.7286086397743,55.2379037219308
CFA3S,15.3387,14.9029,14.5572,14.2553,15.0177001953125,14.739299774169922,14.67140007019043,14.683899879455566,167.72438184420244,55.158122761920225
CFA3S,18.1253,17.3825,16.8745,16.4895,17.691499710083008,17.1343994140625,16.936399459838867,16.87459945678711,167.68450036237968,55.226849024248125
CFA3S,16.301000000000002,15.6362,15.1802,14.8022,15.871000289916992,15.391300201416016,15.232399940490723,15.188300132751465,167.6412440852648,55.14144024308685
CFA3S,15.0763,14.3752,13.8912,13.5402,14.624600410461426,14.112299919128418,13.949799537658691,13.910499572753906,167.62667547,55.09997558
CFA3S,18.076600000000003,17.6365,17.320500000000003,17.0395,17.78890037536621,17.524200439453125,17.43670082092285,17.42620086669922,167.5694742836964,55.194441024997815
CFA3S,17.5247,17.0489,16.730999999999998,16.583199999999998,18.40760040283203,17.93160057067871,17.774099349975586,17.695499420166016,216.64457536189448,26.195690796594985
CFA3S,15.4036,14.8131,14.3896,14.0628,15.027199745178223,14.614700317382812,14.484999656677246,14.457500457763672,216.63832464230236,26.320851386436118
CFA3S,17.4346,16.7451,16.3066,15.923100000000002,17.074499130249023,16.56839942932129,16.36440086364746,16.30190086364746,216.62743201810088,26.225771911839196
CFA3S,17.1363,16.2134,15.4972,14.9791,16.613399505615234,15.780599594116211,15.451399803161621,15.310099601745605,216.617682425027,26.311917506763507
CFA3S,16.1173,14.9654,14.0769,13.4091,15.502599716186523,14.418000221252441,13.924099922180176,13.70259952545166,216.58665160528125,26.33761140394859
CFA3S,16.8473,16.3265,15.9406,15.6268,16.49329948425293,16.14739990234375,16.030899047851562,16.008899688720703,216.58020535745018,26.22004544322847
CFA3S,16.863699999999998,16.3798,16.0063,15.6998,16.543399810791016,16.221599578857422,16.113800048828125,16.101699829101562,216.56359413068284,26.288746139005553
CFA3S,17.193,16.2038,15.483300000000002,14.9682,16.624500274658203,15.759499549865723,15.425800323486328,15.299599647521973,216.5604178978146,26.279936007035072
CFA3S,16.3386,15.4771,14.8699,14.4371,15.817700386047363,15.117199897766113,14.86970043182373,14.77750015258789,216.55671367356732,26.238889625089456
CFA3S,18.2637,17.8328,17.536299999999997,17.2092,18.012500762939453,17.73430061340332,17.62820053100586,17.598800659179688,216.5419565194511,26.276814117047273
CFA3S,15.3169,14.6014,14.1509,13.7568,14.835599899291992,14.324199676513672,14.12339973449707,14.057100296020508,216.54007994537653,26.334672853427712
CFA3S,15.9426,15.0264,14.3529,13.8714,15.405500411987305,14.606800079345703,14.309300422668457,14.184700012207031,216.52219612579987,26.19969126306982
CFA3S,15.8443,15.3228,14.938300000000002,14.6272,15.494799613952637,15.140999794006348,15.0177001953125,14.994500160217285,216.50674322309223,26.1779934000938
CFA3S,15.4173,14.8465,14.4081,14.0592,15.048800468444824,14.642800331115723,14.481499671936035,14.431400299072266,216.48016459080628,26.33142486525295
CFA3S,14.125,13.6091,13.2369,12.914,13.798199653625488,-999.0,-999.0,13.315799713134766,248.79837710775098,76.06152632452277
CFA3S,15.7946,15.2287,14.8245,14.486,15.421899795532227,15.048100471496582,14.889800071716309,14.867600440979004,248.74613027839544,76.01293501199032
CFA3S,14.3636,13.7747,13.3301,12.9853,13.98390007019043,13.56719970703125,-999.0,13.357099533081055,248.6028088075766,76.00514648545878
CFA3S,18.0404,17.5391,17.164900000000003,16.8607,17.722999572753906,17.401199340820312,17.26409912109375,17.23189926147461,248.59122603634748,75.94318024888332
CFA3S,18.3121,17.5802,16.989,16.5487,17.859500885009766,17.268699645996094,17.000699996948242,16.883399963378906,270.47807137389265,26.276370028382438
CFA3S,18.0964,17.5019,17.0077,16.6298,17.68239974975586,17.22170066833496,17.038799285888672,16.978500366210938,270.47278940832337,26.33166193124591
CFA3S,17.2327,16.4312,15.854,15.4354,16.715700149536133,16.105499267578125,15.881400108337402,15.794300079345703,270.47017267007203,26.20554690730691
CFA3S,18.4211,17.5889,17.077399999999997,16.6831,17.851200103759766,17.31570053100586,17.13629913330078,17.062700271606445,270.45982368116546,26.327857600578064
CFA3S,18.0794,17.5152,17.0757,16.6837,17.67140007019043,17.29319953918457,17.122699737548828,17.0575008392334,270.43008345429604,26.334852798153012
CFA3S,17.1307,16.3882,15.8603,15.4591,16.676300048828125,16.128700256347656,15.92490005493164,15.840299606323242,270.4239596655775,26.292568647969446
CFA3S,18.7767,18.1972,17.737299999999998,17.3907,18.37470054626465,17.946399688720703,17.790000915527344,17.755699157714844,270.40735031382127,26.31723251040449
CFA3S,17.7716,17.1105,16.623099999999997,16.2201,17.337499618530273,16.88599967956543,16.689199447631836,16.62380027770996,270.4068686017348,26.240779742422447
CFA3S,17.743100000000002,17.2142,16.7863,16.4251,17.3927001953125,17.010099411010742,16.84830093383789,16.806100845336914,270.38822002607765,26.341374375384966
CFA3S,18.0808,17.6409,17.220699999999997,16.875799999999998,17.729999542236328,17.427400588989258,17.285600662231445,17.250600814819336,270.3840961928902,26.22566447656815
CFA3S,17.2441,16.6236,16.1427,15.7345,16.838899612426758,16.3612003326416,16.167299270629883,16.099300384521484,270.381294731959,26.193238656344164
