survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
D3YR,17.46327591,16.75566101,16.53794861,16.42785263,17.437400817871094,16.82229995727539,16.58679962158203,16.48590087890625,41.62795846,-0.51380777
D3YR,18.02442741,17.32290649,17.06627846,16.93348503,17.967199325561523,17.375999450683594,17.09239959716797,17.00469970703125,43.37464253,0.89022098
D3YR,18.38820457,16.95183945,16.32136536,16.00700951,18.321800231933594,17.080900192260742,16.409900665283203,16.107099533081055,43.16357176,0.90989192
D3YR,18.4337883,17.97586632,17.8482666,17.79291725,18.38360023498535,17.988000869750977,17.858999252319336,17.815200805664062,43.0350816,0.05114534
D3YR,16.79277229,16.26902771,16.12881851,16.0621624,16.75200080871582,16.313600540161133,16.141300201416016,16.091400146484375,42.02183947,0.36114779
D3YR,18.29895782,16.95122528,16.24860001,15.92468452,18.232900619506836,17.080799102783203,16.342500686645508,16.03019905090332,41.13755339,0.44788936
D3YR,18.94381142,18.16646576,17.92517662,17.79773903,18.842899322509766,18.232999801635742,17.92729949951172,17.81559944152832,41.11612069,0.45062543
D3YR,18.51198959,17.3761158,16.96127319,16.73824692,18.489099502563477,17.472900390625,17.02589988708496,16.802200317382812,41.97499391,0.47990772
D3YR,17.43288231,16.68108368,16.4564743,16.33463478,17.388700485229492,16.73900032043457,16.475299835205078,16.37310028076172,41.94744946,0.47981928
D3YR,18.68681335,17.36445808,16.71140099,16.41224098,18.5762996673584,17.48870086669922,16.809600830078125,16.501699447631836,40.65760115,-1.02015355
D3YR,18.38136101,17.64878845,17.38515091,17.23890877,18.34160041809082,17.71139907836914,17.416500091552734,17.28380012512207,42.75238892,0.47654478
D3YR,18.39583397,17.96337318,17.85533142,17.82535172,18.372400283813477,18.0,17.872600555419922,17.842500686645508,40.49737049,-0.58034684
D3YR,17.92096901,17.31086349,17.14202499,17.06350708,17.88319969177246,17.36639976501465,17.161399841308594,17.095699310302734,40.51259871,-0.6381508
D3YR,17.71455765,17.13521194,16.95061874,16.85824013,17.67889976501465,17.177099227905273,16.965499877929688,16.88680076599121,41.88181651,0.17974682
D3YR,18.82409668,17.57149887,17.13233566,16.89964104,18.742300033569336,17.679899215698242,17.171899795532227,16.938199996948242,43.14811241,0.20771691
D3YR,17.81314659,17.29254723,17.13999367,17.07280731,17.762800216674805,17.346399307250977,17.157899856567383,17.090499877929688,43.2221869,0.19846224
D3YR,17.34922218,17.25754929,17.29763985,17.38357162,17.32710075378418,17.26849937438965,17.275999069213867,17.366100311279297,43.27012203,0.22839859
D3YR,18.54576874,17.09778404,16.41686058,16.08324051,18.449800491333008,17.22570037841797,16.512800216674805,16.18440055847168,42.63195478,-0.218371
