survey,NICKEL2-B,NICKEL2-V,NICKEL2-R,NICKEL2-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
NICKEL2,15.810058,15.243592,14.878507,14.4496975,15.365500450134277,15.015600204467773,14.890899658203125,14.879400253295898,247.20609417,39.54443483
NICKEL2,17.080875,16.374548,15.925576,15.428137,16.558900833129883,16.07819938659668,15.895600318908691,15.835000038146973,247.21902685,39.57247064
NICKEL2,18.337704,17.196787,16.484152,15.767691,17.662399291992188,16.68079948425293,16.32029914855957,16.173099517822266,247.20322538,39.5713291
NICKEL2,15.678434,14.850111,14.327585,13.7758465,15.077400207519531,14.49269962310791,14.259699821472168,14.179400444030762,212.82904055,1.27642731
NICKEL2,16.221552,15.129085,14.44607,13.765381,15.463800430297852,14.623900413513184,14.303199768066406,14.17389965057373,212.82764078,1.33139162
NICKEL2,16.255793,15.428542,14.906667,14.353983,15.661999702453613,15.063300132751465,14.84689998626709,14.7677001953125,212.83764449,1.27291963
NICKEL2,16.648918,15.774513,15.22411,14.705637,16.027799606323242,15.398300170898438,15.205499649047852,15.135000228881836,212.88228459,1.3045264
NICKEL2,15.9372,15.060649,14.508946,13.899446,15.315299987792969,14.675999641418457,14.394000053405762,14.268099784851074,38.1342197,35.52067657
NICKEL2,16.748522,16.084938,15.661654,15.158868,16.250099182128906,15.810400009155273,15.614999771118164,15.553000450134277,38.1319481,35.5008861
NICKEL2,16.85772,16.419067,16.130222,15.7700615,16.491199493408203,16.263999938964844,16.17840003967285,16.201400756835938,38.13737918,35.52166069
NICKEL2,17.766949,16.823885,16.23185,15.60988,17.105300903320312,16.400800704956055,16.118200302124023,16.00279998779297,38.137816,35.44411654
NICKEL2,17.976397,17.254032,16.795412,16.279749,17.44029998779297,16.953399658203125,16.766000747680664,16.711200714111328,153.20149531,12.64277169
NICKEL2,17.000788,16.33507,15.9105015,15.456581,16.500499725341797,16.06369972229004,15.917200088500977,15.889599800109863,266.84812909,57.26867106
NICKEL2,17.07623,16.455355,16.057692,15.599681,16.59600067138672,16.212600708007812,16.057199478149414,16.01099967956543,266.86317022,57.30215649
NICKEL2,17.57418,16.736216,16.20786,15.677141,16.97319984436035,16.376800537109375,16.17449951171875,16.089799880981445,266.7752695,57.30945315
NICKEL2,17.247808,16.634403,16.241217,15.793315,16.78059959411621,16.39579963684082,16.249099731445312,16.22480010986328,266.82830527,57.29926086
NICKEL2,17.510595,16.89079,16.493767,16.037947,17.04439926147461,16.638700485229492,16.49209976196289,16.467599868774414,266.8291868,57.25332397
NICKEL2,18.727089,17.398443,16.570526,15.71481,17.850500106811523,16.781999588012695,16.31290054321289,16.108400344848633,266.78813742,57.26732376
NICKEL2,17.947739,17.167603,16.674173,16.117565,17.378999710083008,16.834199905395508,16.61910057067871,16.52039909362793,266.86237283,57.3170981
NICKEL2,18.26416,17.285662,16.672096,16.054142,17.59589958190918,16.85140037536621,16.577600479125977,16.460599899291992,266.84394281,57.26824283
NICKEL2,18.572487,17.418644,16.6981,15.940782,17.786800384521484,16.89539909362793,16.49650001525879,16.30109977722168,266.83634102,57.3273329
NICKEL2,17.95965,17.331305,16.929163,16.50072,17.483200073242188,17.08049964904785,16.952499389648438,16.92340087890625,266.73476687,57.340451
NICKEL2,17.964283,17.355146,16.96452,16.50032,17.49530029296875,17.11389923095703,16.960599899291992,16.89419937133789,266.77587836,57.2877523
NICKEL2,18.053032,17.466303,17.089092,16.667744,17.6028995513916,17.233699798583984,17.110700607299805,17.074899673461914,266.78638617,57.33311161
NICKEL2,18.830307,17.794851,17.146618,16.474321,18.109100341796875,17.328899383544922,17.0039005279541,16.856399536132812,266.8488137,57.28040725
NICKEL2,18.285292,17.69643,17.317944,16.894304,17.82900047302246,17.47279930114746,17.34510040283203,17.29050064086914,266.73148758,57.30871895
NICKEL2,18.914799,18.04897,17.50376,16.938066,18.311899185180664,17.676300048828125,17.443300247192383,17.365800857543945,266.8363454,57.28422023
NICKEL2,18.696772,18.112175,17.736242,17.311966,18.247900009155273,17.8927001953125,17.768199920654297,17.727500915527344,266.83315983,57.30603247
NICKEL2,18.768167,18.2049,17.841728,17.40905,18.346099853515625,17.996599197387695,17.863300323486328,17.88290023803711,266.87116697,57.26942621
NICKEL2,17.902905,17.067081,16.540024,15.989667,17.306299209594727,16.701499938964844,16.462400436401367,16.37579917907715,232.496091,13.03544114
NICKEL2,18.21848,17.487558,17.023788,16.506277,17.683900833129883,17.18000030517578,16.982999801635742,16.896099090576172,232.51900854,13.01612029
NICKEL2,18.455915,17.682203,17.192648,16.664833,17.885499954223633,17.353599548339844,17.152599334716797,17.06730079650879,232.53209418,13.02523501
NICKEL2,18.291924,17.609108,17.174273,16.685324,17.792600631713867,17.316999435424805,17.15049934387207,17.11840057373047,328.10259041,3.41442307
