survey,SDSS_AB_g,SDSS_AB_r,SDSS_AB_i,SDSS_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
SDSS_AB,18.416182,17.85963,17.659399,17.569454,18.3169002532959,17.860700607299805,17.657100677490234,17.587400436401367,308.50052115,0.69507436
SDSS_AB,16.586982,16.01023,15.813699,15.725154000000002,16.499300003051758,16.01099967956543,15.815699577331543,15.746700286865234,308.50148384,1.19982258
SDSS_AB,18.965882,18.40803,18.230999,18.119654,18.946300506591797,18.402799606323242,18.21470069885254,18.13330078125,308.50159148,-0.10841967
SDSS_AB,18.491582,17.64603,17.362999,17.198254000000002,18.396400451660156,17.647300720214844,17.371200561523438,17.256399154663086,308.50179299,0.3346686
SDSS_AB,18.102682,17.49833,17.261599,17.132354,18.020099639892578,17.494699478149414,17.2632999420166,17.15839958190918,308.50207719,-0.57416745
SDSS_AB,18.127382,17.64353,17.475699,17.408254,18.035400390625,17.643600463867188,17.484100341796875,17.42449951171875,308.50261928,1.23390952
SDSS_AB,18.389082000000002,17.788529999999998,17.579099,17.464454,18.323999404907227,17.789100646972656,17.585599899291992,17.504100799560547,308.50303608,1.07936207
SDSS_AB,16.070482000000002,15.631229999999999,15.486498999999998,15.437154000000001,16.006099700927734,15.626999855041504,15.479900360107422,15.460100173950195,308.50345988,1.12277279
SDSS_AB,18.331882,17.83323,17.657799,17.602154000000002,18.28070068359375,17.84280014038086,17.6737003326416,17.61709976196289,308.50410752,1.20007203
SDSS_AB,18.735882,17.98743,17.721999,17.537954,18.69070053100586,18.003799438476562,17.715299606323242,17.55970001220703,308.50451586,-0.9941362
SDSS_AB,16.346082,15.55393,15.248099,15.090554000000001,16.229299545288086,15.561599731445312,15.260199546813965,15.131099700927734,308.50477128,1.19651066
SDSS_AB,18.903982,18.337529999999997,18.133999,18.053954,18.83370018005371,18.342199325561523,18.153600692749023,18.080900192260742,308.50480347,0.31769157
SDSS_AB,17.747282000000002,17.294929999999997,17.119298999999998,17.063554,17.685100555419922,17.288299560546875,17.104299545288086,17.056800842285156,308.50483028,1.24087201
SDSS_AB,18.823982,18.42373,18.267098999999998,18.207854,18.7637996673584,18.43630027770996,18.285499572753906,18.217300415039062,308.50532037,0.24871016
SDSS_AB,17.966282,17.44183,17.261298999999998,17.168954,17.890499114990234,17.44890022277832,17.264799118041992,17.199499130249023,308.50548824,0.68114147
SDSS_AB,16.747582,16.182029999999997,16.006399,15.901554,16.649700164794922,16.184900283813477,16.000099182128906,15.935999870300293,308.50550888,-0.07755067
SDSS_AB,17.979782,17.37803,17.167299,17.065454000000003,17.92490005493164,17.379600524902344,17.178499221801758,17.10420036315918,308.50558369,1.12716003
SDSS_AB,14.707982000000001,14.112829999999999,13.920399,13.816154000000001,14.60830020904541,14.096400260925293,13.890999794006348,13.832599639892578,308.5059343,-0.96668348
SDSS_AB,17.808982,17.28663,17.120699,17.022154,17.74650001525879,17.28339958190918,17.10740089416504,17.078899383544922,308.50603802,0.73180241
SDSS_AB,17.542282,16.76653,16.531699,16.377354,17.42530059814453,16.77429962158203,16.525999069213867,16.426599502563477,308.50693797,-0.09025037
SDSS_AB,16.398482,15.590229999999998,15.321198999999998,15.162754000000001,16.284099578857422,15.590900421142578,15.312299728393555,15.197799682617188,308.50704542,-0.05138289
SDSS_AB,18.982282,18.339029999999998,18.095499,17.970054,18.884599685668945,18.327899932861328,18.11240005493164,18.013700485229492,308.50750584,-0.90099098
SDSS_AB,17.579082,16.76013,16.443899,16.263554,17.450899124145508,16.75469970703125,16.449100494384766,16.302499771118164,308.50769217,0.33124913
SDSS_AB,17.003682,16.494629999999997,16.316999,16.230354000000002,16.92959976196289,16.491500854492188,16.308700561523438,16.246000289916992,308.50832346,0.64421749
SDSS_AB,15.820382,15.017629999999999,14.765899,14.658354000000001,15.694700241088867,15.020700454711914,14.773300170898438,14.675399780273438,308.50833454,1.20661821
SDSS_AB,18.241082000000002,17.27413,16.969699,16.804254,18.109800338745117,17.286800384521484,16.980600357055664,16.854400634765625,308.50848531,-0.00223898
SDSS_AB,17.552982,16.883229999999998,16.663299,16.543254,17.479000091552734,16.887800216674805,16.66230010986328,16.571800231933594,308.50866661,0.6636337
SDSS_AB,17.114282,15.802529999999999,15.253399,14.942754,16.904699325561523,15.779899597167969,15.19890022277832,14.934200286865234,308.50918647,1.19278495
SDSS_AB,18.377282,17.67773,17.400499,17.252054,18.277299880981445,17.666200637817383,17.41349983215332,17.302600860595703,308.509214,-0.52730116
SDSS_AB,16.920582,16.31383,16.130799,16.024554000000002,16.815099716186523,16.308000564575195,16.121299743652344,16.058399200439453,308.50927453,-0.09778574
SDSS_AB,18.939482,18.261129999999998,17.997298999999998,17.857154,18.856800079345703,18.273300170898438,18.010900497436523,17.901399612426758,308.50971503,0.2716443
SDSS_AB,17.674782,17.081429999999997,16.896099,16.804254,17.587499618530273,17.077600479125977,16.894699096679688,16.83289909362793,308.50982936,-0.02712545
SDSS_AB,18.592182,18.06643,17.884399,17.788154000000002,18.537399291992188,18.069700241088867,17.876800537109375,17.827899932861328,308.51008541,0.67340798
SDSS_AB,17.905782000000002,17.29903,17.087298999999998,16.978454,17.83099937438965,17.302099227905273,17.097999572753906,17.012699127197266,308.51031822,1.12714698
SDSS_AB,17.624482,17.03663,16.824999,16.730554,17.535400390625,17.025400161743164,16.82110023498535,16.753000259399414,308.5106337,0.27873983
SDSS_AB,17.960882,17.06103,16.746899,16.562254,17.86280059814453,17.04960060119629,16.744199752807617,16.610700607299805,308.51099276,-0.02304652
SDSS_AB,17.592182,17.48043,17.490799,17.479054,17.537599563598633,17.46579933166504,17.475000381469727,17.48579978942871,308.51098407,-0.95632891
SDSS_AB,18.309782000000002,17.83023,17.649798999999998,17.577154,18.248199462890625,17.840099334716797,17.665700912475586,17.619600296020508,308.51097815,0.28429491
SDSS_AB,18.049182000000002,17.47273,17.221799,17.085254,17.961700439453125,17.470699310302734,17.23200035095215,17.130300521850586,308.51150207,1.19502185
SDSS_AB,15.902282000000001,15.366229999999998,15.192098999999999,15.114054000000001,15.831899642944336,15.352800369262695,15.187800407409668,15.135100364685059,308.51157425,0.65161182
SDSS_AB,16.797782,16.12193,15.880598999999998,15.763654,16.698400497436523,16.12030029296875,15.88599967956543,15.800999641418457,308.51161757,0.3116525
SDSS_AB,18.690282,18.35143,18.238699,18.193154,18.658899307250977,18.35810089111328,18.25029945373535,18.200599670410156,308.5120891,1.10288907
SDSS_AB,17.506182,16.858929999999997,16.627599,16.508854,17.411300659179688,16.855199813842773,16.63170051574707,16.536500930786133,308.51216072,1.1827061
SDSS_AB,18.748882000000002,17.995929999999998,17.735899,17.612554,18.639999389648438,17.982900619506836,17.748699188232422,17.656400680541992,308.51232743,0.78657425
SDSS_AB,16.597882000000002,15.635829999999999,15.299598999999999,15.107354,16.444599151611328,15.628399848937988,15.30620002746582,15.156800270080566,308.51238445,-0.56796644
SDSS_AB,17.930782,17.25603,17.034599,16.906854,17.805200576782227,17.258499145507812,17.039499282836914,16.95560073852539,308.51272045,-0.08036947
SDSS_AB,18.102782,17.54683,17.360298999999998,17.274254,18.031099319458008,17.544300079345703,17.359800338745117,17.29680061340332,308.51306327,1.24806502
SDSS_AB,15.409382,14.599029999999999,14.283498999999999,14.100054,15.287400245666504,14.597000122070312,14.272700309753418,14.140299797058105,308.5134703,-0.90144696
SDSS_AB,17.502582,16.88543,16.650599,16.522354,17.419200897216797,16.86280059814453,16.647600173950195,16.553300857543945,308.51359236,-0.92340836
SDSS_AB,15.796582,15.17973,14.951799,14.837354000000001,15.699600219726562,15.17490005493164,14.946999549865723,14.863900184631348,308.51362938,-0.56939871
SDSS_AB,18.249682,17.66313,17.468099,17.360054,18.182899475097656,17.670400619506836,17.46579933166504,17.395000457763672,308.51365545,1.06488989
SDSS_AB,18.737082,18.18683,17.976098999999998,17.888154,18.670499801635742,18.185800552368164,17.991300582885742,17.907899856567383,308.51386595,1.08901342
SDSS_AB,18.780882000000002,17.90653,17.602899,17.431354000000002,18.64699935913086,17.90399932861328,17.60379981994629,17.48069953918457,308.51499091,1.15598645
SDSS_AB,18.209782,17.273529999999997,16.933099,16.735454,18.086000442504883,17.27280044555664,16.933000564575195,16.79199981689453,308.51542437,0.66893423
SDSS_AB,16.744982,15.970329999999999,15.676298999999998,15.513254000000002,16.6299991607666,15.957500457763672,15.660799980163574,15.534600257873535,308.516113,-0.93600917
SDSS_AB,18.480582000000002,18.00743,17.821399,17.735654,18.404399871826172,17.99650001525879,17.827199935913086,17.752399444580078,308.51628695,0.76273163
