survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
SNLS,18.495927,18.133651,17.992643,17.937275,18.493000030517578,18.15329933166504,18.006000518798828,17.96150016784668,36.532800150575696,-4.996683305788134
SNLS,17.756045999999998,16.799028,16.403537,16.209288,17.792400360107422,16.830699920654297,16.428699493408203,16.242900848388672,36.0932826569558,-4.992758446079768
SNLS,17.395557,16.928386,16.752403,16.674354,17.396499633789062,16.94659996032715,16.765600204467773,16.70439910888672,36.47393399403209,-4.9928618917889835
SNLS,18.516428,18.143791,18.027798999999998,17.986029000000002,18.501399993896484,18.14389991760254,18.024700164794922,18.012100219726562,36.14977681092567,-4.98834616163989
SNLS,18.571889000000002,18.028502,17.833538,17.742187,18.588899612426758,18.04800033569336,17.8356990814209,17.7455997467041,36.15855017110974,-4.987460065677622
SNLS,17.13857,16.761241000000002,16.624834,16.575532,17.13330078125,16.76449966430664,16.62929916381836,16.590599060058594,36.6025181144302,-4.9835847436477625
SNLS,18.433326,17.936235999999997,17.720554,17.620893,18.451900482177734,17.95050048828125,17.726999282836914,17.63330078125,36.31037119295805,-4.984325217104655
SNLS,17.348141000000002,16.620895,16.306967999999998,16.15485,17.375099182128906,16.657800674438477,16.32939910888672,16.192899703979492,36.581184953370624,-4.980327943732032
SNLS,17.548281,17.086426,16.923876,16.865467000000002,17.567800521850586,17.0935001373291,16.964500427246094,16.895299911499023,36.8101444291803,-4.976316474449683
SNLS,17.341682000000002,16.785042999999998,16.595924,16.507251999999998,17.34939956665039,16.802099227905273,16.60449981689453,16.533700942993164,36.70460670355379,-4.975632855283493
SNLS,18.48163,17.909899,17.665912,17.540744,18.484600067138672,17.93720054626465,17.666799545288086,17.55579948425293,36.132610877118545,-4.976369804742083
SNLS,17.42069,16.801135000000002,16.573254000000002,16.464520999999998,17.427099227905273,16.82509994506836,16.58209991455078,16.489500045776367,36.55701188783051,-4.971773884996793
SNLS,18.812904999999997,18.350722,18.167768,18.090170999999998,18.80940055847168,18.34749984741211,18.18950080871582,18.10849952697754,36.603294820786616,-4.9697139049828145
SNLS,17.937456,17.452478,17.264774,17.187713000000002,17.934600830078125,17.457199096679688,17.286699295043945,17.229700088500977,36.5904755622769,-4.9615948322175045
SNLS,18.615054,17.954294,17.676553,17.536241,18.6466007232666,17.96929931640625,17.6875,17.56529998779297,36.42673865252092,-4.959546595580751
SNLS,17.671788,16.923565,16.639091,16.495546,17.685400009155273,16.94029998779297,16.649799346923828,16.53179931640625,36.9298603271145,-4.957293162938364
SNLS,17.978939999999998,16.925366,16.486455,16.269855,18.028400421142578,16.9552001953125,16.5093994140625,16.316999435424805,36.907864199025965,-4.946684363241626
SNLS,18.189991,17.457065,17.149057,16.995119,18.213499069213867,17.483600616455078,17.170499801635742,17.019899368286133,36.29101450594234,-4.943924519060421
SNLS,17.408776,17.260096,17.239034,17.251388000000002,17.402999877929688,17.254100799560547,17.23590087890625,17.257299423217773,36.67507445318713,-4.941745722854938
SNLS,17.87075,16.980945000000002,16.637726,16.472388,17.9060001373291,16.988500595092773,16.65519905090332,16.515199661254883,36.373301872695556,-4.939522590254094
SNLS,18.223395999999997,17.870312,17.754013,17.723233999999998,18.222299575805664,17.864999771118164,17.756900787353516,17.744600296020508,36.98578064209524,-4.939289816784146
SNLS,18.314482,17.796747,17.615485999999997,17.535653,18.323400497436523,17.817100524902344,17.620899200439453,17.55579948425293,36.40157794763846,-4.930605516826565
SNLS,17.930229999999998,17.582242,17.469497,17.433631,17.938899993896484,17.57979965209961,17.47010040283203,17.436199188232422,36.150303315920176,-4.922607513584554
SNLS,17.714154,16.94483,16.671522,16.54384,17.739999771118164,16.96929931640625,16.70199966430664,16.573299407958984,36.308765088661204,-4.919776106523153
SNLS,17.789993,17.50895,17.420054999999998,17.399276,17.784900665283203,17.503700256347656,17.41900062561035,17.40250015258789,36.36813627582272,-4.91684349158261
SNLS,17.827471,17.232807,17.002523999999998,16.899051999999998,17.850299835205078,17.25550079345703,17.018299102783203,16.93280029296875,36.815371688075025,-4.9119441309991485
SNLS,17.863387,17.478301000000002,17.338312,17.284815,17.861099243164062,17.479400634765625,17.3356990814209,17.282699584960938,36.50706393322686,-4.913443884708259
SNLS,18.694482,17.980026000000002,17.704836,17.579709,18.705900192260742,18.002700805664062,17.708799362182617,17.617799758911133,36.852979722570645,-4.909166264074037
SNLS,18.616982999999998,18.345198999999997,18.260173,18.237351999999998,18.612499237060547,18.340900421142578,18.265399932861328,18.274099349975586,36.717770885323674,-4.908836402216975
SNLS,17.311339999999998,17.07092,16.996963,16.981410999999998,17.307199478149414,17.069599151611328,16.996700286865234,16.984899520874023,36.53542538607123,-4.901706064771638
SNLS,18.331321,17.372522,16.981342,16.787626,18.36240005493164,17.395700454711914,17.001300811767578,16.823200225830078,36.66820405132109,-4.900097122627559
SNLS,17.969678,17.386160999999998,17.154771,17.055389,17.96969985961914,17.41550064086914,17.173500061035156,17.087099075317383,36.85516488493239,-4.899632735442983
SNLS,18.77621,18.475106,18.370879000000002,18.338445,18.75349998474121,18.44729995727539,18.36199951171875,18.354400634765625,36.07740419364522,-4.900208630256131
SNLS,17.962367999999998,17.540123,17.396491,17.338619,17.95039939880371,17.548200607299805,17.40220069885254,17.342500686645508,36.45736074918783,-4.895722620446471
SNLS,17.835739999999998,17.345928,17.173658,17.105789,17.831300735473633,17.35700035095215,17.181499481201172,17.1299991607666,36.631895300813724,-4.893669233722413
SNLS,17.577148,17.345254,17.275642,17.263942,17.574899673461914,17.356000900268555,17.27560043334961,17.27239990234375,36.44058039956921,-4.892892961749832
SNLS,18.960231,18.530344,18.361132,18.292835,18.970300674438477,18.533300399780273,18.362899780273438,18.340900421142578,36.61576400164483,-4.89046309393091
SNLS,17.286965,16.886134,16.745448,16.692552,17.300600051879883,16.886899948120117,16.75589942932129,16.720300674438477,36.75604510905689,-4.885177003667517
SNLS,18.264731,17.904403,17.773764,17.724965,18.25,17.906999588012695,17.774099349975586,17.7322998046875,36.12183671270904,-4.884555778342141
SNLS,17.77356,17.08383,16.795621,16.647113,17.783700942993164,17.113500595092773,16.81570053100586,16.679399490356445,36.65434754390289,-4.872018497157984
SNLS,17.691264,17.230394,17.065894,17.003218,17.69230079650879,17.236600875854492,17.071300506591797,17.01300048828125,36.57881158618267,-4.863497005309371
SNLS,17.612719,17.290895000000003,17.18949,17.171687,17.618999481201172,17.292200088500977,17.199199676513672,17.196399688720703,36.849188343877486,-4.861417378687514
SNLS,18.719892,17.692644,17.191693,16.936811,18.7632999420166,17.724199295043945,17.217300415039062,16.987300872802734,36.140296899377496,-4.853128095028782
SNLS,17.630618,17.315091,17.215692999999998,17.188571,17.633800506591797,17.32229995727539,17.213899612426758,17.192899703979492,36.2317666242302,-4.845451455916821
SNLS,17.736079,16.854643,16.517039,16.349826,17.766799926757812,16.881000518798828,16.52720069885254,16.378700256347656,36.06055165185093,-4.839329574292886
SNLS,17.338739,16.832764,16.664813,16.598264,17.341400146484375,16.855600357055664,16.673599243164062,16.6072998046875,36.1896180561226,-4.834681051470271
SNLS,17.903385999999998,17.525418,17.406779,17.367844,17.90049934387207,17.540199279785156,17.401399612426758,17.37619972229004,36.51641022445638,-4.834135018005063
SNLS,17.905179999999998,16.990716,16.600907,16.407715,17.92919921875,17.024499893188477,16.62540054321289,16.44339942932129,36.24701141735989,-4.8116862798049285
SNLS,17.855498,17.226943,16.991588,16.887760999999998,17.875699996948242,17.243799209594727,17.00909996032715,16.909799575805664,36.81068655418412,-4.806389934237647
SNLS,18.325464999999998,17.736781,17.48335,17.364929,18.325899124145508,17.74920082092285,17.494400024414062,17.388500213623047,36.63825903357728,-4.800243066799519
SNLS,17.436163,16.650697,16.347102,16.203453,17.463600158691406,16.67340087890625,16.37019920349121,16.233299255371094,36.56944695983117,-4.794501985300814
SNLS,18.243705,17.424151000000002,17.065820000000002,16.88932,18.255699157714844,17.449899673461914,17.087400436401367,16.92620086669922,36.6806603448194,-4.791881794823763
SNLS,17.591773,16.953546,16.719988,16.611342,17.610599517822266,16.97260093688965,16.728099822998047,16.632600784301758,36.05820274482649,-4.789074659161735
SNLS,18.410628,18.362525,18.153843,18.066225,18.506500244140625,18.528499603271484,18.3302001953125,18.139400482177734,36.30997537841857,-4.783417184348012
SNLS,17.977158,17.659054,17.567745000000002,17.546939000000002,17.975200653076172,17.654199600219727,17.574800491333008,17.565000534057617,36.10660197565888,-4.781668181021101
SNLS,18.939301,18.1856,17.885505,17.743992000000002,18.93560028076172,18.208900451660156,17.896299362182617,17.768600463867188,36.22591901978723,-4.776644181780397
SNLS,18.017469000000002,17.853799,17.860354,17.795613,18.054000854492188,17.771099090576172,17.815099716186523,17.815200805664062,36.804095102438595,-4.776783508078455
SNLS,18.328588,17.925376,17.774683,17.727187,18.337499618530273,17.912200927734375,17.7814998626709,17.754600524902344,36.79906322421168,-4.775597430216677
SNLS,17.402941000000002,17.034582,16.914057999999997,16.873393,17.403400421142578,17.0398006439209,16.90850067138672,16.88990020751953,36.04389435372511,-4.773512554748334
