survey,SWIFT-B,SWIFT-V,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
swift,16.9887529260972,16.334196968078597,15.622699737548828,15.243900299072266,14.80620002746582,14.89210033416748,202.559362916667,47.2488244444444
swift,14.338922743703801,13.6537613418867,-999.0,-999.0,14.157299995422365,-999.0,202.56164125,47.1746372222222
swift,16.5272329330444,15.884390866981402,18.158100128173828,-999.0,-999.0,-999.0,202.591110416667,47.1517302777779
swift,16.5281095123291,15.6725634089056,15.88819980621338,14.339599609375,14.013699531555176,15.003899574279785,202.5574175,47.125
swift,15.4696802695592,14.880399180393601,14.46500015258789,14.661600112915039,13.59570026397705,14.563699722290039,202.532751666667,47.088211944444396
swift,16.636697619569098,15.96931640625,16.178800582885742,15.413399696350098,15.018199920654295,15.428400039672852,202.366372083333,47.1568494444444
swift,16.6309378006879,15.632888755798302,16.041799545288086,13.923500061035154,14.809000015258787,13.486000061035154,202.37288875,47.200917499999996
swift,15.8932608554238,15.0121099070499,15.323800086975098,14.661999702453613,14.389699935913086,14.283699989318848,83.1915954166667,-14.097866666666699
swift,16.249820709228498,15.532917926185998,15.786800384521484,15.26039981842041,15.043800354003904,14.978599548339846,83.1770754166667,-14.083781666666699
swift,15.734695283990199,15.193135462309199,15.364999771118164,15.02530002593994,14.906000137329102,14.886500358581545,83.25096708333331,-14.066765
swift,15.573859515943,14.898822282489999,15.134599685668945,14.670700073242188,14.473299980163574,14.407999992370605,83.24968,-14.096466944444401
swift,16.6750046579461,16.1010349675229,16.271799087524414,15.88599967956543,15.722700119018555,15.688199996948242,83.209855,-14.106233055555599
swift,16.567112470928,15.944852477625801,16.153099060058597,15.728300094604492,15.562299728393555,15.515600204467773,83.22667625,-14.0975861111111
swift,16.5611775046901,16.0937938690186,16.268699645996097,15.950300216674805,15.797100067138672,15.757100105285645,83.1779783333333,-14.1384130555556
swift,16.709223295513002,16.0064968811838,16.245500564575195,15.738499641418455,15.50160026550293,15.410200119018555,83.1645633333333,-14.1123663888889
swift,16.8772082077829,15.9996893029464,16.31570053100586,15.632699966430664,15.3125,15.1628999710083,83.18124125,-14.125894444444402
swift,16.6784219239887,16.1153188002737,16.285699844360348,15.929200172424315,15.79930019378662,15.774800300598145,83.1953329166667,-14.1193411111111
swift,17.8966978976601,17.0425408011989,17.34910011291504,16.69420051574707,16.431100845336914,16.305500030517578,83.2319966666667,-14.1034422222222
swift,17.1755723451313,15.7632897527594,16.363000869750973,15.17240047454834,14.144100189208984,13.67300033569336,83.1516370833333,-14.0438972222222
swift,15.8918919033474,15.018100102742501,15.323800086975098,14.661999702453613,14.389699935913086,14.283699989318848,83.1915954166667,-14.097866666666699
swift,16.268908606635197,15.522333674960699,15.786800384521484,15.26039981842041,15.043800354003904,14.978599548339846,83.1770754166667,-14.083781666666699
swift,15.7517542309231,15.2439126968384,15.364999771118164,15.02530002593994,14.906000137329102,14.886500358581545,83.25096708333331,-14.066765
swift,15.580202420552599,14.9342300626967,15.134599685668945,14.670700073242188,14.473299980163574,14.407999992370605,83.24968,-14.096466944444401
swift,16.7005651262071,16.0818133884006,16.271799087524414,15.88599967956543,15.722700119018555,15.688199996948242,83.209855,-14.106233055555599
swift,16.5746750301785,15.9823854234484,16.153099060058597,15.728300094604492,15.562299728393555,15.515600204467773,83.22667625,-14.0975861111111
swift,16.5700884924995,16.0938313802083,16.268699645996097,15.950300216674805,15.797100067138672,15.757100105285645,83.1779783333333,-14.1384130555556
swift,16.7057079739041,16.0251349343194,16.245500564575195,15.738499641418455,15.50160026550293,15.410200119018555,83.1645633333333,-14.1123663888889
swift,16.8981738620334,15.9746273888482,16.31570053100586,15.632699966430664,15.3125,15.1628999710083,83.18124125,-14.125894444444402
swift,16.6896589067247,16.1064033508301,16.285699844360348,15.929200172424315,15.79930019378662,15.774800300598145,83.1953329166667,-14.1193411111111
swift,17.4763462543488,16.365163326263403,16.797100067138672,15.789299964904785,15.368000030517578,15.164799690246582,253.22339916666698,2.36078638888889
swift,15.390751600265501,14.716224670410199,14.932499885559082,14.48550033569336,14.332300186157227,14.288999557495115,253.27154875,2.39313777777778
swift,14.338458776473999,13.6529121398926,13.88029956817627,-999.0,-999.0,13.178999900817873,253.24544958333303,2.42883555555556
swift,16.3756701946259,15.6556921005249,19.805599212646484,-999.0,-999.0,-999.0,253.30295125,2.396205
swift,16.5434992313385,15.6125992536545,15.920900344848633,15.22070026397705,14.947699546813965,14.817500114440918,253.23246958333303,2.42688333333333
swift,16.112881898879998,15.502644658088698,15.684300422668455,15.28499984741211,15.124600410461426,15.08769989013672,253.24517125,2.3533961111111097
swift,14.4406825304031,13.7213490009308,13.947400093078613,13.461899757385256,-999.0,13.216400146484375,253.31425625,2.39941166666667
swift,16.9534251689911,16.3576862812042,16.534099578857422,16.109199523925778,15.946100234985352,15.882800102233887,253.262197916667,2.43162444444444
swift,17.5561156272888,16.7820098400116,17.066499710083008,16.615800857543945,16.438499450683597,16.378599166870114,253.232749583333,2.3920222222222205
swift,16.9559891223907,16.263081073761,16.495500564575195,16.04159927368164,15.868000030517578,15.8056001663208,253.22563125,2.4054086111111097
swift,17.9619579315186,17.0074589252472,17.359699249267578,16.690000534057614,16.451200485229492,16.353099822998047,253.243915,2.36761944444444
swift,17.9411377906799,17.2248430252075,17.480100631713867,16.993200302124027,16.785100936889652,16.694099426269528,253.24084375,2.4172616666666698
swift,17.703917741775502,16.8171942234039,17.135299682617188,16.563400268554688,16.372699737548828,16.302799224853516,253.22256125,2.3850497222222202
swift,17.7570066452026,17.0149049758911,17.24690055847168,16.700700759887695,16.482200622558597,16.379600524902347,253.294157916667,2.36496972222222
swift,17.482497024536098,16.3053062840512,16.797100067138672,15.789299964904785,15.368000030517578,15.164799690246582,253.22339916666698,2.36078638888889
swift,15.3757155895233,14.685950781169698,14.932499885559082,14.48550033569336,14.332300186157227,14.288999557495115,253.27154875,2.39313777777778
swift,16.6073110580444,15.9003981038144,16.135700225830078,15.651399612426758,15.456399917602539,15.37440013885498,253.222840416667,2.3772408333333304
swift,14.3171987533569,13.626219297710199,13.88029956817627,-999.0,-999.0,13.178999900817873,253.24544958333303,2.42883555555556
