survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTFD,17.292,16.8966,16.6714,17.287700653076172,16.830799102783203,16.6471004486084,16.587499618530273,252.16303075085457,29.840465832109484
ZTFD,16.4137,16.0961,15.9837,16.45039939880371,16.07670021057129,15.945199966430664,15.911800384521484,258.34897993415444,61.8258102690902
ZTFD,17.0149,16.1302,15.7804,16.99220085144043,16.13559913635254,15.785300254821777,15.623600006103516,247.19497444767225,22.983666062302383
ZTFD,18.9672,17.7552,17.1676,18.965900421142578,17.80900001525879,17.2268009185791,16.96579933166504,256.52286740503575,66.83536509977739
ZTFD,18.8315,17.494,16.7724,18.77400016784668,17.53820037841797,16.850099563598633,16.524900436401367,255.078034897795,52.49726340705473
ZTFD,17.0789,16.7537,16.6161,17.069799423217773,16.729000091552734,16.60610008239746,16.57110023498535,259.6019225504702,21.780659847406138
ZTFD,16.1178,15.8195,15.7056,16.135299682617188,15.792699813842773,15.668800354003906,15.653400421142578,242.25497117535278,34.26549767965422
ZTFD,16.6468,16.3685,16.2679,16.6643009185791,16.331899642944336,16.219999313354492,16.208200454711914,246.9180748326976,47.22210720072701
ZTFD,15.8819,15.4592,15.3043,15.892999649047852,15.43690013885498,15.266900062561035,15.225000381469727,239.4970039718612,31.453642238670085
ZTFD,17.1852,16.779,16.623,17.20680046081543,16.753799438476562,16.5935001373291,16.552799224853516,253.1120862830148,48.988597475608955
ZTFD,15.4361,15.222000000000001,15.1395,15.45930004119873,15.180800437927246,15.088199615478516,15.089099884033203,229.20004496716305,58.724473630167324
ZTFD,17.3817,16.8386,16.6392,17.392099380493164,16.825899124145508,16.608699798583984,16.528499603271484,243.16304116692098,43.90094234409355
ZTFD,17.5897,16.3778,15.7906,17.537700653076172,16.422100067138672,15.846199989318848,15.581600189208984,261.53111967186896,74.55371141297528
ZTFD,17.9957,16.9702,16.5528,17.98979949951172,16.976699829101562,16.548500061035156,16.35919952392578,251.06983803127707,59.79018518107506
ZTFD,17.8538,16.5693,15.892999999999999,17.813899993896484,16.61590003967285,15.952699661254883,15.659899711608887,238.74402077678934,50.40879968330443
