survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTFD,16.2648,15.5384,15.2693,16.262500762939453,15.546099662780762,15.264900207519531,15.15060043334961,261.21610462535267,48.352085689756734
ZTFD,18.9773,17.6861,16.6819,18.944499969482422,17.745500564575195,16.784900665283203,16.353700637817383,219.50596061498544,54.3824417254766
ZTFD,16.8416,15.9941,15.6537,16.828399658203125,16.004499435424805,15.651800155639648,15.484100341796875,254.1049551037996,53.09766823272561
ZTFD,17.5467,16.9307,16.7117,17.5231990814209,16.905799865722656,16.679100036621094,16.600400924682617,243.57304157596553,76.57337613027691
ZTFD,15.8002,15.544,15.445,15.829999923706055,15.51259994506836,15.398200035095215,15.395999908447266,236.39195663592395,34.896240286967426
ZTFD,16.9075,15.7607,15.26,16.871599197387695,15.791799545288086,15.291099548339844,15.05090045928955,224.1399172440996,27.752784763653473
ZTFD,17.3001,16.1807,15.7445,17.249500274658203,16.20639991760254,15.767600059509277,15.576800346374512,254.32605716036093,20.675057035356478
ZTFD,17.4393,17.0014,16.8265,17.44070053100586,16.977800369262695,16.793800354003906,16.736099243164062,256.3402474482544,77.03109348007638
ZTFD,17.924,17.3559,17.134,17.89299964904785,17.323999404907227,17.106700897216797,17.037799835205078,262.9409853887321,43.084446863009305
ZTFD,16.8522,16.3561,16.1483,16.871599197387695,16.329999923706055,16.108200073242188,16.031200408935547,243.1819231692663,23.155970994852996
ZTFD,17.0574,16.6987,16.5656,17.083599090576172,16.673799514770508,16.5216007232666,16.465499877929688,256.76715796059455,68.87731732410111
ZTFD,18.4202,17.5464,17.1982,18.367799758911133,17.543399810791016,17.21190071105957,17.06999969482422,263.4727198517268,76.07701721357695
ZTFD,18.8324,17.7777,17.336,18.771799087524414,17.778799057006836,17.352500915527344,17.174699783325195,242.9069468765612,62.51675451521276
ZTFD,16.9262,16.6297,16.4939,16.956100463867188,16.616100311279297,16.469600677490234,16.433799743652344,249.4309735923458,39.29653223949431
ZTFD,17.7492,16.9229,16.6016,17.706100463867188,16.906999588012695,16.584699630737305,16.453899383544922,254.53901773324765,75.92747314824088
ZTFD,18.2585,17.5614,17.2728,18.265600204467773,17.558900833129883,17.259700775146484,17.131900787353516,253.03804335,56.14140455
ZTFD,16.5725,15.8928,15.6465,16.569799423217773,15.887800216674805,15.628100395202637,15.531900405883789,238.33107745131707,46.885501357324856
ZTFD,17.587,16.7731,16.4848,17.581300735473633,16.78619956970215,16.48859977722168,16.342199325561523,252.4359136843215,62.493429726714645
ZTFD,17.9271,17.265,17.0051,17.901199340820312,17.266000747680664,17.00979995727539,16.91860008239746,259.25001075325935,36.72818394240714
ZTFD,16.6151,16.1083,15.945,16.6205997467041,16.099899291992188,15.910499572753906,15.852399826049805,239.67708055982814,48.9288930189688
ZTFD,16.2406,15.8482,15.6946,16.26300048828125,15.826499938964844,15.661100387573242,15.613200187683105,264.6788800963267,54.65384144416397
ZTFD,17.3171,17.0374,16.9154,17.34320068359375,17.00320053100586,16.867300033569336,16.848400115966797,256.7760638497168,26.993904792375993
ZTFD,16.8288,16.2734,16.047,16.8257999420166,16.24970054626465,16.012300491333008,15.92770004272461,241.2369467874887,20.123346367495348
ZTFD,17.6736,16.4886,15.9305,17.660600662231445,16.5221004486084,15.972299575805664,15.722200393676758,241.97298172908387,26.654513973166825
ZTFD,18.8866,17.7637,17.3484,18.8612003326416,17.81719970703125,17.36680030822754,17.13789939880371,216.4510900490865,75.33076036631641
ZTFD,18.2068,17.2997,16.9146,18.309999465942383,17.320199966430664,16.91200065612793,16.748199462890625,242.1058508780846,66.84496644649943
ZTFD,18.1632,16.8529,16.189,18.09239959716797,16.890300750732422,16.232200622558594,15.942700386047363,213.87101056534402,62.88007845507797
ZTFD,16.0717,15.7958,15.6837,16.099000930786133,15.760499954223633,15.634400367736816,15.622900009155273,255.81591980816617,50.677634670704514
ZTFD,16.8935,16.5027,16.3553,16.896299362182617,16.479000091552734,16.315200805664062,16.268699645996094,251.6659066360167,76.83885731300468
ZTFD,16.574,16.3046,16.1757,16.599700927734375,16.263500213623047,16.136699676513672,16.125600814819336,259.247040163296,26.62662880971193
ZTFD,18.9234,17.5736,16.7522,18.81800079345703,17.619300842285156,16.829500198364258,16.469100952148438,261.68166340243,77.5080370011771
ZTFD,16.7932,16.4671,16.3496,16.792999267578125,16.4375,16.308300018310547,16.29360008239746,246.28595065726088,33.60928727181097
ZTFD,18.6434,17.8771,17.6023,18.59630012512207,17.863100051879883,17.56399917602539,17.446699142456055,264.65191899206343,42.24147272453057
ZTFD,17.4848,17.1358,16.9892,17.50309944152832,17.104799270629883,16.94420051574707,16.8976993560791,247.2889036375113,34.488404936767914
ZTFD,18.5108,17.4817,16.9722,18.536500930786133,17.4950008392334,17.0,16.781600952148438,246.27995012337266,58.712452123931335
ZTFD,16.6621,16.412,16.316,16.704200744628906,16.372299194335938,16.268199920654297,16.264400482177734,227.08403388917918,31.856127059946523
ZTFD,15.4832,15.0061,14.86,15.506999969482422,14.995200157165527,14.822999954223633,14.771100044250488,225.98708044589034,18.742700302536164
ZTFD,17.1632,16.7404,16.5851,17.16819953918457,16.714500427246094,16.54360008239746,16.51300048828125,249.3471924734841,77.32147969837213
ZTFD,18.9722,17.7876,17.2336,18.910400390625,17.796300888061523,17.25320053100586,17.002599716186523,260.89997868776584,77.6522440449347
ZTFD,15.9112,15.4261,15.2536,15.920900344848633,15.411499977111816,15.225700378417969,15.16759967803955,253.03495288922545,68.61640528955775
ZTFD,16.1638,16.0884,16.0514,16.20709991455078,16.036500930786133,15.98960018157959,16.007099151611328,227.36792777384238,25.720033082449323
ZTFD,15.4938,15.197000000000001,15.0936,15.534700393676758,15.173700332641602,15.05679988861084,15.04259967803955,246.06790059456733,44.377066197958214
ZTFD,17.5426,16.3013,15.6983,17.510900497436523,16.339599609375,15.746800422668457,15.490900039672852,242.88993801,56.39970095
ZTFD,18.0327,17.4969,17.2768,18.033700942993164,17.48940086364746,17.24959945678711,17.17799949645996,237.00893147634574,39.10304102514673
ZTFD,17.3816,16.9486,16.8044,17.393400192260742,16.91550064086914,16.75119972229004,16.720199584960938,225.0190648764331,70.48045178537927
ZTFD,17.0665,16.5155,16.2979,17.069599151611328,16.503599166870117,16.268600463867188,16.19409942626953,254.78412730182137,70.35639711070851
ZTFD,18.2192,16.8774,15.929,18.155099868774414,16.952999114990234,16.028499603271484,15.620800018310547,223.1890023697511,68.74413874202128
ZTFD,17.8056,16.9921,16.6596,17.79199981689453,16.98819923400879,16.667200088500977,16.531400680541992,253.64001635799943,76.22375996701936
ZTFD,16.0216,15.77,15.6784,16.050899505615234,15.73639965057373,15.631099700927734,15.616800308227539,236.00589537088126,46.129570362291865
ZTFD,17.8762,16.6733,16.0215,17.84239959716797,16.70870018005371,16.070199966430664,15.784000396728516,213.97993657292298,37.395133978700485
ZTFD,16.9343,16.5834,16.4507,16.95669937133789,16.53809928894043,16.393699645996094,16.351499557495117,230.1389781271594,23.6821370670523
ZTFD,17.0133,16.6356,16.4911,17.029399871826172,16.606199264526367,16.451799392700195,16.413700103759766,256.88594976834366,74.85329167589336
ZTFD,17.3961,16.718,16.4642,17.406299591064453,16.711700439453125,16.453699111938477,16.34980010986328,264.0180023391877,36.01270407487252
