survey,ZTFD-g,ZTFD-r,ZTFD-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTFD,16.2648,15.5384,15.2693,16.257099151611328,15.540300369262695,15.256999969482422,15.151399612426758,261.21610462535267,48.352085689756734
ZTFD,18.9773,17.6861,16.6819,18.94260025024414,17.766799926757812,16.78730010986328,16.367000579833984,219.50596061498544,54.3824417254766
ZTFD,16.8416,15.9941,15.6537,16.82379913330078,15.99779987335205,15.64579963684082,15.479900360107422,254.1049551037996,53.09766823272561
ZTFD,17.5467,16.9307,16.7117,17.5314998626709,16.90489959716797,16.68630027770996,16.601900100708008,243.57304157596553,76.57337613027691
ZTFD,15.8002,15.544,15.445,15.828399658203125,15.505800247192383,15.400699615478516,15.386500358581543,236.39195663592395,34.896240286967426
ZTFD,16.9075,15.7607,15.26,16.874799728393555,15.784799575805664,15.285200119018555,15.04990005493164,224.1399172440996,27.752784763653473
ZTFD,17.3001,16.1807,15.7445,17.252599716186523,16.199800491333008,15.764399528503418,15.566200256347656,254.32605716036093,20.675057035356478
ZTFD,17.4393,17.0014,16.8265,17.44179916381836,16.980300903320312,16.792400360107422,16.73080062866211,256.3402474482544,77.03109348007638
ZTFD,17.924,17.3559,17.134,17.895299911499023,17.32390022277832,17.109800338745117,17.04170036315918,262.9409853887321,43.084446863009305
ZTFD,16.8522,16.3561,16.1483,16.87969970703125,16.33919906616211,16.117300033569336,16.03260040283203,243.1819231692663,23.155970994852996
ZTFD,17.0574,16.6987,16.5656,17.071500778198242,16.673900604248047,16.52549934387207,16.465900421142578,256.76715796059455,68.87731732410111
ZTFD,18.4202,17.5464,17.1982,18.379899978637695,17.538799285888672,17.2052001953125,17.069700241088867,263.4727198517268,76.07701721357695
ZTFD,18.8324,17.7777,17.336,18.756399154663086,17.783300399780273,17.36520004272461,17.17530059814453,242.9069468765612,62.51675451521276
ZTFD,16.9262,16.6297,16.4939,16.94860076904297,16.610599517822266,16.467500686645508,16.432300567626953,249.4309735923458,39.29653223949431
ZTFD,17.7492,16.9229,16.6016,17.702800750732422,16.909900665283203,16.591299057006836,16.453800201416016,254.53901773324765,75.92747314824088
ZTFD,18.2585,17.5614,17.2728,18.26409912109375,17.547500610351562,17.258100509643555,17.129899978637695,253.03804335,56.14140455
ZTFD,16.5725,15.8928,15.6465,16.563800811767578,15.887499809265137,15.622699737548828,15.531200408935547,238.33107745131707,46.885501357324856
ZTFD,17.587,16.7731,16.4848,17.583999633789062,16.789100646972656,16.48110008239746,16.340499877929688,252.4359136843215,62.493429726714645
ZTFD,17.9271,17.265,17.0051,17.89940071105957,17.265499114990234,17.004100799560547,16.908000946044922,259.25001075325935,36.72818394240714
ZTFD,16.6151,16.1083,15.945,16.61669921875,16.092599868774414,15.90779972076416,15.855999946594238,239.67708055982814,48.9288930189688
ZTFD,16.2406,15.8482,15.6946,16.23859977722168,15.824999809265137,15.65410041809082,15.607500076293945,264.6788800963267,54.65384144416397
ZTFD,17.3171,17.0374,16.9154,17.33769989013672,16.994600296020508,16.86829948425293,16.847700119018555,256.7760638497168,26.993904792375993
ZTFD,16.8288,16.2734,16.047,16.83289909362793,16.254100799560547,16.0039005279541,15.923800468444824,241.2369467874887,20.123346367495348
ZTFD,17.6736,16.4886,15.9305,17.66390037536621,16.525699615478516,15.965399742126465,15.716099739074707,241.97298172908387,26.654513973166825
ZTFD,18.8866,17.7637,17.3484,18.871200561523438,17.791900634765625,17.352399826049805,17.17530059814453,216.4510900490865,75.33076036631641
ZTFD,18.2068,17.2997,16.9146,18.320999145507812,17.327699661254883,16.906700134277344,16.750699996948242,242.1058508780846,66.84496644649943
ZTFD,18.1632,16.8529,16.189,18.10810089111328,16.893800735473633,16.24180030822754,15.945699691772461,213.87101056534402,62.88007845507797
ZTFD,16.0717,15.7958,15.6837,16.083900451660156,15.757399559020996,15.633399963378906,15.616600036621094,255.81591980816617,50.677634670704514
ZTFD,16.8935,16.5027,16.3553,16.907699584960938,16.471900939941406,16.319700241088867,16.276899337768555,251.6659066360167,76.83885731300468
ZTFD,16.574,16.3046,16.1757,16.592599868774414,16.267799377441406,16.135299682617188,16.121599197387695,259.247040163296,26.62662880971193
ZTFD,18.9234,17.5736,16.7522,18.834299087524414,17.62700080871582,16.830400466918945,16.463600158691406,261.68166340243,77.5080370011771
