survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTFS,18.6658,17.5902,17.1405,18.666900634765625,17.60379981994629,17.145099639892578,16.9596004486084,243.31813419255832,65.35253741131176
ZTFS,15.6914,15.3404,15.2153,15.705499649047852,15.315799713134766,15.160799980163574,15.134699821472168,241.02313035738572,68.20838454634662
ZTFS,15.5585,15.3242,15.2513,15.58489990234375,15.284500122070312,15.202099800109863,15.184300422668457,226.20792956267937,64.25421532864372
ZTFS,17.5019,16.6677,16.3231,17.508399963378906,16.688600540161133,16.348899841308594,16.204299926757812,241.65502405389694,72.11132137005183
ZTFS,17.5859,16.9502,16.7041,17.592100143432617,16.939300537109375,16.68709945678711,16.584299087524414,228.93490911293725,44.170876499157664
ZTFS,16.5803,16.0782,15.8911,16.597200393676758,16.061100006103516,15.883700370788574,15.804900169372559,233.72491850601537,78.6289168999966
ZTFS,17.7217,17.0123,16.7496,17.725000381469727,17.012300491333008,16.726600646972656,16.612899780273438,221.86806256514924,44.14216502682235
ZTFS,16.0445,15.4218,15.2012,16.04509925842285,15.414400100708008,15.174799919128418,15.09469985961914,261.54197986104936,72.85518425343378
ZTFS,17.6818,16.724,16.3107,17.620800018310547,16.736000061035156,16.335100173950195,16.134199142456055,261.7330358766245,36.703781960541264
ZTFS,18.6238,17.4219,16.9288,18.57200050354004,17.465999603271484,16.964500427246094,16.739200592041016,259.64996405547754,16.7684024402961
ZTFS,17.1786,16.4735,16.1902,17.16860008239746,16.45199966430664,16.18400001525879,16.069400787353516,251.38909439,56.30718263
ZTFS,17.9449,17.4224,17.2058,17.942399978637695,17.40839958190918,17.182899475097656,17.092599868774414,247.703043610982,26.395249895713395
ZTFS,17.1157,16.4451,16.2,17.124099731445312,16.439699172973633,16.189899444580078,16.093799591064453,252.5889768952699,57.89212425049478
ZTFS,18.7962,17.4502,16.4646,18.77869987487793,17.522199630737305,16.592100143432617,16.14889907836914,224.7980585063667,71.52181418454671
ZTFS,16.746,16.4335,16.323,16.769399642944336,16.403200149536133,16.27669906616211,16.245500564575195,232.01193904615062,35.80483546309567
ZTFS,17.8537,17.3303,17.1457,17.83679962158203,17.313800811767578,17.10610008239746,17.01569938659668,264.07595796081756,49.768001873032865
ZTFS,16.0895,15.8617,15.7635,16.123699188232422,15.832900047302246,15.711299896240234,15.701899528503418,259.48495860767105,16.32078853433764
ZTFS,17.2041,16.8378,16.6966,17.214399337768555,16.805599212646484,16.64109992980957,16.59830093383789,262.8567553824948,74.16555989251702
ZTFS,17.2085,16.7426,16.589000000000002,17.207599639892578,16.724700927734375,16.540599822998047,16.502700805664062,239.92211046748326,64.62321472669727
ZTFS,17.5626,16.9013,16.6549,17.57670021057129,16.901199340820312,16.5939998626709,16.454599380493164,220.55967275113542,80.17578067218402
ZTFS,16.9903,16.5973,16.4357,16.998600006103516,16.575000762939453,16.40369987487793,16.349700927734375,244.52604529390428,48.8498691612981
ZTFS,16.7842,16.3515,16.1904,16.777099609375,16.33300018310547,16.153799057006836,16.107799530029297,256.8919189852682,66.5489776075739
ZTFS,16.6768,16.3846,16.2742,16.69529914855957,16.35059928894043,16.23590087890625,16.209999084472656,239.1730924948208,37.61983039656679
ZTFS,17.3452,16.8387,16.6136,17.328699111938477,16.82309913635254,16.61680030822754,16.53730010986328,243.64390453196106,40.37100455103112
ZTFS,18.2117,17.4391,17.1709,18.162700653076172,17.43790054321289,17.135400772094727,17.0049991607666,243.32697124280307,41.12957750525313
ZTFS,18.8014,17.6003,17.0791,18.778099060058594,17.627199172973633,17.107999801635742,16.856800079345703,234.3150421307556,43.35648477045889
ZTFS,17.2509,16.8133,16.6366,17.25189971923828,16.798599243164062,16.611400604248047,16.560100555419922,259.74592945214494,38.08256656379574
ZTFS,16.8248,16.4895,16.3475,16.840700149536133,16.456100463867188,16.31279945373535,16.272499084472656,246.2260737632848,21.44351142559686
ZTFS,17.1753,16.6573,16.4612,17.18120002746582,16.64069938659668,16.427200317382812,16.34980010986328,236.6839743968267,22.468493786639435
ZTFS,18.0258,17.3503,17.0863,17.979299545288086,17.33289909362793,17.073299407958984,16.958799362182617,248.7110986650853,52.01370295635293
ZTFS,17.7516,16.6499,16.2101,17.704299926757812,16.660999298095703,16.214000701904297,16.025999069213867,217.01493351119603,22.4700681493895
ZTFS,16.2045,15.7339,15.5505,16.217500686645508,15.713299751281738,15.521699905395508,15.453399658203125,241.95001278712382,22.378531429968753
ZTFS,16.9938,16.4226,16.1979,17.016599655151367,16.42009925842285,16.197099685668945,16.111099243164062,259.3299972307445,61.697192295502525
ZTFS,16.4251,15.3688,14.9474,16.41710090637207,15.390899658203125,14.964900016784668,14.779000282287598,252.88784345346022,73.37929207707494
ZTFS,16.9544,16.6171,16.4938,16.968599319458008,16.585500717163086,16.442800521850586,16.416400909423828,255.19900851351017,54.53783017600767
ZTFS,16.865,16.3276,16.1291,16.869600296020508,16.315000534057617,16.109800338745117,16.03660011291504,260.87197060349155,62.95299426471908
ZTFS,16.3594,16.1138,16.0428,16.367599487304688,16.085100173950195,15.986700057983398,15.979599952697754,242.33811707325134,57.39970950385102
ZTFS,15.6337,15.3616,15.2502,15.66819953918457,15.333999633789062,15.218600273132324,15.188699722290039,244.76004223492075,15.057858404696901
ZTFS,17.0804,16.7551,16.6179,17.088699340820312,16.727399826049805,16.575300216674805,16.534000396728516,250.24584846155992,72.1385882605811
ZTFS,17.8379,17.0726,16.7891,17.81599998474121,17.059200286865234,16.769699096679688,16.649099349975586,216.72796517245004,65.62874850378464
ZTFS,16.0548,15.8923,15.8145,16.081600189208984,15.848299980163574,15.769599914550781,15.775899887084961,249.99200264107483,46.15757484101947
ZTFS,18.4223,17.3172,16.8643,18.43779945373535,17.362300872802734,16.88129997253418,16.67930030822754,240.25496467680622,41.17538904499519
ZTFS,17.4091,16.2694,15.7099,17.379899978637695,16.29680061340332,15.74839973449707,15.50100040435791,241.3040227054731,71.92112093751089
ZTFS,18.8988,17.6773,16.7794,18.943700790405273,17.718799591064453,16.87350082397461,16.475299835205078,244.1889906167044,51.44757334949014
ZTFS,17.8157,17.083,16.8144,17.797800064086914,17.066299438476562,16.778099060058594,16.650800704956055,263.77088037588055,58.03978633140373
ZTFS,17.202,16.8928,16.7824,17.22369956970215,16.861600875854492,16.73200035095215,16.699399948120117,245.73098047836046,28.613968743167863
ZTFS,17.1297,16.4298,16.1392,17.133100509643555,16.41939926147461,16.14310073852539,16.020099639892578,233.13200077317742,54.3053419225987
ZTFS,16.62,16.1532,15.9786,16.62929916381836,16.138099670410156,15.943599700927734,15.878199577331543,240.3589410466661,44.719120327668406
ZTFS,16.9634,16.3038,16.0,16.98110008239746,16.301300048828125,15.995200157165527,15.86870002746582,252.28292554879621,28.382794810779608
ZTFS,18.7689,17.5087,16.6014,18.77079963684082,17.57069969177246,16.709400177001953,16.324600219726562,255.22092942088236,54.397008045944794
ZTFS,18.2763,16.9907,16.0277,18.20240020751953,17.03890037536621,16.13610076904297,15.729999542236328,234.52007706888426,54.401709435562765
ZTFS,16.3968,16.038,15.9029,16.41080093383789,16.011600494384766,15.854599952697754,15.811599731445312,220.73701836743015,25.833959083296914
ZTFS,17.6083,16.8035,16.5215,17.62299919128418,16.815500259399414,16.512100219726562,16.399999618530273,234.44495199642148,36.483659857087424
ZTFS,16.9347,16.6108,16.4854,16.948299407958984,16.58009910583496,16.452800750732422,16.419300079345703,263.2899740372241,49.910552473457436
ZTFS,17.2272,16.8658,16.7231,17.212499618530273,16.819599151611328,16.67639923095703,16.6382999420166,249.40710593858597,50.42678727833577
ZTFS,18.6411,17.6534,17.2739,18.617000579833984,17.670400619506836,17.262300491333008,17.090900421142578,248.06405053728488,51.18293185222835
ZTFS,17.7006,16.8961,16.576,17.69099998474121,16.900400161743164,16.568599700927734,16.43630027770996,239.01411172452003,50.46269039090125
ZTFS,17.962,17.1447,16.8461,17.90250015258789,17.14459991455078,16.846200942993164,16.71649932861328,263.77408416873806,21.998883066961294
ZTFS,17.5847,17.0536,16.8519,17.598899841308594,17.03820037841797,16.836999893188477,16.760299682617188,222.27004295566692,22.998613627053157
ZTFS,15.9742,15.7058,15.6063,15.999199867248535,15.678799629211426,15.561300277709961,15.540200233459473,233.7729134383256,37.0579858387076
ZTFS,17.1615,16.8494,16.7236,17.178300857543945,16.812400817871094,16.68429946899414,16.657400131225586,240.4525785418057,79.88087173370636
ZTFS,18.9813,17.932000000000002,17.4117,18.913000106811523,17.9242000579834,17.430999755859375,17.214799880981445,248.60901350250282,30.399631897793537
ZTFS,17.6783,17.2777,17.1207,17.69610023498535,17.24799919128418,17.10379981994629,17.055200576782227,262.7459329775827,30.39228853454227
ZTFS,16.6087,16.2504,16.1342,16.623199462890625,16.213199615478516,16.074100494384766,16.04680061340332,239.96115048922533,67.57376094799281
ZTFS,17.4844,16.6811,16.2838,17.481399536132812,16.686399459838867,16.31599998474121,16.133899688720703,225.62807553535865,41.74837345066154
ZTFS,18.3381,17.7624,17.5333,18.362499237060547,17.732900619506836,17.50309944152832,17.409000396728516,233.87289651049932,51.42723110625723
ZTFS,16.6592,16.2181,16.0697,16.652999877929688,16.198200225830078,16.031700134277344,15.987500190734863,252.52213856884276,61.55335690463177
ZTFS,16.1616,15.7985,15.6617,16.180299758911133,15.77649974822998,15.62720012664795,15.589699745178223,239.95299806798556,38.045757045942246
ZTFS,16.5264,16.0899,15.9451,16.551599502563477,16.09910011291504,15.930800437927246,15.87660026550293,245.50599972535247,61.603030541900765
ZTFS,17.6573,17.2478,17.0795,17.68280029296875,17.263999938964844,17.070100784301758,17.021900177001953,259.74296148811635,37.73560652042159
ZTFS,17.8762,16.9822,16.6107,17.871200561523438,16.994400024414062,16.62420082092285,16.475400924682617,250.9999451508615,37.38127849467266
ZTFS,16.9143,16.5708,16.4526,16.93790054321289,16.540700912475586,16.393800735473633,16.37380027770996,212.62604979215544,16.83669789498711
ZTFS,16.5068,15.7905,15.5113,16.509199142456055,15.783699989318848,15.501199722290039,15.386099815368652,234.55091397682176,37.07160035455014
ZTFS,17.6358,16.7655,16.4537,17.627399444580078,16.753999710083008,16.430500030517578,16.287200927734375,229.0110187184351,45.03945255813584
ZTFS,17.320999999999998,17.007,16.8831,17.333099365234375,16.942699432373047,16.827600479125977,16.80900001525879,232.06898090173308,66.7774549498711
ZTFS,17.1509,16.5365,16.3094,17.152299880981445,16.520599365234375,16.278499603271484,16.180500030517578,223.3749259678116,27.37424459617559
ZTFS,16.5167,16.1642,16.0508,16.53420066833496,16.137399673461914,15.990599632263184,15.967700004577637,211.23102707864203,22.042460159727387
ZTFS,17.4079,16.7804,16.4962,17.39620018005371,16.728900909423828,16.47089958190918,16.361000061035156,238.20306720981262,25.602328554895237
ZTFS,18.6783,17.5315,17.1382,18.547000885009766,17.54599952697754,17.106599807739258,16.8966007232666,262.2858972032771,54.39958953166198
ZTFS,18.4726,17.3877,16.9254,18.430999755859375,17.402999877929688,16.940099716186523,16.723400115966797,243.1180594106115,41.3859255189995
ZTFS,17.8272,17.381,17.2093,17.84440040588379,17.356700897216797,17.152000427246094,17.118600845336914,242.15495052169285,66.86233216838812
ZTFS,17.8879,16.7449,16.2496,17.84510040283203,16.755599975585938,16.271099090576172,16.048799514770508,252.71292042898486,44.658389899505835
ZTFS,18.5877,17.4958,17.0073,18.565099716186523,17.498699188232422,17.026500701904297,16.808799743652344,252.460971816706,43.18599423008642
ZTFS,18.7733,17.5096,16.8781,18.768400192260742,17.53420066833496,16.91790008544922,16.627099990844727,229.56993908276212,51.2747209606368
ZTFS,16.7965,16.5311,16.4302,16.819299697875977,16.502399444580078,16.387800216674805,16.381900787353516,237.66606539358747,47.52292671820611
ZTFS,15.6751,15.3688,15.2565,15.688799858093262,15.340399742126465,15.2076997756958,15.194199562072754,248.76904746257242,40.112071002017124
ZTFS,18.7447,17.8357,17.2981,18.811899185180664,17.880300521850586,17.369199752807617,17.14459991455078,261.6971633024824,79.7448772446841
ZTFS,16.9885,16.589000000000002,16.4488,16.999799728393555,16.571699142456055,16.39069938659668,16.355300903320312,248.48794211358106,38.99600630708361
ZTFS,15.9272,15.3566,15.17,15.924599647521973,15.339300155639648,15.142800331115723,15.066200256347656,224.61900426339804,78.78345086245508
ZTFS,18.1414,17.3518,17.0476,18.1112003326416,17.34600067138672,17.0408992767334,16.91790008544922,248.5499780667225,43.42007849474615
ZTFS,18.4141,17.1324,16.5128,18.385099411010742,17.163000106811523,16.566299438476562,16.26959991455078,258.71001995670883,51.314216941910175
ZTFS,16.7486,16.4142,16.2961,16.76759910583496,16.38920021057129,16.250900268554688,16.221099853515625,258.46588422706384,50.25956926025875
ZTFS,16.4038,16.2678,16.1982,16.427000045776367,16.228200912475586,16.146099090576172,16.147899627685547,254.7790825776167,35.54527336059463
ZTFS,17.0015,15.9955,15.5324,16.990400314331055,16.01650047302246,15.553299903869629,15.327099800109863,233.8630712322867,28.700674720708935
ZTFS,15.9412,15.4188,15.257,15.941300392150879,15.40719985961914,15.223999977111816,15.168399810791016,243.6059905848046,36.957602308424775
ZTFS,18.027,16.8631,16.3787,17.993600845336914,16.898000717163086,16.39739990234375,16.16939926147461,242.3879265589284,39.52341476293925
ZTFS,16.5499,15.52,15.1059,16.538700103759766,15.531999588012695,15.1141996383667,14.930399894714355,233.7149360341063,49.194565171870615
ZTFS,18.0614,16.9373,16.4335,18.016399383544922,16.947399139404297,16.452299118041992,16.226499557495117,222.6291373603193,72.78906804947006
ZTFS,16.6048,15.6941,15.3677,16.566499710083008,15.70479965209961,15.366999626159668,15.214799880981445,254.4549405917902,23.435997127293778
ZTFS,16.8904,16.2871,16.0541,16.88319969177246,16.27120018005371,16.056299209594727,15.96679973602295,254.65910791339996,46.42436455559851
ZTFS,17.5957,16.6569,16.3156,17.570199966430664,16.66069984436035,16.300500869750977,16.13599967956543,220.75635801816748,79.02442633137537
ZTFS,16.0331,15.658,15.5149,16.056400299072266,15.644800186157227,15.476400375366211,15.436599731445312,254.73915555910148,61.883267806189274
ZTFS,17.5996,17.0627,16.8497,17.644399642944336,17.087499618530273,16.873199462890625,16.794700622558594,248.80701899827974,51.942834265847644
ZTFS,18.3602,17.3464,16.9459,18.31279945373535,17.364200592041016,16.939599990844727,16.77720069885254,264.4940424411327,42.055694538067264
ZTFS,16.8356,16.5927,16.4964,16.856399536132812,16.558300018310547,16.45709991455078,16.438499450683594,250.36291808820917,50.29053067044547
ZTFS,17.0268,16.5684,16.4039,17.06719970703125,16.550899505615234,16.362199783325195,16.299699783325195,238.7939013581068,37.85911177020588
ZTFS,17.4257,17.044,16.9146,17.438499450683594,17.02869987487793,16.864500045776367,16.832199096679688,233.95593295771943,58.58251169438696
ZTFS,17.6501,16.7965,16.4857,17.64299964904785,16.776199340820312,16.423799514770508,16.26609992980957,233.7190552967703,78.80343268261576
ZTFS,18.8083,17.8882,17.5206,18.819700241088867,17.889400482177734,17.526100158691406,17.351499557495117,252.2570934474576,51.321875129004496
ZTFS,16.5348,16.1987,16.0651,16.55419921875,16.165599822998047,16.028499603271484,15.992500305175781,239.89392182214007,27.572793000585087
ZTFS,17.2818,16.7832,16.5881,17.291799545288086,16.77239990234375,16.571800231933594,16.48310089111328,258.83695221169273,52.02982038480526
ZTFS,15.9005,15.2542,15.0313,15.90880012512207,15.240900039672852,15.001799583435059,14.921199798583984,230.14406544140041,57.814180959102856
ZTFS,17.6014,17.4103,16.7867,18.67329978942871,17.492700576782227,16.88050079345703,16.611099243164062,258.27407271752156,40.378881838444414
ZTFS,17.1483,16.7755,16.6431,17.13629913330078,16.755800247192383,16.60110092163086,16.571399688720703,256.843062220874,37.562110293419494
ZTFS,17.851,17.1522,16.8904,17.834999084472656,17.142000198364258,16.852699279785156,16.736099243164062,262.5789520684906,42.04978887502318
ZTFS,16.4723,16.1741,16.067999999999998,16.472700119018555,16.128799438476562,16.025800704956055,16.013200759887695,248.79194967321712,43.87256626719961
ZTFS,18.0872,16.8872,16.3658,18.01609992980957,16.91119956970215,16.39229965209961,16.16860008239746,215.1840279046879,44.18396828682604
