survey,ZTF-g,ZTF-r,ZTF-i,ZTF-G,ZTF-R,ZTF-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ZTF,99.0,99.0,99.0,15.471020702499244,14.908114905024474,99.0,15.43239974975586,14.938699722290039,14.773599624633789,14.724200248718262,132.4699877612182,46.58494231728494
ZTF,99.0,99.0,99.0,17.104456434775905,15.941541923977175,99.0,17.036800384521484,16.031099319458008,15.590399742126465,15.412599563598633,44.02485842420555,47.48252437422046
ZTF,99.0,99.0,99.0,17.42518244796889,16.810305890445814,99.0,17.37420082092285,16.838899612426758,16.581899642944336,16.455699920654297,83.34931413008519,-3.4612060324462988
ZTF,99.0,99.0,99.0,17.463660573475078,16.931393045602388,99.0,17.411800384521484,16.95789909362793,16.742300033569336,16.66629981994629,99.80673393988977,19.626487196558532
ZTF,15.27374287584459,14.89188122142539,14.758893158427012,99.0,99.0,99.0,15.248499870300293,14.90999984741211,14.79419994354248,14.785300254821777,270.1549426850477,30.45564741889278
ZTF,99.0,99.0,99.0,17.086195999286453,15.739587833366945,99.0,17.013700485229492,15.837699890136719,15.208399772644043,14.86460018157959,82.5561737853754,-2.0940949742828012
ZTF,99.0,99.0,99.0,16.144242182905522,15.645482553317144,99.0,16.10700035095215,15.681900024414062,15.516200065612793,15.464200019836426,112.65104257935532,53.6913312868999
ZTF,17.685778747282946,17.41828401530178,17.317838435744232,99.0,99.0,99.0,17.664400100708008,17.441999435424805,17.362699508666992,17.36370086669922,175.6136434485846,59.46868536018131
ZTF,99.0,99.0,99.0,14.030698340552973,13.620104229868195,13.462571398942421,14.000100135803223,13.616000175476074,13.598199844360352,13.477800369262695,247.8424500939689,53.83974059926331
ZTF,99.0,99.0,99.0,15.896168207998679,99.0,99.0,15.839200019836426,15.221599578857422,15.014900207519531,14.928099632263184,274.48766338208327,19.74451865996179
ZTF,99.0,99.0,99.0,14.605274766615267,14.191304724518387,14.045580240417962,14.583499908447266,14.220199584960938,14.093299865722656,14.075900077819824,247.79966324772872,53.628522161666695
ZTF,17.223278033863814,16.55245839745531,99.0,99.0,99.0,99.0,17.165800094604492,16.59309959411621,16.362600326538086,16.250200271606445,113.87150238394727,59.850847980080175
ZTF,14.863730907228264,14.311886341387474,14.137505758438952,99.0,99.0,99.0,14.849100112915039,14.351200103759766,14.18019962310791,14.142399787902832,228.2067749949601,45.07240259677565
ZTF,99.0,99.0,99.0,17.969111917785337,17.410276119066708,99.0,17.91510009765625,17.420900344848633,17.259899139404297,17.202299118041992,85.7587909638393,-24.87428320746421
ZTF,99.0,99.0,99.0,15.276930645347946,14.744896668634773,14.556209842915043,15.257800102233887,14.788599967956543,14.61970043182373,14.566300392150879,247.8511536650002,62.441168609850294
ZTF,99.0,99.0,99.0,17.325137060849556,16.703676669778332,99.0,17.272300720214844,16.750099182128906,16.559799194335938,16.480199813842773,112.91693348145546,53.58653515285267
ZTF,99.0,99.0,99.0,16.8046259524774,16.323283525522722,99.0,16.7726993560791,16.35379981994629,16.196199417114258,16.149499893188477,44.33143820700261,47.599325890131844
ZTF,99.0,99.0,99.0,17.73253485054694,17.252420163770722,99.0,17.678199768066406,17.283300399780273,17.091400146484375,17.053800582885742,44.12673771804799,47.01909244240049
ZTF,99.0,99.0,99.0,17.622538480989085,16.183973684353433,15.249040941374588,17.56909942626953,16.346500396728516,15.455900192260742,15.050000190734863,248.10959709331732,26.53719472025543
ZTF,17.22095075118564,16.724416490599424,99.0,99.0,99.0,99.0,17.186899185180664,16.757099151611328,16.595699310302734,16.580799102783203,83.16294767624385,-27.893057052456044
ZTF,17.433239391014148,16.566742525663763,99.0,99.0,99.0,99.0,17.362600326538086,16.618499755859375,16.326000213623047,16.19580078125,82.74251786775955,-27.21939588926162
ZTF,99.0,99.0,99.0,16.06999780331619,15.563015199945747,99.0,16.038999557495117,15.593500137329102,15.429900169372559,15.376999855041504,309.82415625316344,-3.470545154629998
ZTF,14.722151089047172,14.229713688320658,14.064727095011596,99.0,99.0,99.0,14.697600364685059,14.264900207519531,14.115599632263184,14.081000328063965,115.25991836588369,30.58363926955909
ZTF,17.650328200035542,17.080425125572322,16.89400618175094,99.0,99.0,99.0,17.62220001220703,17.109800338745117,16.943099975585938,16.898399353027344,313.11925548872,9.044678300626588
ZTF,99.0,99.0,99.0,17.838017634781405,17.05127896245769,99.0,17.774999618530273,17.103900909423828,16.8435001373291,16.738300323486328,112.95854757603648,53.51567282652251
ZTF,99.0,99.0,99.0,17.879068118998486,17.11285060531808,16.797376289095368,17.82229995727539,17.15559959411621,16.872699737548828,16.745100021362305,257.71603773439267,18.638184158259243
ZTF,14.979545384992194,14.585540444803526,14.453899421855429,99.0,99.0,99.0,14.953800201416016,14.611200332641602,14.502400398254395,14.489800453186035,248.08224373169745,67.09012961456675
ZTF,99.0,99.0,99.0,14.472462711269335,14.005796269803755,99.0,14.395899772644043,13.999300003051758,13.853099822998047,13.804499626159668,44.041673342461586,47.070570066424075
ZTF,16.725791143068214,15.601672943477002,15.111792240388676,99.0,99.0,99.0,16.662900924682617,15.678799629211426,15.22029972076416,15.017200469970703,243.857757274103,58.26496215120853
