survey version standard standard_catagory shift DES-g DES-r DES-i DES-z 
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 5 5.092 5.454 5.731 5.893
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 5 3.817 2.91 2.666 2.531
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 5 8.395 8.195 8.224 8.269
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 5 8.126 8.066 8.134 8.189
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 5 5.155 4.358 4.146 4.033
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 5 5.71 5.923 6.157 6.239
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 5 9.252 8.879 8.766 8.691
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 5 8.954 8.574 8.475 8.454
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 5 7.665 7.452 7.427 7.435
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 5 3.371 3.621 3.834 3.886
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 5 6.436 5.498 5.223 5.06
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 5 9.171 8.625 8.449 8.372
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 5 8.502 6.081 3.63 2.003
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 5 5.371 4.195 3.791 3.558
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 5 6.75 5.998 5.781 5.666
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 5 8.291 7.688 7.474 7.366
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 5 3.567 3.996 4.318 4.531
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 5 6.66 5.676 5.39 5.21
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 5 5.76 5.356 5.296 5.294
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 5 5.366 5.364 5.474 5.548
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 5 8.837 8.157 7.935 7.834
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 5 5.608 5.875 6.094 6.21
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 5 12.323 12.03 11.988 12.04
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 5 5.339 5.041 5.004 5.027
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 5 5.569 5.914 6.201 6.359
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 5 6.72 6.861 7.018 7.043
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 5 6.359 5.116 4.704 4.449
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 5 4.2 4.364 4.547 4.702
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 5 4.466 4.135 4.063 4.054
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 5 3.749 4.065 4.326 4.471
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 5 10.55 10.244 10.155 10.15
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 5 10.371 10.063 10.011 10.031
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 5 7.534 6.926 6.782 6.743
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 5 6.387 5.419 5.139 4.95
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 5 3.658 4.041 4.332 4.569
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 5 9.007 9.196 9.389 9.438
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 5 10.091 9.599 9.451 9.377
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 5 11.275 9.824 8.622 8.138
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 5 9.913 9.648 9.576 9.578
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 5 9.213 8.804 8.692 8.643
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 5 2.739 1.588 1.224 0.989
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 5 9.613 9.493 9.525 9.553
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 5 6.587 5.297 4.769 4.476
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 5 6.01 5.29 5.086 4.978
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 5 8.36 8.02 7.996 8.018
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 5 10.289 10.434 10.558 10.571
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 5 4.432 4.067 3.996 4.0
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd198809_v2.fits stis_ngsl_v2 5 4.87 4.272 4.114 4.053
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g88-27_v2.fits stis_ngsl_v2 5 10.851 10.563 10.499 10.501
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd210807_v2.fits stis_ngsl_v2 5 5.179 4.504 4.337 4.255
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd201091_v2.fits stis_ngsl_v2 5 5.757 4.699 4.337 4.152
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd165341_v2.fits stis_ngsl_v2 5 4.549 3.939 3.795 3.749
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd131873_v2.fits stis_ngsl_v2 5 2.73 1.513 1.07 0.822
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_cd-3018140_v2.fits stis_ngsl_v2 5 10.169 9.975 9.948 9.963
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd184266_v2.fits stis_ngsl_v2 5 7.831 7.403 7.269 7.212
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd057060_v2.fits stis_ngsl_v2 5 5.102 5.466 5.742 5.944
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd045282_v2.fits stis_ngsl_v2 5 8.295 7.798 7.651 7.592
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd176437_v2.fits stis_ngsl_v2 5 3.117 3.405 3.621 3.667
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd185144_v2.fits stis_ngsl_v2 5 4.975 4.38 4.221 4.17
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd057727_v2.fits stis_ngsl_v2 5 5.368 4.7 4.521 4.439
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g188-30_v2.fits stis_ngsl_v2 5 11.487 11.062 10.936 10.871
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_bd+112998_v2.fits stis_ngsl_v2 5 9.329 8.856 8.682 8.595
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd204155_v2.fits stis_ngsl_v2 5 8.686 8.322 8.226 8.201
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g029-023_v2.fits stis_ngsl_v2 5 10.404 10.104 10.043 10.047
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd122956_v2.fits stis_ngsl_v2 5 7.66 6.858 6.565 6.405
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd128279_v2.fits stis_ngsl_v2 5 8.295 7.792 7.609 7.531
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd205811_v2.fits stis_ngsl_v2 5 6.074 6.336 6.55 6.66
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd217107_v2.fits stis_ngsl_v2 5 6.436 5.935 5.829 5.791
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g194-22_v2.fits stis_ngsl_v2 5 9.943 9.719 9.685 9.697
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd039587_v2.fits stis_ngsl_v2 5 4.576 4.199 4.136 4.144
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g24-3_v2.fits stis_ngsl_v2 5 10.637 10.309 10.211 10.199
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd163810_v2.fits stis_ngsl_v2 5 10.169 9.791 9.705 9.681
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd108945_v2.fits stis_ngsl_v2 5 5.407 5.63 5.874 5.981
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd085380_v2.fits stis_ngsl_v2 5 6.62 6.26 6.194 6.205
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd002665_v2.fits stis_ngsl_v2 5 8.068 7.449 7.223 7.107
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_lhs482_v2.fits stis_ngsl_v2 5 12.742 11.259 10.427 10.068
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd065354_v2.fits stis_ngsl_v2 5 7.524 6.199 5.72 5.414
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd167006_v2.fits stis_ngsl_v2 5 5.607 4.16 3.246 2.824
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd204867_v2.fits stis_ngsl_v2 5 3.189 2.624 2.499 2.451
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd222404_v2.fits stis_ngsl_v2 5 3.618 2.842 2.624 2.498
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd174240_v2.fits stis_ngsl_v2 5 6.135 6.366 6.563 6.635
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd134113_v2.fits stis_ngsl_v2 5 8.467 8.081 7.978 7.959
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd105546_v2.fits stis_ngsl_v2 5 8.89 8.388 8.227 8.165
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd148293_v2.fits stis_ngsl_v2 5 5.703 4.865 4.627 4.486
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd212593_v2.fits stis_ngsl_v2 5 4.498 4.628 4.79 4.822
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd005544_v2.fits stis_ngsl_v2 5 8.09 7.223 6.951 6.787
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd232078_v2.fits stis_ngsl_v2 5 9.334 7.606 6.893 6.466
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd196218_v2.fits stis_ngsl_v2 5 7.585 7.293 7.231 7.249
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd076932_v2.fits stis_ngsl_v2 5 5.965 5.639 5.556 5.537
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd190404_v2.fits stis_ngsl_v2 5 7.639 6.993 6.819 6.746
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd000886_v2.fits stis_ngsl_v2 5 2.612 3.091 3.432 3.686
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd167946_v2.fits stis_ngsl_v2 5 7.265 7.482 7.701 7.816
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd210745_v2.fits stis_ngsl_v2 5 4.013 2.769 2.389 2.144
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_hd004727_v2.fits stis_ngsl_v2 5 4.351 4.737 5.038 5.255
DES DES spectra/stis_ngsl_v2/h_stis_ngsl_g169-28_v2.fits stis_ngsl_v2 5 11.529 11.19 11.101 11.082
