survey version standard standard_catagory shift CSP_TAMU-u CSP_TAMU-g CSP_TAMU-r CSP_TAMU-i CSP_TAMU-B CSP_TAMU-V CSP_TAMU-o CSP_TAMU-m CSP_TAMU-n CSP_TAMU-Y CSP_TAMU-y 
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -25 5.5796 5.0824 5.3944 5.6758 5.1602 5.3279 5.2229 5.2189 5.2239 5.3808 5.3726
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -25 6.4941 3.9447 2.9741 2.68 4.4746 3.5001 3.3951 3.3911 3.3961 1.7482 1.7199
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -25 9.4924 8.442 8.1931 8.2032 8.6748 8.3948 8.2898 8.2858 8.2908 7.6898 7.6792
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -25 9.3065 8.1631 8.0513 8.1072 8.3694 8.1775 8.0725 8.0685 8.0735 7.6014 7.5896
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -25 7.5587 5.2675 4.4142 4.1587 5.7302 4.9024 4.7974 4.7934 4.7984 3.2886 3.2634
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -25 6.9283 5.7197 5.8736 6.1085 5.8579 5.8725 5.7675 5.7635 5.7685 5.7054 5.7
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -25 10.774 9.3059 8.9055 8.7677 9.5685 9.1988 9.0938 9.0898 9.0948 8.0133 7.9938
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -25 10.1188 9.0175 8.597 8.4724 9.3023 8.8859 8.7809 8.7769 8.7819 7.7962 7.7779
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -25 8.7487 7.7112 7.4571 7.4148 7.9445 7.662 7.557 7.553 7.558 6.78 6.7613
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -25 4.1283 3.368 3.5754 3.7925 3.4635 3.566 3.461 3.457 3.462 3.3558 3.3463
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -25 9.3303 6.5627 5.567 5.245 7.081 6.1242 6.0192 6.0152 6.0202 4.2599 4.2308
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -25 10.6527 9.2522 8.6663 8.4572 9.5979 9.0353 8.9303 8.9263 8.9313 7.6592 7.6362
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -25 10.8911 8.6355 6.6116 3.9137 9.294 7.9874 7.8824 7.8784 7.8834 0.4298 0.3707
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -25 8.5949 5.5133 4.2918 3.8308 6.1025 4.9701 4.8651 4.8611 4.8661 2.7452 2.7168
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -25 9.0679 6.8587 6.0525 5.7953 7.3111 6.5132 6.4082 6.4042 6.4092 4.9274 4.9024
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -25 9.7696 8.3764 7.7378 7.4886 8.7338 8.1329 8.0279 8.0239 8.0289 6.6922 6.675
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -25 3.7773 3.5506 3.9284 4.2564 3.6068 3.831 3.726 3.722 3.727 4.0373 4.03
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -25 9.6819 6.7897 5.7463 5.4148 7.3181 6.3316 6.2266 6.2226 6.2276 4.3984 4.3679
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -25 7.1759 5.8325 5.3755 5.2869 6.1468 5.6717 5.5667 5.5627 5.5677 4.6826 4.6687
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -25 6.6615 5.3955 5.3435 5.4409 5.5829 5.4488 5.3438 5.3398 5.3448 4.9378 4.923
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -25 10.5314 8.9305 8.2102 7.9491 9.3162 8.6517 8.5467 8.5427 8.5477 7.13 7.1084
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 -25 6.6148 5.6075 5.8294 6.0461 5.7166 5.8177 5.7127 5.7087 5.7137 5.6504 5.6382
