survey version standard standard_catagory shift CSP_TAMU-u CSP_TAMU-g CSP_TAMU-r CSP_TAMU-i CSP_TAMU-B CSP_TAMU-V CSP_TAMU-o CSP_TAMU-m CSP_TAMU-n CSP_TAMU-Y CSP_TAMU-y 
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 30 5.5035 5.0914 5.4073 5.6863 5.1594 5.3377 5.2327 5.2287 5.2337 5.3845 5.3755
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 30 6.4121 3.8807 2.9559 2.6734 4.3842 3.4647 3.3597 3.3557 3.3607 1.7385 1.7102
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 30 9.4144 8.4202 8.1917 8.2051 8.6436 8.384 8.279 8.275 8.28 7.6909 7.6798
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 30 9.195 8.1468 8.0534 8.1106 8.3421 8.1715 8.0665 8.0625 8.0675 7.6021 7.5895
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 30 7.4949 5.212 4.3978 4.153 5.6514 4.8716 4.7666 4.7626 4.7676 3.2809 3.2556
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 30 6.7596 5.7181 5.8836 6.1176 5.8421 5.8736 5.7686 5.7646 5.7696 5.7098 5.7032
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 30 10.5892 9.2819 8.8976 8.7648 9.5338 9.1831 9.0781 9.0741 9.0791 8.0087 7.9892
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 30 10.0602 8.9874 8.5898 8.4699 9.2622 8.8708 8.7658 8.7618 8.7668 7.793 7.774
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 30 8.6607 7.6905 7.4544 7.415 7.9148 7.6518 7.5468 7.5428 7.5478 6.7766 6.7574
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 30 3.9788 3.3735 3.5849 3.8008 3.4597 3.573 3.468 3.464 3.469 3.3582 3.3481
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 30 9.2526 6.4988 5.5474 5.2372 6.9907 6.0877 5.9827 5.9787 5.9837 4.2495 4.2205
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 30 10.5959 9.2128 8.6548 8.4522 9.5449 9.0147 8.9097 8.9057 8.9107 7.6533 7.6297
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 30 10.621 8.5744 6.4927 3.8275 9.249 7.9155 7.8105 7.8065 7.8115 0.3998 0.3421
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 30 8.504 5.4389 4.2662 3.8187 6.0018 4.9239 4.8189 4.8149 4.8199 2.7352 2.7067
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 30 9.0035 6.8052 6.0369 5.7893 7.2344 6.4847 6.3797 6.3757 6.3807 4.9198 4.8946
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 30 9.6934 8.3353 7.7244 7.4823 8.6809 8.1102 8.0052 8.0012 8.0062 6.6891 6.6718
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 30 3.7397 3.563 3.9431 4.2685 3.6119 3.8434 3.7384 3.7344 3.7394 4.0417 4.0334
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 30 9.5988 6.7235 5.7259 5.4067 7.2254 6.2931 6.1881 6.1841 6.1891 4.3874 4.3571
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 30 7.123 5.7978 5.3688 5.286 6.0985 5.6552 5.5502 5.5462 5.5512 4.682 4.6676
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 30 6.5227 5.3828 5.3469 5.4461 5.5574 5.4434 5.3384 5.3344 5.3394 4.9368 4.9212
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 30 10.4843 8.884 8.196 7.9427 9.2541 8.6259 8.5209 8.5169 8.5219 7.1249 7.1028
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 30 6.4757 5.6113 5.8389 6.0549 5.7048 5.8239 5.7189 5.7149 5.7199 5.6522 5.6388
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 30 13.2269 12.3492 12.0383 11.9746 12.5803 12.2819 12.1769 12.1729 12.1779 11.2258 11.1825
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 30 6.4328 5.3694 5.0492 4.9915 5.6237 5.2888 5.1838 5.1798 5.1848 4.4178 4.4035
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 30 6.0937 5.569 5.8675 6.1571 5.6431 5.8077 5.7027 5.6987 5.7037 5.8927 5.8886
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 30 7.711 6.7281 6.8328 6.9867 6.8533 6.8672 6.7622 6.7582 6.7632 6.4596 6.447
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 30 9.699 6.4308 5.1876 4.7318 7.0367 5.8683 5.7633 5.7593 5.7643 3.5598 3.5266
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 30 4.2176 4.2055 4.3324 4.5134 4.2957 4.3655 4.2605 4.2565 4.2615 4.1593 4.1456
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 30 5.6637 4.4994 4.1465 4.0556 4.7702 4.3999 4.2949 4.2909 4.2959 3.3886 3.3689
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 30 4.5221 3.7503 4.0213 4.2826 3.8402 3.9683 3.8633 3.8593 3.8643 3.9598 3.9528
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 30 11.4596 10.5774 10.2582 10.1482 10.8127 10.5093 10.4043 10.4003 10.4053 9.5758 9.5699
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 30 11.2882 10.4003 10.0739 9.9998 10.6426 10.3216 10.2166 10.2126 10.2176 9.5382 9.5405
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 30 9.2608 7.5782 6.955 6.7812 7.9312 7.3499 7.2449 7.2409 7.2459 6.0574 6.0369
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 30 9.3548 6.452 5.4678 5.1559 6.9579 6.0223 5.9173 5.9133 5.9183 4.1193 4.0886
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 30 3.5654 3.6554 3.9938 4.2852 3.7032 3.9173 3.8123 3.8083 3.8133 4.1283 4.1242
CSP_TAMU CSP_TAMU spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 30 10.0089 9.0143 9.1624 9.3537 9.1356 9.1654 9.0604 9.0564 9.0614 8.9102 8.903
