survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 -10 5.067 5.3981 5.6707 5.8751 5.0718 5.3981 5.6707 5.8751
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 -10 3.9461 2.9795 2.7011 2.5589 3.9112 2.9795 2.7011 2.5589
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 -10 8.4275 8.1952 8.2109 8.2672 8.4165 8.1952 8.2109 8.2672
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 -10 8.1475 8.055 8.1127 8.1886 8.1393 8.055 8.1127 8.1886
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 -10 5.2647 4.4175 4.1787 4.0558 5.2344 4.4175 4.1787 4.0558
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 -10 5.7039 5.8771 6.1053 6.2463 5.703 5.8771 6.1053 6.2463
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 -10 9.2967 8.9087 8.783 8.7082 9.2837 8.9087 8.783 8.7082
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 -10 9.0056 8.6 8.4871 8.4612 8.99 8.6 8.4871 8.4612
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 -10 7.6982 7.4603 7.4254 7.4388 7.6874 7.4603 7.4254 7.4388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 -10 3.3537 3.5787 3.7902 3.8878 3.3566 3.5787 3.7902 3.8878
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 -10 6.5662 5.5718 5.2682 5.0917 6.531 5.5718 5.2682 5.0917
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 -10 9.2427 8.6699 8.476 8.3884 9.2219 8.6699 8.476 8.3884
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 -10 8.7641 6.638 4.1023 2.2843 8.7125 6.638 4.1023 2.2843
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 -10 5.5285 4.2983 3.8613 3.6038 5.4876 4.2983 3.8613 3.6038
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 -10 6.854 6.0566 5.8156 5.6878 6.8248 6.0566 5.8156 5.6878
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 -10 8.3683 7.7419 7.5095 7.3899 8.3467 7.7419 7.5095 7.3899
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 -10 3.5353 3.9318 4.2486 4.5024 3.5419 3.9318 4.2486 4.5024
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 -10 6.7974 5.7511 5.4388 5.2446 6.7605 5.7511 5.4388 5.2446
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 -10 5.8203 5.378 5.2995 5.2986 5.8021 5.378 5.2995 5.2986
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 -10 5.3792 5.3472 5.4437 5.5457 5.3728 5.3472 5.4437 5.5457
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 -10 8.9256 8.2135 7.9703 7.8552 8.9008 8.2135 7.9703 7.8552
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 -10 5.5895 5.833 6.0436 6.2035 5.5918 5.833 6.0436 6.2035
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 -10 12.36 12.0443 11.9871 12.0233 12.3486 12.0443 11.9871 12.0233
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 -10 5.3831 5.0568 5.0027 5.0253 5.3693 5.0568 5.0027 5.0253
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 -10 5.546 5.8569 6.1407 6.3427 5.5502 5.8569 6.1407 6.3427
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 -10 6.7147 6.8298 6.9813 7.0586 6.7139 6.8298 6.9813 7.0586
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 -10 6.5308 5.222 4.7741 4.498 6.4868 5.222 4.7741 4.498
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 -10 4.1884 4.3265 4.5069 4.6744 4.1904 4.3265 4.5069 4.6744
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 -10 4.5156 4.1555 4.0705 4.0581 4.5003 4.1555 4.0705 4.0581
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 -10 3.7299 4.0132 4.2678 4.4614 3.7325 4.0132 4.2678 4.4614
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 -10 10.5882 10.268 10.1642 10.1554 10.5763 10.268 10.1642 10.1554
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 -10 10.4122 10.0818 10.0121 10.031 10.3998 10.0818 10.0121 10.031
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 -10 7.6144 6.9692 6.8014 6.7513 7.5911 6.9692 6.8014 6.7513
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 -10 6.5253 5.4933 5.1875 4.9857 6.4884 5.4933 5.1875 4.9857
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 -10 3.6282 3.984 4.2676 4.5269 3.6348 3.984 4.2676 4.5269
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd117880_v2.fits stis_ngsl_v2 -10 8.9999 9.1579 9.3451 9.4496 8.9994 9.1579 9.3451 9.4496
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_cd-621346_v2.fits stis_ngsl_v2 -10 10.158 9.6366 9.4746 9.3944 10.139 9.6366 9.4746 9.3944
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_gl109_v2.fits stis_ngsl_v2 -10 11.4831 10.0136 8.8407 8.2162 11.4336 10.0136 8.8407 8.2162
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd016031_v2.fits stis_ngsl_v2 -10 9.9452 9.6682 9.5821 9.5783 9.9349 9.6682 9.5821 9.5783
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_bd371458_v2.fits stis_ngsl_v2 -10 9.2643 8.8323 8.7093 8.6533 9.2494 8.8323 8.7093 8.6533
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd081797_v2.fits stis_ngsl_v2 -10 2.8996 1.6803 1.2868 1.0367 2.8578 1.6803 1.2868 1.0367
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd067390_v2.fits stis_ngsl_v2 -10 9.6376 9.4911 9.5115 9.5561 9.6286 9.4911 9.5115 9.5561
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd061603_v2.fits stis_ngsl_v2 -10 6.7688 5.4183 4.8599 4.5309 6.7224 5.4183 4.8599 4.5309
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd062412_v2.fits stis_ngsl_v2 -10 6.1098 5.3451 5.1184 5.0001 6.0817 5.3451 5.1184 5.0001
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd031219_v2.fits stis_ngsl_v2 -10 8.412 8.0338 7.9923 8.0186 8.3958 8.0338 7.9923 8.0186
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd002857_v2.fits stis_ngsl_v2 -10 10.2875 10.4069 10.5294 10.5888 10.2854 10.4069 10.5294 10.5888
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd114710_v2.fits stis_ngsl_v2 -10 4.4836 4.0908 4.0005 4.0013 4.4678 4.0908 4.0005 4.0013
