survey version standard standard_catagory shift SDSS-G SDSS-R SDSS-I SDSS-Z SDSS-g SDSS-r SDSS-i SDSS-z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 25 5.0726 5.4063 5.6773 5.8778 5.0779 5.4063 5.6773 5.8778
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 25 3.9055 2.9674 2.6969 2.5547 3.8717 2.9674 2.6969 2.5547
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 25 8.4147 8.1942 8.212 8.2682 8.4046 8.1942 8.212 8.2682
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 25 8.138 8.0561 8.1149 8.1895 8.1307 8.0561 8.1149 8.1895
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 25 5.2294 4.4069 4.1749 4.0526 5.2003 4.4069 4.1749 4.0526
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 25 5.703 5.8834 6.1111 6.2463 5.7031 5.8834 6.1111 6.2463
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 25 9.2816 8.9037 8.7811 8.7061 9.2693 8.9037 8.7811 8.7061
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 25 8.9874 8.5953 8.4853 8.4609 8.9727 8.5953 8.4853 8.4609
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 25 7.6856 7.4584 7.4254 7.4388 7.6755 7.4584 7.4254 7.4388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 25 3.3571 3.5847 3.7957 3.8874 3.3604 3.5847 3.7957 3.8874
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 25 6.5253 5.559 5.2632 5.0869 6.4913 5.559 5.2632 5.0869
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 25 9.2186 8.6624 8.4726 8.3866 9.1988 8.6624 8.4726 8.3866
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 25 8.7035 6.5943 4.0213 2.2508 8.6493 6.5943 4.0213 2.2508
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 25 5.4808 4.2817 3.8532 3.5979 5.441 4.2817 3.8532 3.5979
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 25 6.8201 6.0464 5.8117 5.6846 6.7921 6.0464 5.8117 5.6846
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 25 8.3431 7.7332 7.5053 7.3877 8.3224 7.7332 7.5053 7.3877
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 25 3.5431 3.9412 4.2564 4.5065 3.5501 3.9412 4.2564 4.5065
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 25 6.7545 5.7378 5.4335 5.2393 6.7188 5.7378 5.4335 5.2393
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 25 5.7992 5.3735 5.2988 5.2987 5.7822 5.3735 5.2988 5.2987
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 25 5.3718 5.3493 5.447 5.5464 5.3664 5.3493 5.447 5.5464
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 25 8.8968 8.2043 7.9659 7.853 8.8732 8.2043 7.9659 7.853
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 25 5.5923 5.8389 6.049 6.2046 5.5956 5.8389 6.049 6.2046
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 25 12.3468 12.0413 11.9864 12.0245 12.336 12.0413 11.9864 12.0245
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 25 5.3671 5.0536 5.0025 5.0261 5.3542 5.0536 5.0025 5.0261
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 25 5.551 5.8648 6.1476 6.3452 5.5558 5.8648 6.1476 6.3452
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 25 6.7138 6.8342 6.9853 7.0572 6.7137 6.8342 6.9853 7.0572
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 25 6.4795 5.2047 4.7662 4.4908 6.4365 5.2047 4.7662 4.4908
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 25 4.1907 4.3313 4.5113 4.6783 4.1928 4.3313 4.5113 4.6783
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 25 4.4978 4.1516 4.0693 4.0579 4.4834 4.1516 4.0693 4.0579
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 25 3.733 4.0208 4.2742 4.4634 3.7365 4.0208 4.2742 4.4634
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 25 10.5744 10.2638 10.1628 10.1559 10.5631 10.2638 10.1628 10.1559
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 25 10.3978 10.0782 10.0116 10.0324 10.386 10.0782 10.0116 10.0324
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 25 7.5874 6.9613 6.7989 6.7505 7.5653 6.9613 6.7989 6.7505
