survey version standard standard_catagory shift SNLS-g SNLS-r SNLS-i SNLS-z 
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 10 5.0976 5.4053 5.6835 5.8565
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 10 3.7397 2.9337 2.6667 2.5488
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 10 8.3663 8.1784 8.2007 8.2499
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 10 8.1047 8.0434 8.1064 8.172
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 10 5.0875 4.3753 4.1465 4.0441
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 10 5.7038 5.8795 6.1145 6.2305
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 10 9.2207 8.8808 8.7592 8.6944
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 10 8.9182 8.573 8.4645 8.4463
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 10 7.6378 7.4407 7.4101 7.4235
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 10 3.3723 3.5803 3.7972 3.8708
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 10 6.3564 5.5236 5.23 5.0821
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 10 9.1246 8.6356 8.4462 8.3753
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 10 8.4823 6.4602 3.827 2.3509
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 10 5.2762 4.2398 3.8108 3.596
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 10 6.685 6.0152 5.7826 5.6759
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 10 8.2437 7.7042 7.4761 7.3765
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 10 3.5765 3.9421 4.2661 4.4823
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 10 6.5755 5.7016 5.3992 5.2356
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 10 5.7199 5.3521 5.2808 5.2825
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 10 5.3461 5.3379 5.4421 5.5294
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 10 8.7804 8.1748 7.9365 7.8424
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 10 5.6059 5.8345 6.0516 6.1869
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 10 12.2933 12.0227 11.97 12.0096
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 10 5.3065 5.034 4.9867 5.0086
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 10 5.5741 5.864 6.1542 6.3229
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 10 6.7112 6.827 6.9829 7.0446
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 10 6.2579 5.1616 4.7237 4.4921
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 10 4.1985 4.3256 4.51 4.6546
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 10 4.4316 4.1308 4.0503 4.043
SNLS SNLS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 10 3.7496 4.0186 4.2797 4.4434
