survey version standard standard_catagory shift ZTFD-g ZTFD-r ZTFD-i 
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 25 5.074 5.442 5.734
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 25 3.827 2.901 2.646
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 25 8.383 8.184 8.219
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 25 8.111 8.055 8.13
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 25 5.161 4.349 4.128
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 25 5.691 5.91 6.159
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 25 9.248 8.869 8.752
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 25 8.949 8.563 8.465
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 25 7.655 7.441 7.42
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 25 3.355 3.61 3.831
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 25 6.445 5.49 5.201
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 25 9.171 8.615 8.435
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 25 8.583 6.084 3.527
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 25 5.389 4.186 3.766
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 25 6.754 5.989 5.763
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 25 8.294 7.678 7.459
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 25 3.548 3.984 4.324
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 25 6.67 5.667 5.367
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 25 5.756 5.346 5.287
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 25 5.347 5.353 5.472
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 25 8.84 8.148 7.92
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 25 5.586 5.863 6.096
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 25 12.316 12.019 11.98
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 25 5.331 5.031 4.997
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 25 5.551 5.902 6.205
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 25 6.701 6.849 7.015
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 25 6.381 5.107 4.675
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 25 4.187 4.352 4.548
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 25 4.46 4.124 4.054
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 25 3.728 4.053 4.33
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 25 10.542 10.234 10.145
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 25 10.365 10.053 10.003
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 25 7.533 6.917 6.77
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 25 6.398 5.41 5.115
ZTFD ZTFD spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 25 3.642 4.029 4.337
